Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	whkm		וְ⁠הַ⁠מֶּ֤לֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	wftw	name	דָּוִד֙	1	rc://*/tw/dict/bible/names/david
1:2	rm7x		עֲבָדָ֗י⁠ו	1	rc://*/tw/dict/bible/other/servant
1:2	evvd		יְבַקְשׁ֞וּ	1	rc://*/tw/dict/bible/other/seek
1:2	iao7	keyterm	לַ⁠אדֹנִ֤⁠י	1	rc://*/tw/dict/bible/kt/lord
1:2	vnxr		הַ⁠מֶּ֨לֶךְ֙	1	rc://*/tw/dict/bible/other/king
1:2	wkw7		נַעֲרָ֣ה	1	rc://*/tw/dict/bible/other/servant
1:2	dqmc		בְתוּלָ֔ה	1	rc://*/tw/dict/bible/other/virgin
1:2	sbne		הַ⁠מֶּ֔לֶךְ	1	rc://*/tw/dict/bible/other/king
1:2	gcbg	keyterm	לַ⁠אדֹנִ֥⁠י	1	rc://*/tw/dict/bible/kt/lord
1:2	xrzu		הַ⁠מֶּֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:3	shb6		וַ⁠יְבַקְשׁוּ֙	1	rc://*/tw/dict/bible/other/seek
1:3	xzsw		נַעֲרָ֣ה	1	rc://*/tw/dict/bible/other/servant
1:3	z2s5	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
1:3	rx5v		לַ⁠מֶּֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:4	dv6h		לַ⁠מֶּ֤לֶךְ	1	rc://*/tw/dict/bible/other/king
1:4	skbt		וְ⁠הַ⁠מֶּ֖לֶךְ	1	rc://*/tw/dict/bible/other/king
1:4	qunc		יְדָעָֽ⁠הּ	1	rc://*/tw/dict/bible/other/know
1:5	zz9d	name	וַ⁠אֲדֹנִיָּ֧ה	1	rc://*/tw/dict/bible/names/adonijah
1:5	n0a3		אֶמְלֹ֑ךְ	1	rc://*/tw/dict/bible/other/reign
1:5	dzkt		רֶ֚כֶב	1	rc://*/tw/dict/bible/other/chariot
1:5	kcr3		וּ⁠פָ֣רָשִׁ֔ים	1	rc://*/tw/dict/bible/other/horsemen
1:6	zf8p	keyterm	טֽוֹב	1	rc://*/tw/dict/bible/kt/good
1:6	yuhk		יָלְדָ֖ה	1	rc://*/tw/dict/bible/other/bear
1:6	ujv1	name	אַבְשָׁלֽוֹם	1	rc://*/tw/dict/bible/names/absalom
