Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	w2re	name	אֶפְרָ֑יִם	1	rc://*/tw/dict/bible/names/ephraim
1:1	vgej	name	אֶפְרָתִֽי	1	rc://*/tw/dict/bible/names/ephrathah
1:2	eshp	name	חַנָּ֔ה	1	rc://*/tw/dict/bible/names/hannah
1:2	n9am	name	וּ⁠לְ⁠חַנָּ֖ה	1	rc://*/tw/dict/bible/names/hannah
1:3	zii6	keyterm	לְ⁠הִֽשְׁתַּחֲוֺ֧ת	1	rc://*/tw/dict/bible/kt/worship
1:3	tzb7		וְ⁠לִ⁠זְבֹּ֛חַ	1	rc://*/tw/dict/bible/other/sacrifice
1:3	csvb	keyterm	לַ⁠יהוָ֥ה צְבָא֖וֹת	1	rc://*/tw/dict/bible/kt/yahwehofhosts
1:3	o33t	name	בְּ⁠שִׁלֹ֑ה	1	rc://*/tw/dict/bible/names/shiloh
1:3	ufys	name	וּ⁠פִ֣נְחָ֔ס	1	rc://*/tw/dict/bible/names/phinehas
1:3	ez8h	keyterm	כֹּהֲנִ֖ים	1	rc://*/tw/dict/bible/kt/priest
1:3	z3zm	keyterm	לַ⁠יהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	ibkn		הַ⁠יּ֔וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:4	g4yx		וַ⁠יִּזְבַּ֖ח	1	rc://*/tw/dict/bible/other/sacrifice
1:5	aljv	name	וּ⁠לְ⁠חַנָּ֕ה	1	rc://*/tw/dict/bible/names/hannah
1:5	s7bp	name	חַנָּה֙	1	rc://*/tw/dict/bible/names/hannah
1:5	s56d	keyterm	אָהֵ֔ב	1	rc://*/tw/dict/bible/kt/love
1:5	vwkk	keyterm	וַֽ⁠יהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:5	cuy6		רַחְמָֽ⁠הּ	1	rc://*/tw/dict/bible/other/womb
1:6	i83p		וְ⁠כִֽעֲסַ֤תָּ⁠ה	1	rc://*/tw/dict/bible/other/provoke
1:6	m74b		כַּ֔עַס	1	rc://*/tw/dict/bible/other/provoke
1:6	vtwd	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	y7pz		רַחְמָֽ⁠הּ	1	rc://*/tw/dict/bible/other/womb
1:7	moy3		שָׁנָ֣ה	1	rc://*/tw/dict/bible/other/biblicaltimeyear
1:7	kw53		בְ⁠שָׁנָ֗ה	1	rc://*/tw/dict/bible/other/biblicaltimeyear
1:7	ajm2	keyterm	בְּ⁠בֵ֣ית יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/houseofgod
1:7	su66		תַּכְעִסֶ֑⁠נָּה	1	rc://*/tw/dict/bible/other/provoke
1:8	crtm	name	חַנָּה֙	1	rc://*/tw/dict/bible/names/hannah
1:8	np79	keyterm	ט֣וֹב	1	rc://*/tw/dict/bible/kt/good
1:9	t36x	name	חַנָּ֔ה	1	rc://*/tw/dict/bible/names/hannah
1:9	jkhh	name	בְ⁠שִׁלֹ֖ה	1	rc://*/tw/dict/bible/names/shiloh
1:9	kdfc	keyterm	הַ⁠כֹּהֵ֗ן	1	rc://*/tw/dict/bible/kt/priest
1:9	qcvs		מְזוּזַ֖ת	1	rc://*/tw/dict/bible/other/doorpost
1:9	vnf8	keyterm	הֵיכַ֥ל	1	rc://*/tw/dict/bible/kt/temple
1:9	ajcu	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:10	s25f	keyterm	נָ֑פֶשׁ	1	rc://*/tw/dict/bible/kt/spirit
1:10	uhjt	keyterm	וַ⁠תִּתְפַּלֵּ֥ל	1	rc://*/tw/dict/bible/kt/pray
1:10	kewf	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:11	dkbx	keyterm	וַ⁠תִּדֹּ֨ר	1	rc://*/tw/dict/bible/kt/vow
1:11	qiud	keyterm	נֶ֜דֶר	1	rc://*/tw/dict/bible/kt/vow
1:11	tt42	keyterm	יְהוָ֨ה צְבָא֜וֹת	1	rc://*/tw/dict/bible/kt/yahwehofhosts
1:11	vnaq		בָּ⁠עֳנִ֣י	1	rc://*/tw/dict/bible/other/afflict
1:11	maec		אֲמָתֶ֗⁠ךָ	1	rc://*/tw/dict/bible/other/servant
1:11	syh5		אֲמָתֶ֔⁠ךָ	1	rc://*/tw/dict/bible/other/servant
1:11	uc2y		לַ⁠אֲמָתְ⁠ךָ֖	1	rc://*/tw/dict/bible/other/servant
1:11	qu6m		זֶ֣רַע	1	rc://*/tw/dict/bible/other/seed
1:11	fbq8	keyterm	לַֽ⁠יהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
