Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	qaaa	name	שְׁלֹמֹ֥ה	1	rc://*/tw/dict/bible/names/solomon
1:1	cah9	name	דָּוִ֖יד	1	rc://*/tw/dict/bible/names/david
1:1	h2tj		מַלְכוּת֑⁠וֹ	1	rc://*/tw/dict/bible/other/kingdom
1:1	bzad	keyterm	וַ⁠יהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	ccgm	keyterm	אֱלֹהָי⁠ו֙	1	rc://*/tw/dict/bible/kt/god
1:2	bh5e	name	שְׁלֹמֹ֣ה	1	rc://*/tw/dict/bible/names/solomon
1:2	xg6m	keyterm	יִשְׂרָאֵ֡ל	1	rc://*/tw/dict/bible/kt/israel
1:2	pv57		לְ⁠שָׂרֵי֩	1	rc://*/tw/dict/bible/other/chief
1:2	vf5n	keyterm	יִשְׂרָאֵ֖ל	1	rc://*/tw/dict/bible/kt/israel
1:3	ejjm	name	שְׁלֹמֹה֙	1	rc://*/tw/dict/bible/names/solomon
1:3	yg82		הַ⁠קָּהָ֣ל	1	rc://*/tw/dict/bible/other/assembly
1:3	w3wq		מוֹעֵד֙	1	rc://*/tw/dict/bible/other/feast
1:3	zkna	keyterm	הָֽ⁠אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:3	w4qr	name	מֹשֶׁ֥ה	1	rc://*/tw/dict/bible/names/moses
1:3	m785		עֶֽבֶד	1	rc://*/tw/dict/bible/other/servant
1:3	wdq9	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	deh4		בַּ⁠מִּדְבָּֽר	1	rc://*/tw/dict/bible/other/desert
1:4	sf43	keyterm	אֲר֤וֹן	1	rc://*/tw/dict/bible/kt/arkofthecovenant
1:4	c9ag	keyterm	הָ⁠אֱלֹהִים֙	1	rc://*/tw/dict/bible/kt/god
1:4	rfb2	name	דָוִיד֙	1	rc://*/tw/dict/bible/names/david
1:4	a7rp	name	דָּוִ֑יד	1	rc://*/tw/dict/bible/names/david
1:4	vc3p	name	בִּ⁠ירוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
1:5	iqwx	keyterm	וּ⁠מִזְבַּ֣ח	1	rc://*/tw/dict/bible/kt/altar
1:5	b3q6	keyterm	מִשְׁכַּ֣ן	1	rc://*/tw/dict/bible/kt/tabernacle
1:5	wbpy		הַ⁠נְּחֹ֗שֶׁת	1	rc://*/tw/dict/bible/other/bronze
1:5	u5x2	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:5	wqbj	name	שְׁלֹמֹ֖ה	1	rc://*/tw/dict/bible/names/solomon
1:6	hy3d	name	שְׁלֹמֹ֨ה	1	rc://*/tw/dict/bible/names/solomon
1:6	vz92	keyterm	מִזְבַּ֤ח	1	rc://*/tw/dict/bible/kt/altar
1:6	ydnv		הַ⁠נְּחֹ֨שֶׁת֙	1	rc://*/tw/dict/bible/other/bronze
1:6	abkz	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	gf3n		מוֹעֵ֑ד	1	rc://*/tw/dict/bible/other/feast
1:6	j9vb		עֹל֖וֹת	1	rc://*/tw/dict/bible/other/burntoffering
1:7	x2zn	name	לִ⁠שְׁלֹמֹ֑ה	1	rc://*/tw/dict/bible/names/solomon
1:7	djn4	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:8	krxg	name	שְׁלֹמֹה֙	1	rc://*/tw/dict/bible/names/solomon
1:8	y4rx	keyterm	לֵֽ⁠אלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:8	ed74	name	דָּוִ֥יד	1	rc://*/tw/dict/bible/names/david
1:8	e5dw	keyterm	חֶ֣סֶד	1	rc://*/tw/dict/bible/kt/covenantfaith
1:8	zjtz		וְ⁠הִמְלַכְתַּ֖⁠נִי	1	rc://*/tw/dict/bible/other/reign
1:9	nwb7	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	ythm	keyterm	אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:9	n444	keyterm	יֵֽאָמֵן֙	1	rc://*/tw/dict/bible/kt/faithful
1:9	n29v	name	דָּוִ֣יד	1	rc://*/tw/dict/bible/names/david
1:9	yx7m		עַ֕ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:9	u9st		הָ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
1:10	zzsh		הָֽ⁠עָם	1	rc://*/tw/dict/bible/other/peoplegroup
