Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	gx6x	keyterm; name	Ἰησοῦς	1	rc://*/tw/dict/bible/kt/jesus
1:2	h3wx		ἡμέρας	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:2	kbz8	keyterm	ἀποστόλοις	1	rc://*/tw/dict/bible/kt/apostle
1:2	b6j8	keyterm	Πνεύματος Ἁγίου	1	rc://*/tw/dict/bible/kt/holyspirit
1:2	r7vt	keyterm	ἐξελέξατο	1	rc://*/tw/dict/bible/kt/elect
1:3	v6tu		παθεῖν	1	rc://*/tw/dict/bible/other/suffer
1:3	z25z		ἡμερῶν	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:3	bdrm	keyterm	Βασιλείας τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/kingdomofgod
1:4	bpah		συναλιζόμενος	1	rc://*/tw/dict/bible/other/assembly
1:4	pedd	name	Ἱεροσολύμων	1	rc://*/tw/dict/bible/names/jerusalem
1:4	anp2	keyterm	ἐπαγγελίαν	1	rc://*/tw/dict/bible/kt/promise
1:4	cb6t	keyterm	Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:5	dh84	name	Ἰωάννης	1	rc://*/tw/dict/bible/names/johnthebaptist
1:5	z52c	keyterm	ἐβάπτισεν	1	rc://*/tw/dict/bible/kt/baptize
1:5	avke	keyterm	Πνεύματι	1	rc://*/tw/dict/bible/kt/holyspirit
1:5	nfaf	keyterm	βαπτισθήσεσθε	1	rc://*/tw/dict/bible/kt/baptize
1:5	yuju		ἡμέρας	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:6	khw5		συνελθόντες	1	rc://*/tw/dict/bible/other/assembly
1:6	n3u7	keyterm	Κύριε	1	rc://*/tw/dict/bible/kt/lord
1:6	z4kk		χρόνῳ	1	rc://*/tw/dict/bible/other/time
1:6	dn8s	keyterm	βασιλείαν	1	rc://*/tw/dict/bible/kt/kingdomofgod
1:6	qvpx	keyterm	Ἰσραήλ	1	rc://*/tw/dict/bible/kt/israel
