Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	a8si	name	יָרָבְעָ֤ם	1	rc://*/tw/dict/bible/names/jeroboam
1:1	egio	name	עָמ֔וֹס	1	rc://*/tw/dict/bible/names/amos
1:1	fjru	keyterm	יִשְׂרָאֵ֜ל	1	rc://*/tw/dict/bible/kt/israel
1:1	ydrw		מֶֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	f9st	name	יְהוּדָ֗ה	1	rc://*/tw/dict/bible/names/judea
1:1	wrjy		מֶ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	hu6p	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:2	jhru	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:2	qwyx	keyterm	מִ⁠צִיּ֣וֹן	1	rc://*/tw/dict/bible/kt/zion
1:2	r767		וְ⁠אָֽבְלוּ֙	1	rc://*/tw/dict/bible/other/mourn
1:3	x8fb	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	r8za	keyterm	אֲשִׁיבֶ֑⁠נּוּ	1	rc://*/tw/dict/bible/kt/restore
1:3	hzhr	name	הַ⁠גִּלְעָֽד	1	rc://*/tw/dict/bible/names/gilead
1:4	hbw3	keyterm	בְּ⁠בֵ֣ית	1	rc://*/tw/dict/bible/kt/temple
1:4	ycqb		וְ⁠אָכְלָ֖ה	1	rc://*/tw/dict/bible/other/devour
1:5	sdb3		וְ⁠הִכְרַתִּ֤י	1	rc://*/tw/dict/bible/other/cutoff
1:5	crch		שֵׁ֖בֶט	1	rc://*/tw/dict/bible/other/tribe
1:5	ck7x		מִ⁠בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
1:5	cbtb		עַם	1	rc://*/tw/dict/bible/other/peoplegroup
1:5	thkn	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	sfra	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	pewu	keyterm	אֲשִׁיבֶ֑⁠נּוּ	1	rc://*/tw/dict/bible/kt/restore
1:6	d6wz		הַגְלוֹתָ֛⁠ם	1	rc://*/tw/dict/bible/other/exile
1:7	fhwu		וְ⁠אָכְלָ֖ה	1	rc://*/tw/dict/bible/other/devour
1:8	ab9l	name	מֵֽ⁠אַשְׁקְל֑וֹן	1	rc://*/tw/dict/bible/names/ashkelon
1:8	yfv3	name	מֵֽ⁠אַשְׁדּ֔וֹד	1	rc://*/tw/dict/bible/names/ashdod
1:8	gp6f		וְ⁠הִכְרַתִּ֤י	1	rc://*/tw/dict/bible/other/cutoff
1:8	p6mq		שֵׁ֖בֶט	1	rc://*/tw/dict/bible/other/tribe
1:8	jfq2		וְ⁠אָֽבְדוּ֙	1	rc://*/tw/dict/bible/other/destroyer
1:8	u46g	keyterm	שְׁאֵרִ֣ית	1	rc://*/tw/dict/bible/kt/remnant
1:8	s8rc	name	פְּלִשְׁתִּ֔ים	1	rc://*/tw/dict/bible/names/philistines
1:8	hrc2	keyterm	אֲדֹנָ֥⁠י	1	rc://*/tw/dict/bible/kt/lord
1:9	bg72	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	zfxm	name	צֹ֔ר	1	rc://*/tw/dict/bible/names/tyre
1:9	mjtj	keyterm	אֲשִׁיבֶ֑⁠נּוּ	1	rc://*/tw/dict/bible/kt/restore
1:9	qnyd	keyterm	בְּרִ֥ית	1	rc://*/tw/dict/bible/kt/covenant
