Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	v4rb	name	יְהוֹיָקִ֣ים	1	rc://*/tw/dict/bible/names/jehoiakim
1:1	tqfv		לְ⁠מַלְכ֖וּת	1	rc://*/tw/dict/bible/other/kingdom
1:1	w8cs		מֶֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	q4ss	name	יְהוּדָ֑ה	1	rc://*/tw/dict/bible/names/judea
1:1	cbtg	name	נְבוּכַדְנֶאצַּ֧ר	1	rc://*/tw/dict/bible/names/nebuchadnezzar
1:1	huxb		מֶֽלֶךְ	2	rc://*/tw/dict/bible/other/king
1:1	zsy2	name	בָּבֶ֛ל	1	rc://*/tw/dict/bible/names/babylon
1:1	gvd4	name	יְרוּשָׁלִַ֖ם	1	rc://*/tw/dict/bible/names/jerusalem
1:2	p6dv	name	יְהוֹיָקִ֣ים	1	rc://*/tw/dict/bible/names/jehoiakim
1:2	rn96	keyterm	אֲדֹנָ֨⁠י	1	rc://*/tw/dict/bible/kt/lord
1:2	ubgb		מֶֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:2	gam5	name	יְהוּדָ֗ה	1	rc://*/tw/dict/bible/names/judea
1:2	qynv		בֵית	1	rc://*/tw/dict/bible/other/house
1:2	u9pq	keyterm	הָֽ⁠אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:2	rmt9		אֶֽרֶץ	1	rc://*/tw/dict/bible/other/earth
1:2	e329	name	שִׁנְעָ֖ר	1	rc://*/tw/dict/bible/names/shinar
1:2	t29w		בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
1:2	h22q	keyterm	אֱלֹהָ֑י⁠ו	1	rc://*/tw/dict/bible/kt/god
1:2	ezxd		בֵּ֖ית	1	rc://*/tw/dict/bible/other/house
1:2	ajm8		אוֹצַ֥ר	1	rc://*/tw/dict/bible/other/storehouse
1:2	nsf9	keyterm	אֱלֹהָֽי⁠ו	1	rc://*/tw/dict/bible/kt/god
1:3	hg3y		הַ⁠מֶּ֔לֶךְ	1	rc://*/tw/dict/bible/other/king
1:3	f3xc	keyterm	יִשְׂרָאֵ֛ל	1	rc://*/tw/dict/bible/kt/israel
1:3	juhs		הַֽ⁠פַּרְתְּמִֽים	1	rc://*/tw/dict/bible/other/noble
1:4	uzaz		וְ⁠יֹ֤דְעֵי	1	rc://*/tw/dict/bible/other/know
1:4	fjsg		הַ⁠מֶּ֑לֶךְ	1	rc://*/tw/dict/bible/other/king
1:4	etne	name	כַּשְׂדִּֽים	1	rc://*/tw/dict/bible/names/chaldeans
1:5	p4hm		הַ⁠מֶּ֜לֶךְ	1	rc://*/tw/dict/bible/other/king
1:5	fmmk		הַ⁠מֶּ֨לֶךְ֙	1	rc://*/tw/dict/bible/other/king
1:5	w3t7		מִשְׁתָּ֔י⁠ו	1	rc://*/tw/dict/bible/other/feast
1:5	hnze	keyterm	יַֽעַמְד֖וּ	1	rc://*/tw/dict/bible/kt/appoint
1:5	pm3v		הַ⁠מֶּֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:6	nxt5	name	חֲנַנְיָ֔ה	1	rc://*/tw/dict/bible/names/hananiah
1:6	m86b	name	יְהוּדָ֑ה	1	rc://*/tw/dict/bible/names/judea
1:7	l2p5	name	וְ⁠לַֽ⁠חֲנַנְיָה֙	1	rc://*/tw/dict/bible/names/hananiah
1:7	ptwr	keyterm	וַ⁠יָּ֧שֶׂם	1	rc://*/tw/dict/bible/kt/appoint
1:7	cms3		שַׂ֥ר	1	rc://*/tw/dict/bible/other/prince
1:7	ujqe	keyterm	וַ⁠יָּ֨שֶׂם	1	rc://*/tw/dict/bible/kt/appoint
1:8	wu7a	keyterm	וַ⁠יָּ֤שֶׂם	1	rc://*/tw/dict/bible/kt/appoint
1:8	knxn		הַ⁠מֶּ֖לֶךְ	1	rc://*/tw/dict/bible/other/king
1:8	s5qn		מִשְׁתָּ֑י⁠ו	1	rc://*/tw/dict/bible/other/feast
1:8	n3hx		וַ⁠יְבַקֵּשׁ֙	1	rc://*/tw/dict/bible/other/seek
1:8	mdxe		מִ⁠שַּׂ֣ר	1	rc://*/tw/dict/bible/other/chief
1:9	mrju	keyterm	הָֽ⁠אֱלֹהִים֙	1	rc://*/tw/dict/bible/kt/god
1:9	y8wb		שַׂ֥ר	1	rc://*/tw/dict/bible/other/prince
1:10	x5ve		שַׂ֤ר	1	rc://*/tw/dict/bible/other/prince
1:10	ah4s	keyterm	אֲדֹנִ֣⁠י	1	rc://*/tw/dict/bible/kt/lord
1:10	yjqu		הַ⁠מֶּ֔לֶךְ	1	rc://*/tw/dict/bible/other/king
1:10	rvrn		מִשְׁתֵּי⁠כֶ֑ם	1	rc://*/tw/dict/bible/other/feast
1:10	gfyd		לַ⁠מֶּֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:11	k69s	name	חֲנַנְיָ֔ה	1	rc://*/tw/dict/bible/names/hananiah
1:11	p84j		שַׂ֣ר	1	rc://*/tw/dict/bible/other/prince
1:12	nxqr		עֲבָדֶ֖י⁠ךָ	1	rc://*/tw/dict/bible/other/servant
1:12	q6fh		וְ⁠נֹאכְלָ֖ה	1	rc://*/tw/dict/bible/other/devour
1:13	m5h3		הַ⁠מֶּ֑לֶךְ	1	rc://*/tw/dict/bible/other/king
1:13	th6r		עֲבָדֶֽי⁠ךָ	1	rc://*/tw/dict/bible/other/servant
1:15	dvjy	keyterm	ט֔וֹב	1	rc://*/tw/dict/bible/kt/good
1:15	scyv		הַ⁠מֶּֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:16	n7a4		וְ⁠יֵ֖ין	1	rc://*/tw/dict/bible/other/wine
1:16	ygaf		מִשְׁתֵּי⁠הֶ֑ם	1	rc://*/tw/dict/bible/other/feast
1:17	sbtq	keyterm	הָֽ⁠אֱלֹהִ֛ים	1	rc://*/tw/dict/bible/kt/god
1:17	rzkg		הֵבִ֔ין	1	rc://*/tw/dict/bible/other/understand
1:18	az47		הַ⁠מֶּ֖לֶךְ	1	rc://*/tw/dict/bible/other/king
1:18	qjn4		שַׂ֣ר	1	rc://*/tw/dict/bible/other/prince
1:18	kch8	name	נְבֻכַדְנֶצַּֽר	1	rc://*/tw/dict/bible/names/nebuchadnezzar
1:19	ejh7	name	חֲנַנְיָ֔ה	1	rc://*/tw/dict/bible/names/hananiah
1:19	xwzd		הַ⁠מֶּלֶךְ֒	1	rc://*/tw/dict/bible/other/king
1:19	gbcf		הַ⁠מֶּֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:20	ucfh		בִּקֵּ֥שׁ	1	rc://*/tw/dict/bible/other/seek
1:20	a7gu		הַ⁠מֶּ֑לֶךְ	1	rc://*/tw/dict/bible/other/king
1:20	k9zq		מַלְכוּתֽ⁠וֹ	1	rc://*/tw/dict/bible/other/kingdom
1:21	k4yc	name	לְ⁠כ֥וֹרֶשׁ	1	rc://*/tw/dict/bible/names/cyrus
1:21	w4vc		הַ⁠מֶּֽלֶךְ	1	rc://*/tw/dict/bible/other/king
