Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	nyaa	name	מֹשֶׁה֙	1	rc://*/tw/dict/bible/names/moses
1:1	xsqn		יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:1	pdta	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:1	usw7	name	הַ⁠יַּרְדֵּ֑ן	1	rc://*/tw/dict/bible/names/jordanriver
1:1	wt7c		בַּ⁠מִּדְבָּ֡ר	1	rc://*/tw/dict/bible/other/desert
1:2	n430		מֵֽ⁠חֹרֵ֔ב	1	rc://*/tw/dict/bible/names/sinai
1:2	wf5d		הַר־שֵׂעִ֑יר	1	rc://*/tw/dict/bible/names/seir
1:2	ouvf		קָדֵ֥שׁ בַּרְנֵֽעַ	1	rc://*/tw/dict/bible/names/kadesh
1:3	j752	name	מֹשֶׁה֙	1	rc://*/tw/dict/bible/names/moses
1:3	dn2u	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:3	ykvs	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	csew		סִיחֹן֙	1	rc://*/tw/dict/bible/names/sihon
1:4	pu9q		מֶ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
1:4	wnvn	name	הָֽ⁠אֱמֹרִ֔י	1	rc://*/tw/dict/bible/names/amorite
1:4	tyfy	name	בְּ⁠חֶשְׁבּ֑וֹן	1	rc://*/tw/dict/bible/names/heshbon
1:4	gzp7	name	ע֚וֹג	1	rc://*/tw/dict/bible/names/og
1:4	pbh7		מֶ֣לֶךְ	2	rc://*/tw/dict/bible/other/king
1:4	t5ne	name	הַ⁠בָּשָׁ֔ן	1	rc://*/tw/dict/bible/names/bashan
1:5	z6uq	name	הַ⁠יַּרְדֵּ֖ן	1	rc://*/tw/dict/bible/names/jordanriver
1:5	fhqg	name	מוֹאָ֑ב	1	rc://*/tw/dict/bible/names/moab
1:5	gzxy	name	מֹשֶׁ֔ה	1	rc://*/tw/dict/bible/names/moses
1:5	w94k	keyterm	הַ⁠תּוֹרָ֥ה	1	rc://*/tw/dict/bible/kt/lawofmoses
1:6	nguv	keyterm	יְהוָ֧ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	rpzg	keyterm	אֱלֹהֵ֛י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
1:6	acso		בְּ⁠חֹרֵ֣ב	1	rc://*/tw/dict/bible/names/sinai
1:7	jh9p	name	הָֽ⁠אֱמֹרִי֮	1	rc://*/tw/dict/bible/names/amorite
1:7	tz87		 בָּ⁠עֲרָבָ֥ה	1	rc://*/tw/dict/bible/names/arabah
1:7	zv1b		וּ⁠בַ⁠נֶּ֖גֶב	1	rc://*/tw/dict/bible/names/negev
1:7	gfgt		אֶ֤רֶץ	1	rc://*/tw/dict/bible/other/earth
1:7	zt2k	name	הַֽ⁠כְּנַעֲנִי֙	1	rc://*/tw/dict/bible/names/canaan
1:7	dnan	name	וְ⁠הַ⁠לְּבָנ֔וֹן	1	rc://*/tw/dict/bible/names/lebanon
1:7	brnt	name	פְּרָֽת	1	rc://*/tw/dict/bible/names/euphrates
1:8	z5ty		הָ⁠אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
