Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	vpmn	name	דָּוִ֔ד	1	rc://*/tw/dict/bible/names/david
1:1	zyg4		מֶ֖לֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	ucy9	name	בִּ⁠ירוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
1:3	pmy8	name	לָֽ⁠אָדָ֑ם	1	rc://*/tw/dict/bible/names/adam
1:4	wwd7		דּ֤וֹר	1	rc://*/tw/dict/bible/other/generation
1:4	z9n9		וְ⁠ד֣וֹר	1	rc://*/tw/dict/bible/other/generation
1:4	xjrz	keyterm	עֹמָֽדֶת	1	rc://*/tw/dict/bible/kt/appoint
1:6	zhd6	keyterm	שָׁ֥ב	1	rc://*/tw/dict/bible/kt/restore
1:7	ye3e	keyterm	שָׁבִ֖ים	1	rc://*/tw/dict/bible/kt/restore
1:12	kaqz		מֶ֛לֶךְ	1	rc://*/tw/dict/bible/other/king
1:12	c5qd	keyterm	יִשְׂרָאֵ֖ל	1	rc://*/tw/dict/bible/kt/israel
1:12	shfp	name	בִּ⁠ירוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
1:13	z9q1	name	הָ⁠אָדָ֖ם	1	rc://*/tw/dict/bible/names/adam
1:13	t4xg		לִ⁠דְר֤וֹשׁ	1	rc://*/tw/dict/bible/other/seek
1:13	hb4r	keyterm	הַ⁠שָּׁמָ֑יִם	1	rc://*/tw/dict/bible/kt/heaven
1:13	sg43	keyterm	רָ֗ע	1	rc://*/tw/dict/bible/kt/evil
1:13	x525	keyterm	אֱלֹהִ֛ים	1	rc://*/tw/dict/bible/kt/god
1:14	hg6h	keyterm	רֽוּחַ	1	rc://*/tw/dict/bible/kt/spirit
1:16	gdn4		הִגְדַּ֤לְתִּי	1	rc://*/tw/dict/bible/other/proud
1:16	hpde	name	יְרוּשָׁלִָ֑ם	1	rc://*/tw/dict/bible/names/jerusalem
1:17	yqkd		וְ⁠דַ֥עַת	1	rc://*/tw/dict/bible/other/know
1:17	sfxv		יָדַ֕עְתִּי	1	rc://*/tw/dict/bible/other/know
1:17	f3k4	keyterm	רֽוּחַ	1	rc://*/tw/dict/bible/kt/spirit
2:1	q44r		בְ⁠שִׂמְחָ֖ה	1	rc://*/tw/dict/bible/other/joy
2:3	wmze	name	הָ⁠אָדָם֙	1	rc://*/tw/dict/bible/names/adam
2:3	zvt4		בַּ⁠יַּ֖יִן	1	rc://*/tw/dict/bible/other/wine
2:3	bd8s	keyterm	ט֜וֹב	1	rc://*/tw/dict/bible/kt/good
2:3	e53e	keyterm	הַ⁠שָּׁמַ֔יִם	1	rc://*/tw/dict/bible/kt/heaven
2:4	zq2k		הִגְדַּ֖לְתִּי	1	rc://*/tw/dict/bible/other/proud
2:4	bzbx		בָּתִּ֔ים	1	rc://*/tw/dict/bible/other/house
2:4	pvms		כְּרָמִֽים	1	rc://*/tw/dict/bible/other/vineyard
2:5	zj92		פֶּֽרִי	1	rc://*/tw/dict/bible/other/fruit
2:7	ns9r	keyterm	קָנִ֨יתִי֙	1	rc://*/tw/dict/bible/kt/redeem
2:7	hxsx		עֲבָדִ֣ים	1	rc://*/tw/dict/bible/other/servant
2:7	ptsq		בַ֖יִת	1	rc://*/tw/dict/bible/other/house
2:7	repk		בָקָ֨ר	1	rc://*/tw/dict/bible/other/cow
2:7	hqbp		וָ⁠צֹ֤אן	1	rc://*/tw/dict/bible/other/flock
2:7	b9pe	name	בִּ⁠ירוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
2:8	t8ol	name	הָ⁠אָדָ֖ם	1	rc://*/tw/dict/bible/names/adam
2:8	ypeg		כֶּ֣סֶף	1	rc://*/tw/dict/bible/other/silver
2:8	j48h		וְ⁠זָהָ֔ב	1	rc://*/tw/dict/bible/other/gold
2:8	gzdp		מְלָכִ֖ים	1	rc://*/tw/dict/bible/other/king
2:9	av3r	name	בִּ⁠ירוּשָׁלִָ֑ם	1	rc://*/tw/dict/bible/names/jerusalem
2:9	bhhg	keyterm	עָ֥מְדָה	1	rc://*/tw/dict/bible/kt/appoint
2:10	pkp3		שִׂמְחָ֗ה	1	rc://*/tw/dict/bible/other/joy
2:10	x4aj		שָׂמֵ֨חַ֙	1	rc://*/tw/dict/bible/other/joy
2:11	gcs6	keyterm	ר֔וּחַ	1	rc://*/tw/dict/bible/kt/spirit
2:12	f1kh	name	הָ⁠אָדָ֗ם	1	rc://*/tw/dict/bible/names/adam
2:12	jbyj		הַ⁠מֶּ֔לֶךְ	1	rc://*/tw/dict/bible/other/king
2:14	ejpw		וְ⁠יָדַ֣עְתִּי	1	rc://*/tw/dict/bible/other/know
2:16	cagy		לֶ⁠חָכָ֛ם	1	rc://*/tw/dict/bible/other/wisemen
2:17	me5u	keyterm	רַ֤ע	1	rc://*/tw/dict/bible/kt/evil
2:17	pbvz	keyterm	רֽוּחַ	1	rc://*/tw/dict/bible/kt/spirit
2:18	t7m8	name	לָ⁠אָדָ֖ם	1	rc://*/tw/dict/bible/names/adam
2:19	cv6p		יוֹדֵ֗עַ	1	rc://*/tw/dict/bible/other/know
2:21	ai59	name	וּ⁠לְ⁠אָדָ֞ם	1	rc://*/tw/dict/bible/names/adam
2:21	ff3t	name	אָדָ֗ם	1	rc://*/tw/dict/bible/names/adam
2:22	fnqd	name	לָֽ⁠אָדָם֙	1	rc://*/tw/dict/bible/names/adam
2:24	w025	name	בָּ⁠אָדָם֙	1	rc://*/tw/dict/bible/names/adam
2:24	vkze	keyterm	ט֤וֹב	1	rc://*/tw/dict/bible/kt/good
2:24	gzkc	keyterm	ט֖וֹב	1	rc://*/tw/dict/bible/kt/good
2:24	af87	keyterm	הָ⁠אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
2:25	j6nc		יֹאכַ֛ל	1	rc://*/tw/dict/bible/other/devour
2:26	ytv5	name	לְ⁠אָדָם֙	1	rc://*/tw/dict/bible/names/adam
2:26	a9ah		וְ⁠שִׂמְחָ֑ה	1	rc://*/tw/dict/bible/other/joy
2:26	tnvh	keyterm	הָֽ⁠אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
2:26	wh6k	keyterm	רֽוּחַ	1	rc://*/tw/dict/bible/kt/spirit
3:1	a4uf	keyterm	הַ⁠שָּׁמָֽיִם	1	rc://*/tw/dict/bible/kt/heaven
3:6	yv52		לְ⁠בַקֵּשׁ֙	1	rc://*/tw/dict/bible/other/seek
3:6	ye82		לְ⁠אַבֵּ֔ד	1	rc://*/tw/dict/bible/other/destroyer
3:8	tmph	keyterm	לֶֽ⁠אֱהֹב֙	1	rc://*/tw/dict/bible/kt/love
3:8	s4kb		שָׁלֽוֹם	1	rc://*/tw/dict/bible/other/peace
3:10	n13y	name	הָ⁠אָדָ֖ם	1	rc://*/tw/dict/bible/names/adam
3:10	m5gj	keyterm	אֱלֹהִ֛ים	1	rc://*/tw/dict/bible/kt/god
3:11	p40o	name	הָ⁠אָדָ֗ם	1	rc://*/tw/dict/bible/names/adam
3:11	vsmd	keyterm	הָ⁠אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
3:12	gwet		יָדַ֕עְתִּי	1	rc://*/tw/dict/bible/other/know
3:12	xym3	keyterm	ט֖וֹב	1	rc://*/tw/dict/bible/kt/good
3:12	ex7n	keyterm	ט֖וֹב	2	rc://*/tw/dict/bible/kt/good
3:13	p2tu	name	הָ⁠אָדָם֙	1	rc://*/tw/dict/bible/names/adam
3:13	bexr	keyterm	ט֖וֹב	1	rc://*/tw/dict/bible/kt/good
3:13	fkrv	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
3:14	r93r		יָדַ֗עְתִּי	1	rc://*/tw/dict/bible/other/know
3:14	pg2j	keyterm	הָ⁠אֱלֹהִים֙	1	rc://*/tw/dict/bible/kt/god
3:15	h6rd		יְבַקֵּ֥שׁ	1	rc://*/tw/dict/bible/other/seek
3:15	v7w3		נִרְדָּֽף	1	rc://*/tw/dict/bible/other/persecute
3:16	d6bp		הַ⁠מִּשְׁפָּט֙	1	rc://*/tw/dict/bible/other/ordinance
3:17	fsk5	keyterm	הָ⁠אֱלֹהִ֑ים	1	rc://*/tw/dict/bible/kt/god
3:18	og8s	name	הָ⁠אָדָ֔ם	1	rc://*/tw/dict/bible/names/adam
3:18	j637	keyterm	הָ⁠אֱלֹהִ֑ים	1	rc://*/tw/dict/bible/kt/god
3:18	cjgs		בְּהֵמָ֥ה	1	rc://*/tw/dict/bible/other/beast
3:19	l35t	name	הָ⁠אָדָ֤ם	1	rc://*/tw/dict/bible/names/adam
3:19	b7qn	name	הָ⁠אָדָ֜ם	1	rc://*/tw/dict/bible/names/adam
3:19	z9bk	keyterm	וְ⁠ר֥וּחַ	1	rc://*/tw/dict/bible/kt/spirit
3:20	qag2	keyterm	שָׁ֥ב	1	rc://*/tw/dict/bible/kt/restore
3:21	d9jh	name	הָ⁠אָדָ֔ם	1	rc://*/tw/dict/bible/names/adam
3:21	yffn		יוֹדֵ֗עַ	1	rc://*/tw/dict/bible/other/know
3:21	z79n	keyterm	ר֚וּחַ	1	rc://*/tw/dict/bible/kt/spirit
3:21	gnkm	keyterm	וְ⁠ר֨וּחַ֙	1	rc://*/tw/dict/bible/kt/spirit
3:22	yj6b	name	הָ⁠אָדָם֙	1	rc://*/tw/dict/bible/names/adam
3:22	atzv	keyterm	טוֹב֙	1	rc://*/tw/dict/bible/kt/good
3:22	hd6e		יִשְׂמַ֤ח	1	rc://*/tw/dict/bible/other/joy
4:1	r9pg		מְנַחֵ֔ם	1	rc://*/tw/dict/bible/other/comfort
4:1	wkvf		מְנַחֵֽם	1	rc://*/tw/dict/bible/other/comfort
4:3	zx7t	keyterm	הָ⁠רָ֔ע	1	rc://*/tw/dict/bible/kt/evil
4:4	sxff	keyterm	רֽוּחַ	1	rc://*/tw/dict/bible/kt/spirit
