Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	rptw	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:1	s6rs	name	מִצְרָ֑יְמָ⁠ה	1	rc://*/tw/dict/bible/names/egypt
1:1	wa8q	name	יַעֲקֹ֔ב	1	rc://*/tw/dict/bible/names/jacob
1:1	hq94		וּ⁠בֵית֖⁠וֹ	1	rc://*/tw/dict/bible/other/house
1:2	euak	name	רְאוּבֵ֣ן	1	rc://*/tw/dict/bible/names/reuben
1:2	t62p	name	שִׁמְע֔וֹן	1	rc://*/tw/dict/bible/names/simeon
1:2	fpd6	name	לֵוִ֖י	1	rc://*/tw/dict/bible/names/levite
1:2	pm5w	name	וִ⁠יהוּדָֽה	1	rc://*/tw/dict/bible/names/judah
1:3	gc8c	name	יִשָּׂשכָ֥ר	1	rc://*/tw/dict/bible/names/issachar
1:3	qqsu	name	זְבוּלֻ֖ן	1	rc://*/tw/dict/bible/names/zebulun
1:3	jazh	name	וּ⁠בְנְיָמִֽן	1	rc://*/tw/dict/bible/names/benjamin
1:4	nt49	name	דָּ֥ן	1	rc://*/tw/dict/bible/names/dan
1:4	t4d7	name	וְ⁠נַפְתָּלִ֖י	1	rc://*/tw/dict/bible/names/naphtali
1:4	by23	name	גָּ֥ד	1	rc://*/tw/dict/bible/names/gad
1:4	fuqc	name	וְ⁠אָשֵֽׁר	1	rc://*/tw/dict/bible/names/asher
1:5	zaas	keyterm	נֶ֛פֶשׁ	1	rc://*/tw/dict/bible/kt/soul
1:5	k8mv	name	יַעֲקֹ֖ב	1	rc://*/tw/dict/bible/names/jacob
1:5	sdfp	name	וְ⁠יוֹסֵ֖ף	1	rc://*/tw/dict/bible/names/josephot
1:5	kcg5	name	בְ⁠מִצְרָֽיִם	1	rc://*/tw/dict/bible/names/egypt
1:6	z2hk	name	יוֹסֵף֙	1	rc://*/tw/dict/bible/names/josephot
1:6	rrue		הַ⁠דּ֥וֹר	1	rc://*/tw/dict/bible/other/generation
1:7	kn3m	keyterm	יִשְׂרָאֵ֗ל	1	rc://*/tw/dict/bible/kt/israel
1:7	sjay		פָּר֧וּ	1	rc://*/tw/dict/bible/other/fruit
1:7	x7cf		וַ⁠יִּרְבּ֥וּ	1	rc://*/tw/dict/bible/other/multiply
1:7	vq2n		וַ⁠יַּֽעַצְמ֖וּ	1	rc://*/tw/dict/bible/other/mighty
1:7	ww7h		הָ⁠אָ֖רֶץ	1	rc://*/tw/dict/bible/other/earth
1:8	etv5		מֶֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:8	ayff	name	מִצְרָ֑יִם	1	rc://*/tw/dict/bible/names/egypt
1:8	mmrn		יָדַ֖ע	1	rc://*/tw/dict/bible/other/know
1:8	aavq	name	יוֹסֵֽף	1	rc://*/tw/dict/bible/names/josephot
1:9	axfz		עַ֚ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:9	jggp	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:9	hfv6		וְ⁠עָצ֖וּם	1	rc://*/tw/dict/bible/other/mighty
1:10	kvr3	keyterm	נִֽתְחַכְּמָ֖ה	1	rc://*/tw/dict/bible/kt/wise
1:10	pwyx		יִרְבֶּ֗ה	1	rc://*/tw/dict/bible/other/multiply
1:10	q5z2		הָ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
1:11	v52v		שָׂרֵ֣י	1	rc://*/tw/dict/bible/other/overseer
1:11	quy7		עַנֹּת֖⁠וֹ	1	rc://*/tw/dict/bible/other/afflict
1:11	dtd9	name	לְ⁠פַרְעֹ֔ה	1	rc://*/tw/dict/bible/names/pharaoh
1:12	r8d6		יְעַנּ֣וּ	1	rc://*/tw/dict/bible/other/afflict
1:12	g4hq		יִרְבֶּ֖ה	1	rc://*/tw/dict/bible/other/multiply
1:12	udxz	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
1:13	qx74		וַ⁠יַּעֲבִ֧דוּ	1	rc://*/tw/dict/bible/other/servant
1:13	jkvc	name	מִצְרַ֛יִם	1	rc://*/tw/dict/bible/names/egypt
1:13	fejb	keyterm	יִשְׂרָאֵ֖ל	1	rc://*/tw/dict/bible/kt/israel
1:14	kaxe		בַּ⁠עֲבֹדָ֣ה	1	rc://*/tw/dict/bible/other/servant
1:14	ka5z		קָשָׁ֗ה	1	rc://*/tw/dict/bible/other/hard
1:14	hahf		עֲבֹדָ֖ה	1	rc://*/tw/dict/bible/other/servant
1:14	vfxx		עֲבֹ֣דָתָ֔⁠ם	1	rc://*/tw/dict/bible/other/servant
1:15	j26f		מֶ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
1:15	utbb	name	מִצְרַ֔יִם	1	rc://*/tw/dict/bible/names/egypt
1:15	jfdq	keyterm	הָֽ⁠עִבְרִיֹּ֑ת	1	rc://*/tw/dict/bible/kt/hebrew
1:16	mfcv	keyterm	הָֽ⁠עִבְרִיּ֔וֹת	1	rc://*/tw/dict/bible/kt/hebrew
1:17	j8yr	keyterm	וַ⁠תִּירֶ֤אןָ	1	rc://*/tw/dict/bible/kt/fear
1:17	gskb	keyterm	הָ֣⁠אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:17	ba5u		מֶ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
1:17	dye6	name	מִצְרָ֑יִם	1	rc://*/tw/dict/bible/names/egypt
1:18	ze3z	keyterm	וַ⁠יִּקְרָ֤א	1	rc://*/tw/dict/bible/kt/call
1:18	nyuh		מֶֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:18	fnqh	name	מִצְרַ֨יִם֙	1	rc://*/tw/dict/bible/names/egypt
1:19	rtyq	name	פַּרְעֹ֔ה	1	rc://*/tw/dict/bible/names/pharaoh
1:19	hkwg	name	הַ⁠מִּצְרִיֹּ֖ת	1	rc://*/tw/dict/bible/names/egypt
1:19	v7uj	keyterm	הָֽ⁠עִבְרִיֹּ֑ת	1	rc://*/tw/dict/bible/kt/hebrew
1:20	xjmg	keyterm	וַ⁠יֵּ֥יטֶב	1	rc://*/tw/dict/bible/kt/good
1:20	j6zw	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:20	kqw7		וַ⁠יִּ֧רֶב	1	rc://*/tw/dict/bible/other/multiply
1:20	hckk		הָ⁠עָ֛ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:20	ah8j		וַ⁠יַּֽעַצְמ֖וּ	1	rc://*/tw/dict/bible/other/mighty
1:21	ta5c	keyterm	יָֽרְא֥וּ	1	rc://*/tw/dict/bible/kt/fear
1:21	jsqz	keyterm	הָ⁠אֱלֹהִ֑ים	1	rc://*/tw/dict/bible/kt/god
1:21	ek7s		בָּתִּֽים	1	rc://*/tw/dict/bible/other/house
1:22	gupc	name	פַּרְעֹ֔ה	1	rc://*/tw/dict/bible/names/pharaoh
1:22	tp4p	name	הַ⁠יְאֹ֨רָ⁠ה֙	1	rc://*/tw/dict/bible/names/nileriver
2:1	xbjz		מִ⁠בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
2:1	j3jr	name	לֵוִ֑י	1	rc://*/tw/dict/bible/names/levite
2:1	xumu	name	לֵוִֽי	1	rc://*/tw/dict/bible/names/levite
2:2	jhds		וַ⁠תַּ֥הַר	1	rc://*/tw/dict/bible/other/conceive
2:2	pdh3	keyterm	ט֣וֹב	1	rc://*/tw/dict/bible/kt/good
2:2	fu5v		יְרָחִֽים	1	rc://*/tw/dict/bible/other/biblicaltimemonth
2:3	pa3z	keyterm	תֵּ֣בַת	1	rc://*/tw/dict/bible/kt/ark
2:3	u5e7		בַּ⁠סּ֖וּף	1	rc://*/tw/dict/bible/other/reed
2:3	sjrm	name	הַ⁠יְאֹֽר	1	rc://*/tw/dict/bible/names/nileriver
2:4	spv8		לְ⁠דֵעָ֕ה	1	rc://*/tw/dict/bible/other/know
2:5	fc6w	name	פַּרְעֹה֙	1	rc://*/tw/dict/bible/names/pharaoh
2:5	rsxq	name	הַ⁠יְאֹ֔ר	1	rc://*/tw/dict/bible/names/nileriver
2:5	qrbn		וְ⁠נַעֲרֹתֶ֥י⁠הָ	1	rc://*/tw/dict/bible/other/servant
2:5	x864	name	הַ⁠יְאֹ֑ר	1	rc://*/tw/dict/bible/names/nileriver
2:5	t7uq	keyterm	הַ⁠תֵּבָה֙	1	rc://*/tw/dict/bible/kt/ark
2:5	p8rt		הַ⁠סּ֔וּף	1	rc://*/tw/dict/bible/other/reed
2:5	b7x3		אֲמָתָ֖⁠הּ	1	rc://*/tw/dict/bible/other/servant
2:6	j77q		נַ֖עַר	1	rc://*/tw/dict/bible/other/servant
2:6	fsut		בֹּכֶ֑ה	1	rc://*/tw/dict/bible/other/cry
2:6	qv7v	keyterm	וַ⁠תַּחְמֹ֣ל	1	rc://*/tw/dict/bible/kt/compassion
2:6	yvt6	keyterm	הָֽ⁠עִבְרִ֖ים	1	rc://*/tw/dict/bible/kt/hebrew
2:7	jtyg	name	פַּרְעֹה֒	1	rc://*/tw/dict/bible/names/pharaoh
2:7	uk8n	keyterm	וְ⁠קָרָ֤אתִי	1	rc://*/tw/dict/bible/kt/call
2:7	h6xb	keyterm	הָ⁠עִבְרִיֹּ֑ת	1	rc://*/tw/dict/bible/kt/hebrew
2:8	ppze	name	פַּרְעֹ֖ה	1	rc://*/tw/dict/bible/names/pharaoh
2:8	hb2w	keyterm	וַ⁠תִּקְרָ֖א	1	rc://*/tw/dict/bible/kt/call
2:9	zgnr	name	פַּרְעֹ֗ה	1	rc://*/tw/dict/bible/names/pharaoh
2:10	wvyf	name	פַּרְעֹ֔ה	1	rc://*/tw/dict/bible/names/pharaoh
2:10	z88c	keyterm	וַ⁠תִּקְרָ֤א	1	rc://*/tw/dict/bible/kt/call
2:10	pqrp	name	מֹשֶׁ֔ה	1	rc://*/tw/dict/bible/names/moses
2:11	aksy		בַּ⁠יָּמִ֣ים	1	rc://*/tw/dict/bible/other/biblicaltimeday
2:11	yt6y	name	מֹשֶׁה֙	1	rc://*/tw/dict/bible/names/moses
2:11	thfh	name	מִצְרִ֔י	1	rc://*/tw/dict/bible/names/egypt
2:11	v66s	keyterm	עִבְרִ֖י	1	rc://*/tw/dict/bible/kt/hebrew
