Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	bbwp		הַ⁠גּוֹלָ֖ה	1	rc://*/tw/dict/bible/other/captive
1:1	c5s8	keyterm	הַ⁠שָּׁמַ֔יִם	1	rc://*/tw/dict/bible/kt/heaven
1:1	rnpu	keyterm	אֱלֹהִֽים	1	rc://*/tw/dict/bible/kt/god
1:2	mw92		הַ⁠מֶּ֥לֶךְ	1	rc://*/tw/dict/bible/other/king
1:3	pdlr	name	יְחֶזְקֵ֨אל	1	rc://*/tw/dict/bible/names/ezekiel
1:3	fhkd	keyterm	יְ֠הוָה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	hzs7	keyterm	הַ⁠כֹּהֵ֛ן	1	rc://*/tw/dict/bible/kt/priest
1:3	w3kr	name	כַּשְׂדִּ֖ים	1	rc://*/tw/dict/bible/names/chaldeans
1:3	fh4f	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	xaxx	keyterm	ר֨וּחַ	1	rc://*/tw/dict/bible/kt/spirit
1:5	ufwe	name	אָדָ֖ם	1	rc://*/tw/dict/bible/names/adam
1:7	vcf3	keyterm	יְשָׁרָ֑ה	1	rc://*/tw/dict/bible/kt/justice
1:7	gtc9		נְחֹ֥שֶׁת	1	rc://*/tw/dict/bible/other/bronze
1:8	fxuv	name	אָדָ֗ם	1	rc://*/tw/dict/bible/names/adam
1:10	fcoo	name	אָדָם֒	1	rc://*/tw/dict/bible/names/adam
1:10	j9dm		אַרְיֵ֤ה	1	rc://*/tw/dict/bible/other/lion
1:13	erfu		יוֹצֵ֥א	1	rc://*/tw/dict/bible/other/know
1:19	gqux		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:20	wdn3	keyterm	ר֥וּחַ	1	rc://*/tw/dict/bible/kt/spirit
1:21	z2k7	keyterm	יַֽעֲמֹ֑דוּ	1	rc://*/tw/dict/bible/kt/appoint
1:21	tyxn		הָ⁠אָ֗רֶץ	1	rc://*/tw/dict/bible/other/earth
1:21	sdyx	keyterm	ר֥וּחַ	1	rc://*/tw/dict/bible/kt/spirit
1:23	f4v8	keyterm	יְשָׁר֔וֹת	1	rc://*/tw/dict/bible/kt/justice
1:24	bk8f	keyterm	שַׁדַּי֙	1	rc://*/tw/dict/bible/kt/almighty
1:26	slmx	name	אָדָ֛ם	1	rc://*/tw/dict/bible/names/adam
1:26	qgag		כִּסֵּ֑א	1	rc://*/tw/dict/bible/other/throne
1:27	n9eq		בֵּֽית	1	rc://*/tw/dict/bible/other/house
1:28	yepk	keyterm	כְּבוֹד	1	rc://*/tw/dict/bible/kt/glory
1:28	y4an	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:28	cgwk		וָ⁠אֶפֹּ֣ל	1	rc://*/tw/dict/bible/other/bow
2:1	y8ya	name	אָדָם֙	1	rc://*/tw/dict/bible/names/adam
2:1	nejb	keyterm	עֲמֹ֣ד	1	rc://*/tw/dict/bible/kt/appoint
2:2	unkq	keyterm	ר֗וּחַ	1	rc://*/tw/dict/bible/kt/spirit
2:3	ocnw	name	אָדָם֙	1	rc://*/tw/dict/bible/names/adam
2:3	nxw9	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
2:3	xmye		גּוֹיִ֥ם	1	rc://*/tw/dict/bible/other/nation
2:3	egwp		מָרְדוּ	1	rc://*/tw/dict/bible/other/rebel
2:4	umzk	keyterm	אֲדֹנָ֥⁠י	1	rc://*/tw/dict/bible/kt/lord
2:5	tjyj		בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
2:5	x958		וְ⁠יָ֣דְע֔וּ	1	rc://*/tw/dict/bible/other/know
2:5	yqg4	keyterm	נָבִ֖יא	1	rc://*/tw/dict/bible/kt/prophet
2:6	bpdw	name	אָ֠דָם	1	rc://*/tw/dict/bible/names/adam
2:6	rgq9	keyterm	תִּירָ֨א	1	rc://*/tw/dict/bible/kt/fear
2:6	y2f9	keyterm	תִּירָ֗א	1	rc://*/tw/dict/bible/kt/fear
2:6	m3r2	keyterm	תִּירָא֙	1	rc://*/tw/dict/bible/kt/fear
2:6	vjv6		תֵּחָ֔ת	1	rc://*/tw/dict/bible/other/courage
2:6	jhgk		בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
2:8	k91h	name	אָדָ֗ם	1	rc://*/tw/dict/bible/names/adam
2:8	wcpx		כְּ⁠בֵ֣ית	1	rc://*/tw/dict/bible/other/house
2:8	wxts		וֶ⁠אֱכֹ֕ל	1	rc://*/tw/dict/bible/other/devour
3:1	l72p	name	אָדָ֕ם	1	rc://*/tw/dict/bible/names/adam
3:1	g674		אֱכ֑וֹל	1	rc://*/tw/dict/bible/other/devour
3:1	gwh3		אֱכוֹל֙	1	rc://*/tw/dict/bible/other/devour
3:1	ktr3		בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
3:1	n4v9	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
3:2	k35u		וַ⁠יַּ֣אֲכִלֵ֔⁠נִי	1	rc://*/tw/dict/bible/other/devour
3:3	opdt	name	אָדָם֙	1	rc://*/tw/dict/bible/names/adam
3:3	dgtj		תַֽאֲכֵל֙	1	rc://*/tw/dict/bible/other/devour
3:3	bgrc		וָ⁠אֹ֣כְלָ֔⁠ה	1	rc://*/tw/dict/bible/other/devour
3:4	s8h3	name	אָדָ֗ם	1	rc://*/tw/dict/bible/names/adam
3:4	vbbr		בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
3:4	z46j	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
3:5	vvhd		עַ֨ם	1	rc://*/tw/dict/bible/other/peoplegroup
3:5	sgd2		בֵּ֖ית	1	rc://*/tw/dict/bible/other/house
3:5	qkpx	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
3:6	n34m		עַמִּ֣ים	1	rc://*/tw/dict/bible/other/peoplegroup
3:7	mw47		וּ⁠בֵ֣ית	1	rc://*/tw/dict/bible/other/house
3:7	wmcu	keyterm	יִשְׂרָאֵ֗ל	1	rc://*/tw/dict/bible/kt/israel
3:7	ds6v		בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
3:7	hwhs	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
3:9	ncd2	keyterm	תִירָ֤א	1	rc://*/tw/dict/bible/kt/fear
3:9	vfw4		תֵחַ֣ת	1	rc://*/tw/dict/bible/other/courage
3:9	qjj5		בֵּֽית	1	rc://*/tw/dict/bible/other/house
3:10	ca62	name	אָדָ֕ם	1	rc://*/tw/dict/bible/names/adam
3:11	n4v2		הַ⁠גּוֹלָה֙	1	rc://*/tw/dict/bible/other/captive
3:11	cu8t		עַמֶּ֔⁠ךָ	1	rc://*/tw/dict/bible/other/peoplegroup
3:11	tcz5	keyterm	אֲדֹנָ֣⁠י	1	rc://*/tw/dict/bible/kt/lord
3:12	tq4v	keyterm	ר֔וּחַ	1	rc://*/tw/dict/bible/kt/spirit
3:12	hpbq	keyterm	בָּר֥וּךְ	1	rc://*/tw/dict/bible/kt/bless
3:12	wm9x	keyterm	כְּבוֹד	1	rc://*/tw/dict/bible/kt/glory
3:12	pq4v	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
3:14	krf8	keyterm	וְ⁠ר֥וּחַ	1	rc://*/tw/dict/bible/kt/spirit
3:14	ssh7	keyterm	בַּ⁠חֲמַ֣ת	1	rc://*/tw/dict/bible/kt/wrath
3:14	bn3k	keyterm	רוּחִ֔⁠י	1	rc://*/tw/dict/bible/kt/spirit
3:14	xanp	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
3:15	yts4		הַ⁠גּוֹלָ֜ה	1	rc://*/tw/dict/bible/other/captive
3:16	j5kh	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
3:17	fiqv	name	אָדָ֕ם	1	rc://*/tw/dict/bible/names/adam
3:17	cdut		לְ⁠בֵ֣ית	1	rc://*/tw/dict/bible/other/house
3:17	u2pe	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
3:18	t5gq		בְּ⁠אָמְרִ֤⁠י	1	rc://*/tw/dict/bible/other/report
3:18	pyyt		אֲבַקֵּֽשׁ	1	rc://*/tw/dict/bible/other/seek
3:19	hz4f	keyterm	שָׁב֙	1	rc://*/tw/dict/bible/kt/restore
3:20	drfr	keyterm	צַדִּ֤יק	1	rc://*/tw/dict/bible/kt/righteous
3:20	wk2g	keyterm	בְּ⁠חַטָּאת֣⁠וֹ	1	rc://*/tw/dict/bible/kt/sin
3:20	x43e		אֲבַקֵּֽשׁ	1	rc://*/tw/dict/bible/other/seek
3:21	xfza	keyterm	צַדִּ֗יק	1	rc://*/tw/dict/bible/kt/righteous
3:21	c87v	keyterm	חֲטֹ֛א	1	rc://*/tw/dict/bible/kt/sin
3:21	d523	keyterm	צַדִּ֖יק	1	rc://*/tw/dict/bible/kt/righteous
3:21	z36f	keyterm	חָטָ֑א	1	rc://*/tw/dict/bible/kt/sin
3:22	nyb8	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
3:22	kmjt		צֵא֙	1	rc://*/tw/dict/bible/other/know
3:23	kadg	keyterm	כְּבוֹד	1	rc://*/tw/dict/bible/kt/glory
3:23	rqxc	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
3:23	y82b	keyterm	עֹמֵ֔ד	1	rc://*/tw/dict/bible/kt/appoint
3:23	zcp5		וָ⁠אֶפֹּ֖ל	1	rc://*/tw/dict/bible/other/bow
3:24	gba9	keyterm	ר֔וּחַ	1	rc://*/tw/dict/bible/kt/spirit
3:24	kje8		בֵּיתֶֽ⁠ךָ	1	rc://*/tw/dict/bible/other/house
3:25	o90h	name	אָדָ֗ם	1	rc://*/tw/dict/bible/names/adam
3:25	pnj3		תֵצֵ֖א	1	rc://*/tw/dict/bible/other/know
3:26	xgny		בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
3:27	s3ku	keyterm	אֲדֹנָ֣⁠י	1	rc://*/tw/dict/bible/kt/lord
3:27	tkex		בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
4:1	g100	name	אָדָם֙	1	rc://*/tw/dict/bible/names/adam
4:1	ccm4	name	יְרוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
4:2	ax7r	keyterm	וְ⁠שִׂים	1	rc://*/tw/dict/bible/kt/appoint
4:3	dntq	keyterm	א֥וֹת	1	rc://*/tw/dict/bible/kt/sign
4:3	db92		לְ⁠בֵ֥ית	1	rc://*/tw/dict/bible/other/house
4:3	e4xm	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
4:4	cnyb	keyterm	וְ⁠שַׂמְתָּ֛	1	rc://*/tw/dict/bible/kt/appoint
4:4	kzub	keyterm	עֲוֺ֥ן	1	rc://*/tw/dict/bible/kt/iniquity
4:4	psyk		בֵּֽית	1	rc://*/tw/dict/bible/other/house
4:4	pjva	keyterm	יִשְׂרָאֵ֖ל	1	rc://*/tw/dict/bible/kt/israel
4:4	p4fa	keyterm	עֲוֺנָֽ⁠ם	1	rc://*/tw/dict/bible/kt/iniquity
4:5	anuk	keyterm	עֲוֺנָ֔⁠ם	1	rc://*/tw/dict/bible/kt/iniquity
4:5	uf2g	keyterm	עֲוֺ֥ן	1	rc://*/tw/dict/bible/kt/iniquity
4:5	u4g3		בֵּֽית	1	rc://*/tw/dict/bible/other/house
4:5	uax9	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
4:6	s3xx	keyterm	עֲוֺ֣ן	1	rc://*/tw/dict/bible/kt/iniquity
4:6	ush6		בֵּית	1	rc://*/tw/dict/bible/other/house
4:6	smzv	name	יְהוּדָ֑ה	1	rc://*/tw/dict/bible/names/judea
4:7	a73f	name	יְרוּשָׁלִַ֨ם֙	1	rc://*/tw/dict/bible/names/jerusalem
4:7	cs38	keyterm	וְ⁠נִבֵּאתָ֖	1	rc://*/tw/dict/bible/kt/prophet
4:8	haw6		כַּלּוֹתְ⁠ךָ֖	1	rc://*/tw/dict/bible/other/consume
4:9	vsb2		חִטִּ֡ין	1	rc://*/tw/dict/bible/other/wheat
4:9	m3rs		תֹּאכֲלֶֽ⁠נּוּ	1	rc://*/tw/dict/bible/other/devour
4:10	qjk3		תֹּאכֲלֶ֔⁠נּוּ	1	rc://*/tw/dict/bible/other/devour
4:10	u892		תֹּאכֲלֶֽ⁠נּוּ	1	rc://*/tw/dict/bible/other/devour
4:12	ptcd	name	הָֽ⁠אָדָ֔ם	1	rc://*/tw/dict/bible/names/adam
4:12	df66		שְׂעֹרִ֖ים	1	rc://*/tw/dict/bible/other/barley
4:12	tsy6		תֹּֽאכֲלֶ֑⁠נָּה	1	rc://*/tw/dict/bible/other/devour
4:13	bsbq	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
4:13	cbe9		יֹאכְל֧וּ	1	rc://*/tw/dict/bible/other/devour
4:13	xe53	keyterm	יִשְׂרָאֵ֛ל	1	rc://*/tw/dict/bible/kt/israel
4:13	jm3m		לַחְמָ֖⁠ם	1	rc://*/tw/dict/bible/other/bread
4:13	xdnf		בַּ⁠גּוֹיִ֕ם	1	rc://*/tw/dict/bible/other/nation
4:14	zz7h	keyterm	אֲדֹנָ֣⁠י	1	rc://*/tw/dict/bible/kt/lord
4:14	d8cr		אָכַ֨לְתִּי֙	1	rc://*/tw/dict/bible/other/devour
4:15	twsn	name	הָֽ⁠אָדָ֑ם	1	rc://*/tw/dict/bible/names/adam
4:15	x6ht		לַחְמְ⁠ךָ֖	1	rc://*/tw/dict/bible/other/bread
4:16	naug	name	אָדָם֙	1	rc://*/tw/dict/bible/names/adam
4:16	daad		לֶ֨חֶם֙	1	rc://*/tw/dict/bible/other/bread
4:16	k59u	name	בִּ⁠יר֣וּשָׁלִַ֔ם	1	rc://*/tw/dict/bible/names/jerusalem
4:16	mpcc		וְ⁠אָכְלוּ	1	rc://*/tw/dict/bible/other/devour
4:16	u8mx		לֶ֥חֶם	1	rc://*/tw/dict/bible/other/bread
4:17	vq5s		לֶ֣חֶם	1	rc://*/tw/dict/bible/other/bread
5:1	zf1q	name	אָדָ֜ם	1	rc://*/tw/dict/bible/names/adam
5:1	wk2c		חֶ֣רֶב	1	rc://*/tw/dict/bible/other/sword
5:1	f3cs		וְ⁠הַעֲבַרְתָּ֥	1	rc://*/tw/dict/bible/other/preach
5:2	nw3m		בַ⁠חֶ֨רֶב֙	1	rc://*/tw/dict/bible/other/sword
5:2	s696		תִּזְרֶ֣ה	1	rc://*/tw/dict/bible/other/winnow
5:2	bzkc		וְ⁠חֶ֖רֶב	1	rc://*/tw/dict/bible/other/sword
5:4	exhz		תֵצֵא	1	rc://*/tw/dict/bible/other/know
5:4	n6zf		בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
5:4	cf63	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
5:5	k54f	keyterm	אֲדֹנָ֣⁠י	1	rc://*/tw/dict/bible/kt/lord
5:5	vmgp	name	יְר֣וּשָׁלִַ֔ם	1	rc://*/tw/dict/bible/names/jerusalem
5:5	nbgw		הַ⁠גּוֹיִ֖ם	1	rc://*/tw/dict/bible/other/nation
5:5	ar2f		אֲרָצֽוֹת	1	rc://*/tw/dict/bible/other/earth
5:6	sg94	keyterm	מִשְׁפָּטַ֤⁠י	1	rc://*/tw/dict/bible/kt/judge
5:6	b4xa		הַ⁠גּוֹיִ֔ם	1	rc://*/tw/dict/bible/other/nation
5:6	dcgf		הָ⁠אֲרָצ֖וֹת	1	rc://*/tw/dict/bible/other/earth
5:7	qvdz	keyterm	אֲדֹנָ֣⁠י	1	rc://*/tw/dict/bible/kt/lord
5:7	xk5r		הַ⁠גּוֹיִם֙	1	rc://*/tw/dict/bible/other/nation
5:7	sx5h	keyterm	מִשְׁפָּטַ֖⁠י	1	rc://*/tw/dict/bible/kt/judge
5:7	n4rh		הַ⁠גּוֹיִ֛ם	1	rc://*/tw/dict/bible/other/nation
5:8	b8d2	keyterm	אֲדֹנָ֣⁠י	1	rc://*/tw/dict/bible/kt/lord
5:8	fbyv	keyterm	מִשְׁפָּטִ֖ים	1	rc://*/tw/dict/bible/kt/judge
5:8	pmmu		הַ⁠גּוֹיִֽם	1	rc://*/tw/dict/bible/other/nation
5:10	v4be		יֹאכְל֤וּ	1	rc://*/tw/dict/bible/other/devour
5:10	dz9j		יֹאכְל֣וּ	1	rc://*/tw/dict/bible/other/devour
5:10	d466	keyterm	שְׁאֵרִיתֵ֖⁠ךְ	1	rc://*/tw/dict/bible/kt/remnant
5:10	kqnv	keyterm	רֽוּחַ	1	rc://*/tw/dict/bible/kt/spirit
5:11	bnco	keyterm	מִקְדָּשִׁ֣⁠י	1	rc://*/tw/dict/bible/kt/sanctuary
5:11	ckyn	keyterm	אֲדֹנָ֣⁠י	1	rc://*/tw/dict/bible/kt/lord
