Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	dppb	name	לְ⁠כ֨וֹרֶשׁ֙	1	rc://*/tw/dict/bible/names/cyrus
1:1	tub4		מֶ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	zbg7	name	פָּרַ֔ס	1	rc://*/tw/dict/bible/names/persia
1:1	dx3a	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	jbsg	name	יִרְמְיָ֑ה	1	rc://*/tw/dict/bible/names/jeremiah
1:1	t7m4	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	pk24	keyterm	ר֨וּחַ֙	1	rc://*/tw/dict/bible/kt/spirit
1:1	nyja	name	כֹּ֣רֶשׁ	1	rc://*/tw/dict/bible/names/cyrus
1:1	f4rq		מֶֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	qs3p	name	פָּרַ֔ס	2	rc://*/tw/dict/bible/names/persia
1:1	j29d		מַלְכוּת֔⁠וֹ	1	rc://*/tw/dict/bible/other/kingdom
1:2	jape	name	כֹּ֚רֶשׁ	1	rc://*/tw/dict/bible/names/cyrus
1:2	t456		מֶ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
1:2	rv3c	name	פָּרַ֔ס	1	rc://*/tw/dict/bible/names/persia
1:2	rmy8		מַמְלְכ֣וֹת	1	rc://*/tw/dict/bible/other/kingdom
1:2	kn78	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	wcdj	keyterm	אֱלֹהֵ֣י	1	rc://*/tw/dict/bible/kt/god
1:2	kf5n	keyterm	הַ⁠שָּׁמָ֑יִם	1	rc://*/tw/dict/bible/kt/heaven
1:2	nrxj	keyterm	פָקַ֤ד	1	rc://*/tw/dict/bible/kt/appoint
1:2	rm6e	keyterm	בַ֔יִת	1	rc://*/tw/dict/bible/kt/temple
1:2	hpk4	name	בִּ⁠ירוּשָׁלִַ֖ם	1	rc://*/tw/dict/bible/names/jerusalem
1:2	h4aq	name	בִּֽ⁠יהוּדָֽה	1	rc://*/tw/dict/bible/names/judea
1:3	myw3	keyterm	עַמּ֗⁠וֹ	1	rc://*/tw/dict/bible/kt/peopleofgod
