Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	ed58		בָּרָ֣א	1	rc://*/tw/dict/bible/other/creation
1:1	xm7d	keyterm	אֱלֹהִ֑ים	1	rc://*/tw/dict/bible/kt/god
1:1	pd9r	keyterm	הַ⁠שָּׁמַ֖יִם	1	rc://*/tw/dict/bible/kt/heaven
1:1	wae5		הָ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
1:2	zdhc		וְ⁠הָ⁠אָ֗רֶץ	1	rc://*/tw/dict/bible/other/earth
1:2	eytc	keyterm	וְ⁠ר֣וּחַ	1	rc://*/tw/dict/bible/kt/spirit
1:2	a2rh	keyterm	אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:3	g2uk	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:4	aw2w	keyterm	אֱלֹהִ֛ים	1	rc://*/tw/dict/bible/kt/god
1:4	z427	keyterm	ט֑וֹב	1	rc://*/tw/dict/bible/kt/good
1:4	srs5	keyterm	אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:5	nhe6	keyterm	וַ⁠יִּקְרָ֨א	1	rc://*/tw/dict/bible/kt/call
1:5	dswa	keyterm	אֱלֹהִ֤ים	1	rc://*/tw/dict/bible/kt/god
1:5	qfyf		י֔וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:5	xqpf	keyterm	קָ֣רָא	1	rc://*/tw/dict/bible/kt/call
1:5	mzqh		י֥וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:6	pwxu	keyterm	אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:7	muy4	keyterm	אֱלֹהִים֮	1	rc://*/tw/dict/bible/kt/god
1:8	ckhu	keyterm	וַ⁠יִּקְרָ֧א	1	rc://*/tw/dict/bible/kt/call
1:8	g6w3	keyterm	אֱלֹהִ֛ים	1	rc://*/tw/dict/bible/kt/god
1:8	nf8u	keyterm	שָׁמָ֑יִם	1	rc://*/tw/dict/bible/kt/heaven
1:8	gr7a		י֥וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:9	qqzc	keyterm	אֱלֹהִ֗ים	1	rc://*/tw/dict/bible/kt/god
1:9	txbq	keyterm	הַ⁠שָּׁמַ֨יִם֙	1	rc://*/tw/dict/bible/kt/heaven
1:10	g2ay	keyterm	וַ⁠יִּקְרָ֨א	1	rc://*/tw/dict/bible/kt/call
1:10	b3sx	keyterm	אֱלֹהִ֤ים	1	rc://*/tw/dict/bible/kt/god
1:10	yfjv		אֶ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:10	mwx7	keyterm	קָרָ֣א	1	rc://*/tw/dict/bible/kt/call
1:10	yfeh	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:10	pdb5	keyterm	טֽוֹב	1	rc://*/tw/dict/bible/kt/good
1:11	s6kt	keyterm	אֱלֹהִ֗ים	1	rc://*/tw/dict/bible/kt/god
1:11	ghjb		הָ⁠אָ֨רֶץ֙	1	rc://*/tw/dict/bible/other/earth
1:11	wewe		מַזְרִ֣יעַ	1	rc://*/tw/dict/bible/other/seed
1:11	fduv		זֶ֔רַע	1	rc://*/tw/dict/bible/other/seed
1:11	c7dn		פְּרִ֞י	1	rc://*/tw/dict/bible/other/fruit
1:11	am98		פְּרִי֙	1	rc://*/tw/dict/bible/other/fruit
1:11	eu37		זַרְע⁠וֹ	1	rc://*/tw/dict/bible/other/seed
1:11	nhsv		הָ⁠אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
1:12	c6cr		הָ⁠אָ֜רֶץ	1	rc://*/tw/dict/bible/other/earth
1:12	e5sj		מַזְרִ֤יעַ	1	rc://*/tw/dict/bible/other/seed
1:12	c7j3		זֶ֨רַע֙	1	rc://*/tw/dict/bible/other/seed
1:12	nr2x		פְּרִ֛י	1	rc://*/tw/dict/bible/other/fruit
1:12	v4ef		זַרְע⁠וֹ	1	rc://*/tw/dict/bible/other/seed
1:12	wn9d	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:12	hxac	keyterm	טֽוֹב	1	rc://*/tw/dict/bible/kt/good
1:13	znmv		י֥וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:14	crqt	keyterm	אֱלֹהִ֗ים	1	rc://*/tw/dict/bible/kt/god
1:14	m76x	keyterm	הַ⁠שָּׁמַ֔יִם	1	rc://*/tw/dict/bible/kt/heaven
1:14	spcq		הַ⁠יּ֖וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:14	gwsa	keyterm	לְ⁠אֹתֹת֙	1	rc://*/tw/dict/bible/kt/sign
1:14	j3de	keyterm	וּ⁠לְ⁠מ֣וֹעֲדִ֔ים	1	rc://*/tw/dict/bible/kt/appoint
1:14	esdf		וּ⁠לְ⁠יָמִ֖ים	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:14	j2hy		וְ⁠שָׁנִֽים	1	rc://*/tw/dict/bible/other/biblicaltimeyear
1:15	avb7	keyterm	הַ⁠שָּׁמַ֔יִם	1	rc://*/tw/dict/bible/kt/heaven
1:15	augv		הָ⁠אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
1:16	drnb	keyterm	אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:16	txw5		לְ⁠מֶמְשֶׁ֣לֶת	1	rc://*/tw/dict/bible/other/ruler
1:16	zg7s		הַ⁠יּ֔וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:16	rbb5		לְ⁠מֶמְשֶׁ֣לֶת	2	rc://*/tw/dict/bible/other/ruler
1:17	brun	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:17	w7sz	keyterm	הַ⁠שָּׁמָ֑יִם	1	rc://*/tw/dict/bible/kt/heaven
1:17	dqdg		הָ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
1:18	a6fm		וְ⁠לִ⁠מְשֹׁל֙	1	rc://*/tw/dict/bible/other/ruler
1:18	svwf		בַּ⁠יּ֣וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:18	n47x	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:18	cjpq	keyterm	טֽוֹב	1	rc://*/tw/dict/bible/kt/good
1:19	nkgu		י֥וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:20	s9um	keyterm	אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:20	scs9		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:20	arw8	keyterm	הַ⁠שָּׁמָֽיִם	1	rc://*/tw/dict/bible/kt/heaven
1:21	uwa6		וַ⁠יִּבְרָ֣א	1	rc://*/tw/dict/bible/other/creation
1:21	qy7h	keyterm	אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:21	fpeu	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:21	a6rp	keyterm	טֽוֹב	1	rc://*/tw/dict/bible/kt/good
1:22	pgm4	keyterm	וַ⁠יְבָ֧רֶךְ	1	rc://*/tw/dict/bible/kt/bless
1:22	bvhz	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:22	p6mv		פְּר֣וּ	1	rc://*/tw/dict/bible/other/fruit
1:22	rk44		וּ⁠רְב֗וּ	1	rc://*/tw/dict/bible/other/multiply
1:22	rtwb		יִ֥רֶב	1	rc://*/tw/dict/bible/other/multiply
1:22	ev9k		בָּ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
1:23	z78r		י֥וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:24	vacc	keyterm	אֱלֹהִ֗ים	1	rc://*/tw/dict/bible/kt/god
1:24	cyub		הָ⁠אָ֜רֶץ	1	rc://*/tw/dict/bible/other/earth
1:24	reya		בְּהֵמָ֥ה	1	rc://*/tw/dict/bible/other/livestock
1:24	c5yd		אֶ֖רֶץ	1	rc://*/tw/dict/bible/other/earth
1:25	hr2n	keyterm	אֱלֹהִים֩	1	rc://*/tw/dict/bible/kt/god
1:25	aqkb		הָ⁠אָ֜רֶץ	1	rc://*/tw/dict/bible/other/earth
1:25	dncq		הַ⁠בְּהֵמָה֙	1	rc://*/tw/dict/bible/other/livestock
1:25	sq95	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:25	k56g	keyterm	טֽוֹב	1	rc://*/tw/dict/bible/kt/good
1:26	ae10	name	אָדָ֛ם	1	rc://*/tw/dict/bible/names/adam
1:26	gzdr	keyterm	אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:26	haum	keyterm	בְּ⁠צַלְמֵ֖⁠נוּ	1	rc://*/tw/dict/bible/kt/imageofgod
1:26	e9yk	keyterm	וְ⁠יִרְדּוּ֩	1	rc://*/tw/dict/bible/kt/dominion
1:26	tqxc	keyterm	הַ⁠שָּׁמַ֗יִם	1	rc://*/tw/dict/bible/kt/heaven
1:26	jbtz		וּ⁠בַ⁠בְּהֵמָה֙	1	rc://*/tw/dict/bible/other/livestock
1:26	tcx4		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:26	k593		הָ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
1:27	x495	name	הָֽ⁠אָדָם֙	1	rc://*/tw/dict/bible/names/adam
1:27	snty		וַ⁠יִּבְרָ֨א	1	rc://*/tw/dict/bible/other/creation
1:27	fhpd	keyterm	אֱלֹהִ֤ים	1	rc://*/tw/dict/bible/kt/god
1:27	udbw	keyterm	בְּ⁠צַלְמ֔⁠וֹ	1	rc://*/tw/dict/bible/kt/imageofgod
1:27	we86	keyterm	בְּ⁠צֶ֥לֶם	1	rc://*/tw/dict/bible/kt/imageofgod
1:27	nqtf	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:27	qtr7		בָּרָ֣א	1	rc://*/tw/dict/bible/other/creation
1:27	hp4g		בָּרָ֥א	1	rc://*/tw/dict/bible/other/creation
1:28	rj32	keyterm	וַ⁠יְבָ֣רֶךְ	1	rc://*/tw/dict/bible/kt/bless
1:28	a8n8	keyterm	אֱלֹהִים֒	1	rc://*/tw/dict/bible/kt/god
1:28	bzrb	keyterm	אֱלֹהִ֗ים	1	rc://*/tw/dict/bible/kt/god
1:28	yjxt		פְּר֥וּ	1	rc://*/tw/dict/bible/other/fruit
1:28	qv99		וּ⁠רְב֛וּ	1	rc://*/tw/dict/bible/other/multiply
1:28	vzz2		הָ⁠אָ֖רֶץ	1	rc://*/tw/dict/bible/other/earth
1:28	cmpq	keyterm	וּ⁠רְד֞וּ	1	rc://*/tw/dict/bible/kt/dominion
1:28	e3p3	keyterm	הַ⁠שָּׁמַ֔יִם	1	rc://*/tw/dict/bible/kt/heaven
1:28	s6c5		הָ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
1:29	sxgv	keyterm	אֱלֹהִ֗ים	1	rc://*/tw/dict/bible/kt/god
1:29	tgbd		זֹרֵ֣עַ	1	rc://*/tw/dict/bible/other/seed
1:29	d8vr		זֶ֗רַע	1	rc://*/tw/dict/bible/other/seed
1:29	v7zj		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:29	nv8q		פְרִי	1	rc://*/tw/dict/bible/other/fruit
1:29	z7yg		זֹרֵ֣עַ	2	rc://*/tw/dict/bible/other/seed
1:29	atky		זָ֑רַע	1	rc://*/tw/dict/bible/other/seed
1:30	pqy2		הָ֠⁠אָרֶץ	1	rc://*/tw/dict/bible/other/earth
1:30	f9md	keyterm	הַ⁠שָּׁמַ֜יִם	1	rc://*/tw/dict/bible/kt/heaven
1:30	ajza		הָ⁠אָ֗רֶץ	1	rc://*/tw/dict/bible/other/earth
1:31	xjqh	keyterm	אֱלֹהִים֙	1	rc://*/tw/dict/bible/kt/god
1:31	n5mt	keyterm	ט֖וֹב	1	rc://*/tw/dict/bible/kt/good
1:31	hmbj		י֥וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
