Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	g12z	name	חֲבַקּ֖וּק	1	rc://*/tw/dict/bible/names/habakkuk
1:1	dgbw	keyterm	הַ⁠נָּבִֽיא	1	rc://*/tw/dict/bible/kt/prophet
1:2	nqw4	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	y5x5		תוֹשִֽׁיעַ	1	rc://*/tw/dict/bible/other/deliverer
1:4	q4eh	keyterm	תּוֹרָ֔ה	1	rc://*/tw/dict/bible/kt/lawofmoses
1:4	e3f7		יֵצֵ֥א	1	rc://*/tw/dict/bible/other/know
1:4	ae6z	keyterm	מִשְׁפָּ֑ט	1	rc://*/tw/dict/bible/kt/judge
1:4	gd6s		יֵצֵ֥א	2	rc://*/tw/dict/bible/other/know
1:4	reqj	keyterm	מִשְׁפָּ֖ט	1	rc://*/tw/dict/bible/kt/judge
1:5	zujc		בַ⁠גּוֹיִם֙	1	rc://*/tw/dict/bible/other/nation
1:5	a58g	keyterm	תַאֲמִ֖ינוּ	1	rc://*/tw/dict/bible/kt/faithful
1:6	sds0	keyterm	מִשְׁכָּנ֥וֹת	1	rc://*/tw/dict/bible/kt/tabernacle
1:6	dgpf		הַ⁠גּ֖וֹי	1	rc://*/tw/dict/bible/other/nation
1:6	mz85		אֶ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:6	fr3f		לָ⁠רֶ֖שֶׁת	1	rc://*/tw/dict/bible/other/possess
1:7	a87x	keyterm	וְ⁠נוֹרָ֖א	1	rc://*/tw/dict/bible/kt/fear
1:7	spzj	keyterm	מִשְׁפָּט֥⁠וֹ	1	rc://*/tw/dict/bible/kt/judge
1:7	xsc9		יֵצֵֽא	1	rc://*/tw/dict/bible/other/know
1:8	dkab	keyterm	וְ⁠קַלּ֨וּ	1	rc://*/tw/dict/bible/kt/curse
1:8	reme		סוּסָ֗י⁠ו	1	rc://*/tw/dict/bible/other/horse
1:8	b34q		וּ⁠פָֽרָשָׁי⁠ו֙	1	rc://*/tw/dict/bible/other/horsemen
1:10	ue6z		בַּ⁠מְּלָכִ֣ים	1	rc://*/tw/dict/bible/other/king
1:11	zv5j	keyterm	ר֛וּחַ	1	rc://*/tw/dict/bible/kt/spirit
1:11	yzck		וַֽ⁠יַּעֲבֹ֖ר	1	rc://*/tw/dict/bible/other/preach
1:11	z7x4	keyterm	לֵ⁠אלֹהֽ⁠וֹ	1	rc://*/tw/dict/bible/kt/god
1:12	dc7w	keyterm	יְהוָ֧ה	1	rc://*/tw/dict/bible/kt/yahweh
1:12	fh72	keyterm	אֱלֹהַ֛⁠י	1	rc://*/tw/dict/bible/kt/god
1:12	ujms	keyterm	קְדֹשִׁ֖⁠י	1	rc://*/tw/dict/bible/kt/holy
1:12	p3gt	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:12	tu55		יְסַדְתּֽ⁠וֹ	1	rc://*/tw/dict/bible/other/foundation
1:13	qf5g	keyterm	רָ֔ע	1	rc://*/tw/dict/bible/kt/evil
1:13	b4mb		תַּחֲרִ֕ישׁ	1	rc://*/tw/dict/bible/other/tongue
1:13	eq6z	keyterm	צַדִּ֥יק	1	rc://*/tw/dict/bible/kt/righteous
1:14	vvqv	name	אָדָ֖ם	1	rc://*/tw/dict/bible/names/adam
1:14	e69y	keyterm	מֹשֵׁ֥ל	1	rc://*/tw/dict/bible/kt/dominion
1:15	d5uk		יִשְׂמַ֥ח	1	rc://*/tw/dict/bible/other/joy
1:16	gc99		יְזַבֵּ֣חַ	1	rc://*/tw/dict/bible/other/sacrifice
1:17	veyv		גּוֹיִ֖ם	1	rc://*/tw/dict/bible/other/nation
2:1	r566	keyterm	אֶעֱמֹ֔דָה	1	rc://*/tw/dict/bible/kt/appoint
2:1	mjft	keyterm	אָשִׁ֖יב	1	rc://*/tw/dict/bible/kt/restore
2:2	aau6	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
2:2	vez7	keyterm	ק֥וֹרֵא	1	rc://*/tw/dict/bible/kt/call
2:3	xu97		לַ⁠מּוֹעֵ֔ד	1	rc://*/tw/dict/bible/other/feast
2:5	e9nq		הַ⁠יַּ֣יִן	1	rc://*/tw/dict/bible/other/wine
2:5	fw45		הַ⁠גּוֹיִ֔ם	1	rc://*/tw/dict/bible/other/nation
2:5	mddt		הָ⁠עַמִּֽים	1	rc://*/tw/dict/bible/other/peoplegroup
2:7	d8c6		מְזַעְזְעֶ֑י⁠ךָ	1	rc://*/tw/dict/bible/other/tremble
2:8	z3ww	name	אָדָם֙	1	rc://*/tw/dict/bible/names/adam
2:8	yk9w		גּוֹיִ֣ם	1	rc://*/tw/dict/bible/other/nation
2:8	ne38		עַמִּ֑ים	1	rc://*/tw/dict/bible/other/peoplegroup
2:8	b9v3		אֶ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
2:9	nm8d	keyterm	רָ֖ע	1	rc://*/tw/dict/bible/kt/evil
2:9	fsym		לְ⁠בֵית֑⁠וֹ	1	rc://*/tw/dict/bible/other/house
2:9	aw56	keyterm	רָֽע	1	rc://*/tw/dict/bible/kt/evil
2:10	cyus		יָעַ֥צְתָּ	1	rc://*/tw/dict/bible/other/counselor
2:10	y948		לְ⁠בֵיתֶ֑⁠ךָ	1	rc://*/tw/dict/bible/other/house
2:10	ej94		עַמִּ֥ים	1	rc://*/tw/dict/bible/other/peoplegroup
2:10	ynan	keyterm	וְ⁠חוֹטֵ֥א	1	rc://*/tw/dict/bible/kt/sin
2:11	swux	keyterm	יַעֲנֶֽ⁠נָּה	1	rc://*/tw/dict/bible/kt/testimony
2:13	wp2u	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
2:13	j6w4		עַמִּים֙	1	rc://*/tw/dict/bible/other/peoplegroup
2:14	qm6r		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
2:14	h3nt	keyterm	כְּב֣וֹד	1	rc://*/tw/dict/bible/kt/glory
2:14	pqpr	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
2:16	p7eh	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
2:16	nzr5	keyterm	כְּבוֹדֶֽ⁠ךָ	1	rc://*/tw/dict/bible/kt/glory
2:17	k31k	name	לְבָנוֹן֙	1	rc://*/tw/dict/bible/names/lebanon
2:17	q8hf	name	אָדָם֙	1	rc://*/tw/dict/bible/names/adam
2:17	fpyf		בְּהֵמ֖וֹת	1	rc://*/tw/dict/bible/other/beast
2:17	ddk7		יְחִיתַ֑⁠ן	1	rc://*/tw/dict/bible/other/courage
2:17	pscm		אֶ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
2:19	ub4r		זָהָ֣ב	1	rc://*/tw/dict/bible/other/gold
2:19	u74r		וָ⁠כֶ֔סֶף	1	rc://*/tw/dict/bible/other/silver
2:19	wqxv	keyterm	ר֖וּחַ	1	rc://*/tw/dict/bible/kt/spirit
2:20	j797	keyterm	וַֽ⁠יהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:20	eyr8	keyterm	קָדְשׁ֑⁠וֹ	1	rc://*/tw/dict/bible/kt/holy
2:20	ee9u		הָ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
3:1	cdgx	name	לַ⁠חֲבַקּ֣וּק	1	rc://*/tw/dict/bible/names/habakkuk
3:1	vqza	keyterm	תְּפִלָּ֖ה	1	rc://*/tw/dict/bible/kt/pray
3:1	y9h8	keyterm	הַ⁠נָּבִ֑יא	1	rc://*/tw/dict/bible/kt/prophet
3:2	hgjj	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
3:2	y5v4	keyterm	יָרֵאתִי֒	1	rc://*/tw/dict/bible/kt/fear
3:2	t8v7	keyterm	יְהוָ֗ה	2	rc://*/tw/dict/bible/kt/yahweh
3:2	eeux		תּוֹדִ֑יעַ	1	rc://*/tw/dict/bible/other/know
3:3	dt43	keyterm	אֱל֨וֹהַ֙	1	rc://*/tw/dict/bible/kt/god
3:3	h4gv	keyterm	שָׁמַ֨יִם֙	1	rc://*/tw/dict/bible/kt/heaven
3:3	ygwt		וּ⁠תְהִלָּת֖⁠וֹ	1	rc://*/tw/dict/bible/other/praise
3:3	g6bg		הָ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
3:6	pf7f	keyterm	עָמַ֣ד	1	rc://*/tw/dict/bible/kt/appoint
3:6	kjms		אֶ֗רֶץ	1	rc://*/tw/dict/bible/other/earth
3:6	xh6t		גּוֹיִ֔ם	1	rc://*/tw/dict/bible/other/nation
3:7	ax8h		יְרִיע֖וֹת	1	rc://*/tw/dict/bible/other/curtain
3:7	cr7q		יִרְגְּז֕וּ⁠ן	1	rc://*/tw/dict/bible/other/tremble
3:7	ggyg		אֶ֥רֶץ	1	rc://*/tw/dict/bible/other/earth
3:8	d7cy	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
3:8	t5th		סוּסֶ֔י⁠ךָ	1	rc://*/tw/dict/bible/other/horse
3:8	wywg		מַרְכְּבֹתֶ֖י⁠ךָ	1	rc://*/tw/dict/bible/other/chariot
3:9	zguq		שְׁבֻע֥וֹת	1	rc://*/tw/dict/bible/other/oath
3:9	yagn		אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
3:11	ywyt	keyterm	עָ֣מַד	1	rc://*/tw/dict/bible/kt/appoint
3:12	j5cb		אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
3:12	q65k		גּוֹיִֽם	1	rc://*/tw/dict/bible/other/nation
3:13	d78t		יָצָ֨אתָ֙	1	rc://*/tw/dict/bible/other/know
3:13	feyp		עַמֶּ֔⁠ךָ	1	rc://*/tw/dict/bible/other/peoplegroup
3:13	rrn8		מִ⁠בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
3:15	ftbw		סוּסֶ֑י⁠ךָ	1	rc://*/tw/dict/bible/other/horse
3:16	v4zt		אֶרְגָּ֑ז	1	rc://*/tw/dict/bible/other/tremble
3:16	nsmp		צָרָ֔ה	1	rc://*/tw/dict/bible/other/trouble
3:16	rmfq		לְ⁠עַ֥ם	1	rc://*/tw/dict/bible/other/peoplegroup
3:17	x485		תְאֵנָ֣ה	1	rc://*/tw/dict/bible/other/fig
3:17	z72b		כִּחֵשׁ֙	1	rc://*/tw/dict/bible/other/deceive
3:17	ybbq		זַ֔יִת	1	rc://*/tw/dict/bible/other/olive
3:17	dxj3		גָּזַ֤ר	1	rc://*/tw/dict/bible/other/decree
3:17	wd2r		צֹ֔אן	1	rc://*/tw/dict/bible/other/flock
3:17	ghf6		בָּקָ֖ר	1	rc://*/tw/dict/bible/other/cow
3:18	amdb	keyterm	בַּ⁠יהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
3:18	u9h4	keyterm	בֵּ⁠אלֹהֵ֥י	1	rc://*/tw/dict/bible/kt/god
3:19	bqnq	keyterm	אֲדֹנָ⁠י֙	1	rc://*/tw/dict/bible/kt/lord
3:19	f69k		חֵילִ֔⁠י	1	rc://*/tw/dict/bible/other/prosper
3:19	pzv6	keyterm	וַ⁠יָּ֤שֶׂם	1	rc://*/tw/dict/bible/kt/appoint
3:19	pf8a		לַ⁠מְנַצֵּ֖חַ	1	rc://*/tw/dict/bible/other/overseer
