Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	yjf4	name	חַגַּ֣י	1	rc://*/tw/dict/bible/names/haggai
1:1	pg9m		הַ⁠מֶּ֔לֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	y765	keyterm	יְהוָ֜ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	dxdu	keyterm	הַ⁠נָּבִ֗יא	1	rc://*/tw/dict/bible/kt/prophet
1:1	jnwn	name	זְרֻבָּבֶ֤ל	1	rc://*/tw/dict/bible/names/zerubbabel
1:1	e3rc		פַּחַ֣ת	1	rc://*/tw/dict/bible/other/governor
1:1	yy2b	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
1:1	xgm9	name	יְהוֹשֻׁ֧עַ	1	rc://*/tw/dict/bible/names/joshua
1:1	nyp2	keyterm	הַ⁠כֹּהֵ֥ן	1	rc://*/tw/dict/bible/kt/priest
1:2	g4g2	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	de67		הָ⁠עָ֤ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:2	y6r8		בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
1:2	ynex	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	lhn7	name	חַגַּ֥י	1	rc://*/tw/dict/bible/names/haggai
1:3	vk98	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	qguf	keyterm	הַ⁠נָּבִ֖יא	1	rc://*/tw/dict/bible/kt/prophet
1:4	xsgj	keyterm	בְּ⁠בָתֵּי⁠כֶ֣ם	1	rc://*/tw/dict/bible/kt/temple
1:4	uar3		וְ⁠הַ⁠בַּ֥יִת	1	rc://*/tw/dict/bible/other/household
1:5	pzap	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	uy3s		אָכ֤וֹל	1	rc://*/tw/dict/bible/other/devour
1:7	tr9u	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:8	m8k9		הַ⁠בָּ֑יִת	1	rc://*/tw/dict/bible/other/house
1:8	xvad	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	pad9		הַ⁠בַּ֖יִת	1	rc://*/tw/dict/bible/other/house
1:9	k9sn	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	z53z		בֵּיתִ⁠י֙	1	rc://*/tw/dict/bible/other/house
1:9	f2fa		לְ⁠בֵיתֽ⁠וֹ	1	rc://*/tw/dict/bible/other/house
1:10	fh3q	keyterm	שָמַ֖יִם	1	rc://*/tw/dict/bible/kt/heaven
1:11	v85j	name	הָֽ⁠אָדָם֙	1	rc://*/tw/dict/bible/names/adam
1:11	yugw		וָ⁠אֶקְרָ֨א	1	rc://*/tw/dict/bible/other/declare
1:11	vr8n		הָ⁠אָ֣רֶץ	1	rc://*/tw/dict/bible/other/earth
1:11	skdv		הַ⁠דָּגָן֙	1	rc://*/tw/dict/bible/other/grain
1:11	vq96		הַ⁠תִּיר֣וֹשׁ	1	rc://*/tw/dict/bible/other/wine
1:11	vyjd		תּוֹצִ֖יא	1	rc://*/tw/dict/bible/other/know
1:12	waih	name	וִ⁠יהוֹשֻׁ֣עַ	1	rc://*/tw/dict/bible/names/joshua
1:12	gmg1	name	חַגַּ֣י	1	rc://*/tw/dict/bible/names/haggai
1:12	a3pn	name	זְרֻבָּבֶ֣ל	1	rc://*/tw/dict/bible/names/zerubbabel
1:12	s8zw	keyterm	הַ⁠כֹּהֵ֨ן	1	rc://*/tw/dict/bible/kt/priest
1:12	da2w	keyterm	שְׁאֵרִ֣ית	1	rc://*/tw/dict/bible/kt/remnant
1:12	yrwg		הָ⁠עָ֗ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:12	q6a6	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:12	pbf6	keyterm	אֱלֹֽהֵי⁠הֶ֔ם	1	rc://*/tw/dict/bible/kt/god
1:12	k4xg	keyterm	הַ⁠נָּבִ֔יא	1	rc://*/tw/dict/bible/kt/prophet
1:12	wnj8	keyterm	יְהוָ֣ה	2	rc://*/tw/dict/bible/kt/yahweh
1:12	mkp9	keyterm	אֱלֹהֵי⁠הֶ֑ם	1	rc://*/tw/dict/bible/kt/god
1:12	u2su	keyterm	וַ⁠יִּֽירְא֥וּ	1	rc://*/tw/dict/bible/kt/fear
1:12	bb94		הָ⁠עָ֖ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:12	jrfy	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:13	feva	name	חַגַּ֞י	1	rc://*/tw/dict/bible/names/haggai
1:13	avsu		מַלְאַ֧ךְ	1	rc://*/tw/dict/bible/other/messenger
1:13	tk6n	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:13	q3kt	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:13	s27t		לָ⁠עָ֣ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:13	qqk9	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:14	tvb5	keyterm	יְהוָ֡ה	1	rc://*/tw/dict/bible/kt/yahweh
1:14	b5va	keyterm	רוּחַ֩	1	rc://*/tw/dict/bible/kt/spirit
1:14	mv74	name	זְרֻבָּבֶ֨ל	1	rc://*/tw/dict/bible/names/zerubbabel
1:14	dmys		פַּחַ֣ת	1	rc://*/tw/dict/bible/other/governor
1:14	qdzy	name	יְהוּדָ֗ה	1	rc://*/tw/dict/bible/names/judea
1:14	yaky	keyterm	ר֨וּחַ֙	1	rc://*/tw/dict/bible/kt/spirit
1:14	a9gu	name	יְהוֹשֻׁ֤עַ	1	rc://*/tw/dict/bible/names/joshua
1:14	dm5c	keyterm	הַ⁠כֹּהֵ֣ן	1	rc://*/tw/dict/bible/kt/priest
1:14	fsrc	keyterm	ר֔וּחַ	1	rc://*/tw/dict/bible/kt/spirit
1:14	eke6	keyterm	שְׁאֵרִ֣ית	1	rc://*/tw/dict/bible/kt/remnant
1:14	vgj5		הָ⁠עָ֑ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:14	e2sj	keyterm	בְּ⁠בֵית	1	rc://*/tw/dict/bible/kt/temple
1:14	gxy4	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:14	ksu6	keyterm	אֱלֹהֵי⁠הֶֽם	1	rc://*/tw/dict/bible/kt/god
1:15	wvcb		הַ⁠מֶּֽלֶךְ	1	rc://*/tw/dict/bible/other/king
2:1	bde7	name	חַגַּ֥י	1	rc://*/tw/dict/bible/names/haggai
2:1	yzmb	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
2:1	y3v5	keyterm	הַ⁠נָּבִ֖יא	1	rc://*/tw/dict/bible/kt/prophet
2:2	mn36	name	זְרֻבָּבֶ֤ל	1	rc://*/tw/dict/bible/names/zerubbabel
2:2	hgta		פַּחַ֣ת	1	rc://*/tw/dict/bible/other/governor
2:2	scw4	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
2:2	w9pc	name	יְהוֹשֻׁ֥עַ	1	rc://*/tw/dict/bible/names/joshua
2:2	x82x	keyterm	הַ⁠כֹּהֵ֣ן	1	rc://*/tw/dict/bible/kt/priest
2:2	wdwg	keyterm	שְׁאֵרִ֥ית	1	rc://*/tw/dict/bible/kt/remnant
2:2	uff3		הָ⁠עָ֖ם	1	rc://*/tw/dict/bible/other/peoplegroup
2:3	yhs3		הַ⁠בַּ֣יִת	1	rc://*/tw/dict/bible/other/house
2:4	zzwp	name	זְרֻבָּבֶ֣ל	1	rc://*/tw/dict/bible/names/zerubbabel
2:4	ye6v	keyterm	יְהוָ֡ה	1	rc://*/tw/dict/bible/kt/yahweh
2:4	dwbs	name	יְהוֹשֻׁ֣עַ	1	rc://*/tw/dict/bible/names/joshua
2:4	pv5a	keyterm	הַ⁠כֹּהֵ֨ן	1	rc://*/tw/dict/bible/kt/priest
2:4	tmzv		עַ֥ם	1	rc://*/tw/dict/bible/other/peoplegroup
2:4	mjnf		הָ⁠אָ֛רֶץ	1	rc://*/tw/dict/bible/other/earth
2:4	zf6s	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:4	awn5	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
2:5	fhc5		כָּרַ֤תִּי	1	rc://*/tw/dict/bible/other/cutoff
2:5	ff5x	name	מִ⁠מִּצְרַ֔יִם	1	rc://*/tw/dict/bible/names/egypt
2:5	cv7q	keyterm	וְ⁠רוּחִ֖⁠י	1	rc://*/tw/dict/bible/kt/spirit
2:5	gdez	keyterm	עֹמֶ֣דֶת	1	rc://*/tw/dict/bible/kt/appoint
2:5	j9d2	keyterm	תִּירָֽאוּ	1	rc://*/tw/dict/bible/kt/fear
2:6	wgpq	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
2:6	c7eu		מַרְעִישׁ֙	1	rc://*/tw/dict/bible/other/tremble
2:6	jjb8	keyterm	הַ⁠שָּׁמַ֣יִם	1	rc://*/tw/dict/bible/kt/heaven
2:6	mq4m		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
2:7	f2ym		הַ⁠גּוֹיִ֔ם	1	rc://*/tw/dict/bible/other/nation
2:7	gb2y		הַ⁠גּוֹיִ֑ם	1	rc://*/tw/dict/bible/other/nation
2:7	q6ne		הַ⁠בַּ֤יִת	1	rc://*/tw/dict/bible/other/house
2:7	cntg	keyterm	כָּב֔וֹד	1	rc://*/tw/dict/bible/kt/glory
2:7	atyy	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
2:8	wv4z		הַ⁠כֶּ֖סֶף	1	rc://*/tw/dict/bible/other/silver
2:8	q7r9		הַ⁠זָּהָ֑ב	1	rc://*/tw/dict/bible/other/gold
2:8	ktvu	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
2:9	ux79	keyterm	כְּבוֹד֩	1	rc://*/tw/dict/bible/kt/glory
2:9	bvsd		הַ⁠בַּ֨יִת	1	rc://*/tw/dict/bible/other/house
2:9	rq8b	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
2:9	dxwm		שָׁל֔וֹם	1	rc://*/tw/dict/bible/other/peace
2:9	sqjc	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
2:10	xgww	name	חַגַּ֥י	1	rc://*/tw/dict/bible/names/haggai
2:10	tq3v	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
2:10	kszd	keyterm	הַ⁠נָּבִ֖יא	1	rc://*/tw/dict/bible/kt/prophet
