Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	frwe	keyterm	Θεὸς	1	rc://*/tw/dict/bible/kt/god
1:1	dkfh	keyterm	προφήταις	1	rc://*/tw/dict/bible/kt/prophet
1:2	tx6f		ἡμερῶν	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:2	pjuu	keyterm	ἐσχάτου τῶν ἡμερῶν	1	rc://*/tw/dict/bible/kt/lastday
1:2	tepv	keyterm	Υἱῷ	1	rc://*/tw/dict/bible/kt/sonofgod
1:2	rdw9	keyterm	ἔθηκεν	1	rc://*/tw/dict/bible/kt/appoint
1:2	tfq7		κληρονόμον	1	rc://*/tw/dict/bible/other/heir
1:2	mnqr		αἰῶνας	1	rc://*/tw/dict/bible/other/age
1:3	gb8d	keyterm	δόξης	1	rc://*/tw/dict/bible/kt/glory
1:3	ynw7	keyterm	καθαρισμὸν	1	rc://*/tw/dict/bible/kt/clean
1:3	kq5q	keyterm	ἁμαρτιῶν	1	rc://*/tw/dict/bible/kt/sin
1:3	shmh	keyterm	Μεγαλωσύνης	1	rc://*/tw/dict/bible/kt/majesty
1:3	s5j7		ἐν ὑψηλοῖς	1	rc://*/tw/dict/bible/other/onhigh
1:4	jrq8	keyterm	ἀγγέλων	1	rc://*/tw/dict/bible/kt/angel
1:4	tyeh	keyterm	κεκληρονόμηκεν	1	rc://*/tw/dict/bible/kt/inherit
1:5	cg75	keyterm	ἀγγέλων	1	rc://*/tw/dict/bible/kt/angel
1:5	t67p	keyterm	Πατέρα	1	rc://*/tw/dict/bible/kt/godthefather
1:6	eccs		πρωτότοκον	1	rc://*/tw/dict/bible/other/firstborn
1:6	sqyn	keyterm	οἰκουμένην	1	rc://*/tw/dict/bible/kt/world
1:6	wybt	keyterm	προσκυνησάτωσαν	1	rc://*/tw/dict/bible/kt/worship
1:6	an6h	keyterm	ἄγγελοι	1	rc://*/tw/dict/bible/kt/angel
1:6	mpc8	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:7	ungb	keyterm	ἀγγέλους	1	rc://*/tw/dict/bible/kt/angel
1:7	x497	keyterm	ἀγγέλους	2	rc://*/tw/dict/bible/kt/angel
1:7	uynw	keyterm	πνεύματα	1	rc://*/tw/dict/bible/kt/spirit
1:7	htp8	keyterm	λειτουργοὺς	1	rc://*/tw/dict/bible/kt/minister
1:8	wz9h	keyterm	Υἱόν	1	rc://*/tw/dict/bible/kt/sonofgod
1:8	cucx		θρόνος	1	rc://*/tw/dict/bible/other/throne
1:8	thy7	keyterm	Θεὸς	1	rc://*/tw/dict/bible/kt/god
1:8	bta4		αἰῶνα	1	rc://*/tw/dict/bible/other/age
1:8	gv3q		αἰῶνος	1	rc://*/tw/dict/bible/other/age
