Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	krq1	name	יוֹתָ֛ם	1	rc://*/tw/dict/bible/names/jotham
1:1	hdtn	name	יָרָבְעָ֥ם	1	rc://*/tw/dict/bible/names/jeroboam
1:1	mqsb	name	הוֹשֵׁ֨עַ֙	1	rc://*/tw/dict/bible/names/hoshea
1:1	jzdq	name	אָחָ֥ז	1	rc://*/tw/dict/bible/names/ahaz
1:1	k52y	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	zq6y		מַלְכֵ֣י	1	rc://*/tw/dict/bible/other/king
1:1	brwx	name	יְהוּדָ֑ה	1	rc://*/tw/dict/bible/names/judea
1:1	mwhn		מֶ֥לֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	hce4	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
1:2	cb9m	name	הוֹשֵׁ֗עַ	1	rc://*/tw/dict/bible/names/hoshea
1:2	gfcc	name	בְּ⁠הוֹשֵׁ֑עַ	1	rc://*/tw/dict/bible/names/hoshea
1:2	k8uy	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	rmsu	keyterm	יְהוָ֜ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	vhyk		זָנֹ֤ה	1	rc://*/tw/dict/bible/other/prostitute
1:2	jfqq		תִזְנֶה֙	1	rc://*/tw/dict/bible/other/prostitute
1:2	xddn		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:2	mqnc	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	rbht	name	יֵה֔וּא	1	rc://*/tw/dict/bible/names/jehu
1:4	ruxn	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:4	jvca	keyterm	קְרָ֥א	1	rc://*/tw/dict/bible/kt/call
1:4	yrf6	keyterm	וּ⁠פָ֨קַדְתִּ֜י	1	rc://*/tw/dict/bible/kt/appoint
1:4	xc44		בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
1:4	vjqf		בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
1:4	htjp	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
1:5	nchx	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:6	pzrc	keyterm	קְרָ֥א	1	rc://*/tw/dict/bible/kt/call
1:6	k5gr		בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
1:6	jmhv	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:7	d6cf		בֵּ֤ית	1	rc://*/tw/dict/bible/other/house
1:7	xsep	name	יְהוּדָה֙	1	rc://*/tw/dict/bible/names/judea
1:7	j6sx		וְ⁠הֽוֹשַׁעְתִּ֖י⁠ם	1	rc://*/tw/dict/bible/other/deliverer
1:7	u9pr	keyterm	בַּ⁠יהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	hc4t	keyterm	אֱלֹֽהֵי⁠הֶ֑ם	1	rc://*/tw/dict/bible/kt/god
1:7	y7st		אֽוֹשִׁיעֵ֗⁠ם	1	rc://*/tw/dict/bible/other/deliverer
1:7	r36m		בְּ⁠סוּסִ֖ים	1	rc://*/tw/dict/bible/other/horse
1:9	q3un	keyterm	קְרָ֥א	1	rc://*/tw/dict/bible/kt/call
1:9	g3hv		עַמִּ֔⁠י	1	rc://*/tw/dict/bible/other/peoplegroup
1:10	x5wt	keyterm	יִשְׂרָאֵל֙	1	rc://*/tw/dict/bible/kt/israel
1:10	zq29		עַמִּ֣⁠י	1	rc://*/tw/dict/bible/other/peoplegroup
1:11	kvg8	name	יְהוּדָ֤ה	1	rc://*/tw/dict/bible/names/judea
1:11	md6d	keyterm	יִשְׂרָאֵל֙	1	rc://*/tw/dict/bible/kt/israel
1:11	ygec	keyterm	וְ⁠שָׂמ֥וּ	1	rc://*/tw/dict/bible/kt/appoint
1:11	ymsh		הָ⁠אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
2:1	m93v		עַמִּ֑⁠י	1	rc://*/tw/dict/bible/other/peoplegroup
2:3	hpgm	keyterm	וְ⁠שַׂמְתִּ֣י⁠הָ	1	rc://*/tw/dict/bible/kt/appoint
2:3	tgqb		צִיָּ֔ה	1	rc://*/tw/dict/bible/other/barren
2:5	urec		זָֽנְתָה֙	1	rc://*/tw/dict/bible/other/prostitute
2:5	acxf	keyterm	מְאַהֲבַ⁠י֙	1	rc://*/tw/dict/bible/kt/love
2:5	kgbb		לַחְמִ⁠י֙	1	rc://*/tw/dict/bible/other/bread
2:5	a2m4		שַׁמְנִ֖⁠י	1	rc://*/tw/dict/bible/other/olive
2:7	cs2t	keyterm	מְאַהֲבֶ֨י⁠הָ֙	1	rc://*/tw/dict/bible/kt/love
2:7	nzzb		וּ⁠בִקְשָׁ֖תַ⁠ם	1	rc://*/tw/dict/bible/other/seek
2:7	u9b8	keyterm	ט֥וֹב	1	rc://*/tw/dict/bible/kt/good
2:8	cxb4		יָֽדְעָ֔ה	1	rc://*/tw/dict/bible/other/know
2:8	b4ry	keyterm	אָֽנֹכִי֙	1	rc://*/tw/dict/bible/kt/pray
2:8	nd7u		הַ⁠דָּגָ֖ן	1	rc://*/tw/dict/bible/other/grain
2:8	p7fe		וְ⁠הַ⁠תִּיר֣וֹשׁ	1	rc://*/tw/dict/bible/other/wine
2:8	w9ee		וְ⁠הַ⁠יִּצְהָ֑ר	1	rc://*/tw/dict/bible/other/oil
2:8	j96m		וְ⁠כֶ֨סֶף	1	rc://*/tw/dict/bible/other/silver
2:8	vm8v		וְ⁠זָהָ֖ב	1	rc://*/tw/dict/bible/other/gold
2:9	fcrh	keyterm	אָשׁ֔וּב	1	rc://*/tw/dict/bible/kt/restore
2:9	d6e4		דְגָנִ⁠י֙	1	rc://*/tw/dict/bible/other/grain
2:9	vybt		וְ⁠הִצַּלְתִּי֙	1	rc://*/tw/dict/bible/other/deliverer
2:10	hxqd		אֲגַלֶּ֥ה	1	rc://*/tw/dict/bible/other/exile
2:10	s2dm	keyterm	מְאַהֲבֶ֑י⁠הָ	1	rc://*/tw/dict/bible/kt/love
2:11	qty9	keyterm	וְ⁠שַׁבַּתָּ֑⁠הּ	1	rc://*/tw/dict/bible/kt/sabbath
2:11	uiq6	keyterm	וְ⁠שַׁבַּתָּ֑⁠הּ	1	rc://*/tw/dict/bible/kt/sabbath
2:11	mk2n		חַגָּ֖⁠הּ	1	rc://*/tw/dict/bible/other/feast
2:11	y7gt		מוֹעֲדָֽ⁠הּ	1	rc://*/tw/dict/bible/other/feast
2:12	fvqz		גַּפְנָ⁠הּ֙	1	rc://*/tw/dict/bible/other/vine
2:12	mv6e		וּ⁠תְאֵ֣נָתָ֔⁠הּ	1	rc://*/tw/dict/bible/other/fig
2:12	a3wy	keyterm	מְאַֽהֲבָ֑⁠י	1	rc://*/tw/dict/bible/kt/love
2:12	jwra	keyterm	וְ⁠שַׂמְתִּ֣י⁠ם	1	rc://*/tw/dict/bible/kt/appoint
2:12	ynjf		וַ⁠אֲכָלָ֖תַ⁠ם	1	rc://*/tw/dict/bible/other/devour
2:13	v6xa	keyterm	וּ⁠פָקַדְתִּ֣י	1	rc://*/tw/dict/bible/kt/appoint
2:13	ed94	keyterm	מְאַהֲבֶ֑י⁠הָ	1	rc://*/tw/dict/bible/kt/love
2:13	nm6y	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
2:14	xzkc	keyterm	אָֽנֹכִי֙	1	rc://*/tw/dict/bible/kt/pray
2:15	qmss		כְּרָמֶ֨י⁠הָ֙	1	rc://*/tw/dict/bible/other/vineyard
2:15	aaqx	keyterm	תִּקְוָ֑ה	1	rc://*/tw/dict/bible/kt/hope
2:15	dyaf	name	מִצְרָֽיִם	1	rc://*/tw/dict/bible/names/egypt
2:16	z2sp	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
2:16	yta3	keyterm	תִּקְרְאִ֖י	1	rc://*/tw/dict/bible/kt/call
2:16	mgbd	keyterm	לִ֥⁠י	1	rc://*/tw/dict/bible/kt/call
2:18	hed9		וְ⁠כָרַתִּ֨י	1	rc://*/tw/dict/bible/other/cutoff
2:18	wycp	keyterm	בְּרִית֙	1	rc://*/tw/dict/bible/kt/covenant
2:18	bfjx	keyterm	הַ⁠שָּׁמַ֔יִם	1	rc://*/tw/dict/bible/kt/heaven
2:18	cyhu		וְ⁠קֶ֨שֶׁת	1	rc://*/tw/dict/bible/other/bowweapon
2:18	hjbb		וְ⁠חֶ֤רֶב	1	rc://*/tw/dict/bible/other/sword
2:18	nnb7		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
2:19	axtf	keyterm	וּ⁠בְ⁠מִשְׁפָּ֔ט	1	rc://*/tw/dict/bible/kt/judge
2:19	mgmt	keyterm	וּֽ⁠בְ⁠רַחֲמִֽים	1	rc://*/tw/dict/bible/kt/mercy
2:20	tt9y		וְ⁠יָדַ֖עַתְּ	1	rc://*/tw/dict/bible/other/know
2:20	htbt	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
2:21	jvjr	keyterm	אֶֽעֱנֶה֙	1	rc://*/tw/dict/bible/kt/testimony
2:21	h9df	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
2:21	z6kk	keyterm	אֶעֱנֶ֖ה	1	rc://*/tw/dict/bible/kt/testimony
2:21	hk5t	keyterm	הַ⁠שָּׁמָ֑יִם	1	rc://*/tw/dict/bible/kt/heaven
2:21	ebge	keyterm	יַעֲנ֥וּ	1	rc://*/tw/dict/bible/kt/testimony
2:21	vvha		הָ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
2:22	zbwd	keyterm	תַּעֲנֶ֔ה	1	rc://*/tw/dict/bible/kt/testimony
2:22	e9g8		הַ⁠דָּגָ֖ן	1	rc://*/tw/dict/bible/other/grain
2:22	anww		הַ⁠תִּיר֣וֹשׁ	1	rc://*/tw/dict/bible/other/wine
2:22	qb7b	keyterm	יַעֲנ֥וּ	1	rc://*/tw/dict/bible/kt/testimony
2:23	rswm		עַמִּי֙	1	rc://*/tw/dict/bible/other/peoplegroup
2:23	ef5s		עַמִּ⁠י	1	rc://*/tw/dict/bible/other/peoplegroup
2:23	bhwb	keyterm	אֱלֹהָֽ⁠י	1	rc://*/tw/dict/bible/kt/god
3:1	wt9g	keyterm	יְהוָ֜ה	1	rc://*/tw/dict/bible/kt/yahweh
3:1	jtwn	keyterm	אֱֽהַב	1	rc://*/tw/dict/bible/kt/love
3:1	j53k	keyterm	אֲהֻ֥בַת	1	rc://*/tw/dict/bible/kt/love
3:1	y3pf	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
3:1	hqj2	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
3:1	gh6b	keyterm	אֱלֹהִ֣ים	1	rc://*/tw/dict/bible/kt/god
3:1	xwrn	keyterm	וְ⁠אֹהֲבֵ֖י	1	rc://*/tw/dict/bible/kt/love
3:1	ee6f		עֲנָבִֽים	1	rc://*/tw/dict/bible/other/grape
3:2	b8pn		כָּ֑סֶף	1	rc://*/tw/dict/bible/other/silver
3:2	p3tw		שְׂעֹרִ֖ים	1	rc://*/tw/dict/bible/other/barley
3:2	cn6r		שְׂעֹרִֽים	1	rc://*/tw/dict/bible/other/barley
3:3	dzfx		תִזְנִ֔י	1	rc://*/tw/dict/bible/other/prostitute
3:4	yfh9	keyterm	אֵפ֖וֹד	1	rc://*/tw/dict/bible/kt/ephod
3:4	kjay	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
3:4	jd5e		מֶ֨לֶךְ֙	1	rc://*/tw/dict/bible/other/king
3:4	qbec		שָׂ֔ר	1	rc://*/tw/dict/bible/other/prince
3:4	e55x		זֶ֖בַח	1	rc://*/tw/dict/bible/other/sacrifice
3:5	a3k6	keyterm	יָשֻׁ֨בוּ֙	1	rc://*/tw/dict/bible/kt/restore
3:5	krd4	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
3:5	fzjw		וּ⁠בִקְשׁוּ֙	1	rc://*/tw/dict/bible/other/seek
3:5	pw2j	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
3:5	t2vk	keyterm	אֱלֹהֵי⁠הֶ֔ם	1	rc://*/tw/dict/bible/kt/god
3:5	br5d	name	דָּוִ֣ד	1	rc://*/tw/dict/bible/names/david
3:5	q9v4		מַלְכָּ֑⁠ם	1	rc://*/tw/dict/bible/other/king
3:5	zsra	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
3:5	vmjx	keyterm	טוּב֖⁠וֹ	1	rc://*/tw/dict/bible/kt/good
4:1	st3s	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
4:1	qh5y	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
4:1	qmc5	keyterm	לַֽ⁠יהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
4:1	ffqd		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
4:1	w3km	keyterm	אֱמֶ֧ת	1	rc://*/tw/dict/bible/kt/faithful
4:1	dywj	keyterm	חֶ֛סֶד	1	rc://*/tw/dict/bible/kt/covenantfaith
4:1	pxbz	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
4:3	zawj		תֶּאֱבַ֣ל	1	rc://*/tw/dict/bible/other/mourn
4:3	dqmu		הָ⁠אָ֗רֶץ	1	rc://*/tw/dict/bible/other/earth
