Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	aar3	name	יוֹתָ֛ם	1	rc://*/tw/dict/bible/names/jotham
1:1	yr5x	name	יְשַֽׁעְיָ֣הוּ	1	rc://*/tw/dict/bible/names/isaiah
1:1	znp0	name	אָמ֔וֹץ	1	rc://*/tw/dict/bible/names/amoz
1:1	jgp6	name	אָחָ֥ז	1	rc://*/tw/dict/bible/names/ahaz
1:1	p957	name	יְהוּדָ֖ה	1	rc://*/tw/dict/bible/names/judea
1:1	u7zh	name	וִ⁠ירוּשָׁלִָ֑ם	1	rc://*/tw/dict/bible/names/jerusalem
1:1	byua		מַלְכֵ֥י	1	rc://*/tw/dict/bible/other/king
1:1	kdvg	name	יְהוּדָֽה	1	rc://*/tw/dict/bible/names/judea
1:2	khgd	keyterm	שָׁמַ֨יִם֙	1	rc://*/tw/dict/bible/kt/heaven
1:2	fgxq		אֶ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:2	m6ze	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	j49h		גִּדַּ֣לְתִּי	1	rc://*/tw/dict/bible/other/proud
1:2	kw5d	keyterm	וְ⁠רוֹמַ֔מְתִּי	1	rc://*/tw/dict/bible/kt/exalt
1:3	k92p		יָדַ֥ע	1	rc://*/tw/dict/bible/other/know
1:3	ngwg	keyterm	קֹנֵ֔⁠הוּ	1	rc://*/tw/dict/bible/kt/redeem
1:3	nrkr		וַ⁠חֲמ֖וֹר	1	rc://*/tw/dict/bible/other/donkey
1:3	bwm9	keyterm	בְּעָלָ֑י⁠ו	1	rc://*/tw/dict/bible/kt/bond
1:3	zpqj	keyterm	יִשְׂרָאֵל֙	1	rc://*/tw/dict/bible/kt/israel
1:3	bnfc		יָדַ֔ע	1	rc://*/tw/dict/bible/other/know
1:3	h7xk		עַמִּ֖⁠י	1	rc://*/tw/dict/bible/other/peoplegroup
1:3	nttr		הִתְבּוֹנָֽן	1	rc://*/tw/dict/bible/other/understand
1:4	mxwa		גּ֣וֹי	1	rc://*/tw/dict/bible/other/nation
1:4	stgr	keyterm	חֹטֵ֗א	1	rc://*/tw/dict/bible/kt/sin
1:4	nt2u		עַ֚ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:4	sr4y	keyterm	עָוֺ֔ן	1	rc://*/tw/dict/bible/kt/iniquity
1:4	j825		זֶ֣רַע	1	rc://*/tw/dict/bible/other/seed
1:4	dnt4		מְרֵעִ֔ים	1	rc://*/tw/dict/bible/other/afflict
1:4	vspe		עָזְב֣וּ	1	rc://*/tw/dict/bible/other/forsaken
1:4	kkq6	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	uhwm	keyterm	קְד֥וֹשׁ	1	rc://*/tw/dict/bible/kt/holy
1:4	h2j7	keyterm	יִשְׂרָאֵ֖ל	1	rc://*/tw/dict/bible/kt/israel
1:7	ytxf		אַרְצְ⁠כֶ֣ם	1	rc://*/tw/dict/bible/other/earth
1:7	aa47		שְׁמָמָ֔ה	1	rc://*/tw/dict/bible/other/desolate
1:7	ncrb		אֹכְלִ֣ים	1	rc://*/tw/dict/bible/other/devour
1:7	eba9		וּ⁠שְׁמָמָ֖ה	1	rc://*/tw/dict/bible/other/desolate
1:8	spuc	keyterm	צִיּ֖וֹן	1	rc://*/tw/dict/bible/kt/zion
1:9	ihfc	name	כִּ⁠סְדֹ֣ם	1	rc://*/tw/dict/bible/names/sodom
1:9	lhvr	name	לַ⁠עֲמֹרָ֖ה	1	rc://*/tw/dict/bible/names/gomorrah
1:9	fy72	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:10	ygx4	name	סְדֹ֑ם	1	rc://*/tw/dict/bible/names/sodom
1:10	ovom	name	עֲמֹרָֽה	1	rc://*/tw/dict/bible/names/gomorrah
1:10	pfmb	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:10	ytvx	keyterm	תּוֹרַ֥ת	1	rc://*/tw/dict/bible/kt/lawofmoses
1:10	ahhk	keyterm	אֱלֹהֵ֖י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
1:10	ppkz		עַ֥ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:11	gssa		זִבְחֵי⁠כֶם֙	1	rc://*/tw/dict/bible/other/sacrifice
1:11	r9jy	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:11	rpsq		עֹל֥וֹת	1	rc://*/tw/dict/bible/other/burntoffering
1:11	fq6v		אֵילִ֖ים	1	rc://*/tw/dict/bible/other/sheep
1:11	s55b		פָּרִ֧ים	1	rc://*/tw/dict/bible/other/cow
1:11	r7k5		חָפָֽצְתִּי	1	rc://*/tw/dict/bible/other/delight
1:12	edx7		בִקֵּ֥שׁ	1	rc://*/tw/dict/bible/other/seek
1:13	lzk0	keyterm	וְ⁠שַׁבָּת֙	1	rc://*/tw/dict/bible/kt/sabbath
1:13	hhwg		שָׁ֔וְא	1	rc://*/tw/dict/bible/other/grainoffering
1:13	qj89	keyterm	קְרֹ֣א	1	rc://*/tw/dict/bible/kt/call
1:15	wncn	keyterm	תְפִלָּ֖ה	1	rc://*/tw/dict/bible/kt/pray
1:16	gkpu		הָרֵֽעַ	1	rc://*/tw/dict/bible/other/afflict
1:17	hdfa	keyterm	הֵיטֵ֛ב	1	rc://*/tw/dict/bible/kt/favor
