Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	vv6j	name	יְהוֹשֻׁ֔עַ	1	rc://*/tw/dict/bible/names/joshua
1:1	k9j2	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:1	pcgw	keyterm	בַּ⁠יהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	c9wf	name	הַֽ⁠כְּנַעֲנִ֛י	1	rc://*/tw/dict/bible/names/canaan
1:2	gy8d	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	dubt	name	יְהוּדָ֣ה	1	rc://*/tw/dict/bible/names/judea
1:2	fzqy		הָ⁠אָ֖רֶץ	1	rc://*/tw/dict/bible/other/earth
1:3	herq	name	יְהוּדָה֩	1	rc://*/tw/dict/bible/names/judea
1:4	dxeh	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
1:4	x7sp	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	tzug	name	הַ⁠כְּנַעֲנִ֥י	1	rc://*/tw/dict/bible/names/canaan
1:4	ypcb	name	וְ⁠הַ⁠פְּרִזִּ֖י	1	rc://*/tw/dict/bible/names/perizzite
1:5	fs92	name	הַֽ⁠כְּנַעֲנִ֖י	1	rc://*/tw/dict/bible/names/canaan
1:5	zp88	name	הַ⁠פְּרִזִּֽי	1	rc://*/tw/dict/bible/names/perizzite
1:7	q5wb		מְלָכִ֡ים	1	rc://*/tw/dict/bible/other/king
1:7	dp68		מְלַקְּטִים֙	1	rc://*/tw/dict/bible/other/glean
1:7	zhfd	keyterm	אֱלֹהִ֑ים	1	rc://*/tw/dict/bible/kt/god
1:7	uu2m	name	יְרוּשָׁלִַ֖ם	1	rc://*/tw/dict/bible/names/jerusalem
1:8	r77z	name	יְהוּדָה֙	1	rc://*/tw/dict/bible/names/judea
1:8	vxyr	name	בִּ⁠יר֣וּשָׁלִַ֔ם	1	rc://*/tw/dict/bible/names/jerusalem
1:8	xaxe		חָ֑רֶב	1	rc://*/tw/dict/bible/other/sword
1:9	qz2h	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
1:10	vhjc	name	יְהוּדָ֗ה	1	rc://*/tw/dict/bible/names/judea
1:10	u8zu	name	הַֽ⁠כְּנַעֲנִי֙	1	rc://*/tw/dict/bible/names/canaan
1:14	uxkg		הַ⁠חֲמ֑וֹר	1	rc://*/tw/dict/bible/other/donkey
1:15	ffde	keyterm	בְרָכָ֗ה	1	rc://*/tw/dict/bible/kt/bless
1:15	dn4p		אֶ֤רֶץ	1	rc://*/tw/dict/bible/other/earth
1:15	egss	name	הַ⁠נֶּ֨גֶב֙	1	rc://*/tw/dict/bible/names/negev
1:16	xy7m	name	מֹשֶׁ֜ה	1	rc://*/tw/dict/bible/names/moses
1:16	dvxv	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
1:16	szjp	name	יְהוּדָ֔ה	2	rc://*/tw/dict/bible/names/judea
1:16	ynbh		הָ⁠עָֽם	1	rc://*/tw/dict/bible/other/peoplegroup
1:17	kppr	name	יְהוּדָה֙	1	rc://*/tw/dict/bible/names/judea
1:17	atu4	name	הַֽ⁠כְּנַעֲנִ֖י	1	rc://*/tw/dict/bible/names/canaan
1:17	h7ut		וַ⁠יַּחֲרִ֣ימוּ	1	rc://*/tw/dict/bible/other/destroyer
1:17	xhg4		וַ⁠יִּקְרָ֥א	1	rc://*/tw/dict/bible/other/declare
1:18	vahb	name	אַשְׁקְל֖וֹן	1	rc://*/tw/dict/bible/names/ashkelon
1:18	cwur	name	יְהוּדָה֙	1	rc://*/tw/dict/bible/names/judea
1:19	vhmq	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:19	n9tr	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
1:19	htw7	keyterm	וַ⁠יֹּ֖רֶשׁ	1	rc://*/tw/dict/bible/kt/inherit
1:19	edte		לְ⁠הוֹרִישׁ֙	1	rc://*/tw/dict/bible/other/possess
1:20	csmn	name	מֹשֶׁ֑ה	1	rc://*/tw/dict/bible/names/moses
1:20	xd9v	keyterm	וַ⁠יּ֣וֹרֶשׁ	1	rc://*/tw/dict/bible/kt/inherit
1:21	wgb6	name	הַ⁠יְבוּסִי֙	1	rc://*/tw/dict/bible/names/jebusites
1:21	wrjm	name	יְרֽוּשָׁלִַ֔ם	1	rc://*/tw/dict/bible/names/jerusalem
1:21	d5dp	name	בִנְיָמִ֑ן	1	rc://*/tw/dict/bible/names/benjamin
1:21	gxqp	name	הַ⁠יְבוּסִ֜י	1	rc://*/tw/dict/bible/names/jebusites
1:21	wdv8	name	בִנְיָמִן֙	1	rc://*/tw/dict/bible/names/benjamin
1:21	pck9	name	בִּ⁠יר֣וּשָׁלִַ֔ם	1	rc://*/tw/dict/bible/names/jerusalem
1:22	cmz0	name	אֵ֑ל	1	rc://*/tw/dict/bible/names/bethel
1:22	ktl3	name	בֵּֽית	1	rc://*/tw/dict/bible/names/bethel
1:22	bgqx		בֵית	1	rc://*/tw/dict/bible/other/house
1:22	vjjb	name	יוֹסֵ֛ף	1	rc://*/tw/dict/bible/names/josephot
1:22	drp9	keyterm	וַֽ⁠יהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:23	hxki	name	אֵ֑ל	1	rc://*/tw/dict/bible/names/bethel
1:23	y6s8	name	בְּ⁠בֵֽית	1	rc://*/tw/dict/bible/names/bethel
1:23	f9ry		בֵית	1	rc://*/tw/dict/bible/other/house
1:23	ggd5	name	יוֹסֵ֖ף	1	rc://*/tw/dict/bible/names/josephot
1:24	puas		יוֹצֵ֣א	1	rc://*/tw/dict/bible/other/know
