Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	mha8	name	חִלְקִיָּ֑הוּ	1	rc://*/tw/dict/bible/names/hilkiah
1:1	ujsn	name	יִרְמְיָ֖הוּ	1	rc://*/tw/dict/bible/names/jeremiah
1:1	p5xq	keyterm	הַ⁠כֹּֽהֲנִים֙	1	rc://*/tw/dict/bible/kt/priest
1:1	tpw3	name	בִּנְיָמִֽן	1	rc://*/tw/dict/bible/names/benjamin
1:2	rxz3	name	יֹאשִׁיָּ֥הוּ	1	rc://*/tw/dict/bible/names/josiah
1:2	kxd2	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:2	u6jj		מֶ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
1:2	yfz7	name	יְהוּדָ֑ה	1	rc://*/tw/dict/bible/names/judea
1:2	gry5		לְ⁠מָלְכֽ⁠וֹ	1	rc://*/tw/dict/bible/other/reign
1:3	p06i	name	לְ⁠צִדְקִיָּ֥הוּ	1	rc://*/tw/dict/bible/names/zedekiah
1:3	g7s4	name	יֹאשִׁיָּ֖הוּ	1	rc://*/tw/dict/bible/names/josiah
1:3	sko2	name	יֹאשִׁיָּ֨הוּ֙	1	rc://*/tw/dict/bible/names/josiah
1:3	t9kt	name	יְהוֹיָקִ֤ים	1	rc://*/tw/dict/bible/names/jehoiakim
1:3	p5hj		מֶ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
1:3	ww6r	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
1:3	mf4c		מֶ֣לֶךְ	2	rc://*/tw/dict/bible/other/king
1:3	rcpa	name	יְהוּדָ֑ה	1	rc://*/tw/dict/bible/names/judea
1:3	zfpg		גְּל֥וֹת	1	rc://*/tw/dict/bible/other/exile
1:3	u5u8	name	יְרוּשָׁלִַ֖ם	1	rc://*/tw/dict/bible/names/jerusalem
1:4	p2sk	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:5	xv37		יְדַעְתִּ֔י⁠ךָ	1	rc://*/tw/dict/bible/other/know
1:5	w3f8		תֵּצֵ֥א	1	rc://*/tw/dict/bible/other/know
1:5	b3mp	keyterm	הִקְדַּשְׁתִּ֑י⁠ךָ	1	rc://*/tw/dict/bible/kt/consecrate
1:5	t2s9	keyterm	נָבִ֥יא	1	rc://*/tw/dict/bible/kt/prophet
1:5	p5r7		לַ⁠גּוֹיִ֖ם	1	rc://*/tw/dict/bible/other/nation
1:6	qyzg	keyterm	אֲדֹנָ֣⁠י	1	rc://*/tw/dict/bible/kt/lord
1:6	juna		יָדַ֖עְתִּי	1	rc://*/tw/dict/bible/other/know
1:6	vhqa		נַ֖עַר	1	rc://*/tw/dict/bible/other/servant
1:6	wycr	keyterm	אָנֹֽכִי	1	rc://*/tw/dict/bible/kt/pray
1:7	ywsr	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:7	y5z5		נַ֣עַר	1	rc://*/tw/dict/bible/other/servant
1:7	asem	keyterm	אָנֹ֑כִי	1	rc://*/tw/dict/bible/kt/pray
1:8	xwv5	keyterm	תִּירָ֖א	1	rc://*/tw/dict/bible/kt/fear
1:8	yaem	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	mmg5	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:9	vuzc	keyterm	יְהוָה֙	2	rc://*/tw/dict/bible/kt/yahweh
1:10	hesx		הַ⁠גּוֹיִם֙	1	rc://*/tw/dict/bible/other/nation
1:10	ymxf		וּ⁠לְ⁠הַאֲבִ֣יד	1	rc://*/tw/dict/bible/other/destroyer
1:11	j7vw	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:11	zadw	name	יִרְמְיָ֑הוּ	1	rc://*/tw/dict/bible/names/jeremiah
1:12	m7fq	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
