Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	abyh	name	אִיּ֣וֹב	1	rc://*/tw/dict/bible/names/job
1:1	sewj	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:3	mr47		צֹ֜אן	1	rc://*/tw/dict/bible/other/flock
1:3	ww8p		גְמַלִּ֗ים	1	rc://*/tw/dict/bible/other/camel
1:3	bqbz		בָּקָר֙	1	rc://*/tw/dict/bible/other/cow
1:4	dkpk		מִשְׁתֶּ֔ה	1	rc://*/tw/dict/bible/other/feast
1:4	x4jn		בֵּ֖ית	1	rc://*/tw/dict/bible/other/house
1:4	edvw		וְ⁠קָרְאוּ֙	1	rc://*/tw/dict/bible/kt/call-tosummon
1:5	bgd0	name	אִיּ֖וֹב	1	rc://*/tw/dict/bible/names/job
1:5	n6b1	name	אִיּ֔וֹב	1	rc://*/tw/dict/bible/names/job
1:5	vxc7	name	אִיּ֣וֹב	1	rc://*/tw/dict/bible/names/job
1:5	w3w9		הַ⁠מִּשְׁתֶּ֜ה	1	rc://*/tw/dict/bible/other/banquet
1:5	psay		עֹלוֹת֮	1	rc://*/tw/dict/bible/other/burntoffering
1:5	g36c	keyterm	חָטְא֣וּ	1	rc://*/tw/dict/bible/kt/sin
1:5	e9sz	keyterm	וּ⁠בֵרֲכ֥וּ	1	rc://*/tw/dict/bible/kt/bless
1:5	tkgb	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:6	cyud	keyterm	הָ⁠אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
1:6	nupa	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	cjz3	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	wum5	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:8	lh22	name	אִיּ֑וֹב	1	rc://*/tw/dict/bible/names/job
1:8	c8f7	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:8	egdw		עַבְדִּ֣⁠י	1	rc://*/tw/dict/bible/other/servant
1:8	r6x6	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:9	uej0	name	אִיּ֖וֹב	1	rc://*/tw/dict/bible/names/job
1:9	svhk	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	y4zc	keyterm	יָרֵ֥א	1	rc://*/tw/dict/bible/kt/fear
1:9	eh66	keyterm	אֱלֹהִֽים	1	rc://*/tw/dict/bible/kt/god
1:10	kszw		בֵּית֛⁠וֹ	1	rc://*/tw/dict/bible/other/house
1:10	dd6b	keyterm	בֵּרַ֔כְתָּ	1	rc://*/tw/dict/bible/kt/bless
1:11	emfp	keyterm	יְבָרֲכֶֽ⁠ךָּ	1	rc://*/tw/dict/bible/kt/bless
1:12	jabc	keyterm	יְהוָ֜ה	1	rc://*/tw/dict/bible/kt/yahweh
1:12	cd6r	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:13	w5hb		אֹֽכְלִים֙	1	rc://*/tw/dict/bible/other/devour
1:13	v6uf		יַ֔יִן	1	rc://*/tw/dict/bible/other/wine
1:13	bdes	keyterm	בְּ⁠בֵ֖ית	1	rc://*/tw/dict/bible/kt/temple
1:14	m5va	name	אִיּ֖וֹב	1	rc://*/tw/dict/bible/names/job
1:15	tbs7		וַ⁠תִּפֹּ֤ל	1	rc://*/tw/dict/bible/other/bow
1:15	vbbv		הַ⁠נְּעָרִ֖ים	1	rc://*/tw/dict/bible/other/servant
1:15	zr8c		חָ֑רֶב	1	rc://*/tw/dict/bible/other/sword
1:16	ffkc	keyterm	אֱלֹהִ֗ים	1	rc://*/tw/dict/bible/kt/god
1:16	cgqu	keyterm	הַ⁠שָּׁמַ֔יִם	1	rc://*/tw/dict/bible/kt/heaven
1:16	rwrr		וַ⁠תֹּאכְלֵ֑⁠ם	1	rc://*/tw/dict/bible/other/devour
1:17	wtgc	name	כַּשְׂדִּ֞ים	1	rc://*/tw/dict/bible/names/chaldeans
1:17	ycmd		הַ⁠נְּעָרִ֖ים	1	rc://*/tw/dict/bible/other/servant
1:17	g3y3		חָ֑רֶב	1	rc://*/tw/dict/bible/other/sword
1:18	va9w		אֹֽכְלִים֙	1	rc://*/tw/dict/bible/other/devour
1:18	zqhy		יַ֔יִן	1	rc://*/tw/dict/bible/other/wine
1:18	rk3f	keyterm	בְּ⁠בֵ֖ית	1	rc://*/tw/dict/bible/kt/temple
1:19	cwv3	keyterm	ר֨וּחַ	1	rc://*/tw/dict/bible/kt/spirit
1:19	g8yc		הַ⁠בַּ֔יִת	1	rc://*/tw/dict/bible/other/house
1:19	kn38		וַ⁠יִּפֹּ֥ל	1	rc://*/tw/dict/bible/other/bow
1:19	sabc		הַ⁠נְּעָרִ֖ים	1	rc://*/tw/dict/bible/other/servant
1:20	g2mt	name	אִיּוֹב֙	1	rc://*/tw/dict/bible/names/job
1:20	tgvf		מְעִל֔⁠וֹ	1	rc://*/tw/dict/bible/other/robe
1:20	t7g4		וַ⁠יִּפֹּ֥ל	1	rc://*/tw/dict/bible/other/bow
1:20	fc3u		אַ֖רְצָ⁠ה	1	rc://*/tw/dict/bible/other/earth
1:20	a372	keyterm	וַ⁠יִּשְׁתָּֽחוּ	1	rc://*/tw/dict/bible/kt/worship
1:21	zc92		יָצָ֜אתִי	1	rc://*/tw/dict/bible/other/know
1:21	dd4k	keyterm	אָשׁ֣וּב	1	rc://*/tw/dict/bible/kt/restore
1:21	vzrm	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:21	a5wu	keyterm	וַ⁠יהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:21	t78s	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:21	mhsp	keyterm	מְבֹרָֽךְ	1	rc://*/tw/dict/bible/kt/bless
1:22	k82b	name	אִיּ֑וֹב	1	rc://*/tw/dict/bible/names/job
1:22	e8ws	keyterm	חָטָ֣א	1	rc://*/tw/dict/bible/kt/sin
1:22	mww4	keyterm	לֵ⁠אלֹהִֽים	1	rc://*/tw/dict/bible/kt/god
2:1	g3cq	keyterm	הָֽ⁠אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
2:1	tqaz	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
2:1	xh4b	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
2:2	cgqt	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
2:2	tbfv	keyterm	יְהוָה֙	2	rc://*/tw/dict/bible/kt/yahweh
2:3	gfdh	name	אִיּוֹב֒	1	rc://*/tw/dict/bible/names/job
2:3	yg9b	keyterm	יְהוָ֜ה	1	rc://*/tw/dict/bible/kt/yahweh
2:3	yn24		עַבְדִּ֣⁠י	1	rc://*/tw/dict/bible/other/servant
2:3	p5mz	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
2:4	q64b	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:5	f6bs	keyterm	יְבָרֲכֶֽ⁠ךָּ	1	rc://*/tw/dict/bible/kt/bless
2:6	e82e	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
2:6	cjp8		שְׁמֹֽר	1	rc://*/tw/dict/bible/other/watch
2:7	f775	name	אִיּוֹב֙	1	rc://*/tw/dict/bible/names/job
2:7	dwqk	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
2:7	k773	keyterm	רָ֔ע	1	rc://*/tw/dict/bible/kt/evil
2:9	v3q3	keyterm	בָּרֵ֥ךְ	1	rc://*/tw/dict/bible/kt/bless
2:9	w7th	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
2:10	lyui	name	אִיּ֖וֹב	1	rc://*/tw/dict/bible/names/job
2:10	ffkj	keyterm	הָ⁠אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/god
2:10	kq2b	keyterm	חָטָ֥א	1	rc://*/tw/dict/bible/kt/sin
2:11	h20m	name	אִיּ֗וֹב	1	rc://*/tw/dict/bible/names/job
2:11	qv9a	keyterm	הָ⁠רָעָ֣ה	1	rc://*/tw/dict/bible/kt/evil
2:12	riaw		מְעִל֔⁠וֹ	1	rc://*/tw/dict/bible/other/robe
2:12	cqwk	keyterm	הַ⁠שָּׁמָֽיְמָ⁠ה	1	rc://*/tw/dict/bible/kt/heaven
2:13	fsyj		גָדַ֥ל	1	rc://*/tw/dict/bible/other/proud
3:1	zjv2	name	אִיּוֹב֙	1	rc://*/tw/dict/bible/names/job
3:1	a9hw	keyterm	וַ⁠יְקַלֵּ֖ל	1	rc://*/tw/dict/bible/kt/curse
3:2	fifm	name	אִיּ֗וֹב	1	rc://*/tw/dict/bible/names/job
3:3	d6ns	keyterm	יֹ֣אבַד	1	rc://*/tw/dict/bible/kt/perish
3:4	jea2		יִדְרְשֵׁ֣⁠הוּ	1	rc://*/tw/dict/bible/other/seek
3:4	yj3q	keyterm	אֱל֣וֹהַּ	1	rc://*/tw/dict/bible/kt/god
3:5	hy3m	keyterm	יִגְאָלֻ֡⁠הוּ	1	rc://*/tw/dict/bible/kt/redeem
3:8	x9yg	name	לִוְיָתָֽן	1	rc://*/tw/dict/bible/names/leviathan
3:8	ec7c	keyterm	אֹרְרֵי	1	rc://*/tw/dict/bible/kt/curse
3:10	cjk5		דַּלְתֵ֣י	1	rc://*/tw/dict/bible/other/gate
3:11	ub6t		יָצָ֣אתִי	1	rc://*/tw/dict/bible/other/know
3:14	a9tk		מְ֭לָכִים	1	rc://*/tw/dict/bible/other/king
3:14	mj5n		וְ⁠יֹ֣עֲצֵי	1	rc://*/tw/dict/bible/other/counselor
3:14	fq8m		אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
3:15	jcke		שָׂ֭רִים	1	rc://*/tw/dict/bible/other/prince
3:15	v5zz		זָהָ֣ב	1	rc://*/tw/dict/bible/other/gold
3:15	d5gc		בָּתֵּי⁠הֶ֣ם	1	rc://*/tw/dict/bible/other/house
3:15	apvf		כָּֽסֶף	1	rc://*/tw/dict/bible/other/silver
3:19	w2x6		וְ֝⁠עֶ֗בֶד	1	rc://*/tw/dict/bible/other/servant
3:22	zvah		קָֽבֶר	1	rc://*/tw/dict/bible/other/tomb
3:23	j42f		לְ֭⁠גֶבֶר	1	rc://*/tw/dict/bible/other/household
3:23	vxfe	keyterm	אֱל֣וֹהַּ	1	rc://*/tw/dict/bible/kt/god
3:24	cqh2		לַ֭חְמִ⁠י	1	rc://*/tw/dict/bible/other/bread
3:25	vcq3	keyterm	פַ֣חַד	1	rc://*/tw/dict/bible/kt/fear
4:4	mtvh		כֹּרְע֣וֹת	1	rc://*/tw/dict/bible/other/bow
4:6	gbzw	keyterm	יִ֭רְאָתְ⁠ךָ	1	rc://*/tw/dict/bible/kt/fear
4:6	edws	keyterm	תִּ֝קְוָתְ⁠ךָ֗	1	rc://*/tw/dict/bible/kt/hope
4:7	vxd8	keyterm	נָקִ֣י	1	rc://*/tw/dict/bible/kt/innocent
4:7	um3p	keyterm	אָבָ֑ד	1	rc://*/tw/dict/bible/kt/perish
4:7	kzh4	keyterm	יְשָׁרִ֥ים	1	rc://*/tw/dict/bible/kt/justice
4:8	nuz6		יִקְצְרֻֽ⁠הוּ	1	rc://*/tw/dict/bible/other/harvest
4:9	hgcf	keyterm	אֱל֣וֹהַ	1	rc://*/tw/dict/bible/kt/god
4:9	vfny	keyterm	יֹאבֵ֑דוּ	1	rc://*/tw/dict/bible/kt/perish
4:9	cxgs		יִכְלֽוּ	1	rc://*/tw/dict/bible/other/consume
4:10	npk2		אַ֭רְיֵה	1	rc://*/tw/dict/bible/other/lion
4:11	d4p6	keyterm	אֹבֵ֣ד	1	rc://*/tw/dict/bible/kt/perish
4:11	e9cq		לָ֝בִ֗יא	1	rc://*/tw/dict/bible/other/lion
4:14	znhc	keyterm	פַּ֣חַד	1	rc://*/tw/dict/bible/kt/fear
4:15	qw2h	keyterm	וְ֭⁠רוּחַ	1	rc://*/tw/dict/bible/kt/spirit
4:16	y845	keyterm	יַעֲמֹ֤ד	1	rc://*/tw/dict/bible/kt/appoint
4:17	k4bb	keyterm	יִטְהַר	1	rc://*/tw/dict/bible/kt/clean
4:18	ekdx	keyterm	יַאֲמִ֑ין	1	rc://*/tw/dict/bible/kt/faithful
4:19	kb9g		בָֽתֵּי	1	rc://*/tw/dict/bible/other/house
4:20	mxn3	keyterm	יֹאבֵֽדוּ	1	rc://*/tw/dict/bible/kt/perish
5:1	gy4m	keyterm	קְֽרָא	1	rc://*/tw/dict/bible/kt/call-tosummon
5:1	qbu9	keyterm	עוֹנֶ֑⁠ךָּ	1	rc://*/tw/dict/bible/kt/testimony
5:4	e95a		בַ֝⁠שַּׁ֗עַר	1	rc://*/tw/dict/bible/other/gate
5:5	pvxy		קְצִיר֨⁠וֹ	1	rc://*/tw/dict/bible/other/harvest
5:5	c9z5		יֹאכֵ֗ל	1	rc://*/tw/dict/bible/other/devour
5:5	xewb		חֵילָֽ⁠ם	1	rc://*/tw/dict/bible/other/prosper
