Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	fhav	name	יוֹאֵ֖ל	1	rc://*/tw/dict/bible/names/joel
1:1	ra2f	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:3	hydw		לְ⁠ד֥וֹר	1	rc://*/tw/dict/bible/other/generation
1:4	h8s9		הַ⁠גָּזָם֙	1	rc://*/tw/dict/bible/other/locust
1:4	ndmm		אָכַ֣ל	1	rc://*/tw/dict/bible/other/devour
1:4	zrqp		הָֽ⁠אַרְבֶּ֔ה	1	rc://*/tw/dict/bible/other/locust
1:4	q9k2		הָ⁠אַרְבֶּ֖ה	1	rc://*/tw/dict/bible/other/locust
1:4	hcb6		אָכַ֣ל	2	rc://*/tw/dict/bible/other/devour
1:4	dyj2		הַ⁠יָּ֑לֶק	1	rc://*/tw/dict/bible/other/locust
1:4	x5a5		הַ⁠יֶּ֔לֶק	1	rc://*/tw/dict/bible/other/locust
1:4	pyt2		אָכַ֖ל	1	rc://*/tw/dict/bible/other/devour
1:4	wrwm		הֶ⁠חָסִֽיל	1	rc://*/tw/dict/bible/other/locust
1:5	hdgy		שִׁכּוֹרִים֙	1	rc://*/tw/dict/bible/other/drunk
1:5	awcv		יָ֑יִן	1	rc://*/tw/dict/bible/other/wine
1:5	bb5q		עָסִ֕יס	1	rc://*/tw/dict/bible/other/wine
1:5	zgvv		נִכְרַ֖ת	1	rc://*/tw/dict/bible/other/cutoff
1:6	eren		גוֹי֙	1	rc://*/tw/dict/bible/other/nation
1:6	nmec		אַרְצִ֔⁠י	1	rc://*/tw/dict/bible/other/earth
1:6	vzxm		אַרְיֵ֔ה	1	rc://*/tw/dict/bible/other/lion
1:6	a7sx		לָבִ֖יא	1	rc://*/tw/dict/bible/other/lion
1:7	fh98		גַּפְנִ⁠י֙	1	rc://*/tw/dict/bible/other/vine
1:7	esrh		וּ⁠תְאֵנָתִ֖⁠י	1	rc://*/tw/dict/bible/other/fig
1:8	shb4		כִּ⁠בְתוּלָ֥ה	1	rc://*/tw/dict/bible/other/virgin
1:8	v4g2		חֲגֻֽרַת	1	rc://*/tw/dict/bible/other/gird
1:8	cqu6		שַׂ֖ק	1	rc://*/tw/dict/bible/other/sackcloth
1:9	a6jn		הָכְרַ֥ת	1	rc://*/tw/dict/bible/other/cutoff
1:9	xerm		מִנְחָ֛ה	1	rc://*/tw/dict/bible/other/grainoffering
1:9	kjsz		וָ⁠נֶ֖סֶךְ	1	rc://*/tw/dict/bible/other/drinkoffering
1:9	bpa9		מִ⁠בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
1:9	w5a8	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	p2jh		אָֽבְלוּ֙	1	rc://*/tw/dict/bible/other/mourn
1:9	scp5	keyterm	הַ⁠כֹּ֣הֲנִ֔ים	1	rc://*/tw/dict/bible/kt/priest
1:9	asbx	keyterm	מְשָׁרְתֵ֖י	1	rc://*/tw/dict/bible/kt/minister
1:9	pmv7	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:10	t5eq		שֻׁדַּ֣ד	1	rc://*/tw/dict/bible/other/waste
1:10	ydp5		אָבְלָ֖ה	1	rc://*/tw/dict/bible/other/mourn
1:10	msy2		שֻׁדַּ֣ד	2	rc://*/tw/dict/bible/other/waste
1:10	rdeu		דָּגָ֔ן	1	rc://*/tw/dict/bible/other/grain
1:10	vaxa		תִּיר֖וֹשׁ	1	rc://*/tw/dict/bible/other/wine
1:10	dnxz		יִצְהָֽר	1	rc://*/tw/dict/bible/other/oil
1:11	pxxy		הֹבִ֣ישׁוּ	1	rc://*/tw/dict/bible/other/shame
1:11	bt4a		אִכָּרִ֗ים	1	rc://*/tw/dict/bible/other/plow
1:11	sxtm		חִטָּ֖ה	1	rc://*/tw/dict/bible/other/wheat
1:11	ujj9		שְׂעֹרָ֑ה	1	rc://*/tw/dict/bible/other/barley
1:11	tuxx	keyterm	אָבַ֖ד	1	rc://*/tw/dict/bible/kt/perish
1:11	cfj4		קְצִ֥יר	1	rc://*/tw/dict/bible/other/harvest
1:12	aqqp	name	אָדָֽם	1	rc://*/tw/dict/bible/names/adam
1:12	j6p3		הַ⁠גֶּ֣פֶן	1	rc://*/tw/dict/bible/other/vine
1:12	tt9t		וְ⁠הַ⁠תְּאֵנָ֖ה	1	rc://*/tw/dict/bible/other/fig
1:12	cdba		רִמּ֞וֹן	1	rc://*/tw/dict/bible/other/pomegranate
1:12	d3wk		תָּמָ֣ר	1	rc://*/tw/dict/bible/other/palm
1:12	m3hq		שָׂשׂ֖וֹן	1	rc://*/tw/dict/bible/other/joy
1:13	zgpt		חִגְר֨וּ	1	rc://*/tw/dict/bible/other/gird
1:13	c2hy	keyterm	הַ⁠כֹּהֲנִ֗ים	1	rc://*/tw/dict/bible/kt/priest
1:13	t44t	keyterm	מְשָׁרְתֵ֣י	1	rc://*/tw/dict/bible/kt/minister
1:13	tu2v	keyterm	מִזְבֵּ֔חַ	1	rc://*/tw/dict/bible/kt/altar
1:13	ygz9		בַ⁠שַּׂקִּ֔ים	1	rc://*/tw/dict/bible/other/sackcloth
1:13	h666	keyterm	מְשָׁרְתֵ֖י	1	rc://*/tw/dict/bible/kt/minister
1:13	fsdr	keyterm	אֱלֹהָ֑⁠י	1	rc://*/tw/dict/bible/kt/god
1:13	t2ha		מִ⁠בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
1:13	rbbp	keyterm	אֱלֹהֵי⁠כֶ֖ם	1	rc://*/tw/dict/bible/kt/god
1:13	v3ec		מִנְחָ֥ה	1	rc://*/tw/dict/bible/other/grainoffering
1:13	t98n		וָ⁠נָֽסֶךְ	1	rc://*/tw/dict/bible/other/drinkoffering
1:14	w75k	keyterm	קַדְּשׁוּ	1	rc://*/tw/dict/bible/kt/consecrate
1:14	xyb9		צוֹם֙	1	rc://*/tw/dict/bible/other/fast
1:14	dscz	keyterm	קִרְא֣וּ	1	rc://*/tw/dict/bible/kt/call
1:14	t9ss		עֲצָרָ֔ה	1	rc://*/tw/dict/bible/other/assembly
1:14	evfj		אִסְפ֣וּ	1	rc://*/tw/dict/bible/other/assembly
1:14	jdfp		זְקֵנִ֗ים	1	rc://*/tw/dict/bible/other/elder
1:14	vdr3		בֵּ֖ית	1	rc://*/tw/dict/bible/other/house
1:14	n4ce	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:14	hg8q	keyterm	אֱלֹהֵי⁠כֶ֑ם	1	rc://*/tw/dict/bible/kt/god
1:14	dgn7		וְ⁠זַעֲק֖וּ	1	rc://*/tw/dict/bible/other/cry
1:14	h4ju	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:15	kfh7	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:16	andv		נִכְרָ֑ת	1	rc://*/tw/dict/bible/other/cutoff
1:16	n87a		מִ⁠בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
1:16	zpp7	keyterm	אֱלֹהֵ֖י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
1:16	gv6n		שִׂמְחָ֥ה	1	rc://*/tw/dict/bible/other/joy
1:17	t64f		פְרֻד֗וֹת	1	rc://*/tw/dict/bible/other/seed
1:17	v62u		אֹֽצָר֔וֹת	1	rc://*/tw/dict/bible/other/storehouse
1:17	auk7		דָּגָֽן	1	rc://*/tw/dict/bible/other/grain
1:18	kadc		בְהֵמָ֗ה	1	rc://*/tw/dict/bible/other/beast
1:18	cb2e		עֶדְרֵ֣י	1	rc://*/tw/dict/bible/other/flock
1:18	rh62		בָקָ֔ר	1	rc://*/tw/dict/bible/other/cow
1:18	se5e		עֶדְרֵ֥י	1	rc://*/tw/dict/bible/other/flock
1:18	ftu9		הַ⁠צֹּ֖אן	1	rc://*/tw/dict/bible/other/sheep
1:19	sqgw	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:19	tquf	keyterm	אֶקְרָ֑א	1	rc://*/tw/dict/bible/kt/call
1:19	yxv9		אָֽכְלָה֙	1	rc://*/tw/dict/bible/other/devour
1:20	qcqq		בַּהֲמ֥וֹת	1	rc://*/tw/dict/bible/other/beast
1:20	a4cy		תַּעֲר֣וֹג	1	rc://*/tw/dict/bible/other/cry
1:20	yvw9		אָכְלָ֖ה	1	rc://*/tw/dict/bible/other/devour
2:1	h4ss		שׁוֹפָ֜ר	1	rc://*/tw/dict/bible/other/trumpet
2:1	gqnt	keyterm	בְּ⁠צִיּ֗וֹן	1	rc://*/tw/dict/bible/kt/zion
2:1	yx3h		וְ⁠הָרִ֨יעוּ֙	1	rc://*/tw/dict/bible/other/alarm
2:1	asky	keyterm	קָדְשִׁ֔⁠י	1	rc://*/tw/dict/bible/kt/holy
2:1	gz8b		יִרְגְּז֕וּ	1	rc://*/tw/dict/bible/other/tremble
2:1	vzrf	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:1	btnm	keyterm	יוֹם־יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/dayofthelord
2:2	w9z3		עַ֚ם	1	rc://*/tw/dict/bible/other/peoplegroup
2:2	c389		דּ֥וֹר	1	rc://*/tw/dict/bible/other/generation
2:2	ze5u		וָ⁠דֽוֹר	1	rc://*/tw/dict/bible/other/generation
2:3	zxgw		אָ֣כְלָה	1	rc://*/tw/dict/bible/other/devour
2:3	hmzq	name	כְּ⁠גַן־עֵ֨דֶן	1	rc://*/tw/dict/bible/names/eden
2:3	kz5n		שְׁמָמָ֔ה	1	rc://*/tw/dict/bible/other/desolate
2:3	kadn		פְּלֵיטָ֖ה	1	rc://*/tw/dict/bible/other/deliverer
2:4	e8fx		סוּסִ֖ים	1	rc://*/tw/dict/bible/other/horse
2:5	qhsv		מַרְכָּב֗וֹת	1	rc://*/tw/dict/bible/other/chariot
2:5	t79g		אֹכְלָ֖ה	1	rc://*/tw/dict/bible/other/devour
2:5	aska		כְּ⁠עַ֣ם	1	rc://*/tw/dict/bible/other/peoplegroup
2:6	sgdx		עַמִּ֑ים	1	rc://*/tw/dict/bible/other/peoplegroup
2:7	y5jd		כְּ⁠גִבּוֹרִ֣ים	1	rc://*/tw/dict/bible/other/mighty
2:9	ukw8		כַּ⁠גַּנָּֽב	1	rc://*/tw/dict/bible/other/thief
2:10	uxav		רָ֣גְזָה	1	rc://*/tw/dict/bible/other/tremble
2:10	fc6k		אֶ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
2:10	fbm3		רָעֲשׁ֖וּ	1	rc://*/tw/dict/bible/other/tremble
2:10	z4s9	keyterm	שָׁמָ֑יִם	1	rc://*/tw/dict/bible/kt/heaven
2:11	ufah	keyterm	וַֽ⁠יהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
2:11	qfn5	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
2:11	j6jb	keyterm	יוֹם־יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/dayofthelord
2:11	fh9z	keyterm	וְ⁠נוֹרָ֥א	1	rc://*/tw/dict/bible/kt/fear
2:12	kwy8	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
2:12	veyc		וּ⁠בְ⁠צ֥וֹם	1	rc://*/tw/dict/bible/other/fast
2:12	gt5e		וּ⁠בְ⁠מִסְפֵּֽד	1	rc://*/tw/dict/bible/other/mourn
2:13	hkq3	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
2:13	kcu8	keyterm	אֱלֹֽהֵי⁠כֶ֑ם	1	rc://*/tw/dict/bible/kt/god
2:13	z83g	keyterm	חַנּ֤וּן	1	rc://*/tw/dict/bible/kt/grace
2:13	dphu	keyterm	וְ⁠רַחוּם֙	1	rc://*/tw/dict/bible/kt/mercy
2:13	ej9v	keyterm	חֶ֔סֶד	1	rc://*/tw/dict/bible/kt/covenantfaith
2:13	rs98	keyterm	הָ⁠רָעָֽה	1	rc://*/tw/dict/bible/kt/evil
2:14	nrar		יוֹדֵ֖עַ	1	rc://*/tw/dict/bible/other/know
2:14	cht2	keyterm	בְּרָכָ֔ה	1	rc://*/tw/dict/bible/kt/bless
2:14	ykrp		מִנְחָ֣ה	1	rc://*/tw/dict/bible/other/grainoffering
2:14	rqg6		וָ⁠נֶ֔סֶךְ	1	rc://*/tw/dict/bible/other/drinkoffering
2:14	wegh	keyterm	לַ⁠יהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:14	epr6	keyterm	אֱלֹהֵי⁠כֶֽם	1	rc://*/tw/dict/bible/kt/god
2:15	yzyp		שׁוֹפָ֖ר	1	rc://*/tw/dict/bible/other/trumpet
2:15	jbc4	keyterm	בְּ⁠צִיּ֑וֹן	1	rc://*/tw/dict/bible/kt/zion
2:15	eme4	keyterm	קַדְּשׁוּ	1	rc://*/tw/dict/bible/kt/consecrate
2:15	jdxt		צ֖וֹם	1	rc://*/tw/dict/bible/other/fast
2:15	m47n	keyterm	קִרְא֥וּ	1	rc://*/tw/dict/bible/kt/call
2:15	xsdr		עֲצָרָֽה	1	rc://*/tw/dict/bible/other/assembly
2:16	pp85		אִסְפוּ	1	rc://*/tw/dict/bible/other/assembly
2:16	npnt		עָ֞ם	1	rc://*/tw/dict/bible/other/peoplegroup
2:16	bfxb	keyterm	קַדְּשׁ֤וּ	1	rc://*/tw/dict/bible/kt/consecrate
2:16	p5g8		קָהָל֙	1	rc://*/tw/dict/bible/other/assembly
2:16	encf		זְקֵנִ֔ים	1	rc://*/tw/dict/bible/other/elder
2:16	fj7t		אִסְפוּ֙	1	rc://*/tw/dict/bible/other/assembly
2:16	s955		חָתָן֙	1	rc://*/tw/dict/bible/other/bridegroom
2:16	u8kq		וְ⁠כַלָּ֖ה	1	rc://*/tw/dict/bible/other/bride
2:17	pct8	keyterm	וְ⁠לַ⁠מִּזְבֵּ֔חַ	1	rc://*/tw/dict/bible/kt/altar
2:17	shsz	keyterm	הַ⁠כֹּ֣הֲנִ֔ים	1	rc://*/tw/dict/bible/kt/priest
2:17	exdj	keyterm	מְשָׁרְתֵ֖י	1	rc://*/tw/dict/bible/kt/minister
2:17	mgez	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
2:17	w7z4	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
2:17	j8rp		עַמֶּ֗⁠ךָ	1	rc://*/tw/dict/bible/other/peoplegroup
2:17	cx5w	keyterm	נַחֲלָתְ⁠ךָ֤	1	rc://*/tw/dict/bible/kt/inherit
2:17	g4wa		לְ⁠חֶרְפָּה֙	1	rc://*/tw/dict/bible/other/shame
2:17	hh39		בָּ֣⁠ם	1	rc://*/tw/dict/bible/other/ruler
2:17	p982		גּוֹיִ֔ם	1	rc://*/tw/dict/bible/other/nation
2:17	n3x5		בָֽ⁠עַמִּ֔ים	1	rc://*/tw/dict/bible/other/peoplegroup
2:17	vrew	keyterm	אֱלֹהֵי⁠הֶֽם	1	rc://*/tw/dict/bible/kt/god
2:18	cxym	keyterm	וַ⁠יְקַנֵּ֥א	1	rc://*/tw/dict/bible/kt/zealous
2:18	gs6n	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:18	s2v4		עַמּֽ⁠וֹ	1	rc://*/tw/dict/bible/other/peoplegroup
2:19	xacp	keyterm	יְהוָ֜ה	1	rc://*/tw/dict/bible/kt/yahweh
2:19	b65g		לְ⁠עַמּ֗⁠וֹ	1	rc://*/tw/dict/bible/other/peoplegroup
2:19	eqxx		הַ⁠דָּגָן֙	1	rc://*/tw/dict/bible/other/grain
2:19	musn		וְ⁠הַ⁠תִּיר֣וֹשׁ	1	rc://*/tw/dict/bible/other/wine
2:19	cknn		וְ⁠הַ⁠יִּצְהָ֔ר	1	rc://*/tw/dict/bible/other/oil
2:19	eztg		חֶרְפָּ֖ה	1	rc://*/tw/dict/bible/other/shame
2:19	hbk2		בַּ⁠גּוֹיִֽם	1	rc://*/tw/dict/bible/other/nation
2:20	d36j		אֶ֣רֶץ	1	rc://*/tw/dict/bible/other/earth
2:20	sd8e		צִיָּ֣ה	1	rc://*/tw/dict/bible/other/barren
2:20	z4jp		וּ⁠שְׁמָמָה֒	1	rc://*/tw/dict/bible/other/desolate
2:21	apkr	keyterm	תִּֽירְאִ֖י	1	rc://*/tw/dict/bible/kt/fear
2:21	d48s		וּ⁠שְׂמָ֔חִי	1	rc://*/tw/dict/bible/other/joy
2:21	mnp3	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:22	bkb5	keyterm	תִּֽירְאוּ֙	1	rc://*/tw/dict/bible/kt/fear
2:22	nty7		בַּהֲמ֣וֹת	1	rc://*/tw/dict/bible/other/beast
2:22	gcnt		פִרְי֔⁠וֹ	1	rc://*/tw/dict/bible/other/fruit
