Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	mtmh	keyterm	דְּבַר־יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/wordofgod
1:1	gd3c	name	יוֹנָ֥ה	1	rc://*/tw/dict/bible/names/jonah
1:2	hvns	name	נִֽינְוֵ֛ה	1	rc://*/tw/dict/bible/names/nineveh
1:2	gx6h	keyterm	וּ⁠קְרָ֣א	1	rc://*/tw/dict/bible/kt/call
1:2	wgtk	keyterm	רָעָתָ֖⁠ם	1	rc://*/tw/dict/bible/kt/evil
1:3	pyws	name	יוֹנָה֙	1	rc://*/tw/dict/bible/names/jonah
1:3	cfvf	name	תַּרְשִׁ֔ישָׁ⁠ה	1	rc://*/tw/dict/bible/names/tarshish
1:3	gv9p	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	ymnb	name	יָפ֜וֹ	1	rc://*/tw/dict/bible/names/joppa
1:3	d3rz	name	תַרְשִׁ֗ישׁ	1	rc://*/tw/dict/bible/names/tarshish
1:3	gfgd	name	תַּרְשִׁ֔ישָׁ⁠ה	2	rc://*/tw/dict/bible/names/tarshish
1:3	ew4s	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	ts7x	keyterm	וַֽ⁠יהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:5	aa78		וַֽ⁠יִּזְעֲקוּ֮	1	rc://*/tw/dict/bible/other/cry
1:5	rme9	keyterm	אֱלֹהָי⁠ו֒	1	rc://*/tw/dict/bible/kt/falsegod
1:5	d772	name	וְ⁠יוֹנָ֗ה	1	rc://*/tw/dict/bible/names/jonah
1:6	akvp		קְרָ֣א	1	rc://*/tw/dict/bible/other/cry
1:6	z7ec	keyterm	אֱלֹהֶ֔י⁠ךָ	1	rc://*/tw/dict/bible/kt/god
1:6	xga5	keyterm	הָ⁠אֱלֹהִ֛ים	1	rc://*/tw/dict/bible/kt/god
1:6	mfk2	keyterm	נֹאבֵֽד	1	rc://*/tw/dict/bible/kt/perish
1:7	p7mt		וְ⁠נַפִּ֣ילָה גֽוֹרָל֔וֹת	1	rc://*/tw/dict/bible/other/lots
1:7	p3b4		וְ⁠נֵ֣דְעָ֔ה	1	rc://*/tw/dict/bible/other/know
1:7	zbxy		וַ⁠יַּפִּ֨לוּ֙ גּֽוֹרָל֔וֹת	1	rc://*/tw/dict/bible/other/lots
1:7	ccvx		הַ⁠גּוֹרָ֖ל	1	rc://*/tw/dict/bible/other/lots
1:7	m3am	name	יוֹנָֽה	1	rc://*/tw/dict/bible/names/jonah
1:8	nzby		עַ֖ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:9	tfbf	keyterm	עִבְרִ֣י	1	rc://*/tw/dict/bible/kt/hebrew
1:9	nyhx	keyterm	יְהוָ֞ה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	r3tz	keyterm	אֱלֹהֵ֤י	1	rc://*/tw/dict/bible/kt/god
1:9	ktf9	keyterm	הַ⁠שָּׁמַ֨יִם֙	1	rc://*/tw/dict/bible/kt/heaven
1:9	c5bk	keyterm	יָרֵ֔א	1	rc://*/tw/dict/bible/kt/fear
1:10	q96e	keyterm	וַ⁠יִּֽירְא֤וּ	1	rc://*/tw/dict/bible/kt/fear
1:10	mq6h	keyterm	יִרְאָ֣ה	1	rc://*/tw/dict/bible/kt/fear
1:10	crg3		יָדְע֣וּ	1	rc://*/tw/dict/bible/other/know
1:10	gg8y	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:12	c6r2		יוֹדֵ֣עַ	1	rc://*/tw/dict/bible/other/know
1:14	k94x		וַ⁠יִּקְרְא֨וּ	1	rc://*/tw/dict/bible/other/cry
1:14	d5yy	keyterm	יְהוָ֜ה	1	rc://*/tw/dict/bible/kt/yahweh
1:14	yupm	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:14	ne95	keyterm	נֹאבְדָ֗ה	1	rc://*/tw/dict/bible/kt/perish
1:14	j2a6	keyterm	נָקִ֑יא	1	rc://*/tw/dict/bible/kt/innocent
1:14	dguq	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:15	n36a	name	יוֹנָ֔ה	1	rc://*/tw/dict/bible/names/jonah
