Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	k4e7	name	מֹשֶׁ֖ה	1	rc://*/tw/dict/bible/names/moses
1:1	cmwg		עֶ֣בֶד	1	rc://*/tw/dict/bible/other/servant
1:1	prmg	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	ym72	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:1	egjp	name	יְהוֹשֻׁ֣עַ	1	rc://*/tw/dict/bible/names/joshua
1:1	z24u		מְשָׁרֵ֥ת	1	rc://*/tw/dict/bible/other/servant
1:1	y7t9	name	מֹשֶׁ֖ה	2	rc://*/tw/dict/bible/names/moses
1:2	b43y	name	מֹשֶׁ֥ה	1	rc://*/tw/dict/bible/names/moses
1:2	jjun		עַבְדִּ֖⁠י	1	rc://*/tw/dict/bible/other/servant
1:2	ud2c	name	הַ⁠יַּרְדֵּ֣ן	1	rc://*/tw/dict/bible/names/jordanriver
1:2	nafu		הָ⁠עָ֣ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:2	gy3k		הָ⁠אָ֕רֶץ	1	rc://*/tw/dict/bible/other/earth
1:2	vu5x	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
1:3	pahw	name	מֹשֶֽׁה	1	rc://*/tw/dict/bible/names/moses
1:4	wesv		מֵ⁠הַ⁠מִּדְבָּר֩	1	rc://*/tw/dict/bible/other/desert
1:4	a4gy	name	וְ⁠הַ⁠לְּבָנ֨וֹן	1	rc://*/tw/dict/bible/names/lebanon
1:4	ydzr	name	פְּרָ֗ת	1	rc://*/tw/dict/bible/names/euphrates
1:4	h2qm		אֶ֣רֶץ	1	rc://*/tw/dict/bible/other/earth
1:4	q69u	name	הַֽ⁠חִתִּ֔ים	1	rc://*/tw/dict/bible/names/hittite
1:5	rgvy		יְמֵ֣י	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:5	eb3a	name	מֹשֶׁה֙	1	rc://*/tw/dict/bible/names/moses
1:5	wm53		אֶעֶזְבֶֽ⁠ךָּ	1	rc://*/tw/dict/bible/other/forsaken
1:6	jdez		וֶ⁠אֱמָ֑ץ	1	rc://*/tw/dict/bible/other/courage
1:6	n8cr	keyterm	תַּנְחִיל֙	1	rc://*/tw/dict/bible/kt/inherit
1:6	k75b		הָ⁠עָ֣ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:6	j8fc		הָ⁠אָ֕רֶץ	1	rc://*/tw/dict/bible/other/earth
1:6	tskv		נִשְׁבַּ֥עְתִּי	1	rc://*/tw/dict/bible/other/oath
1:7	y3jr		וֶֽ⁠אֱמַ֜ץ	1	rc://*/tw/dict/bible/other/courage
1:7	fzad		לִ⁠שְׁמֹ֤ר	1	rc://*/tw/dict/bible/other/watch
1:7	phz8	keyterm	הַ⁠תּוֹרָ֗ה	1	rc://*/tw/dict/bible/kt/lawofmoses
1:7	a7h7	name	מֹשֶׁ֣ה	1	rc://*/tw/dict/bible/names/moses
1:7	awdx		עַבְדִּ֔⁠י	1	rc://*/tw/dict/bible/other/servant
1:7	ygvs	keyterm	תַּשְׂכִּ֔יל	1	rc://*/tw/dict/bible/kt/wise
1:8	m5v9	keyterm	הַ⁠תּוֹרָ֨ה	1	rc://*/tw/dict/bible/kt/lawofmoses
1:8	w9qu		וְ⁠הָגִ֤יתָ	1	rc://*/tw/dict/bible/other/meditate
1:8	fxc9		יוֹמָ֣ם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:8	fgsh		תִּשְׁמֹ֣ר	1	rc://*/tw/dict/bible/other/watch
1:8	ydbv		תַּצְלִ֥יחַ	1	rc://*/tw/dict/bible/other/prosper
1:8	d6j5	keyterm	תַּשְׂכִּֽיל	1	rc://*/tw/dict/bible/kt/wise
1:9	za6q		וֶ⁠אֱמָ֔ץ	1	rc://*/tw/dict/bible/other/courage
1:9	wmzm		תַּעֲרֹ֖ץ	1	rc://*/tw/dict/bible/other/tremble
1:9	vk23	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	rd3w	keyterm	אֱלֹהֶ֔י⁠ךָ	1	rc://*/tw/dict/bible/kt/god
1:10	uu3z	name	יְהוֹשֻׁ֔עַ	1	rc://*/tw/dict/bible/names/joshua
1:10	bww6		הָ⁠עָ֖ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:11	x55a		הָ⁠עָם֙	1	rc://*/tw/dict/bible/other/peoplegroup
1:11	cypw		יָמִ֗ים	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:11	dyge	name	הַ⁠יַּרְדֵּ֣ן	1	rc://*/tw/dict/bible/names/jordanriver
1:11	ttdn		לָ⁠רֶ֣שֶׁת	1	rc://*/tw/dict/bible/other/possess
1:11	zjfd		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:11	jh74	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:11	ezup	keyterm	אֱלֹֽהֵי⁠כֶ֔ם	1	rc://*/tw/dict/bible/kt/god
1:11	yzsu		לְ⁠רִשְׁתָּֽ⁠הּ	1	rc://*/tw/dict/bible/other/possess
1:12	ej3u	name	וְ⁠לָ⁠רֽאוּבֵנִי֙	1	rc://*/tw/dict/bible/names/reuben
1:12	ct5j	name	וְ⁠לַ⁠גָּדִ֔י	1	rc://*/tw/dict/bible/names/gad
1:12	rj42		שֵׁ֣בֶט	1	rc://*/tw/dict/bible/other/tribe
1:12	xnbg	name	הַֽ⁠מְנַשֶּׁ֑ה	1	rc://*/tw/dict/bible/names/manasseh
1:12	fy4a	name	יְהוֹשֻׁ֖עַ	1	rc://*/tw/dict/bible/names/joshua
1:13	xb3j	name	מֹשֶׁ֥ה	1	rc://*/tw/dict/bible/names/moses
1:13	tfee		עֶֽבֶד	1	rc://*/tw/dict/bible/other/servant
1:13	cvxy	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:13	acf4	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
1:13	q8cc	keyterm	אֱלֹהֵי⁠כֶם֙	1	rc://*/tw/dict/bible/kt/god
1:13	a5yc		הָ⁠אָ֥רֶץ	1	rc://*/tw/dict/bible/other/earth
1:14	cbpq		וּ⁠מִקְנֵי⁠כֶם֒	1	rc://*/tw/dict/bible/other/livestock
1:14	bfw7		בָּ⁠אָ֕רֶץ	1	rc://*/tw/dict/bible/other/earth
1:14	exk7	name	מֹשֶׁ֖ה	1	rc://*/tw/dict/bible/names/moses
1:14	py69	name	הַ⁠יַּרְדֵּ֑ן	1	rc://*/tw/dict/bible/names/jordanriver
1:14	zdb7		גִּבּוֹרֵ֣י	1	rc://*/tw/dict/bible/other/mighty
1:15	d5bn	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:15	ancd		וְ⁠יָרְשׁ֣וּ	1	rc://*/tw/dict/bible/other/possess
1:15	kbb6		הָ⁠אָ֕רֶץ	1	rc://*/tw/dict/bible/other/earth
1:15	pnzs	keyterm	יְהוָ֥ה	2	rc://*/tw/dict/bible/kt/yahweh
1:15	aahs	keyterm	אֱלֹֽהֵי⁠כֶ֖ם	1	rc://*/tw/dict/bible/kt/god
1:15	xy9v		לְ⁠אֶ֤רֶץ	1	rc://*/tw/dict/bible/other/earth
1:15	ap7y		יְרֻשַּׁתְ⁠כֶם֙	1	rc://*/tw/dict/bible/other/possess
1:15	z5uz		וִֽ⁠ירִשְׁתֶּ֣ם	1	rc://*/tw/dict/bible/other/possess
1:15	u4wa	name	מֹשֶׁה֙	1	rc://*/tw/dict/bible/names/moses
1:15	jdq8		עֶ֣בֶד	1	rc://*/tw/dict/bible/other/servant
1:15	xszr	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:15	b7hd	name	הַ⁠יַּרְדֵּ֖ן	1	rc://*/tw/dict/bible/names/jordanriver
1:16	v5ta	name	יְהוֹשֻׁ֖עַ	1	rc://*/tw/dict/bible/names/joshua
1:17	ttvd	name	מֹשֶׁ֔ה	1	rc://*/tw/dict/bible/names/moses
1:17	d766	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
1:17	jzpm	keyterm	אֱלֹהֶ֨י⁠ךָ֙	1	rc://*/tw/dict/bible/kt/god
1:17	rxuc	name	מֹשֶֽׁה	1	rc://*/tw/dict/bible/names/moses
1:18	qj4w		יַמְרֶ֣ה	1	rc://*/tw/dict/bible/other/rebel
