Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	z84p		עָ֔ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:1	hu3t		בַ⁠גּוֹיִ֗ם	1	rc://*/tw/dict/bible/other/nation
1:1	ccjy		בַּ⁠מְּדִינ֔וֹת	1	rc://*/tw/dict/bible/other/province
1:2	m8rq		מְנַחֵ֖ם	1	rc://*/tw/dict/bible/other/comfort
1:2	sx6v	keyterm	אֹהֲבֶ֑י⁠הָ	1	rc://*/tw/dict/bible/kt/love
1:3	vhs5		גָּֽלְתָ֨ה	1	rc://*/tw/dict/bible/other/exile
1:3	fnq8	name	יְהוּדָ֤ה	1	rc://*/tw/dict/bible/names/judea
1:3	z3th		בַ⁠גּוֹיִ֔ם	1	rc://*/tw/dict/bible/other/nation
1:3	csh7		רֹדְפֶ֥י⁠הָ	1	rc://*/tw/dict/bible/other/persecute
1:4	djy7	keyterm	צִיּ֜וֹן	1	rc://*/tw/dict/bible/kt/zion
1:4	d72m		מוֹעֵ֔ד	1	rc://*/tw/dict/bible/other/feast
1:4	rzvw		שְׁעָרֶ֨י⁠הָ֙	1	rc://*/tw/dict/bible/other/gate
1:4	fd6q	keyterm	כֹּהֲנֶ֖י⁠הָ	1	rc://*/tw/dict/bible/kt/priest
1:4	v3se		בְּתוּלֹתֶ֥י⁠הָ	1	rc://*/tw/dict/bible/other/virgin
1:5	y347		צָרֶ֤י⁠הָ	1	rc://*/tw/dict/bible/other/adversary
1:5	mt4n		אֹיְבֶ֣י⁠הָ	1	rc://*/tw/dict/bible/other/adversary
1:5	evdn	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:5	dmws		צָֽר	1	rc://*/tw/dict/bible/other/adversary
1:6	phes	keyterm	צִיּ֖וֹן	1	rc://*/tw/dict/bible/kt/zion
1:6	ft2n		שָׂרֶ֗י⁠הָ	1	rc://*/tw/dict/bible/other/prince
1:6	ac34		רוֹדֵֽף	1	rc://*/tw/dict/bible/other/persecute
1:7	mrs9	name	יְרוּשָׁלִַ֗ם	1	rc://*/tw/dict/bible/names/jerusalem
1:7	epw9		עָנְיָ⁠הּ֙	1	rc://*/tw/dict/bible/other/afflict
1:7	agam		עַמָּ֣⁠הּ	1	rc://*/tw/dict/bible/other/peoplegroup
1:7	wqgp		צָ֗ר	1	rc://*/tw/dict/bible/other/adversary
1:7	q85c		צָרִ֔ים	1	rc://*/tw/dict/bible/other/adversary
1:8	sp5b	keyterm	חָֽטְאָה֙	1	rc://*/tw/dict/bible/kt/sin
1:8	g4vy	name	יְר֣וּשָׁלִַ֔ם	1	rc://*/tw/dict/bible/names/jerusalem
1:9	ukwn		מְנַחֵ֖ם	1	rc://*/tw/dict/bible/other/comfort
1:9	hgfs	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:9	j6an		עָנְיִ֔⁠י	1	rc://*/tw/dict/bible/other/afflict
1:9	a79q		הִגְדִּ֖יל	1	rc://*/tw/dict/bible/other/proud
1:9	pypy		אוֹיֵֽב	1	rc://*/tw/dict/bible/other/adversary
1:10	ox6j	keyterm	מִקְדָּשָׁ֔⁠הּ	1	rc://*/tw/dict/bible/kt/sanctuary
1:10	f6fq		צָ֔ר	1	rc://*/tw/dict/bible/other/adversary
1:10	txxx		גוֹיִם֙	1	rc://*/tw/dict/bible/other/nation
1:10	wtqb		בַ⁠קָּהָ֖ל	1	rc://*/tw/dict/bible/other/assembly
1:11	gvqv		עַמָּ֤⁠הּ	1	rc://*/tw/dict/bible/other/peoplegroup
1:11	wpnw		מְבַקְּשִׁ֣ים	1	rc://*/tw/dict/bible/other/seek
1:11	pak9		לֶ֔חֶם	1	rc://*/tw/dict/bible/other/bread
1:11	prk8	keyterm	לְ⁠הָשִׁ֣יב	1	rc://*/tw/dict/bible/kt/restore
1:11	spy3	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:12	gzdj	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:13	w3rm	keyterm	וַ⁠יִּרְדֶּ֑⁠נָּה	1	rc://*/tw/dict/bible/kt/dominion
1:13	skr6	keyterm	הֱשִׁיבַ֣⁠נִי	1	rc://*/tw/dict/bible/kt/restore
1:14	vqbk	keyterm	אֲדֹנָ֔⁠י	1	rc://*/tw/dict/bible/kt/lord
1:15	cjqw	keyterm	אֲדֹנָ⁠י֙	1	rc://*/tw/dict/bible/kt/lord
1:15	wfq2	keyterm	קָרָ֥א	1	rc://*/tw/dict/bible/kt/call
1:15	dssr		מוֹעֵ֖ד	1	rc://*/tw/dict/bible/other/feast
1:15	md85		גַּ֚ת	1	rc://*/tw/dict/bible/other/winepress
1:15	zkf8	keyterm	אֲדֹנָ֔⁠י	1	rc://*/tw/dict/bible/kt/lord
1:15	cwk7	name	יְהוּדָֽה	1	rc://*/tw/dict/bible/names/judea
1:16	ywuw		מְנַחֵ֖ם	1	rc://*/tw/dict/bible/other/comfort
1:16	t8xy	keyterm	מֵשִׁ֣יב	1	rc://*/tw/dict/bible/kt/restore
1:16	bm6y		אוֹיֵֽב	1	rc://*/tw/dict/bible/other/adversary
1:17	brry	name	לְ⁠יַעֲקֹ֖ב	1	rc://*/tw/dict/bible/names/jacob
1:17	aasb	keyterm	צִיּ֜וֹן	1	rc://*/tw/dict/bible/kt/zion
1:17	f6uy		מְנַחֵם֙	1	rc://*/tw/dict/bible/other/comfort
1:17	zksk	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:17	cp64		צָרָ֑י⁠ו	1	rc://*/tw/dict/bible/other/adversary
1:17	fgtg	name	יְרוּשָׁלִַ֛ם	1	rc://*/tw/dict/bible/names/jerusalem
1:18	xqx8	keyterm	צַדִּ֥יק	1	rc://*/tw/dict/bible/kt/righteous
1:18	ycxv	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:18	eqaa		מָרִ֑יתִי	1	rc://*/tw/dict/bible/other/rebel
1:18	jqb7		עמים	1	rc://*/tw/dict/bible/other/peoplegroup
1:18	cqp8		בְּתוּלֹתַ֥⁠י	1	rc://*/tw/dict/bible/other/virgin
1:18	svkw		בַ⁠שֶּֽׁבִי	1	rc://*/tw/dict/bible/other/captive
1:19	jj4g	keyterm	קָרָ֤אתִי	1	rc://*/tw/dict/bible/kt/call
1:19	wcfp	keyterm	לַֽ⁠מְאַהֲבַ⁠י֙	1	rc://*/tw/dict/bible/kt/love
1:19	yfyg	keyterm	כֹּהֲנַ֥⁠י	1	rc://*/tw/dict/bible/kt/priest
1:19	eh6t		בִקְשׁ֥וּ	1	rc://*/tw/dict/bible/other/seek
1:20	cpuz	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
1:20	squm		מָר֖וֹ	1	rc://*/tw/dict/bible/other/rebel
1:20	zkym		מָרִ֑יתִי	1	rc://*/tw/dict/bible/other/rebel
1:20	vt9j		חֶ֖רֶב	1	rc://*/tw/dict/bible/other/sword
1:20	wfqy	keyterm	בַּ⁠בַּ֥יִת	1	rc://*/tw/dict/bible/kt/temple
1:21	wtnh		מְנַחֵם֙	1	rc://*/tw/dict/bible/other/comfort
1:21	jexw		אֹ֨יְבַ֜⁠י	1	rc://*/tw/dict/bible/other/adversary
1:21	p752	keyterm	רָֽעָתִ⁠י֙	1	rc://*/tw/dict/bible/kt/evil
1:21	tyju	keyterm	קָרָ֖אתָ	1	rc://*/tw/dict/bible/kt/call
1:22	zxkt	keyterm	רָעָתָ֤⁠ם	1	rc://*/tw/dict/bible/kt/evil
2:1	k6tp	keyterm	אֲדֹנָ⁠י֙	1	rc://*/tw/dict/bible/kt/lord
2:1	eq8n	keyterm	צִיּ֔וֹן	1	rc://*/tw/dict/bible/kt/zion
2:1	v67s	keyterm	מִ⁠שָּׁמַ֨יִם֙	1	rc://*/tw/dict/bible/kt/heaven
2:1	cvkg		אֶ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
2:1	jn9x	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
2:2	ehwz	keyterm	אֲדֹנָ֜⁠י	1	rc://*/tw/dict/bible/kt/lord
2:2	sgnm	name	יַעֲקֹ֔ב	1	rc://*/tw/dict/bible/names/jacob
2:2	ynbu	name	יְהוּדָ֖ה	1	rc://*/tw/dict/bible/names/judea
2:2	peqe		מַמְלָכָ֖ה	1	rc://*/tw/dict/bible/other/kingdom
2:2	hajn		וְ⁠שָׂרֶֽי⁠הָ	1	rc://*/tw/dict/bible/other/prince
2:3	nj6j	name	בְּ⁠יַעֲקֹב֙	1	rc://*/tw/dict/bible/names/jacob
2:3	q3uc	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
2:3	y4uu	keyterm	הֵשִׁ֥יב	1	rc://*/tw/dict/bible/kt/restore
2:3	p4wg		אוֹיֵ֑ב	1	rc://*/tw/dict/bible/other/adversary
2:3	yeng		אָכְלָ֖ה	1	rc://*/tw/dict/bible/other/devour
2:4	mjet	keyterm	צִיּ֔וֹן	1	rc://*/tw/dict/bible/kt/zion
2:4	scf8	keyterm	חֲמָתֽ⁠וֹ	1	rc://*/tw/dict/bible/kt/wrath
2:5	a4vh	keyterm	אֲדֹנָ֤⁠י	1	rc://*/tw/dict/bible/kt/lord
2:5	fwdv	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
2:5	v5ax	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
2:6	yhy3	keyterm	וְ⁠שַׁבָּ֔ת	1	rc://*/tw/dict/bible/kt/sabbath
2:6	xcsy		מוֹעֲד֑⁠וֹ	1	rc://*/tw/dict/bible/other/feast
2:6	de49	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
2:6	rkrz	keyterm	בְּ⁠צִיּוֹן֙	1	rc://*/tw/dict/bible/kt/zion
2:6	etef		מוֹעֵ֣ד	1	rc://*/tw/dict/bible/other/feast
2:6	vj6c		מֶ֥לֶךְ	1	rc://*/tw/dict/bible/other/king
2:7	l04c	keyterm	מִזְבְּח⁠וֹ֙	1	rc://*/tw/dict/bible/kt/altar
2:7	zyvz	keyterm	מִקְדָּשׁ֔⁠וֹ	1	rc://*/tw/dict/bible/kt/sanctuary
2:7	pfz9	keyterm	אֲדֹנָ֤⁠י	1	rc://*/tw/dict/bible/kt/lord
2:7	j3u7	keyterm	מִזְבְּח⁠וֹ֙	2	rc://*/tw/dict/bible/kt/altar
2:7	f5nd		אוֹיֵ֔ב	1	rc://*/tw/dict/bible/other/adversary
2:7	x2d8	keyterm	בְּ⁠בֵית	1	rc://*/tw/dict/bible/kt/temple
2:7	jmx9	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:7	bt64		מוֹעֵֽד	1	rc://*/tw/dict/bible/other/feast
2:8	fyr6	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
2:8	qv8w	keyterm	צִיּ֔וֹן	1	rc://*/tw/dict/bible/kt/zion
2:8	pbms	keyterm	הֵשִׁ֥יב	1	rc://*/tw/dict/bible/kt/restore
2:8	mkat		וַ⁠יַּֽאֲבֶל	1	rc://*/tw/dict/bible/other/mourn
2:9	cptt		שְׁעָרֶ֔י⁠הָ	1	rc://*/tw/dict/bible/other/gate
2:9	papq	keyterm	אִבַּ֥ד	1	rc://*/tw/dict/bible/kt/perish
2:9	vpvy		מַלְכָּ֨⁠הּ	1	rc://*/tw/dict/bible/other/king
2:9	jdz6		וְ⁠שָׂרֶ֤י⁠הָ	1	rc://*/tw/dict/bible/other/prince
2:9	b6db		בַ⁠גּוֹיִם֙	1	rc://*/tw/dict/bible/other/nation
2:9	ejqm	keyterm	תּוֹרָ֔ה	1	rc://*/tw/dict/bible/kt/lawofmoses
2:9	amtd	keyterm	נְבִיאֶ֕י⁠הָ	1	rc://*/tw/dict/bible/kt/prophet
2:10	hgy5		זִקְנֵ֣י	1	rc://*/tw/dict/bible/other/elder
2:10	pbyj	keyterm	צִיּ֔וֹן	1	rc://*/tw/dict/bible/kt/zion
2:10	ks97		חָגְר֖וּ	1	rc://*/tw/dict/bible/other/gird
2:10	a5gy		שַׂקִּ֑ים	1	rc://*/tw/dict/bible/other/sackcloth
2:10	kkbw		בְּתוּלֹ֖ת	1	rc://*/tw/dict/bible/other/virgin
2:10	fsxs	name	יְרוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
2:11	d4s7		כָּל֨וּ	1	rc://*/tw/dict/bible/other/consume
2:11	uvrk		עַמִּ֑⁠י	1	rc://*/tw/dict/bible/other/peoplegroup
2:12	vjhj		דָּגָ֣ן	1	rc://*/tw/dict/bible/other/grain
2:12	q89c		וָ⁠יָ֑יִן	1	rc://*/tw/dict/bible/other/wine
2:13	dtgh	keyterm	אֲעִידֵ֞⁠ךְ	1	rc://*/tw/dict/bible/kt/testimony
2:13	j7st	name	יְר֣וּשָׁלִַ֔ם	1	rc://*/tw/dict/bible/names/jerusalem
2:13	eupq		בְּתוּלַ֖ת	1	rc://*/tw/dict/bible/other/virgin
2:13	s6rn	keyterm	צִיּ֑וֹן	1	rc://*/tw/dict/bible/kt/zion
2:14	mx4e	keyterm	נְבִיאַ֗יִ⁠ךְ	1	rc://*/tw/dict/bible/kt/prophet
2:14	d7yv		גִלּ֥וּ	1	rc://*/tw/dict/bible/other/exile
2:14	ev6z	keyterm	עֲוֺנֵ֖⁠ךְ	1	rc://*/tw/dict/bible/kt/iniquity
2:14	bs72	keyterm	לְ⁠הָשִׁ֣יב	1	rc://*/tw/dict/bible/kt/restore
2:14	bkgc		שְׁבוּתֵ֑ךְ	1	rc://*/tw/dict/bible/other/captive
2:15	edvy	name	יְרוּשָׁלִָ֑ם	1	rc://*/tw/dict/bible/names/jerusalem
2:15	p7bg		הָ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
