Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	wmzm		וַ⁠יִּקְרָ֖א	1	rc://*/tw/dict/bible/other/declare
1:1	xpef	name	מֹשֶׁ֑ה	1	rc://*/tw/dict/bible/names/moses
1:1	xbur	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:1	yjq9		מוֹעֵ֖ד	1	rc://*/tw/dict/bible/other/feast
1:2	f6bj	name	אָדָ֗ם	1	rc://*/tw/dict/bible/names/adam
1:2	dztg	keyterm	יִשְׂרָאֵל֙	1	rc://*/tw/dict/bible/kt/israel
1:2	z7uw	keyterm	לַֽ⁠יהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	gmgy		הַ⁠צֹּ֔אן	1	rc://*/tw/dict/bible/other/sheep
1:3	n6vy		עֹלָ֤ה	1	rc://*/tw/dict/bible/other/burntoffering
1:3	p9a6		מוֹעֵד֙	1	rc://*/tw/dict/bible/other/feast
1:3	gck4	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	h9sg	keyterm	לְ⁠כַפֵּ֥ר	1	rc://*/tw/dict/bible/kt/atonement
1:5	wjtf		וְ⁠שָׁחַ֛ט	1	rc://*/tw/dict/bible/other/slaughter
1:5	pxv3	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:5	txw5	name	אַהֲרֹ֤ן	1	rc://*/tw/dict/bible/names/aaron
1:5	f44y	keyterm	הַֽ⁠כֹּֽהֲנִים֙	1	rc://*/tw/dict/bible/kt/priest
1:5	tfkr	keyterm	הַ⁠מִּזְבֵּ֨חַ֙	1	rc://*/tw/dict/bible/kt/altar
1:5	xjdz		מוֹעֵֽד	1	rc://*/tw/dict/bible/other/feast
1:7	qedv	name	אַהֲרֹ֧ן	1	rc://*/tw/dict/bible/names/aaron
1:7	xnkq	keyterm	הַ⁠כֹּהֵ֛ן	1	rc://*/tw/dict/bible/kt/priest
1:7	jpvs	keyterm	הַ⁠מִּזְבֵּ֑חַ	1	rc://*/tw/dict/bible/kt/altar
1:8	nsc2	name	אַהֲרֹן֙	1	rc://*/tw/dict/bible/names/aaron
1:8	ugnz	keyterm	הַ⁠כֹּ֣הֲנִ֔ים	1	rc://*/tw/dict/bible/kt/priest
1:8	bk7e		הָ⁠רֹ֖אשׁ	1	rc://*/tw/dict/bible/other/chief
1:8	tphr	keyterm	הַ⁠מִּזְבֵּֽחַ	1	rc://*/tw/dict/bible/kt/altar
1:9	wt66	keyterm	הַ⁠כֹּהֵ֤ן	1	rc://*/tw/dict/bible/kt/priest
1:9	b7mk	keyterm	הַ⁠מִּזְבֵּ֔חָ⁠ה	1	rc://*/tw/dict/bible/kt/altar
1:9	ek37		עֹלָ֛ה	1	rc://*/tw/dict/bible/other/burntoffering
1:9	updz	keyterm	לַֽ⁠יהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:10	hsyk		הַ⁠צֹּ֨אן	1	rc://*/tw/dict/bible/other/sheep
1:11	xm8x		וְ⁠שָׁחַ֨ט	1	rc://*/tw/dict/bible/other/slaughter
1:11	na3j	keyterm	הַ⁠מִּזְבֵּ֛חַ	1	rc://*/tw/dict/bible/kt/altar
1:11	aadr	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:11	hsge	name	אַהֲרֹ֨ן	1	rc://*/tw/dict/bible/names/aaron
1:11	w97j	keyterm	הַ⁠כֹּהֲנִ֧ים	1	rc://*/tw/dict/bible/kt/priest
1:11	ngxk	keyterm	הַ⁠מִּזְבֵּ֖חַ	1	rc://*/tw/dict/bible/kt/altar
1:12	u5ep	keyterm	הַ⁠כֹּהֵן֙	1	rc://*/tw/dict/bible/kt/priest
1:12	yqdj	keyterm	הַ⁠מִּזְבֵּֽחַ	1	rc://*/tw/dict/bible/kt/altar
1:13	wkvw	keyterm	הַ⁠כֹּהֵ֤ן	1	rc://*/tw/dict/bible/kt/priest
1:13	vp8m	keyterm	הַ⁠מִּזְבֵּ֔חָ⁠ה	1	rc://*/tw/dict/bible/kt/altar
1:13	qbw8		עֹלָ֣ה	1	rc://*/tw/dict/bible/other/burntoffering
1:13	reea	keyterm	לַ⁠יהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
