Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	qzqn	name	מַלְאָכִֽי	1	rc://*/tw/dict/bible/names/malachi
1:1	baey	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	j8eb	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
1:2	mikl	name	לְ⁠יַֽעֲקֹב֙	1	rc://*/tw/dict/bible/names/jacob
1:2	kwcx	name	עֵשָׂ֤ו	1	rc://*/tw/dict/bible/names/esau
1:2	nz5p	keyterm	אָהַ֤בְתִּי	1	rc://*/tw/dict/bible/kt/love
1:2	j73w	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	x3rt	keyterm	אֲהַבְתָּ֑⁠נוּ	1	rc://*/tw/dict/bible/kt/love
1:2	fx8t	name	עֵשָׂ֤ו	1	rc://*/tw/dict/bible/names/esau
1:2	sc9a	keyterm	יְהוָ֔ה	2	rc://*/tw/dict/bible/kt/yahweh
1:2	h2rp	keyterm	וָ⁠אֹהַ֖ב	1	rc://*/tw/dict/bible/kt/love
1:2	z7ms	name	יַעֲקֹֽב	1	rc://*/tw/dict/bible/names/jacob
1:3	f18j	name	עֵשָׂ֖ו	1	rc://*/tw/dict/bible/names/esau
1:3	vhfu	name	עֵשָׂ֖ו	1	rc://*/tw/dict/bible/names/esau
1:3	cnqr	keyterm	וָ⁠אָשִׂ֤ים	1	rc://*/tw/dict/bible/kt/appoint
1:3	umdn		שְׁמָמָ֔ה	1	rc://*/tw/dict/bible/other/desolate
1:3	zxaf	keyterm	נַחֲלָת֖⁠וֹ	1	rc://*/tw/dict/bible/kt/inherit
1:4	p8t9	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	jjwp		וְ⁠קָרְא֤וּ	1	rc://*/tw/dict/bible/other/declare
1:4	qnxs		וְ⁠הָ⁠עָ֛ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:4	yzwn	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:5	hcvk		יִגְדַּ֣ל	1	rc://*/tw/dict/bible/other/proud
1:5	k9nf	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:5	n493	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
1:6	wgm6		וְ⁠עֶ֣בֶד	1	rc://*/tw/dict/bible/other/servant
1:6	whga	keyterm	אֲדֹנָ֑י⁠ו	1	rc://*/tw/dict/bible/kt/lord
1:6	jszu	keyterm	כְבוֹדִ֡⁠י	1	rc://*/tw/dict/bible/kt/glory
1:6	dpgw	keyterm	אֲדוֹנִ֣ים	1	rc://*/tw/dict/bible/kt/lord
1:6	y92x	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
