Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	ssd5	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	zgyu	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	mpxb	name	Δαυεὶδ	1	rc://*/tw/dict/bible/names/david
1:1	jmw4	name	Ἀβραάμ	1	rc://*/tw/dict/bible/names/abraham
1:2	aceq	name	Ἀβραὰμ	1	rc://*/tw/dict/bible/names/abraham
1:2	h2fq	name	Ἰσαάκ	1	rc://*/tw/dict/bible/names/isaac
1:2	a7ws	name	Ἰσαὰκ	1	rc://*/tw/dict/bible/names/isaac
1:2	m8q9	name	Ἰακώβ	1	rc://*/tw/dict/bible/names/jacob
1:2	v2m3	name	Ἰακὼβ	1	rc://*/tw/dict/bible/names/jacob
1:2	c5dr	name	Ἰούδαν	1	rc://*/tw/dict/bible/names/judah
1:3	ybty	name	Ἰούδας	1	rc://*/tw/dict/bible/names/judah
1:3	zbmd	name	Θαμάρ	1	rc://*/tw/dict/bible/names/tamar
1:5	qmbw	name	Βόες	1	rc://*/tw/dict/bible/names/boaz
1:5	hj9b	name	Ῥαχάβ	1	rc://*/tw/dict/bible/names/rahab
1:5	r5at	name	Βόες	2	rc://*/tw/dict/bible/names/boaz
1:5	z625	name	Ῥούθ	1	rc://*/tw/dict/bible/names/ruth
1:5	rnw3	name	Ἰεσσαί	1	rc://*/tw/dict/bible/names/jesse
1:6	w69k	name	Ἰεσσαὶ	1	rc://*/tw/dict/bible/names/jesse
1:6	ajce	name	Δαυεὶδ	1	rc://*/tw/dict/bible/names/david
1:6	scsw		βασιλέα	1	rc://*/tw/dict/bible/other/king
1:6	h4zv	name	Δαυεὶδ	2	rc://*/tw/dict/bible/names/david
1:6	ngza	name	Σολομῶνα	1	rc://*/tw/dict/bible/names/solomon
1:6	mwpa	name	Οὐρίου	1	rc://*/tw/dict/bible/names/uriah
1:7	jgnz	name	Σολομὼν	1	rc://*/tw/dict/bible/names/solomon
1:7	gpsg	name	Ῥοβοάμ	1	rc://*/tw/dict/bible/names/rehoboam
1:7	ajgm	name	Ῥοβοὰμ	1	rc://*/tw/dict/bible/names/rehoboam
1:7	fdzs	name	Ἀβιά	1	rc://*/tw/dict/bible/names/abijah
1:7	s89t	name	Ἀβιὰ	1	rc://*/tw/dict/bible/names/abijah
1:7	a9kw	name	Ἀσάφ	1	rc://*/tw/dict/bible/names/asa
1:8	vwtd	name	Ἀσὰφ	1	rc://*/tw/dict/bible/names/asa
1:8	zjgt	name	Ἰωσαφάτ	1	rc://*/tw/dict/bible/names/jehoshaphat
1:8	w8wr	name	Ἰωσαφὰτ	1	rc://*/tw/dict/bible/names/jehoshaphat
1:8	uqrc	name	Ἰωράμ	1	rc://*/tw/dict/bible/names/jehoram
1:8	y5g3	name	Ἰωρὰμ	1	rc://*/tw/dict/bible/names/jehoram
1:8	qacv	name	Ὀζείαν	1	rc://*/tw/dict/bible/names/uzziah
1:9	twn3	name	Ὀζείας	1	rc://*/tw/dict/bible/names/uzziah
1:9	b7bq	name	Ἰωαθάμ	1	rc://*/tw/dict/bible/names/jotham
1:9	yjnm	name	Ἰωαθὰμ	1	rc://*/tw/dict/bible/names/jotham
1:9	qrkv	name	Ἀχάζ	1	rc://*/tw/dict/bible/names/ahaz
1:9	nmtu	name	Ἀχὰζ	1	rc://*/tw/dict/bible/names/ahaz
1:9	qrqa	name	Ἑζεκίαν	1	rc://*/tw/dict/bible/names/hezekiah
1:10	bm5x	name	Ἑζεκίας	1	rc://*/tw/dict/bible/names/hezekiah
1:10	fjmb	name	Μανασσῆ	1	rc://*/tw/dict/bible/names/manasseh
1:10	sjg8	name	Μανασσῆς	1	rc://*/tw/dict/bible/names/manasseh
1:10	b9ss	name	Ἰωσίαν	1	rc://*/tw/dict/bible/names/josiah
1:11	avg3	name	Ἰωσίας	1	rc://*/tw/dict/bible/names/josiah
1:11	jhnk	name	Βαβυλῶνος	1	rc://*/tw/dict/bible/names/babylon
1:12	ph9e	name	Βαβυλῶνος	1	rc://*/tw/dict/bible/names/babylon
1:12	ks7r	name	Ζοροβαβέλ	1	rc://*/tw/dict/bible/names/zerubbabel
1:13	u6xp	name	Ζοροβαβὲλ	1	rc://*/tw/dict/bible/names/zerubbabel
1:13	jk93	name	Ἐλιακείμ	1	rc://*/tw/dict/bible/names/eliakim
1:13	typ4	name	Ἐλιακεὶμ	1	rc://*/tw/dict/bible/names/eliakim
1:14	g9k3	name	Σαδώκ	1	rc://*/tw/dict/bible/names/zadok
1:14	tnda	name	Σαδὼκ	1	rc://*/tw/dict/bible/names/zadok
1:15	gafy	name	Ἐλεάζαρ	1	rc://*/tw/dict/bible/names/eleazar
1:15	fg46	name	Ἐλεάζαρ	2	rc://*/tw/dict/bible/names/eleazar
1:15	mcbw	name	Ἰακώβ	1	rc://*/tw/dict/bible/names/jacob
1:16	jmpu	name	Ἰακὼβ	1	rc://*/tw/dict/bible/names/jacob
1:16	sbuq	name	Ἰωσὴφ	1	rc://*/tw/dict/bible/names/josephnt
1:16	cg6x	name	Μαρίας	1	rc://*/tw/dict/bible/names/mary
1:16	gw48	keyterm; name	Ἰησοῦς	1	rc://*/tw/dict/bible/kt/jesus
1:16	zk66	keyterm	λεγόμενος	1	rc://*/tw/dict/bible/kt/call
1:16	aexq	keyterm	Χριστός	1	rc://*/tw/dict/bible/kt/christ
1:17	z3db		γενεαὶ	1	rc://*/tw/dict/bible/other/generation
1:17	reqk	name	Ἀβραὰμ	1	rc://*/tw/dict/bible/names/abraham
1:17	vjcw	name	Δαυεὶδ	1	rc://*/tw/dict/bible/names/david
1:17	r2dd		γενεαὶ	2	rc://*/tw/dict/bible/other/generation
1:17	yup3	name	Δαυεὶδ	2	rc://*/tw/dict/bible/names/david
1:17	ftdv	name	Βαβυλῶνος	1	rc://*/tw/dict/bible/names/babylon
1:17	ef7w		γενεαὶ	3	rc://*/tw/dict/bible/other/generation
1:17	c7ft	name	Βαβυλῶνος	2	rc://*/tw/dict/bible/names/babylon
1:17	khr4	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:17	rmyt		γενεαὶ	4	rc://*/tw/dict/bible/other/generation
1:18	wvjd	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
