Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	nend	name	מִיכָה֙	1	rc://*/tw/dict/bible/names/micah
1:1	kvx8	name	יוֹתָ֛ם	1	rc://*/tw/dict/bible/names/jotham
1:1	u6tl	name	אָחָ֥ז	1	rc://*/tw/dict/bible/names/ahaz
1:1	ap5k	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	jf9d		מַלְכֵ֣י	1	rc://*/tw/dict/bible/other/king
1:1	p8rf	name	יְהוּדָ֑ה	1	rc://*/tw/dict/bible/names/judea
1:1	w2u3	name	שֹׁמְר֖וֹן	1	rc://*/tw/dict/bible/names/samaria
1:1	c3cd	name	וִ⁠ירֽוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
1:2	u8f2		עַמִּ֣ים	1	rc://*/tw/dict/bible/other/peoplegroup
1:2	v79h		אֶ֣רֶץ	1	rc://*/tw/dict/bible/other/earth
1:2	ueze	keyterm	אֲדֹנָ֨⁠י	1	rc://*/tw/dict/bible/kt/lord
1:2	qny5	keyterm	אֲדֹנָ֖⁠י	1	rc://*/tw/dict/bible/kt/lord
1:2	up55	keyterm	קָדְשֽׁ⁠וֹ	1	rc://*/tw/dict/bible/kt/holy
1:3	e8u3	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	w7dh		יֹצֵ֣א	1	rc://*/tw/dict/bible/other/know
1:3	hdud		אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
1:5	x6w4	name	יַֽעֲקֹב֙	1	rc://*/tw/dict/bible/names/jacob
1:5	h9tw		בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
1:5	bbxn	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
1:5	v9ub	name	יַעֲקֹ֗ב	1	rc://*/tw/dict/bible/names/jacob
1:5	an7p	name	שֹֽׁמְר֔וֹן	1	rc://*/tw/dict/bible/names/samaria
1:5	dmmc	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
