Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	x9lw	name	נַח֖וּם	1	rc://*/tw/dict/bible/names/nahum
1:2	h3wf	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	q97v	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	t9wu	keyterm	חֵמָ֑ה	1	rc://*/tw/dict/bible/kt/wrath
1:2	c9yu	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:3	mt25	keyterm	יְהֹוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	yagh	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	dq5e	name	לְבָנ֖וֹן	1	rc://*/tw/dict/bible/names/lebanon
1:4	kefd	name	בָּשָׁן֙	1	rc://*/tw/dict/bible/names/bashan
1:4	mgh4		גּוֹעֵ֤ר	1	rc://*/tw/dict/bible/other/rebuke
1:5	xamf		רָעֲשׁ֣וּ	1	rc://*/tw/dict/bible/other/tremble
1:5	m8tz		הָ⁠אָ֨רֶץ֙	1	rc://*/tw/dict/bible/other/earth
1:6	zkt5	keyterm	יַֽעֲמ֔וֹד	1	rc://*/tw/dict/bible/kt/appoint
1:6	b65d	keyterm	חֲמָת⁠וֹ֙	1	rc://*/tw/dict/bible/kt/wrath
1:7	k94b	keyterm	ט֣וֹב	1	rc://*/tw/dict/bible/kt/good
1:7	b2rt	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	v7dm		צָרָ֑ה	1	rc://*/tw/dict/bible/other/trouble
1:7	mszt		וְ⁠יֹדֵ֖עַ	1	rc://*/tw/dict/bible/other/know
1:8	s8yh		יְרַדֶּף	1	rc://*/tw/dict/bible/other/persecute
1:9	j6mw	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	c3sj		צָרָֽה	1	rc://*/tw/dict/bible/other/trouble
1:10	g67m		אֻ֨כְּל֔וּ	1	rc://*/tw/dict/bible/other/devour
1:11	tm8a		יָצָ֔א	1	rc://*/tw/dict/bible/other/know
1:11	tzjc	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:11	bmb3	keyterm	רָעָ֑ה	1	rc://*/tw/dict/bible/kt/evil
1:11	w2ct		יֹעֵ֖ץ	1	rc://*/tw/dict/bible/other/counselor
1:12	puqp	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
