Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	wfrc	keyterm	יְהוָ֧ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	dv9t	name	מֹשֶׁ֛ה	1	rc://*/tw/dict/bible/names/moses
1:1	txt6		בְּ⁠מִדְבַּ֥ר	1	rc://*/tw/dict/bible/other/desert
1:1	qg5a		מוֹעֵ֑ד	1	rc://*/tw/dict/bible/other/feast
1:1	d993	name	מִצְרַ֖יִם	1	rc://*/tw/dict/bible/names/egypt
1:2	jbq5	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:2	g6pv		לְ⁠מִשְׁפְּחֹתָ֖⁠ם	1	rc://*/tw/dict/bible/other/clan
1:2	pmgr		לְ⁠בֵ֣ית	1	rc://*/tw/dict/bible/other/house
1:3	d00s	name	וְ⁠אַהֲרֹֽן	1	rc://*/tw/dict/bible/names/aaron
1:3	b34v		יֹצֵ֥א	1	rc://*/tw/dict/bible/other/know
1:3	hdr3	keyterm	בְּ⁠יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
1:4	ws75		לַ⁠מַּטֶּ֑ה	1	rc://*/tw/dict/bible/other/tribe
1:4	ct8j		לְ⁠בֵית	1	rc://*/tw/dict/bible/other/house
1:5	g8qu	keyterm	יַֽעַמְד֖וּ	1	rc://*/tw/dict/bible/kt/appoint
1:7	m3qm	name	לִֽ⁠יהוּדָ֕ה	1	rc://*/tw/dict/bible/names/judah
1:8	skml	name	לְ⁠יִ֨שָּׂשכָ֔ר	1	rc://*/tw/dict/bible/names/issachar
1:10	a2zd	name	יוֹסֵ֔ף	1	rc://*/tw/dict/bible/names/josephot
1:11	ftv5	name	לְ⁠בִ֨נְיָמִ֔ן	1	rc://*/tw/dict/bible/names/benjamin
1:13	t90m	name	לְ⁠אָשֵׁ֕ר	1	rc://*/tw/dict/bible/names/asher
1:15	muz2	name	לְ⁠נַ֨פְתָּלִ֔י	1	rc://*/tw/dict/bible/names/naphtali
1:16	w6xj	keyterm	יִשְׂרָאֵ֖ל	1	rc://*/tw/dict/bible/kt/israel
1:17	o265	name	וְ⁠אַהֲרֹ֑ן	1	rc://*/tw/dict/bible/names/aaron
1:17	rnt8	name	מֹשֶׁ֖ה	1	rc://*/tw/dict/bible/names/moses
1:18	e999		הִקְהִ֗ילוּ	1	rc://*/tw/dict/bible/other/assembly
1:18	v42h		מִשְׁפְּחֹתָ֖⁠ם	1	rc://*/tw/dict/bible/other/family
1:18	jmdf		לְ⁠בֵ֣ית	1	rc://*/tw/dict/bible/other/house
1:19	dkye	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:19	rwu8	name	מֹשֶׁ֑ה	1	rc://*/tw/dict/bible/names/moses
1:19	fzs6	keyterm	וַֽ⁠יִּפְקְדֵ֖⁠ם	1	rc://*/tw/dict/bible/kt/appoint
1:19	m388		בְּ⁠מִדְבַּ֥ר	1	rc://*/tw/dict/bible/other/desert
1:20	aqzk	name	רְאוּבֵן֙	1	rc://*/tw/dict/bible/names/reuben
1:20	kskp		בְּכֹ֣ר	1	rc://*/tw/dict/bible/other/firstborn
1:20	f9ac	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:20	kq92		תּוֹלְדֹתָ֥⁠ם	1	rc://*/tw/dict/bible/other/generation
1:20	nf2w		לְ⁠מִשְׁפְּחֹתָ֖⁠ם	1	rc://*/tw/dict/bible/other/clan
1:20	rrse		לְ⁠בֵ֣ית	1	rc://*/tw/dict/bible/other/house
1:20	yf45		יֹצֵ֥א	1	rc://*/tw/dict/bible/other/know
1:21	q44s		לְ⁠מַטֵּ֣ה	1	rc://*/tw/dict/bible/other/tribe
1:21	jbe5	name	רְאוּבֵ֑ן	1	rc://*/tw/dict/bible/names/reuben
