Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	xd3j		מִ֭שְׁלֵי	1	rc://*/tw/dict/bible/other/proverb
1:1	y47n	name	שְׁלֹמֹ֣ה	1	rc://*/tw/dict/bible/names/solomon
1:1	vzs5	name	דָּוִ֑ד	1	rc://*/tw/dict/bible/names/david
1:1	qnws		מֶ֝֗לֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	qws3	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
1:2	ephi		לָ⁠דַ֣עַת	1	rc://*/tw/dict/bible/other/know
1:2	bkrc	keyterm	חָכְמָ֣ה	1	rc://*/tw/dict/bible/kt/wise
1:2	povn		וּ⁠מוּסָ֑ר	1	rc://*/tw/dict/bible/other/instruct
1:2	q1cb		לְ֝⁠הָבִ֗ין	1	rc://*/tw/dict/bible/other/understand
1:2	s5r6		בִינָֽה	1	rc://*/tw/dict/bible/other/understand
1:3	ylr0		מוּסַ֣ר	1	rc://*/tw/dict/bible/other/instruct
1:3	rw73	keyterm	צֶ֥דֶק	1	rc://*/tw/dict/bible/kt/righteous
1:3	aq33	keyterm	וּ֝⁠מִשְׁפָּ֗ט	1	rc://*/tw/dict/bible/kt/justice
1:4	bzmx		עָרְמָ֑ה	1	rc://*/tw/dict/bible/other/prudent
1:4	cq6i		דַּ֣עַת	1	rc://*/tw/dict/bible/other/know
1:4	kiix		וּ⁠מְזִמָּֽה	1	rc://*/tw/dict/bible/other/discernment
1:5	aefg	keyterm	חָ֭כָם	1	rc://*/tw/dict/bible/kt/wise
1:5	bdp9		וְ֝⁠נָב֗וֹן	1	rc://*/tw/dict/bible/other/discernment
1:6	wa2l		לְ⁠הָבִ֣ין	1	rc://*/tw/dict/bible/other/understand
1:6	l2se		מָ֭שָׁל	1	rc://*/tw/dict/bible/other/proverb
1:6	g977	keyterm	חֲ֝כָמִ֗ים	1	rc://*/tw/dict/bible/kt/wise
1:7	hcwx	keyterm	יִרְאַ֣ת	1	rc://*/tw/dict/bible/kt/fear
1:7	bz2n	keyterm	יְ֭הוָה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	uavs		דָּ֑עַת	1	rc://*/tw/dict/bible/other/know
1:7	ej5z	keyterm	חָכְמָ֥ה	1	rc://*/tw/dict/bible/kt/wise
1:7	dhns		וּ֝⁠מוּסָ֗ר	1	rc://*/tw/dict/bible/other/instruct
1:7	fd01	keyterm	אֱוִילִ֥ים	1	rc://*/tw/dict/bible/kt/foolish
1:8	epl8		מוּסַ֣ר	1	rc://*/tw/dict/bible/other/instruct
1:8	wdi0		תִּ֝טֹּ֗שׁ	1	rc://*/tw/dict/bible/other/forsaken
1:9	j9tk	keyterm	חֵ֓ן	1	rc://*/tw/dict/bible/kt/favor
1:10	ja0a	keyterm	חַ֝טָּאִ֗ים	1	rc://*/tw/dict/bible/kt/sin
1:11	j308	keyterm	לְ⁠נָקִ֣י	1	rc://*/tw/dict/bible/kt/innocent
1:12	n1du		בֽוֹר	1	rc://*/tw/dict/bible/other/pit
1:13	zvpm		בָתֵּ֣י⁠נוּ	1	rc://*/tw/dict/bible/other/house
1:14	mzuz		גּ֭וֹרָ֣לְ⁠ךָ	1	rc://*/tw/dict/bible/other/lots
1:16	hzoq	keyterm	לָ⁠רַ֣ע	1	rc://*/tw/dict/bible/kt/evil
1:17	xvvp		חִ֭נָּם	1	rc://*/tw/dict/bible/other/vain
1:20	kthm	keyterm	חָ֭כְמוֹת	1	rc://*/tw/dict/bible/kt/wise
1:20	ta1p		תָּרֹ֑נָּה	1	rc://*/tw/dict/bible/other/cry
1:21	y4ru		שְׁעָרִ֥ים	1	rc://*/tw/dict/bible/other/gate
1:22	uu6p	keyterm	תְּֽאֵהֲב֫וּ	1	rc://*/tw/dict/bible/kt/love
1:22	p3cz		וְ⁠לֵצִ֗ים	1	rc://*/tw/dict/bible/other/mock
1:22	aztp		לָ֭צוֹן	1	rc://*/tw/dict/bible/other/mock
1:22	c4dp		חָמְד֣וּ	1	rc://*/tw/dict/bible/other/delight
1:22	fwh9	keyterm	וּ֝⁠כְסִילִ֗ים	1	rc://*/tw/dict/bible/kt/foolish
1:22	y10c		דָֽעַת	1	rc://*/tw/dict/bible/other/know
1:23	kkvm		לְֽ⁠ת֫וֹכַחְתִּ֥⁠י	1	rc://*/tw/dict/bible/other/rebuke
1:23	z9dn	keyterm	רוּחִ֑⁠י	1	rc://*/tw/dict/bible/kt/spirit
1:23	pjnt		אוֹדִ֖יעָה	1	rc://*/tw/dict/bible/other/know
1:25	zchx		עֲצָתִ֑⁠י	1	rc://*/tw/dict/bible/other/counselor
1:25	d4c9		וְ֝⁠תוֹכַחְתִּ֗⁠י	1	rc://*/tw/dict/bible/other/rebuke
1:26	z98o		אֶ֝לְעַ֗ג	1	rc://*/tw/dict/bible/other/mock
1:26	ujj4		פַחְדְּ⁠כֶֽם	1	rc://*/tw/dict/bible/other/terror
1:27	humt		פַּחְדְּ⁠כֶ֗ם	1	rc://*/tw/dict/bible/other/terror
1:27	vqpp		צָרָ֥ה	1	rc://*/tw/dict/bible/other/trouble
1:27	y8ca		וְ⁠צוּקָֽה	1	rc://*/tw/dict/bible/other/anguish
1:28	vk4y		יְ֝שַׁחֲרֻ֗⁠נְנִי	1	rc://*/tw/dict/bible/other/seek
1:29	kn3f		דָ֑עַת	1	rc://*/tw/dict/bible/other/know
1:29	hjzm	keyterm	וְ⁠יִרְאַ֥ת	1	rc://*/tw/dict/bible/kt/fear
1:29	sbg4	keyterm	יְ֝הֹוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:30	sgbd		לַ⁠עֲצָתִ֑⁠י	1	rc://*/tw/dict/bible/other/counselor
1:30	na8i		תּוֹכַחְתִּֽ⁠י	1	rc://*/tw/dict/bible/other/rebuke
1:31	xajf		מִ⁠פְּרִ֣י	1	rc://*/tw/dict/bible/other/fruit
1:32	ec6a		תַּֽהַרְגֵ֑⁠ם	1	rc://*/tw/dict/bible/other/slain
1:32	asfn	keyterm	כְּסִילִ֣ים	1	rc://*/tw/dict/bible/kt/foolish
1:32	stkg	keyterm	תְּאַבְּדֵֽ⁠ם	1	rc://*/tw/dict/bible/kt/perish
1:33	d7te		מִ⁠פַּ֥חַד	1	rc://*/tw/dict/bible/other/terror
1:33	tbzr	keyterm	רָעָֽה	1	rc://*/tw/dict/bible/kt/evil
2:2	digs	keyterm	לַֽ⁠חָכְמָ֣ה	1	rc://*/tw/dict/bible/kt/wise
2:2	g4lt		לַ⁠תְּבוּנָֽה	1	rc://*/tw/dict/bible/other/understand
2:3	hqn1		לַ⁠בִּינָ֣ה	1	rc://*/tw/dict/bible/other/discernment
2:3	dzih		לַ֝⁠תְּבוּנָ֗ה	1	rc://*/tw/dict/bible/other/understand
2:4	z8dx		תְּבַקְשֶׁ֥⁠נָּה	1	rc://*/tw/dict/bible/other/seek
2:4	thzy		כַ⁠כָּ֑סֶף	1	rc://*/tw/dict/bible/other/silver
2:4	ay5j		תַּחְפְּשֶֽׂ⁠נָּה	1	rc://*/tw/dict/bible/other/seek
2:5	yvhn		תָּ֭בִין	1	rc://*/tw/dict/bible/other/understand
2:5	ubb3	keyterm	יִרְאַ֣ת	1	rc://*/tw/dict/bible/kt/fear
2:5	ghw3	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
2:5	mgu1		וְ⁠דַ֖עַת	1	rc://*/tw/dict/bible/other/know
2:5	gwur	keyterm	אֱלֹהִ֣ים	1	rc://*/tw/dict/bible/kt/god
2:6	a4bw	keyterm	יְ֭הוָה	1	rc://*/tw/dict/bible/kt/yahweh
2:6	zcff	keyterm	חָכְמָ֑ה	1	rc://*/tw/dict/bible/kt/wise
2:6	dprz		דַּ֣עַת	1	rc://*/tw/dict/bible/other/know
2:6	pmcg		וּ⁠תְבוּנָֽה	1	rc://*/tw/dict/bible/other/understand
2:7	t2jl	keyterm	לַ֭⁠יְשָׁרִים	1	rc://*/tw/dict/bible/kt/righteous
2:7	e4jf		תּוּשִׁיָּ֑ה	1	rc://*/tw/dict/bible/other/prudent
2:7	qtt9		מָ֝גֵ֗ן	1	rc://*/tw/dict/bible/other/shield
2:7	f6fz		תֹֽם	1	rc://*/tw/dict/bible/other/integrity
2:8	qjig		לִ֭⁠נְצֹר	1	rc://*/tw/dict/bible/other/watch
2:8	tdt4	keyterm	מִשְׁפָּ֑ט	1	rc://*/tw/dict/bible/kt/justice
2:8	jnrk	keyterm	חֲסִידָ֣יו	1	rc://*/tw/dict/bible/kt/faithful
2:8	ejak		יִשְׁמֹֽר	1	rc://*/tw/dict/bible/other/watch
2:9	xqt4		תָּ֭בִין	1	rc://*/tw/dict/bible/other/understand
2:9	v15w	keyterm	צֶ֣דֶק	1	rc://*/tw/dict/bible/kt/righteous
2:9	xy8m	keyterm	וּ⁠מִשְׁפָּ֑ט	1	rc://*/tw/dict/bible/kt/justice
2:9	gax2	keyterm	טֽוֹב	1	rc://*/tw/dict/bible/kt/good
