Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	uqew	keyterm	רְשָׁ֫עִ֥ים	1	rc://*/tw/dict/bible/kt/evil
1:2	sf3e	keyterm	בְּ⁠תוֹרַ֥ת	1	rc://*/tw/dict/bible/kt/lawofmoses
1:2	uzg6	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	uwc7		פִּרְי֨⁠וֹ	1	rc://*/tw/dict/bible/other/fruit
1:3	hkmf		יַצְלִֽיחַ	1	rc://*/tw/dict/bible/other/prosper
1:4	z234	keyterm	רֽוּחַ	1	rc://*/tw/dict/bible/kt/spirit
1:5	zbuw	keyterm	צַדִּיקִֽים	1	rc://*/tw/dict/bible/kt/righteous
1:6	ahdn		יוֹדֵ֣עַ	1	rc://*/tw/dict/bible/other/know
1:6	a59p	keyterm	יְ֭הוָה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	bz6p	keyterm	צַדִּיקִ֑ים	1	rc://*/tw/dict/bible/kt/righteous
1:6	bhm4	keyterm	תֹּאבֵֽד	1	rc://*/tw/dict/bible/kt/perish
2:1	z5hv		גוֹיִ֑ם	1	rc://*/tw/dict/bible/other/nation
2:1	owma		וּ֝⁠לְאֻמִּ֗ים	1	rc://*/tw/dict/bible/other/peoplegroup
2:2	jarx		מַלְכֵי	1	rc://*/tw/dict/bible/other/king
2:2	tn4v		אֶ֗רֶץ	1	rc://*/tw/dict/bible/other/earth
2:2	efn2	keyterm	יְ֝הוָה	1	rc://*/tw/dict/bible/kt/yahweh
2:2	tazs	keyterm	מְשִׁיחֽ⁠וֹ	1	rc://*/tw/dict/bible/kt/anoint
2:4	f4ep	keyterm	בַּ⁠שָּׁמַ֣יִם	1	rc://*/tw/dict/bible/kt/heaven
2:4	vcuw	keyterm	אֲ֝דֹנָ֗⁠י	1	rc://*/tw/dict/bible/kt/lord
2:6	newe		מַלְכִּ֑⁠י	1	rc://*/tw/dict/bible/other/king
2:6	eqzv	keyterm	צִ֝יּ֗וֹן	1	rc://*/tw/dict/bible/kt/zion
2:6	taz9	keyterm	קָדְשִֽׁ⁠י	1	rc://*/tw/dict/bible/kt/holy
2:7	bxk3		חֹ֥ק	1	rc://*/tw/dict/bible/other/decree
2:7	px9s	keyterm	יְֽהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
2:8	qmbb		ג֭וֹיִם	1	rc://*/tw/dict/bible/other/nation
2:8	cupm	keyterm	נַחֲלָתֶ֑⁠ךָ	1	rc://*/tw/dict/bible/kt/inherit
2:8	tfsr		אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
2:10	uq36		מְלָכִ֣ים	1	rc://*/tw/dict/bible/other/king
2:10	wrbq		הַשְׂכִּ֑ילוּ	1	rc://*/tw/dict/bible/other/prudent
2:10	m8y2		שֹׁ֣פְטֵי	1	rc://*/tw/dict/bible/other/ruler
2:10	jqus		אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
2:11	xbk3		עִבְד֣וּ	1	rc://*/tw/dict/bible/other/servant
