Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	vzre	name	Παῦλος	1	rc://*/tw/dict/bible/names/paul
1:1	kepr		δοῦλος	1	rc://*/tw/dict/bible/other/servant
1:1	wzjq	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	dd98	keyterm; name	Χριστοῦ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	hpfw	keyterm	κλητὸς	1	rc://*/tw/dict/bible/kt/call
1:1	mkkz	keyterm	ἀπόστολος	1	rc://*/tw/dict/bible/kt/apostle
1:1	v89h	keyterm	εὐαγγέλιον	1	rc://*/tw/dict/bible/kt/goodnews
1:1	yfhd	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:2	rqem	keyterm	προεπηγγείλατο	1	rc://*/tw/dict/bible/kt/promise
1:2	tuk9	keyterm	προφητῶν	1	rc://*/tw/dict/bible/kt/prophet
1:2	cncs	keyterm	ἁγίαις	1	rc://*/tw/dict/bible/kt/holy
1:2	z9aa	keyterm	Γραφαῖς ἁγίαις	1	rc://*/tw/dict/bible/kt/wordofgod
1:3	n4qa	keyterm	Υἱοῦ	1	rc://*/tw/dict/bible/kt/sonofgod
1:3	hkz5		σπέρματος	1	rc://*/tw/dict/bible/other/descendant
1:3	zphf	name	Δαυεὶδ	1	rc://*/tw/dict/bible/names/david
1:4	b79b		ὁρισθέντος	1	rc://*/tw/dict/bible/other/declare
1:4	vtg5	keyterm	Υἱοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/sonofgod
1:4	dn43	keyterm	Πνεῦμα ἁγιωσύνης	1	rc://*/tw/dict/bible/kt/holyspirit
1:4	rds2	keyterm	ἀναστάσεως	1	rc://*/tw/dict/bible/kt/resurrection
1:4	u2en	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:4	euak	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:4	fkde	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:5	qjbp		ἐλάβομεν	1	rc://*/tw/dict/bible/other/receive
1:5	tzu2	keyterm	χάριν	1	rc://*/tw/dict/bible/kt/grace
1:5	cbkd	keyterm	ἀποστολὴν	1	rc://*/tw/dict/bible/kt/apostle
1:5	mntg	keyterm	πίστεως	1	rc://*/tw/dict/bible/kt/believe
1:5	kbay	keyterm	ἔθνεσιν	1	rc://*/tw/dict/bible/kt/gentile
1:6	r9rq	keyterm	κλητοὶ	1	rc://*/tw/dict/bible/kt/call
1:6	pm42	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:6	agfa	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:7	hxsf	name	Ῥώμῃ	1	rc://*/tw/dict/bible/names/rome
1:7	rv6h	keyterm	ἀγαπητοῖς	1	rc://*/tw/dict/bible/kt/beloved
1:7	qda2	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:7	rxea	keyterm	κλητοῖς	1	rc://*/tw/dict/bible/kt/call
1:7	cqcp	keyterm	ἁγίοις	1	rc://*/tw/dict/bible/kt/saint
1:7	p5sx	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:7	wewx		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:7	a94k	keyterm	Θεοῦ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:7	kz4e	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:7	vcqa	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:7	ujne	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:8	svun	keyterm	Θεῷ	1	rc://*/tw/dict/bible/kt/god
1:8	m49m	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:8	x6nr	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:8	tahg	keyterm	πίστις	1	rc://*/tw/dict/bible/kt/believe
1:8	xybg		καταγγέλλεται	1	rc://*/tw/dict/bible/other/preach
