Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	is2d	name	לִ⁠שְׁלֹמֹֽה	1	rc://*/tw/dict/bible/names/solomon
1:2	zpz5	keyterm	טוֹבִ֥ים	1	rc://*/tw/dict/bible/kt/good
1:3	edua		שְׁמָנֶ֣י⁠ךָ	1	rc://*/tw/dict/bible/other/olive
1:3	z2r3	keyterm	טוֹבִ֔ים	1	rc://*/tw/dict/bible/kt/good
1:3	v33k		שֶׁ֖מֶן	1	rc://*/tw/dict/bible/other/olive
1:3	mkum	keyterm	אֲהֵבֽוּ⁠ךָ	1	rc://*/tw/dict/bible/kt/love
1:4	emjn		הַ⁠מֶּ֜לֶךְ	1	rc://*/tw/dict/bible/other/king
1:4	bkja		וְ⁠נִשְׂמְחָה֙	1	rc://*/tw/dict/bible/other/joy
1:4	gq28	keyterm	אֲהֵבֽוּ⁠ךָ	1	rc://*/tw/dict/bible/kt/love
1:5	jt7w	name	קֵדָ֔ר	1	rc://*/tw/dict/bible/names/kedar
1:5	pg44		כִּ⁠ירִיע֖וֹת	1	rc://*/tw/dict/bible/other/curtain
1:5	gfzv	name	יְרוּשָׁלִָ֑ם	1	rc://*/tw/dict/bible/names/jerusalem
1:5	q2xg	name	שְׁלֹמֹֽה	1	rc://*/tw/dict/bible/names/solomon
1:6	f332		כַּרְמִ֥⁠י	1	rc://*/tw/dict/bible/other/vineyard
1:7	kvux		עֶדְרֵ֥י	1	rc://*/tw/dict/bible/other/flock
1:8	a2pn	keyterm	מִשְׁכְּנ֥וֹת	1	rc://*/tw/dict/bible/kt/tabernacle
1:8	waff		תֵדְעִי֙	1	rc://*/tw/dict/bible/other/know
1:8	gybx		צְֽאִי	1	rc://*/tw/dict/bible/other/know
1:8	pjvv		הַ⁠צֹּ֗אן	1	rc://*/tw/dict/bible/other/sheep
1:11	rvzs		זָהָב֙	1	rc://*/tw/dict/bible/other/gold
1:11	qarx		הַ⁠כָּֽסֶף	1	rc://*/tw/dict/bible/other/silver
1:14	ydc4	name	גֶּֽדִי	1	rc://*/tw/dict/bible/names/engedi
1:14	eclm	name	עֵ֥ין	1	rc://*/tw/dict/bible/names/engedi
1:17	cyar		בָּתֵּ֨י⁠נוּ֙	1	rc://*/tw/dict/bible/other/house
1:17	rz3z		אֲרָזִ֔ים	1	rc://*/tw/dict/bible/other/cedar
2:3	n88x		וּ⁠פִרְי֖⁠וֹ	1	rc://*/tw/dict/bible/other/fruit
2:4	qj7h		בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
2:4	vz9n		הַ⁠יָּ֔יִן	1	rc://*/tw/dict/bible/other/wine
2:7	gfrb		הִשְׁבַּ֨עְתִּי	1	rc://*/tw/dict/bible/other/oath
2:7	gnfs	name	יְרוּשָׁלִַ֨ם֙	1	rc://*/tw/dict/bible/names/jerusalem
2:9	mtzy	keyterm	עוֹמֵד֙	1	rc://*/tw/dict/bible/kt/appoint
2:10	drxc	keyterm	עָנָ֥ה	1	rc://*/tw/dict/bible/kt/testimony
2:15	h8mu		כְּרָמִ֑ים	1	rc://*/tw/dict/bible/other/vineyard
2:15	qzj6		וּ⁠כְרָמֵ֖י⁠נוּ	1	rc://*/tw/dict/bible/other/vineyard
3:1	test		בִּקַּ֕שְׁתִּי	1	rc://*/tw/dict/bible/other/seek
3:1	manq		בִּקַּשְׁתִּ֖י⁠ו	1	rc://*/tw/dict/bible/other/seek
3:2	zwam		אֲבַקְשָׁ֕ה	1	rc://*/tw/dict/bible/other/seek
3:2	ftvr		בִּקַּשְׁתִּ֖י⁠ו	1	rc://*/tw/dict/bible/other/seek
3:4	dvj4		בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
3:5	z7bz		הִשְׁבַּ֨עְתִּי	1	rc://*/tw/dict/bible/other/oath
3:5	auhf	name	יְרוּשָׁלִַ֨ם֙	1	rc://*/tw/dict/bible/names/jerusalem
3:7	l9cj	name	שֶׁ⁠לִּ⁠שְׁלֹמֹ֔ה	1	rc://*/tw/dict/bible/names/solomon
3:7	cnby		גִּבֹּרִ֖ים	1	rc://*/tw/dict/bible/other/mighty
3:7	ms54	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
3:8	h7un		חֶ֔רֶב	1	rc://*/tw/dict/bible/other/sword
3:8	cctv		חַרְבּ⁠וֹ֙	1	rc://*/tw/dict/bible/other/sword
3:9	kyfd		הַ⁠מֶּ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
3:9	rwfu	name	שְׁלֹמֹ֔ה	1	rc://*/tw/dict/bible/names/solomon
3:9	smf2	name	הַ⁠לְּבָנֽוֹן	1	rc://*/tw/dict/bible/names/lebanon
3:10	yqlp		עַמּוּדָי⁠ו֙	1	rc://*/tw/dict/bible/other/pillar
3:10	c59m		אַרְגָּמָ֑ן	1	rc://*/tw/dict/bible/other/purple
3:10	gm82		כֶ֔סֶף	1	rc://*/tw/dict/bible/other/silver
3:10	gex3		זָהָ֔ב	1	rc://*/tw/dict/bible/other/gold
3:10	a78a	name	יְרוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
3:11	eyzk		צְאֶ֧ינָה	1	rc://*/tw/dict/bible/other/know
3:11	ke2j	keyterm	צִיּ֖וֹן	1	rc://*/tw/dict/bible/kt/zion
3:11	vef7		בַּ⁠מֶּ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
3:11	kuef	name	שְׁלֹמֹ֑ה	1	rc://*/tw/dict/bible/names/solomon
3:11	tfnm		שִׂמְחַ֥ת	1	rc://*/tw/dict/bible/other/joy
4:4	gb8a	name	דָּוִיד֙	1	rc://*/tw/dict/bible/names/david
4:4	km7r		הַ⁠מָּגֵן֙	1	rc://*/tw/dict/bible/other/shield
4:4	qvm7		תָּל֣וּי	1	rc://*/tw/dict/bible/other/hang
4:4	hpmx		הַ⁠גִּבּוֹרִֽים	1	rc://*/tw/dict/bible/other/mighty
4:6	zfnt		הַ⁠לְּבוֹנָֽה	1	rc://*/tw/dict/bible/other/frankincense
4:8	jpyl	name	מִ⁠לְּבָנ֣וֹן	1	rc://*/tw/dict/bible/names/lebanon
4:8	eo16	name	מִ⁠לְּבָנוֹן֙	1	rc://*/tw/dict/bible/names/lebanon
4:10	h64p		שְׁמָנַ֖יִ⁠ךְ	1	rc://*/tw/dict/bible/other/olive
4:11	zk96	name	לְבָנֽוֹן	1	rc://*/tw/dict/bible/names/lebanon
4:13	prk2		רִמּוֹנִ֔ים	1	rc://*/tw/dict/bible/other/pomegranate
4:13	u9q6		פְּרִ֣י	1	rc://*/tw/dict/bible/other/fruit
4:15	n35u	name	לְבָנֽוֹן	1	rc://*/tw/dict/bible/names/lebanon
4:16	he3m		וְ⁠יֹאכַ֖ל	1	rc://*/tw/dict/bible/other/devour
4:16	zudc		פְּרִ֥י	1	rc://*/tw/dict/bible/other/fruit
5:1	xqpp		אָכַ֤לְתִּי	1	rc://*/tw/dict/bible/other/devour
5:1	cfdb		יֵינִ֖⁠י	1	rc://*/tw/dict/bible/other/wine
5:1	t4zn		אִכְל֣וּ	1	rc://*/tw/dict/bible/other/devour
5:3	xaq3		כֻּתָּנְתִּ֔⁠י	1	rc://*/tw/dict/bible/other/tunic
5:6	r5av		יָֽצְאָ֣ה	1	rc://*/tw/dict/bible/other/know
5:6	ww3y		בִּקַּשְׁתִּ֨י⁠הוּ֙	1	rc://*/tw/dict/bible/other/seek
5:6	m5rn	keyterm	קְרָאתִ֖י⁠ו	1	rc://*/tw/dict/bible/kt/call
5:6	qk62	keyterm	עָנָֽ⁠נִי	1	rc://*/tw/dict/bible/kt/testimony
5:7	t2ka		שֹׁמְרֵ֖י	1	rc://*/tw/dict/bible/other/watch
5:8	ettz		הִשְׁבַּ֥עְתִּי	1	rc://*/tw/dict/bible/other/oath
5:8	kfge	name	יְרוּשָׁלִָ֑ם	1	rc://*/tw/dict/bible/names/jerusalem
5:9	v5ye		הִשְׁבַּעְתָּֽ⁠נוּ	1	rc://*/tw/dict/bible/other/oath
5:14	cbpv		זָהָ֔ב	1	rc://*/tw/dict/bible/other/gold
5:15	rlr0		עַמּ֣וּדֵי	1	rc://*/tw/dict/bible/other/pillar
5:15	t49f	name	כַּ⁠לְּבָנ֔וֹן	1	rc://*/tw/dict/bible/names/lebanon
5:15	sz9g		מְיֻסָּדִ֖ים	1	rc://*/tw/dict/bible/other/foundation
5:16	zaz4	name	יְרוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
6:1	xu7a		וּ⁠נְבַקְשֶׁ֖⁠נּוּ	1	rc://*/tw/dict/bible/other/seek
6:4	ftn6	name	כְּ⁠תִרְצָ֔ה	1	rc://*/tw/dict/bible/names/tirzah
6:5	hrfw	name	הַ⁠גִּלְעָֽד	1	rc://*/tw/dict/bible/names/gilead
6:9	ydrf		וַֽ⁠יְהַלְלֽוּ⁠הָ	1	rc://*/tw/dict/bible/other/praise
6:11	q4bm		הַ⁠גֶּ֔פֶן	1	rc://*/tw/dict/bible/other/vine
6:12	udy5		יָדַ֔עְתִּי	1	rc://*/tw/dict/bible/other/know
6:12	fxkk		מַרְכְּב֖וֹת	1	rc://*/tw/dict/bible/other/chariot
6:12	kwpc		עַמִּ⁠י	1	rc://*/tw/dict/bible/other/peoplegroup
6:13	g6s3	keyterm	שׁ֤וּבִי	1	rc://*/tw/dict/bible/kt/restore
6:13	kexq	keyterm	שׁ֨וּבִי֙	1	rc://*/tw/dict/bible/kt/restore
6:13	nrdm	keyterm	שׁ֥וּבִי	1	rc://*/tw/dict/bible/kt/restore
6:13	jg9k	keyterm	שׁ֖וּבִי	1	rc://*/tw/dict/bible/kt/restore
7:2	gsu5		חִטִּ֔ים	1	rc://*/tw/dict/bible/other/wheat
7:4	zhm2		שַׁ֨עַר֙	1	rc://*/tw/dict/bible/other/gate
7:4	cc8e	name	הַ⁠לְּבָנ֔וֹן	1	rc://*/tw/dict/bible/names/lebanon
7:5	uamv		כָּ⁠אַרְגָּמָ֑ן	1	rc://*/tw/dict/bible/other/purple
7:5	ybpq		מֶ֖לֶךְ	1	rc://*/tw/dict/bible/other/king
7:5	dm6k		אָס֥וּר	1	rc://*/tw/dict/bible/other/gird
7:8	ea7k		הַ⁠גֶּ֔פֶן	1	rc://*/tw/dict/bible/other/vine
7:9	g3ka	keyterm	הַ⁠טּ֛וֹב	1	rc://*/tw/dict/bible/kt/good
7:11	jcvx		נֵצֵ֣א	1	rc://*/tw/dict/bible/other/know
7:12	nwhm		הַ⁠גֶּ֨פֶן֙	1	rc://*/tw/dict/bible/other/vine
8:2	yn6f		בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
8:2	n859		רִמֹּנִֽ⁠י	1	rc://*/tw/dict/bible/other/pomegranate
8:4	sf9u		הִשְׁבַּ֥עְתִּי	1	rc://*/tw/dict/bible/other/oath
8:4	prv4	name	יְרוּשָׁלִָ֑ם	1	rc://*/tw/dict/bible/names/jerusalem
8:6	y44v		עַזָּ֤ה	1	rc://*/tw/dict/bible/other/mighty
8:7	cafw		בֵּית⁠וֹ֙	1	rc://*/tw/dict/bible/other/house
8:9	qwy5		כָּ֑סֶף	1	rc://*/tw/dict/bible/other/silver
8:9	yb35		דֶּ֣לֶת	1	rc://*/tw/dict/bible/other/gate
8:9	mkpf		אָֽרֶז	1	rc://*/tw/dict/bible/other/cedar
8:10	fku5		שָׁלֽוֹם	1	rc://*/tw/dict/bible/other/peace
8:11	q3wy	name	לִ⁠שְׁלֹמֹה֙	1	rc://*/tw/dict/bible/names/solomon
8:11	vsns		כֶּ֣רֶם	1	rc://*/tw/dict/bible/other/vineyard
8:11	d4wk		כָּֽסֶף	1	rc://*/tw/dict/bible/other/silver
8:12	b7n7		כָּרְמִ֥⁠י	1	rc://*/tw/dict/bible/other/vineyard
8:12	ahuc	name	שְׁלֹמֹ֔ה	1	rc://*/tw/dict/bible/names/solomon
8:12	f67c		פִּרְיֽ⁠וֹ	1	rc://*/tw/dict/bible/other/fruit
