Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	w2wo	name	זְכַרְיָה֙	1	rc://*/tw/dict/bible/names/zechariahot
1:1	sn7e	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	gfyh	keyterm	הַ⁠נָּבִ֖יא	1	rc://*/tw/dict/bible/kt/prophet
1:2	n4jk	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	db9q	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	qh7m	keyterm	שׁ֣וּבוּ	1	rc://*/tw/dict/bible/kt/restore
1:3	fsab	keyterm	יְהוָ֣ה	2	rc://*/tw/dict/bible/kt/yahweh
1:3	ux79	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	a6yn	keyterm	אֲלֵי⁠הֶם֩	1	rc://*/tw/dict/bible/kt/call
1:4	b77g	keyterm	הַ⁠נְּבִיאִ֨ים	1	rc://*/tw/dict/bible/kt/prophet
1:4	tbu7	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	bjhn	keyterm	שׁ֤וּבוּ	1	rc://*/tw/dict/bible/kt/restore
1:4	cjrt	keyterm	הָ⁠רָעִ֔ים	1	rc://*/tw/dict/bible/kt/evil
1:4	ehx7	keyterm	הָֽ⁠רָעִ֑ים	1	rc://*/tw/dict/bible/kt/evil
1:4	wfe2	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	cywt		וְ⁠חֻקַּ֗⁠י	1	rc://*/tw/dict/bible/other/statute
1:6	q4fp		עֲבָדַ֣⁠י	1	rc://*/tw/dict/bible/other/servant
1:6	jgct	keyterm	הַ⁠נְּבִיאִ֔ים	1	rc://*/tw/dict/bible/kt/prophet
1:6	k7rf	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	iioo	name	זְכַרְיָה֙	1	rc://*/tw/dict/bible/names/zechariahot
1:7	gzbx	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	rw7g	keyterm	הַ⁠נָּבִ֖יא	1	rc://*/tw/dict/bible/kt/prophet
1:8	tm5u		ס֣וּס	1	rc://*/tw/dict/bible/other/horse
1:8	ebhy	keyterm	עֹמֵ֔ד	1	rc://*/tw/dict/bible/kt/appoint
1:8	k8xu		סוּסִ֣ים	1	rc://*/tw/dict/bible/other/horse
1:9	hxj7	keyterm	אֲדֹנִ֑⁠י	1	rc://*/tw/dict/bible/kt/lord
1:10	nm6q	keyterm	הָ⁠עֹמֵ֥ד	1	rc://*/tw/dict/bible/kt/minister
1:10	jfh8	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:11	sjzq		מַלְאַ֣ךְ	1	rc://*/tw/dict/bible/other/messenger
1:11	zrgh	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:11	g8sm	keyterm	הָֽ⁠עֹמֵד֙	1	rc://*/tw/dict/bible/kt/minister
1:11	mdaa		הָ⁠אָ֖רֶץ	1	rc://*/tw/dict/bible/other/earth
1:12	gg6s		מַלְאַךְ	1	rc://*/tw/dict/bible/other/messenger
1:12	paq7	keyterm	יְהוָה֮	1	rc://*/tw/dict/bible/kt/yahweh
1:12	q8pu	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:12	zhps	name	יְרוּשָׁלִַ֔ם	1	rc://*/tw/dict/bible/names/jerusalem
1:12	gwz7	name	יְהוּדָ֑ה	1	rc://*/tw/dict/bible/names/judea
1:13	tf8d	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:13	yvk2	keyterm	טוֹבִ֑ים	1	rc://*/tw/dict/bible/kt/good
