Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	szqh	name	צְפַנְיָה֙	1	rc://*/tw/dict/bible/names/zephaniah
1:1	qmzn	name	יֹאשִׁיָּ֥הוּ	1	rc://*/tw/dict/bible/names/josiah
1:1	ts96	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	tfrm		מֶ֥לֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	dhzc	name	יְהוּדָֽה	1	rc://*/tw/dict/bible/names/judea
1:2	hrvd		אָסֹ֨ף	1	rc://*/tw/dict/bible/other/assembly
1:2	en3b	keyterm	אָסֵ֜ף	1	rc://*/tw/dict/bible/kt/perish
1:2	u5tc	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	atir	name	הָ⁠אָדָ֗ם	1	rc://*/tw/dict/bible/names/adam
1:3	lepp	name	אָדָ֜ם	1	rc://*/tw/dict/bible/names/adam
1:3	w4ku		אָסֵ֨ף	1	rc://*/tw/dict/bible/other/assembly
1:3	mfcb		וּ⁠בְהֵמָ֗ה	1	rc://*/tw/dict/bible/other/cow
1:3	mh4x		אָסֵ֤ף	1	rc://*/tw/dict/bible/other/assembly
1:3	egu5	keyterm	הַ⁠שָּׁמַ֨יִם֙	1	rc://*/tw/dict/bible/kt/heaven
1:3	qw25		וְ⁠הִכְרַתִּ֣י	1	rc://*/tw/dict/bible/other/cutoff
1:3	hkqd	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	xecd	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
1:4	jtvs	name	יְרוּשָׁלִָ֑ם	1	rc://*/tw/dict/bible/names/jerusalem
1:4	vuns		וְ⁠הִכְרַתִּ֞י	1	rc://*/tw/dict/bible/other/cutoff
1:4	zbuw	keyterm	הַ⁠כֹּהֲנִֽים	1	rc://*/tw/dict/bible/kt/priest
1:5	ubqn	keyterm	הַ⁠שָּׁמָ֑יִם	1	rc://*/tw/dict/bible/kt/heaven
1:5	ab3d	keyterm	לַֽ⁠יהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	d23v	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	tcjf		בִקְשׁ֥וּ	1	rc://*/tw/dict/bible/other/seek
1:6	s9h5	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	hgf4		דְרָשֻֽׁ⁠הוּ	1	rc://*/tw/dict/bible/other/seek
1:7	uam5	keyterm	אֲדֹנָ֣⁠י	1	rc://*/tw/dict/bible/kt/lord
1:7	wc2a	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	ehy7	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	xvyd		זֶ֖בַח	1	rc://*/tw/dict/bible/other/sacrifice
1:7	tmgy	keyterm	הִקְדִּ֥ישׁ	1	rc://*/tw/dict/bible/kt/consecrate
1:7	h7jt	keyterm	קְרֻאָֽי⁠ו	1	rc://*/tw/dict/bible/kt/call-tosummon
1:8	j6j2		זֶ֣בַח	1	rc://*/tw/dict/bible/other/sacrifice
1:8	h76q	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:8	k3vn	keyterm	וּ⁠פָקַדְתִּ֥י	1	rc://*/tw/dict/bible/kt/appoint
1:8	dukm		הַ⁠שָּׂרִ֖ים	1	rc://*/tw/dict/bible/other/chief
1:8	f6yw		הַ⁠מֶּ֑לֶךְ	1	rc://*/tw/dict/bible/other/king
1:8	dxbv		נָכְרִֽי	1	rc://*/tw/dict/bible/other/foreigner
1:9	zw3m	keyterm	וּ⁠פָקַדְתִּ֗י	1	rc://*/tw/dict/bible/kt/appoint
1:9	dd3k		בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
1:9	dzhm	keyterm	אֲדֹנֵי⁠הֶ֖ם	1	rc://*/tw/dict/bible/kt/lord
1:10	euxp	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:11	rjbg		עַ֣ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:11	cr77		נִכְרְת֖וּ	1	rc://*/tw/dict/bible/other/cutoff
1:11	jwx2		כָֽסֶף	1	rc://*/tw/dict/bible/other/silver
1:12	eujr	name	יְרוּשָׁלִַ֖ם	1	rc://*/tw/dict/bible/names/jerusalem
1:12	zffz	keyterm	וּ⁠פָקַדְתִּ֣י	1	rc://*/tw/dict/bible/kt/appoint
1:12	n4bc	keyterm	יֵיטִ֥יב	1	rc://*/tw/dict/bible/kt/favor
1:12	qc2f	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:12	qk64		יָרֵֽעַ	1	rc://*/tw/dict/bible/other/afflict
1:13	xfc4		חֵילָ⁠ם֙	1	rc://*/tw/dict/bible/other/prosper
1:13	bftt		וּ⁠בָתֵּי⁠הֶ֖ם	1	rc://*/tw/dict/bible/other/house
1:13	wh89		לִ⁠שְׁמָמָ֑ה	1	rc://*/tw/dict/bible/other/desolate
1:13	vzz3		בָתִּים֙	1	rc://*/tw/dict/bible/other/house
1:13	uj6d		כְרָמִ֔ים	1	rc://*/tw/dict/bible/other/vineyard
1:13	msh2		יֵינָֽ⁠ם	1	rc://*/tw/dict/bible/other/wine
1:14	wjsr	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:14	vkvu	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:14	he54		גִּבּֽוֹר	1	rc://*/tw/dict/bible/other/mighty
1:15	gagu		צָרָ֣ה	1	rc://*/tw/dict/bible/other/trouble
1:16	fx6r		שׁוֹפָ֖ר	1	rc://*/tw/dict/bible/other/trumpet
1:17	b634	name	לָ⁠אָדָ֗ם	1	rc://*/tw/dict/bible/names/adam
1:17	xg77	keyterm	לַֽ⁠יהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:17	ceqb	keyterm	חָטָ֑אוּ	1	rc://*/tw/dict/bible/kt/sin
1:18	ptsp		כַּסְפָּ֨⁠ם	1	rc://*/tw/dict/bible/other/silver
1:18	zk57		זְהָבָ֜⁠ם	1	rc://*/tw/dict/bible/other/gold
1:18	f9jf	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:18	jsy4		תֵּאָכֵ֖ל	1	rc://*/tw/dict/bible/other/devour
1:18	jvz9		הָ⁠אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
1:18	esfe		הָ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
2:1	zejg		הַ⁠גּ֖וֹי	1	rc://*/tw/dict/bible/other/nation
2:2	myt3		חֹ֔ק	1	rc://*/tw/dict/bible/other/statute
2:2	nsk3	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
2:2	a63u	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
2:3	ntpe		בַּקְּשׁ֤וּ	1	rc://*/tw/dict/bible/other/seek
2:3	v6vv	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
2:3	hkr5		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
2:3	wfnj	keyterm	מִשְׁפָּט֖⁠וֹ	1	rc://*/tw/dict/bible/kt/judge
2:3	gb52		בַּקְּשׁוּ	1	rc://*/tw/dict/bible/other/seek
2:3	t76v		בַּקְּשׁ֣וּ	1	rc://*/tw/dict/bible/other/seek
2:3	mp2x	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
2:4	s095	name	וְ⁠אַשְׁקְל֖וֹן	1	rc://*/tw/dict/bible/names/ashkelon
