Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	h5xj	name	Παῦλος	1	rc://*/tw/dict/bible/names/paul
1:1	e6rm	keyterm	ἀπόστολος	1	rc://*/tw/dict/bible/kt/apostle
1:1	ce2q	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	nmm3	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	vpmy	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:1	nr2v	keyterm	Σωτῆρος	1	rc://*/tw/dict/bible/kt/savior
1:1	wf6f	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:1	xexk	keyterm; name	Ἰησοῦ	2	rc://*/tw/dict/bible/kt/jesus
1:1	ekmn	keyterm	Χριστοῦ	2	rc://*/tw/dict/bible/kt/christ
1:1	eu4r	keyterm	τῆς ἐλπίδος	1	rc://*/tw/dict/bible/kt/hope
1:2	hdds	name	Τιμοθέῳ	1	rc://*/tw/dict/bible/names/timothy
1:2	umap	keyterm	πίστει	1	rc://*/tw/dict/bible/kt/faith
1:2	rf9n	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:2	wcq5	keyterm	ἔλεος	1	rc://*/tw/dict/bible/kt/mercy
1:2	hhfa		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:2	ngpn	keyterm	Θεοῦ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:2	np8w	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:2	ytew	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:2	ecwp	keyterm	τοῦ Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:3	xszh		παρεκάλεσά	1	rc://*/tw/dict/bible/other/plead
1:3	hfa4	name	Ἐφέσῳ	1	rc://*/tw/dict/bible/names/ephesus
1:3	xvwv	name	Μακεδονίαν	1	rc://*/tw/dict/bible/names/macedonia
1:3	t99j		ἑτεροδιδασκαλεῖν	1	rc://*/tw/dict/bible/other/doctrine
1:4	akft		οἰκονομίαν	1	rc://*/tw/dict/bible/other/manager
1:4	r2w7	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:4	kf4h	keyterm	πίστει	1	rc://*/tw/dict/bible/kt/faith
1:5	gmab	keyterm	ἀγάπη	1	rc://*/tw/dict/bible/kt/love
1:5	h2nr	keyterm	καθαρᾶς	1	rc://*/tw/dict/bible/kt/purify
1:5	sq94	keyterm	συνειδήσεως	1	rc://*/tw/dict/bible/kt/conscience
1:5	pduf	keyterm	ἀγαθῆς	1	rc://*/tw/dict/bible/kt/good
1:5	u5r5	keyterm	πίστεως	1	rc://*/tw/dict/bible/kt/faith
1:7	c4xg		νομοδιδάσκαλοι	1	rc://*/tw/dict/bible/other/teacher
1:7	a76r		νοοῦντες	1	rc://*/tw/dict/bible/other/understand
1:8	zne8		οἴδαμεν	1	rc://*/tw/dict/bible/other/know
1:8	w64z	keyterm	καλὸς	1	rc://*/tw/dict/bible/kt/good
1:8	h2gs	keyterm	νόμος	1	rc://*/tw/dict/bible/kt/lawofmoses
1:8	vqrf		νομίμως	1	rc://*/tw/dict/bible/other/lawful
1:9	br4t		εἰδὼς	1	rc://*/tw/dict/bible/other/know
1:9	ds3g	keyterm	δικαίῳ	1	rc://*/tw/dict/bible/kt/righteous
1:9	nqup	keyterm	νόμος	1	rc://*/tw/dict/bible/kt/lawofmoses
1:9	rb3n		ἀνόμοις	1	rc://*/tw/dict/bible/other/lawful
1:9	dm37		ἀνυποτάκτοις	1	rc://*/tw/dict/bible/other/rebel
1:9	hzb5	keyterm	ἀσεβέσι	1	rc://*/tw/dict/bible/kt/godly
1:9	k293	keyterm	ἁμαρτωλοῖς	1	rc://*/tw/dict/bible/kt/sin
1:9	cc7a	keyterm	ἀνοσίοις	1	rc://*/tw/dict/bible/kt/godly
1:9	t7fz		βεβήλοις	1	rc://*/tw/dict/bible/other/profane
1:10	hfpc		πόρνοις	1	rc://*/tw/dict/bible/other/fornication
1:10	xf8d		ἀνδραποδισταῖς	1	rc://*/tw/dict/bible/other/enslave
1:10	e8u3		διδασκαλίᾳ	1	rc://*/tw/dict/bible/other/instruct
1:11	eteu	keyterm	εὐαγγέλιον	1	rc://*/tw/dict/bible/kt/goodnews
1:11	gpeh	keyterm	τῆς δόξης	1	rc://*/tw/dict/bible/kt/glory
1:11	mhnc	keyterm	μακαρίου	1	rc://*/tw/dict/bible/kt/bless
1:11	gcpw	keyterm	τοῦ & Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:11	k4c7	keyterm	ἐπιστεύθην	1	rc://*/tw/dict/bible/kt/trust
1:12	zbkw	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:12	n7k4	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
