Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	nw4u	name	שָׁא֔וּל	1	rc://*/tw/dict/bible/names/saul
1:1	zqk5	name	וְ⁠דָוִ֣ד	1	rc://*/tw/dict/bible/names/david
1:1	h5yz	name	אֶת־הָ⁠עֲמָלֵ֑ק	1	rc://*/tw/dict/bible/names/amalekite
1:1	mbv9	name	דָּוִ֛ד	1	rc://*/tw/dict/bible/names/david
1:1	qbgt		יָמִ֥ים	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:2	tnev		בַּ⁠יּ֣וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:2	zv5n	name	שָׁא֔וּל	1	rc://*/tw/dict/bible/names/saul
1:2	n9ru	name	דָּוִ֔ד	1	rc://*/tw/dict/bible/names/david
1:2	w6q7	keyterm	וַ⁠יִּשְׁתָּֽחוּ	1	rc://*/tw/dict/bible/other/prostrate
1:3	tgts	name	דָּוִ֔ד	1	rc://*/tw/dict/bible/names/david
1:3	uu28	keyterm	יִשְׂרָאֵ֖ל	1	rc://*/tw/dict/bible/kt/israel
1:4	e3v6	name	דָּוִ֛ד	1	rc://*/tw/dict/bible/names/david
1:4	u4rg		הַגֶּד	1	rc://*/tw/dict/bible/other/declare
1:4	d0yu		נָ֣א	1	rc://*/tw/dict/bible/other/plead
1:4	b3a4	name	שָׁא֛וּל	1	rc://*/tw/dict/bible/names/saul
1:4	rpjx	name	וִ⁠יהוֹנָתָ֥ן	1	rc://*/tw/dict/bible/names/jonathan
1:5	xe28	name	דָּוִ֔ד	1	rc://*/tw/dict/bible/names/david
1:5	h8fn		הַ⁠נַּ֖עַר	1	rc://*/tw/dict/bible/other/servant
1:5	jope		ל֑⁠וֹ	1	rc://*/tw/dict/bible/other/declare
1:5	u59p		יָדַ֔עְתָּ	1	rc://*/tw/dict/bible/other/know
1:5	zzm2	name	שָׁא֖וּל	1	rc://*/tw/dict/bible/names/saul
1:5	zdaw	name	וִ⁠יהֽוֹנָתָ֥ן	1	rc://*/tw/dict/bible/names/jonathan
1:6	dqze		הַ⁠נַּ֣עַר	1	rc://*/tw/dict/bible/other/servant
1:6	ddwm		ל֗⁠וֹ	1	rc://*/tw/dict/bible/other/declare
1:6	u58q	name	שָׁא֖וּל	1	rc://*/tw/dict/bible/names/saul
1:6	fvgl		חֲנִית֑⁠וֹ	1	rc://*/tw/dict/bible/other/spear
1:6	zcoh		הָ⁠רֶ֛כֶב	1	rc://*/tw/dict/bible/other/chariot
1:6	snv7	keyterm	וּ⁠בַעֲלֵ֥י	1	rc://*/tw/dict/bible/kt/lord
1:6	el5h	keyterm	הִדְבִּקֻֽ⁠הוּ	1	rc://*/tw/dict/bible/other/overtake
1:7	pnza		וַ⁠יִּקְרָ֣א	1	rc://*/tw/dict/bible/kt/call-tosummon
1:8	law8	name	עֲמָלֵקִ֖י	1	rc://*/tw/dict/bible/names/amalekite
1:9	xgnr		וּ⁠מֹ֣תְתֵ֔⁠נִי	1	rc://*/tw/dict/bible/other/slain
1:9	jsc5		אֲחָזַ֖⁠נִי	1	rc://*/tw/dict/bible/other/seize
1:10	m1mf		וַ⁠אֲמֹ֣תְתֵ֔⁠הוּ	1	rc://*/tw/dict/bible/other/slain
1:10	v8cx		יָדַ֔עְתִּי	1	rc://*/tw/dict/bible/other/know
1:10	dx04		הַ⁠נֵּ֣זֶר	1	rc://*/tw/dict/bible/other/crown
1:10	cu3e	keyterm	אֲדֹנִ֖⁠י	1	rc://*/tw/dict/bible/kt/lord
1:11	hfjr	name	דָּוִ֛ד	1	rc://*/tw/dict/bible/names/david
1:11	d53w		וַ⁠יַּחֲזֵ֥ק	1	rc://*/tw/dict/bible/other/seize
1:12	wsl3		וַֽ⁠יִּסְפְּדוּ֙	1	rc://*/tw/dict/bible/other/mourn
1:12	c6x5		וַ⁠יָּצֻ֖מוּ	1	rc://*/tw/dict/bible/other/fast
1:12	x5q1	name	שָׁא֞וּל	1	rc://*/tw/dict/bible/names/saul
1:12	bimq	name	יְהוֹנָתָ֣ן	1	rc://*/tw/dict/bible/names/jonathan
1:12	xwwh	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:12	o0fu		בֵּ֣ית יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/other/house-descendants_nation
1:12	csy2		בֶּ⁠חָֽרֶב	1	rc://*/tw/dict/bible/other/sword
1:13	w7yh	name	דָּוִ֗ד	1	rc://*/tw/dict/bible/names/david
1:13	hzcf		הַ⁠נַּ֨עַר֙	1	rc://*/tw/dict/bible/other/servant
1:13	h08j		הַ⁠מַּגִּ֣יד	1	rc://*/tw/dict/bible/other/declare
1:13	z2wj		גֵּ֥ר	1	rc://*/tw/dict/bible/other/foreigner
1:13	o3t6	name	עֲמָלֵקִ֖י	1	rc://*/tw/dict/bible/names/amalekite
1:14	hjpr	name	דָּוִ֑ד	1	rc://*/tw/dict/bible/names/david
1:14	qxdk	keyterm	יָרֵ֔אתָ	1	rc://*/tw/dict/bible/kt/fear
1:14	v6j4		לְ⁠שַׁחֵ֖ת	1	rc://*/tw/dict/bible/other/destroyer
1:14	mxa7	keyterm	אֶת־מְשִׁ֥יחַ	1	rc://*/tw/dict/bible/kt/anoint
1:14	qnuz	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
