Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	fczd	name	Παῦλος	1	rc://*/tw/dict/bible/names/paul
1:1	xbqn	name	Σιλουανὸς	1	rc://*/tw/dict/bible/names/silas
1:1	x754	name	Τιμόθεος	1	rc://*/tw/dict/bible/names/timothy
1:1	cxrh	keyterm	τῇ ἐκκλησίᾳ	1	rc://*/tw/dict/bible/kt/church
1:1	csas	name	Θεσσαλονικέων	1	rc://*/tw/dict/bible/names/thessalonica
1:1	vttr	keyterm	Θεῷ Πατρὶ	1	rc://*/tw/dict/bible/kt/godthefather
1:1	y9x8	keyterm	Κυρίῳ	1	rc://*/tw/dict/bible/kt/lord
1:1	tedg	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	ceg4	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:2	ht2g	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:2	y3ft		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:2	cqdq	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:2	p96m	keyterm	Θεοῦ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:2	nbsk	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:2	rjfc	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:2	mzyy	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:3	rdtj	keyterm	τῷ Θεῷ	1	rc://*/tw/dict/bible/kt/god
1:3	wqr6	keyterm	ἡ πίστις	1	rc://*/tw/dict/bible/kt/faith
1:3	qebd	keyterm	ἀγάπη	1	rc://*/tw/dict/bible/kt/love
1:4	t777	keyterm	ἐκκλησίαις	1	rc://*/tw/dict/bible/kt/church
1:4	psa9	keyterm	τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:4	vf77		τῆς ὑπομονῆς	1	rc://*/tw/dict/bible/other/endure
1:4	qtgw	keyterm	πίστεως	1	rc://*/tw/dict/bible/kt/faith
1:4	puqg		τοῖς διωγμοῖς	1	rc://*/tw/dict/bible/other/persecute
1:4	tpqc		ταῖς θλίψεσιν	1	rc://*/tw/dict/bible/other/afflict
1:4	a5tw		ἀνέχεσθε	1	rc://*/tw/dict/bible/other/endure
1:5	yz2m	keyterm	ἔνδειγμα	1	rc://*/tw/dict/bible/kt/sign
1:5	vdmx	keyterm	δικαίας	1	rc://*/tw/dict/bible/kt/righteous
1:5	xuz7	keyterm	τῆς & κρίσεως	1	rc://*/tw/dict/bible/kt/judge
1:5	wxwf	keyterm	τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:5	ejk5	keyterm	τῆς Βασιλείας τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/kingdomofgod
1:5	d4aw		πάσχετε	1	rc://*/tw/dict/bible/other/suffer
1:6	rcj3	keyterm	δίκαιον	1	rc://*/tw/dict/bible/kt/righteous
1:6	zazg	keyterm	Θεῷ	1	rc://*/tw/dict/bible/kt/god
1:6	cjug		θλίβουσιν	1	rc://*/tw/dict/bible/other/afflict
1:6	zzpv		θλῖψιν	1	rc://*/tw/dict/bible/other/afflict
1:7	pt2e		θλιβομένοις	1	rc://*/tw/dict/bible/other/afflict
1:7	eftq	keyterm	τοῦ Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:7	pmj5	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:7	ap7m	keyterm	οὐρανοῦ	1	rc://*/tw/dict/bible/kt/heaven
1:7	n334	keyterm	ἀγγέλων	1	rc://*/tw/dict/bible/kt/angel
1:7	nqfh		δυνάμεως	1	rc://*/tw/dict/bible/other/mighty
1:8	cvxt		ἐκδίκησιν	1	rc://*/tw/dict/bible/other/avenge
1:8	afyk		εἰδόσι	1	rc://*/tw/dict/bible/other/know
1:8	cfh3	keyterm	Θεὸν	1	rc://*/tw/dict/bible/kt/god
1:8	ne2x	keyterm	εὐαγγελίῳ	1	rc://*/tw/dict/bible/kt/goodnews
1:8	n5yt	keyterm	τοῦ Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:8	w93d	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:9	gj7q	keyterm	αἰώνιον	1	rc://*/tw/dict/bible/kt/eternity
1:9	q2kk	keyterm	τοῦ Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:9	xnp4	keyterm	δόξης	1	rc://*/tw/dict/bible/kt/glory
1:10	thae	keyterm	ἐνδοξασθῆναι	1	rc://*/tw/dict/bible/kt/glory
1:10	k2py	keyterm	τοῖς ἁγίοις	1	rc://*/tw/dict/bible/kt/saint
1:10	dr3m	keyterm	πιστεύσασιν	1	rc://*/tw/dict/bible/kt/believe
1:10	d3mr	keyterm	ἐπιστεύθη	1	rc://*/tw/dict/bible/kt/believe
1:10	a3j5	keyterm	τὸ μαρτύριον	1	rc://*/tw/dict/bible/kt/testimony
1:10	kaj7		τῇ ἡμέρᾳ	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:11	mfse	keyterm	προσευχόμεθα	1	rc://*/tw/dict/bible/kt/pray
1:11	uzad	keyterm	τῆς κλήσεως	1	rc://*/tw/dict/bible/kt/call-speakloudly
1:11	g9wj	keyterm	ὁ Θεὸς	1	rc://*/tw/dict/bible/kt/god
1:11	ezs4	keyterm	πληρώσῃ	1	rc://*/tw/dict/bible/kt/fulfill
1:11	gy23	keyterm	ἀγαθωσύνης	1	rc://*/tw/dict/bible/kt/good
1:11	yq7x	keyterm	πίστεως	1	rc://*/tw/dict/bible/kt/faith
1:12	vu9u	keyterm	ἐνδοξασθῇ	1	rc://*/tw/dict/bible/kt/glory
1:12	jqj8	keyterm	τοῦ Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:12	c2p5	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:12	q8m5	keyterm	χάριν	1	rc://*/tw/dict/bible/kt/grace
1:12	y7q4	keyterm	τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:12	x9qq	keyterm	Κυρίου	2	rc://*/tw/dict/bible/kt/lord
1:12	jsxd	keyterm; name	Ἰησοῦ	2	rc://*/tw/dict/bible/kt/jesus
1:12	ta5k	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
2:1	t3p7	keyterm	τοῦ Κυρίου	1	rc://*/tw/dict/bible/kt/lord
2:1	dh82	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
2:1	fsbw	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
2:2	xnn9		νοὸς	1	rc://*/tw/dict/bible/other/mind
2:2	y77b		θροεῖσθαι	1	rc://*/tw/dict/bible/other/trouble
2:2	jnmb	keyterm	πνεύματος	1	rc://*/tw/dict/bible/kt/spirit
2:2	zqmu		ἡμέρα	1	rc://*/tw/dict/bible/other/biblicaltimeday
2:2	eq7b	keyterm	τοῦ Κυρίου	1	rc://*/tw/dict/bible/kt/lord
2:2	b7vp	keyterm	ἡμέρα τοῦ Κυρίου	1	rc://*/tw/dict/bible/kt/dayofthelord
2:3	efv7		ἐξαπατήσῃ	1	rc://*/tw/dict/bible/other/deceive
2:3	wa37		τῆς ἀνομίας	1	rc://*/tw/dict/bible/other/lawful
2:4	g6h4	keyterm	ὑπεραιρόμενος	1	rc://*/tw/dict/bible/kt/exalt
2:4	u59g	keyterm	λεγόμενον	1	rc://*/tw/dict/bible/kt/call-speakloudly
2:4	nem7	keyterm	θεὸν	1	rc://*/tw/dict/bible/kt/falsegod
2:4	d7wn	keyterm	σέβασμα	1	rc://*/tw/dict/bible/kt/falsegod
2:4	fbyb	keyterm	ναὸν	1	rc://*/tw/dict/bible/kt/temple
2:4	j928	keyterm	τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/god
2:4	b7zw	keyterm	Θεός	1	rc://*/tw/dict/bible/kt/god
2:6	unya		οἴδατε	1	rc://*/tw/dict/bible/other/know
2:6	tkff		τῷ & καιρῷ	1	rc://*/tw/dict/bible/other/age-timeperiod
