Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	qu7d		בִּ⁠ימֵ֣י	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:1	vdfr	name	אֲחַשְׁוֵר֑וֹשׁ	1	rc://*/tw/dict/bible/names/ahasuerus
1:1	xndq	name	אֲחַשְׁוֵר֗וֹשׁ	1	rc://*/tw/dict/bible/names/ahasuerus
1:1	jxdr		הַ⁠מֹּלֵךְ֙	1	rc://*/tw/dict/bible/other/ruler
1:1	mfn9	name	כּ֔וּשׁ	1	rc://*/tw/dict/bible/names/ethiopia
1:1	rc6k		מְדִינָֽה	1	rc://*/tw/dict/bible/other/province
1:2	hlt5		בַּ⁠יָּמִ֖ים	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:2	zn8j		הַ⁠מֶּ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
1:2	vavj	name	אֲחַשְׁוֵר֗וֹשׁ	1	rc://*/tw/dict/bible/names/ahasuerus
1:2	b984		כִּסֵּ֣א	1	rc://*/tw/dict/bible/other/throne
1:2	dqn3		מַלְכוּת֔⁠וֹ	1	rc://*/tw/dict/bible/other/royal
1:2	dw37		הַ⁠בִּירָֽה	1	rc://*/tw/dict/bible/other/stronghold
1:3	bf0k		בִּ⁠שְׁנַ֤ת	1	rc://*/tw/dict/bible/other/biblicaltimeyear
1:3	t6c3		לְ⁠מָלְכ֔⁠וֹ	1	rc://*/tw/dict/bible/other/reign
1:3	ebnn		מִשְׁתֶּ֔ה	1	rc://*/tw/dict/bible/other/feast
1:3	m26m		שָׂרָ֖י⁠ו	1	rc://*/tw/dict/bible/other/ruler
1:3	fq6x	name	פָּרַ֣ס	1	rc://*/tw/dict/bible/names/persia
1:3	up4t	name	וּ⁠מָדַ֗י	1	rc://*/tw/dict/bible/names/mede
1:3	ceqr		הַֽ⁠פַּרְתְּמִ֛ים	1	rc://*/tw/dict/bible/other/noble
1:3	rwcq		וְ⁠שָׂרֵ֥י	1	rc://*/tw/dict/bible/other/ruler
1:3	twgm		הַ⁠מְּדִינ֖וֹת	1	rc://*/tw/dict/bible/other/province
1:4	da5r	keyterm	כְּב֣וֹד	1	rc://*/tw/dict/bible/kt/glory
1:4	fvtn		מַלְכוּת֔⁠וֹ	1	rc://*/tw/dict/bible/other/kingdom
1:4	z75s		יְקָ֔ר	1	rc://*/tw/dict/bible/other/splendor
1:5	lv14	keyterm	וּ⁠בִ⁠מְל֣וֹאת	1	rc://*/tw/dict/bible/kt/fulfill
1:5	fey6		הַ⁠מֶּ֡לֶךְ	1	rc://*/tw/dict/bible/other/king
1:5	rz5w		מִשְׁתֶּ֖ה	1	rc://*/tw/dict/bible/other/feast
1:5	vrvs		הַ⁠בִּירָ֜ה	1	rc://*/tw/dict/bible/other/stronghold
1:5	eme4		בַּ⁠חֲצַ֕ר	1	rc://*/tw/dict/bible/other/court
1:5	tbf2		בִּיתַ֖ן	1	rc://*/tw/dict/bible/other/palace
1:5	bay2		הַ⁠מֶּֽלֶךְ	1	rc://*/tw/dict/bible/other/king
1:6	xq3u		וְ⁠אַרְגָּמָ֔ן	1	rc://*/tw/dict/bible/other/purple
1:6	srfu		כֶ֖סֶף	1	rc://*/tw/dict/bible/other/silver
1:6	aswg		וְ⁠עַמּ֣וּדֵי	1	rc://*/tw/dict/bible/other/pillar
1:6	jm2u		זָהָ֣ב	1	rc://*/tw/dict/bible/other/gold
1:6	f3xe		וָ⁠כֶ֗סֶף	1	rc://*/tw/dict/bible/other/silver
1:6	i59o	keyterm	וְ⁠סֹחָֽרֶת	1	rc://*/tw/dict/bible/kt/stone
