Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	g12z	name	חֲבַקּ֖וּק	1	rc://*/tw/dict/bible/names/habakkuk
1:1	dgbw	keyterm	הַ⁠נָּבִֽיא	1	rc://*/tw/dict/bible/kt/prophet
1:2	nqw4	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	anb7		שִׁוַּ֖עְתִּי	1	rc://*/tw/dict/bible/other/cry
1:2	cgj8		אֶזְעַ֥ק	1	rc://*/tw/dict/bible/other/cry
1:2	y5x5	keyterm	תוֹשִֽׁיעַ	1	rc://*/tw/dict/bible/kt/save
1:3	psvr	keyterm	אָ֨וֶן֙	1	rc://*/tw/dict/bible/kt/iniquity
1:3	olkq		וְ⁠עָמָ֣ל	1	rc://*/tw/dict/bible/other/trouble
1:3	nb81		וְ⁠שֹׁ֥ד	1	rc://*/tw/dict/bible/other/destroyer
1:3	t7qu		רִ֦יב	1	rc://*/tw/dict/bible/other/strife
1:4	q4eh	keyterm	תּוֹרָ֔ה	1	rc://*/tw/dict/bible/kt/lawofmoses
1:4	ae6z	keyterm	מִשְׁפָּ֑ט	1	rc://*/tw/dict/bible/kt/justice
1:4	ines	keyterm	רָשָׁע֙	1	rc://*/tw/dict/bible/kt/evil
1:4	wx4p	keyterm	אֶת־הַ⁠צַּדִּ֔יק	1	rc://*/tw/dict/bible/kt/righteous
1:4	f3sy		מְעֻקָּֽל	1	rc://*/tw/dict/bible/other/perverse
1:4	m0jc		מִשְׁפָּ֖ט	1	rc://*/tw/dict/bible/kt/justice
1:5	zujc		בַ⁠גּוֹיִם֙	1	rc://*/tw/dict/bible/other/nation
1:5	tmb1		פֹּעֵ֣ל	1	rc://*/tw/dict/bible/other/labor
1:5	blwg		בִּֽ⁠ימֵי⁠כֶ֔ם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:5	a58g	keyterm	תַאֲמִ֖ינוּ	1	rc://*/tw/dict/bible/kt/believe
1:6	rrxf	name	אֶת־הַ⁠כַּשְׂדִּ֔ים	1	rc://*/tw/dict/bible/names/chaldeans
1:6	dgpf		הַ⁠גּ֖וֹי	1	rc://*/tw/dict/bible/other/nation
1:6	mz85		אֶ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:6	fr3f		לָ⁠רֶ֖שֶׁת	1	rc://*/tw/dict/bible/other/seize
1:7	a87x		וְ⁠נוֹרָ֖א	1	rc://*/tw/dict/bible/other/terror
1:7	spzj	keyterm	מִשְׁפָּט֥⁠וֹ	1	rc://*/tw/dict/bible/kt/justice
1:8	reme		סוּסָ֗י⁠ו	1	rc://*/tw/dict/bible/other/horse
1:8	c3in		מִ⁠נְּמֵרִ֜ים	1	rc://*/tw/dict/bible/other/leopard
1:8	b34q		וּ⁠פָֽרָשָׁי⁠ו֙	1	rc://*/tw/dict/bible/other/horsemen
1:8	gllc		כְּ⁠נֶ֖שֶׁר	1	rc://*/tw/dict/bible/other/eagle
1:8	waok		לֶ⁠אֱכֽוֹל	1	rc://*/tw/dict/bible/other/devour
1:9	b2u6		וַ⁠יֶּאֱסֹ֥ף	1	rc://*/tw/dict/bible/other/assembly
1:9	a5jx		שֶֽׁבִי	1	rc://*/tw/dict/bible/other/captive
1:10	vih1		יִתְקַלָּ֔ס	1	rc://*/tw/dict/bible/other/mock
1:10	ue6z		בַּ⁠מְּלָכִ֣ים	1	rc://*/tw/dict/bible/other/king
1:10	mug4		וְ⁠רֹזְנִ֖ים	1	rc://*/tw/dict/bible/other/ruler
1:10	kkf5		מִבְצָ֣ר	1	rc://*/tw/dict/bible/other/stronghold
1:10	z5tk		וַֽ⁠יִּלְכְּדָֽ⁠הּ	1	rc://*/tw/dict/bible/other/seize
1:11	qhly		חָלַ֥ף	1	rc://*/tw/dict/bible/other/sweep
1:11	d5wl	keyterm	וְ⁠אָשֵׁ֑ם	1	rc://*/tw/dict/bible/kt/guilt
1:11	gdcv		כֹח֖⁠וֹ	1	rc://*/tw/dict/bible/other/mighty
1:11	z7x4	keyterm	לֵ⁠אלֹהֽ⁠וֹ	1	rc://*/tw/dict/bible/kt/falsegod
1:12	ieue		מִ⁠קֶּ֗דֶם	1	rc://*/tw/dict/bible/other/age-timeperiod
1:12	dc7w	keyterm	יְהוָ֧ה	1	rc://*/tw/dict/bible/kt/yahweh
1:12	fh72	keyterm	אֱלֹהַ֛⁠י	1	rc://*/tw/dict/bible/kt/god
1:12	ujms	keyterm	קְדֹשִׁ֖⁠י	1	rc://*/tw/dict/bible/kt/holyone
1:12	lc42	keyterm	שַׂמְתּ֔⁠וֹ	1	rc://*/tw/dict/bible/kt/appoint
1:12	yh74	keyterm	לְ⁠מִשְׁפָּ֣ט	1	rc://*/tw/dict/bible/kt/judge
1:12	tu55		יְסַדְתּֽ⁠וֹ	1	rc://*/tw/dict/bible/other/dedicate
1:13	s6ng	keyterm	טְה֤וֹר	1	rc://*/tw/dict/bible/kt/purify
1:13	qf5g	keyterm	רָ֔ע	1	rc://*/tw/dict/bible/kt/evil
1:13	a5pt		עָמָ֖ל	1	rc://*/tw/dict/bible/other/trouble
1:13	eow3	keyterm	רָשָׁ֖ע	1	rc://*/tw/dict/bible/kt/evil
1:13	patt		בְּ⁠בַלַּ֥ע	1	rc://*/tw/dict/bible/other/devour
1:13	eq6z	keyterm	צַדִּ֥יק	1	rc://*/tw/dict/bible/kt/righteous
1:14	e69y		מֹשֵׁ֥ל	1	rc://*/tw/dict/bible/other/ruler
1:15	tbs8		וְ⁠יַאַסְפֵ֖⁠הוּ	1	rc://*/tw/dict/bible/other/assembly
1:15	d5uk		יִשְׂמַ֥ח	1	rc://*/tw/dict/bible/other/joy
1:15	h51x		וְ⁠יָגִֽיל	1	rc://*/tw/dict/bible/other/exult
1:16	gc99		יְזַבֵּ֣חַ	1	rc://*/tw/dict/bible/other/sacrifice
1:16	zvhj		וִֽ⁠יקַטֵּ֖ר	1	rc://*/tw/dict/bible/other/incense
1:17	ffq9		לַ⁠הֲרֹ֥ג	1	rc://*/tw/dict/bible/other/slain
1:17	veyv		גּוֹיִ֖ם	1	rc://*/tw/dict/bible/other/nation
2:1	beac		מָצ֑וֹר	1	rc://*/tw/dict/bible/other/watchtower
2:1	jbm2		וַ⁠אֲצַפֶּ֗ה	1	rc://*/tw/dict/bible/other/watch
2:2	aau6	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
2:2	eik2		חָז֔וֹן	1	rc://*/tw/dict/bible/other/vision
2:3	htda		חָזוֹן֙	1	rc://*/tw/dict/bible/other/vision
2:3	xu97	keyterm	לַ⁠מּוֹעֵ֔ד	1	rc://*/tw/dict/bible/kt/appoint
2:3	mimr		לַ⁠מּוֹעֵ֔ד	1	rc://*/tw/dict/bible/other/age-timeperiod
2:3	brsj		יְכַזֵּ֑ב	1	rc://*/tw/dict/bible/other/deceive
2:4	ao2k	keyterm	נַפְשׁ֖⁠וֹ	1	rc://*/tw/dict/bible/kt/soul
2:4	qwit	keyterm	יָשְׁרָ֥ה	1	rc://*/tw/dict/bible/kt/righteous
2:4	sky6	keyterm	וְ⁠צַדִּ֖יק	1	rc://*/tw/dict/bible/kt/righteous
2:4	n35i	keyterm	בֶּ⁠אֱמוּנָת֥⁠וֹ	1	rc://*/tw/dict/bible/kt/faithful
2:5	e9nq		הַ⁠יַּ֣יִן	1	rc://*/tw/dict/bible/other/wine
2:5	fu8l		בּוֹגֵ֔ד	1	rc://*/tw/dict/bible/other/deceive
2:5	mhuz		יָהִ֖יר	1	rc://*/tw/dict/bible/other/arrogant
2:5	j8xm		גֶּ֥בֶר	1	rc://*/tw/dict/bible/other/warrior
2:5	i8c7	keyterm	כִּ⁠שְׁא֜וֹל	1	rc://*/tw/dict/bible/kt/hades
2:5	hkl7		וַ⁠יֶּאֱסֹ֤ף	1	rc://*/tw/dict/bible/other/assembly
2:5	fw45		הַ⁠גּוֹיִ֔ם	1	rc://*/tw/dict/bible/other/nation
2:6	i4ed		מָשָׁ֣ל	1	rc://*/tw/dict/bible/other/proverb
2:6	gqip		וּ⁠מְלִיצָ֖ה	1	rc://*/tw/dict/bible/other/mock
2:6	mr8h	keyterm	ה֚וֹי	1	rc://*/tw/dict/bible/kt/woe
2:6	kuha		עַבְטִֽיט	1	rc://*/tw/dict/bible/other/pledge
2:7	d8c6		מְזַעְזְעֶ֑י⁠ךָ	1	rc://*/tw/dict/bible/other/tremble
2:7	n5oc		לִ⁠מְשִׁסּ֖וֹת	1	rc://*/tw/dict/bible/other/plunder
2:8	xg2k		שַׁלּ֨וֹתָ֙	1	rc://*/tw/dict/bible/other/plunder
2:8	yk9w		גּוֹיִ֣ם	1	rc://*/tw/dict/bible/other/nation
2:8	p8bs		יְשָׁלּ֖וּ⁠ךָ	1	rc://*/tw/dict/bible/other/plunder
2:8	ujq4		מִ⁠דְּמֵ֤י	1	rc://*/tw/dict/bible/other/bloodshed
2:8	b9v3		אֶ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
2:9	vf95	keyterm	ה֗וֹי	1	rc://*/tw/dict/bible/kt/woe
2:9	nm8d	keyterm	רָ֖ע	1	rc://*/tw/dict/bible/kt/evil
2:9	fsym	keyterm	לְ⁠בֵית֑⁠וֹ	1	rc://*/tw/dict/bible/other/house
2:9	f8p0		לְ⁠הִנָּצֵ֖ל	1	rc://*/tw/dict/bible/other/deliverer
2:10	cyus		יָעַ֥צְתָּ	1	rc://*/tw/dict/bible/other/counselor
2:10	ch39		בֹּ֖שֶׁת	1	rc://*/tw/dict/bible/other/shame
2:10	y948	keyterm	לְ⁠בֵיתֶ֑⁠ךָ	1	rc://*/tw/dict/bible/other/house
2:10	ynan	keyterm	וְ⁠חוֹטֵ֥א	1	rc://*/tw/dict/bible/kt/sin
2:10	z6fp	keyterm	נַפְשֶֽׁ⁠ךָ	1	rc://*/tw/dict/bible/kt/soul
2:11	kdbc	keyterm	אֶ֖בֶן	1	rc://*/tw/dict/bible/kt/stone
2:11	sr3f		תִּזְעָ֑ק	1	rc://*/tw/dict/bible/other/cry
2:12	w00h	keyterm	ה֛וֹי	1	rc://*/tw/dict/bible/kt/woe
2:12	u8da		בְּ⁠דָמִ֑ים	1	rc://*/tw/dict/bible/other/bloodshed
2:12	pml8	keyterm	בְּ⁠עַוְלָֽה	1	rc://*/tw/dict/bible/kt/justice
2:13	pc9c	keyterm	יְהוָ֣ה צְבָא֑וֹת	1	rc://*/tw/dict/bible/kt/yahwehofhosts
2:13	dj0q		וְ⁠יִֽיגְע֤וּ	1	rc://*/tw/dict/bible/other/labor
2:13	g0fe		וּ⁠לְאֻמִּ֖ים	1	rc://*/tw/dict/bible/other/nation
2:14	n24d		לָ⁠דַ֖עַת	1	rc://*/tw/dict/bible/other/know
2:14	h3nt	keyterm	אֶת־כְּב֣וֹד	1	rc://*/tw/dict/bible/kt/glory
2:14	pqpr	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
2:15	yhnn	keyterm	ה֚וֹי	1	rc://*/tw/dict/bible/kt/woe
2:15	c13q		רֵעֵ֔⁠הוּ	1	rc://*/tw/dict/bible/other/neighbor
2:15	p5q4		חֲמָתְ⁠ךָ֖	1	rc://*/tw/dict/bible/other/wine
2:15	s6y6		שַׁכֵּ֑ר	1	rc://*/tw/dict/bible/other/drunk
2:16	pggv		קָלוֹן֙	1	rc://*/tw/dict/bible/other/shame
2:16	hvtx	keyterm	מִ⁠כָּב֔וֹד	1	rc://*/tw/dict/bible/kt/glory
2:16	a9al	keyterm	וְ⁠הֵֽעָרֵ֑ל	1	rc://*/tw/dict/bible/kt/circumcise
2:16	p7eh	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
2:16	eiet		וְ⁠קִיקָל֖וֹן	1	rc://*/tw/dict/bible/other/shame
2:16	nzr5	keyterm	כְּבוֹדֶֽ⁠ךָ	1	rc://*/tw/dict/bible/kt/glory
2:17	k31k	name	לְבָנוֹן֙	1	rc://*/tw/dict/bible/names/lebanon
2:17	skh3		וְ⁠שֹׁ֥ד	1	rc://*/tw/dict/bible/other/destroyer
2:17	fpyf		בְּהֵמ֖וֹת	1	rc://*/tw/dict/bible/other/beast
2:17	ddk7		יְחִיתַ֑⁠ן	1	rc://*/tw/dict/bible/other/terror
2:17	h01n		מִ⁠דְּמֵ֤י	1	rc://*/tw/dict/bible/other/bloodshed
2:17	pscm		אֶ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
2:18	s437		פֶּ֗סֶל	1	rc://*/tw/dict/bible/other/image
2:18	ow1s		הוֹעִ֣יל	1	rc://*/tw/dict/bible/other/profit
2:18	fktb	keyterm	מַסֵּכָ֖ה	1	rc://*/tw/dict/bible/kt/falsegod
2:18	undm		וּ⁠מ֣וֹרֶה	1	rc://*/tw/dict/bible/other/teacher
2:18	bccf		שָּׁ֑קֶר	1	rc://*/tw/dict/bible/other/deceive
2:18	geun	keyterm	בָטַ֞ח	1	rc://*/tw/dict/bible/kt/trust
2:18	jasq	keyterm	אֱלִילִ֥ים	1	rc://*/tw/dict/bible/kt/falsegod
2:19	phfj	keyterm	ה֣וֹי	1	rc://*/tw/dict/bible/kt/woe
2:19	ub4r		זָהָ֣ב	1	rc://*/tw/dict/bible/other/gold
2:19	u74r		וָ⁠כֶ֔סֶף	1	rc://*/tw/dict/bible/other/silver
2:19	wqxv	keyterm	ר֖וּחַ	1	rc://*/tw/dict/bible/kt/spirit
2:20	j797	keyterm	וַֽ⁠יהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:20	l5cg	keyterm	בְּ⁠הֵיכַ֣ל	1	rc://*/tw/dict/bible/kt/temple
2:20	eyr8	keyterm	קָדְשׁ֑⁠וֹ	1	rc://*/tw/dict/bible/kt/holy
3:1	vqza	keyterm	תְּפִלָּ֖ה	1	rc://*/tw/dict/bible/kt/pray
3:1	cdgx	name	לַ⁠חֲבַקּ֣וּק	1	rc://*/tw/dict/bible/names/habakkuk
3:1	y9h8	keyterm	הַ⁠נָּבִ֑יא	1	rc://*/tw/dict/bible/kt/prophet
3:2	tc78	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
3:2	j8h3		שִׁמְעֲ⁠ךָ֮	1	rc://*/tw/dict/bible/other/report
3:2	y5v4	keyterm	יָרֵאתִי֒	1	rc://*/tw/dict/bible/kt/fear
3:2	idq3	keyterm	יְהוָ֗ה	2	rc://*/tw/dict/bible/kt/yahweh
3:2	povn		פָּֽעָלְ⁠ךָ֙	1	rc://*/tw/dict/bible/other/labor
3:2	a008		שָׁנִים֙	1	rc://*/tw/dict/bible/other/biblicaltimeyear
3:2	eeux		תּוֹדִ֑יעַ	1	rc://*/tw/dict/bible/other/know
3:2	elxy	keyterm	בְּ⁠רֹ֖גֶז	1	rc://*/tw/dict/bible/kt/wrath
3:2	cj6n	keyterm	רַחֵ֥ם	1	rc://*/tw/dict/bible/kt/compassion
3:3	dt43	keyterm	אֱל֨וֹהַ֙	1	rc://*/tw/dict/bible/kt/god
3:3	mujr	keyterm	וְ⁠קָד֥וֹשׁ	1	rc://*/tw/dict/bible/kt/holyone
3:3	crpu	name	פָּארָ֖ן	1	rc://*/tw/dict/bible/names/paran
3:3	h4cd		סֶ֑לָה	1	rc://*/tw/dict/bible/other/selah
3:3	hagf		הוֹד֔⁠וֹ	1	rc://*/tw/dict/bible/other/splendor
3:3	h4gv	keyterm	שָׁמַ֨יִם֙	1	rc://*/tw/dict/bible/kt/heaven
3:3	ygwt		וּ⁠תְהִלָּת֖⁠וֹ	1	rc://*/tw/dict/bible/other/praise
3:3	dntc		הָ⁠אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
3:5	j18w		דָּ֑בֶר	1	rc://*/tw/dict/bible/other/plague
3:6	kjms		אֶ֗רֶץ	1	rc://*/tw/dict/bible/other/earth
3:6	xh6t		גּוֹיִ֔ם	1	rc://*/tw/dict/bible/other/nation
3:6	blwp	keyterm	עַ֔ד	1	rc://*/tw/dict/bible/kt/eternity
3:6	uxoe	keyterm	עוֹלָ֑ם	1	rc://*/tw/dict/bible/kt/eternity
3:7	c8id		אָ֔וֶן	1	rc://*/tw/dict/bible/other/trouble
3:7	g5wq		אָהֳלֵ֣י	1	rc://*/tw/dict/bible/other/tent
3:7	ax8h		יְרִיע֖וֹת	1	rc://*/tw/dict/bible/other/curtain
3:7	ggyg		אֶ֥רֶץ	1	rc://*/tw/dict/bible/other/earth
3:7	fhsf	name	מִדְיָֽן	1	rc://*/tw/dict/bible/names/midian
3:7	cr7q		יִרְגְּז֕וּ⁠ן	1	rc://*/tw/dict/bible/other/tremble
3:8	d7cy	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
3:8	yvgf	keyterm	עֶבְרָתֶ֑⁠ךָ	1	rc://*/tw/dict/bible/kt/wrath
3:8	t5th		סוּסֶ֔י⁠ךָ	1	rc://*/tw/dict/bible/other/horse
3:8	wywg		מַרְכְּבֹתֶ֖י⁠ךָ	1	rc://*/tw/dict/bible/other/chariot
3:8	hgyu	keyterm	יְשׁוּעָֽה	1	rc://*/tw/dict/bible/kt/save
3:9	cuvy		קַשְׁתֶּ֔⁠ךָ	1	rc://*/tw/dict/bible/other/bowweapon
3:9	zguq		שְׁבֻע֥וֹת	1	rc://*/tw/dict/bible/other/oath
3:9	a5hh		מַטּ֖וֹת	1	rc://*/tw/dict/bible/other/staff
3:9	rqq4		סֶ֑לָה	1	rc://*/tw/dict/bible/other/selah
3:9	yagn		אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
3:11	k5xr		חֲנִיתֶֽ⁠ךָ	1	rc://*/tw/dict/bible/other/spear
3:12	j5cb		אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
3:12	v008		תָּד֥וּשׁ	1	rc://*/tw/dict/bible/other/thresh
3:12	q65k		גּוֹיִֽם	1	rc://*/tw/dict/bible/other/nation
3:13	rapu	keyterm	לְ⁠יֵ֣שַׁע	1	rc://*/tw/dict/bible/kt/save
3:13	msxk	keyterm	אֶת־מְשִׁיחֶ֑⁠ךָ	1	rc://*/tw/dict/bible/kt/anoint
3:13	rrn8	keyterm	מִ⁠בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
3:13	drjz	keyterm	רָשָׁ֔ע	1	rc://*/tw/dict/bible/kt/evil
3:13	st9y		יְס֥וֹד	1	rc://*/tw/dict/bible/other/foundation
3:13	iofq		סֶֽלָה	1	rc://*/tw/dict/bible/other/selah
3:14	aybf		בְ⁠מַטָּי⁠ו֙	1	rc://*/tw/dict/bible/other/staff
3:14	vvck		פְּרָזָ֔יו	1	rc://*/tw/dict/bible/other/warrior
3:14	kftm		לַ⁠הֲפִיצֵ֑⁠נִי	1	rc://*/tw/dict/bible/other/disperse
3:14	r2lq		לֶ⁠אֱכֹ֥ל	1	rc://*/tw/dict/bible/other/devour
3:14	uoaz		עָנִ֖י	1	rc://*/tw/dict/bible/other/afflict
3:15	ftbw		סוּסֶ֑י⁠ךָ	1	rc://*/tw/dict/bible/other/horse
3:16	s9bn		בִּטְנִ֗⁠י	1	rc://*/tw/dict/bible/other/tremble
3:16	v4zt		אֶרְגָּ֑ז	1	rc://*/tw/dict/bible/other/tremble
3:16	l8yj		לְ⁠י֣וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
3:16	nsmp		צָרָ֔ה	1	rc://*/tw/dict/bible/other/trouble
3:17	x485		תְאֵנָ֣ה	1	rc://*/tw/dict/bible/other/fig
3:17	cyob		יְבוּל֙	1	rc://*/tw/dict/bible/other/bear
3:17	o7qt		בַּ⁠גְּפָנִ֔ים	1	rc://*/tw/dict/bible/other/vine
3:17	y472		מַעֲשֵׂה	1	rc://*/tw/dict/bible/other/labor
3:17	ybbq		זַ֔יִת	1	rc://*/tw/dict/bible/other/olive
3:17	z72b		כִּחֵשׁ֙	1	rc://*/tw/dict/bible/other/deceive
3:17	sb4u		עָ֣שָׂה	1	rc://*/tw/dict/bible/other/bear
3:17	wd2r		צֹ֔אן	1	rc://*/tw/dict/bible/other/flock
3:17	ghf6		בָּקָ֖ר	1	rc://*/tw/dict/bible/other/cow
3:18	zvkg		אֶעְל֑וֹזָה	1	rc://*/tw/dict/bible/other/exult
3:18	amdb	keyterm	בַּ⁠יהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
3:18	tfm1		אָגִ֖ילָה	1	rc://*/tw/dict/bible/other/joy
3:18	u9h4	keyterm	בֵּ⁠אלֹהֵ֥י	1	rc://*/tw/dict/bible/kt/god
3:18	xw2x	keyterm	יִשְׁעִֽ⁠י	1	rc://*/tw/dict/bible/kt/save
3:19	dz4t	keyterm	יְהוִ֤הּ	1	rc://*/tw/dict/bible/kt/yahweh
3:19	bqnq	keyterm	אֲדֹנָ⁠י֙	1	rc://*/tw/dict/bible/kt/lord
