Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	zbdp		בִּ⁠שְׁנַ֤ת	1	rc://*/tw/dict/bible/other/biblicaltimeyear
1:1	ikup	name	לְ⁠דָרְיָ֣וֶשׁ	1	rc://*/tw/dict/bible/names/darius
1:1	pg9m		הַ⁠מֶּ֔לֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	uxse		בַּ⁠חֹ֨דֶשׁ֙	1	rc://*/tw/dict/bible/other/biblicaltimemonth
1:1	th0u		בְּ⁠י֥וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:1	y2he		לַ⁠חֹ֑דֶשׁ	1	rc://*/tw/dict/bible/other/biblicaltimemonth
1:1	z5r2	keyterm	דְבַר־יְהוָ֜ה	1	rc://*/tw/dict/bible/kt/wordofgod
1:1	yjf4	name	חַגַּ֣י	1	rc://*/tw/dict/bible/names/haggai
1:1	dxdu	keyterm	הַ⁠נָּבִ֗יא	1	rc://*/tw/dict/bible/kt/prophet
1:1	e3rc		פַּחַ֣ת	1	rc://*/tw/dict/bible/other/governor
1:1	yy2b	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/kingdomofjudah
1:1	jnwn	name	זְרֻבָּבֶ֤ל	1	rc://*/tw/dict/bible/names/zerubbabel
1:1	x854	keyterm	הַ⁠כֹּהֵ֥ן הַ⁠גָּד֖וֹל	1	rc://*/tw/dict/bible/kt/highpriest
1:1	xgm9	name	יְהוֹשֻׁ֧עַ	1	rc://*/tw/dict/bible/names/joshua
1:2	g4g2	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	yttb		עֶת	1	rc://*/tw/dict/bible/other/age-timeperiod
1:2	a6bu	keyterm	עֶת־בֵּ֥ית יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/temple
1:3	dab6	keyterm	דְּבַר־יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/wordofgod
1:3	lhn7	name	חַגַּ֥י	1	rc://*/tw/dict/bible/names/haggai
