Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	vv6j	name	יְהוֹשֻׁ֔עַ	1	rc://*/tw/dict/bible/names/joshua
1:1	k9j2	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:1	pcgw	keyterm	בַּ⁠יהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	c9wf	name	הַֽ⁠כְּנַעֲנִ֛י	1	rc://*/tw/dict/bible/names/canaan
1:2	gy8d	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	dubt	name	יְהוּדָ֣ה	1	rc://*/tw/dict/bible/names/judah
1:2	fzqy		אֶת־הָ⁠אָ֖רֶץ	1	rc://*/tw/dict/bible/other/earth
1:3	herq	name	יְהוּדָה֩	1	rc://*/tw/dict/bible/names/judah
1:3	lbpk	name	לְ⁠שִׁמְע֨וֹן	1	rc://*/tw/dict/bible/names/simeon
1:3	sdjb	name	בַּֽ⁠כְּנַעֲנִ֔י	1	rc://*/tw/dict/bible/names/canaan
1:3	we89	name	שִׁמְעֽוֹן	1	rc://*/tw/dict/bible/names/simeon
1:4	dxeh	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judah
1:4	x7sp	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	tzug	name	אֶת־הַ⁠כְּנַעֲנִ֥י	1	rc://*/tw/dict/bible/names/canaan
1:4	ypcb	name	וְ⁠הַ⁠פְּרִזִּ֖י	1	rc://*/tw/dict/bible/names/perizzite
1:5	fs92	name	אֶת־הַֽ⁠כְּנַעֲנִ֖י	1	rc://*/tw/dict/bible/names/canaan
1:5	zp88	name	הַ⁠פְּרִזִּֽי	1	rc://*/tw/dict/bible/names/perizzite
1:6	g5oz		וַ⁠יֹּאחֲז֣וּ	1	rc://*/tw/dict/bible/other/seize
1:7	q5wb		מְלָכִ֡ים	1	rc://*/tw/dict/bible/other/king
1:7	dp68		מְלַקְּטִים֙	1	rc://*/tw/dict/bible/other/assembly
1:7	zhfd	keyterm	אֱלֹהִ֑ים	1	rc://*/tw/dict/bible/kt/god
1:7	uu2m	name	יְרוּשָׁלִַ֖ם	1	rc://*/tw/dict/bible/names/jerusalem
1:8	r77z	name	יְהוּדָה֙	1	rc://*/tw/dict/bible/names/judah
1:8	vxyr	name	בִּ⁠יר֣וּשָׁלִַ֔ם	1	rc://*/tw/dict/bible/names/jerusalem
1:8	zer1		וַ⁠יִּלְכְּד֣וּ	1	rc://*/tw/dict/bible/other/seize
1:8	xaxe		חָ֑רֶב	1	rc://*/tw/dict/bible/other/sword
1:9	qz2h	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judah
1:9	i8rk	name	בַּֽ⁠כְּנַעֲנִ֑י	1	rc://*/tw/dict/bible/names/canaan
1:9	ul15	name	וְ⁠הַ⁠נֶּ֖גֶב	1	rc://*/tw/dict/bible/names/negev
1:10	vhjc	name	יְהוּדָ֗ה	1	rc://*/tw/dict/bible/names/judea
1:10	u8zu	name	הַֽ⁠כְּנַעֲנִי֙	1	rc://*/tw/dict/bible/names/canaan
1:10	l8pq	name	בְּ⁠חֶבְר֔וֹן	1	rc://*/tw/dict/bible/names/hebron
1:10	yuxb	name	חֶבְר֥וֹן	1	rc://*/tw/dict/bible/names/hebron
1:10	pq5w	name	קִרְיַ֣ת אַרְבַּ֑ע	1	rc://*/tw/dict/bible/names/hebron
1:12	o6xl	name	כָּלֵ֔ב	1	rc://*/tw/dict/bible/names/caleb
1:13	wzdj	name	כָלֵ֖ב	1	rc://*/tw/dict/bible/names/caleb
1:13	ire1		וַֽ⁠יִּלְכְּדָ⁠הּ֙	1	rc://*/tw/dict/bible/other/seize
1:14	uxkg		הַ⁠חֲמ֑וֹר	1	rc://*/tw/dict/bible/other/donkey
1:14	vwrj	name	כָּלֵ֖ב	1	rc://*/tw/dict/bible/names/caleb
1:15	ffde	keyterm	בְרָכָ֗ה	1	rc://*/tw/dict/bible/kt/bless
1:15	dn4p		אֶ֤רֶץ	1	rc://*/tw/dict/bible/other/earth
1:15	egss	name	הַ⁠נֶּ֨גֶב֙	1	rc://*/tw/dict/bible/names/negev
1:15	phzu		גֻּלֹּ֣ת	1	rc://*/tw/dict/bible/other/fountain
1:15	xmkg	name	כָּלֵ֗ב	1	rc://*/tw/dict/bible/names/caleb
1:15	rghs		אֵ֚ת גֻּלֹּ֣ת	1	rc://*/tw/dict/bible/other/fountain
1:15	wrpm		גֻּלֹּ֥ת	1	rc://*/tw/dict/bible/other/fountain
1:16	udfi		הַ⁠תְּמָרִים֙	1	rc://*/tw/dict/bible/other/palm
1:16	xy7m	name	מֹשֶׁ֜ה	1	rc://*/tw/dict/bible/names/moses
1:16	dvxv	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judah
1:16	tdxq		מִדְבַּ֣ר	1	rc://*/tw/dict/bible/other/desert
1:16	szjp	name	יְהוּדָ֔ה	2	rc://*/tw/dict/bible/names/judea
1:16	qoy5	name	בְּ⁠נֶ֣גֶב	1	rc://*/tw/dict/bible/names/negev
1:17	kppr	name	יְהוּדָה֙	1	rc://*/tw/dict/bible/names/judea
1:17	c3x6	name	שִׁמְע֣וֹן	1	rc://*/tw/dict/bible/names/simeon
1:17	atu4	name	אֶת־הַֽ⁠כְּנַעֲנִ֖י	1	rc://*/tw/dict/bible/names/canaan
1:17	h7ut		וַ⁠יַּחֲרִ֣ימוּ	1	rc://*/tw/dict/bible/other/destroyer
1:17	xhg4		וַ⁠יִּקְרָ֥א	1	rc://*/tw/dict/bible/kt/call-toname
1:18	cwur	name	יְהוּדָה֙	1	rc://*/tw/dict/bible/names/judah
1:18	skyq		וַ⁠יִּלְכֹּ֤ד	1	rc://*/tw/dict/bible/other/seize
