Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	mhuj	keyterm	λόγος	1	rc://*/tw/dict/bible/kt/wordofgod
1:1	s4js	keyterm	λόγος	2	rc://*/tw/dict/bible/kt/wordofgod
1:1	gj8t	keyterm	τὸν Θεόν	1	rc://*/tw/dict/bible/kt/god
1:1	nccs	keyterm	Θεὸς	1	rc://*/tw/dict/bible/kt/god
1:1	w85d	keyterm	λόγος	3	rc://*/tw/dict/bible/kt/wordofgod
1:2	yj3d	keyterm	τὸν Θεόν	1	rc://*/tw/dict/bible/kt/god
1:6	z5dg	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:6	erdm	name	Ἰωάννης	1	rc://*/tw/dict/bible/names/johnthebaptist
1:7	zup3	keyterm	μαρτυρίαν	1	rc://*/tw/dict/bible/kt/testimony
1:7	yck4	keyterm	μαρτυρήσῃ	1	rc://*/tw/dict/bible/kt/testimony
1:7	rkwu	keyterm	πιστεύσωσιν	1	rc://*/tw/dict/bible/kt/believe
1:8	vsfa	keyterm	μαρτυρήσῃ	1	rc://*/tw/dict/bible/kt/testimony
1:9	f726	keyterm	κόσμον	1	rc://*/tw/dict/bible/kt/world
1:10	vbed	keyterm	κόσμῳ	1	rc://*/tw/dict/bible/kt/world
1:10	yqhy	keyterm	κόσμος	1	rc://*/tw/dict/bible/kt/world
1:10	fkvp	keyterm	κόσμος	2	rc://*/tw/dict/bible/kt/world
1:10	zfz8		ἔγνω	1	rc://*/tw/dict/bible/other/know
1:11	tvdj		παρέλαβον	1	rc://*/tw/dict/bible/other/receive
1:12	t3ab		ἔλαβον	1	rc://*/tw/dict/bible/other/receive
1:12	bd3c	keyterm	ἐξουσίαν	1	rc://*/tw/dict/bible/kt/authority
1:12	v4er	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:12	cvsm	keyterm	πιστεύουσιν	1	rc://*/tw/dict/bible/kt/believe
1:13	sh6e	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:13	ddyv	keyterm	ἐγεννήθησαν	1	rc://*/tw/dict/bible/kt/bornagain
1:14	jvwf	keyterm	λόγος	1	rc://*/tw/dict/bible/kt/wordofgod
1:14	hf7r	keyterm	τὴν δόξαν	1	rc://*/tw/dict/bible/kt/glory
1:14	u6sj	keyterm	δόξαν	2	rc://*/tw/dict/bible/kt/glory
1:14	a59a	keyterm	πατρός	1	rc://*/tw/dict/bible/kt/godthefather
1:14	u3v5	keyterm	χάριτος	1	rc://*/tw/dict/bible/kt/grace
1:15	mprz	name	Ἰωάννης	1	rc://*/tw/dict/bible/names/johnthebaptist
1:15	tf82	keyterm	μαρτυρεῖ	1	rc://*/tw/dict/bible/kt/testimony
1:15	v5ze		κέκραγεν	1	rc://*/tw/dict/bible/other/cry
1:16	djes		ἐλάβομεν	1	rc://*/tw/dict/bible/other/receive
1:16	pscy	keyterm	χάριν	1	rc://*/tw/dict/bible/kt/grace
1:16	c9at	keyterm	χάριτος	1	rc://*/tw/dict/bible/kt/grace
1:17	fb96	keyterm	νόμος	1	rc://*/tw/dict/bible/kt/lawofmoses
1:17	p2j2	name	Μωϋσέως	1	rc://*/tw/dict/bible/names/moses
1:17	th67	keyterm	ἡ χάρις	1	rc://*/tw/dict/bible/kt/grace
1:17	ecjq	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:17	dmed	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:18	x225	keyterm	Θεὸν	1	rc://*/tw/dict/bible/kt/god
1:18	memd	keyterm	Θεὸς	1	rc://*/tw/dict/bible/kt/god
1:18	at5h	keyterm	Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:19	qdn9	keyterm	μαρτυρία	1	rc://*/tw/dict/bible/kt/testimony
1:19	g9qb	name	τοῦ Ἰωάννου	1	rc://*/tw/dict/bible/names/johnthebaptist
1:19	cp3j	keyterm	Ἰουδαῖοι	1	rc://*/tw/dict/bible/kt/jew
1:19	p7d9	name	Ἱεροσολύμων	1	rc://*/tw/dict/bible/names/jerusalem
1:19	h24m	keyterm	ἱερεῖς	1	rc://*/tw/dict/bible/kt/priest
1:19	e53u	name	Λευείτας	1	rc://*/tw/dict/bible/names/levite
1:20	m4bz	keyterm	ὡμολόγησεν	1	rc://*/tw/dict/bible/kt/confess
1:20	d3bd	keyterm	ὡμολόγησεν	2	rc://*/tw/dict/bible/kt/confess
1:20	qdez	keyterm	Χριστός	1	rc://*/tw/dict/bible/kt/christ
1:21	h9rg	name	Ἠλείας	1	rc://*/tw/dict/bible/names/elijah
1:21	suyf	keyterm	προφήτης	1	rc://*/tw/dict/bible/kt/prophet
1:23	jdac		βοῶντος	1	rc://*/tw/dict/bible/other/cry
1:23	n7qu		ἐρήμῳ	1	rc://*/tw/dict/bible/other/desert
1:23	v6ur	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:23	xjv4	name	Ἠσαΐας	1	rc://*/tw/dict/bible/names/isaiah
1:23	h75b	keyterm	προφήτης	1	rc://*/tw/dict/bible/kt/prophet
1:24	asks	keyterm	Φαρισαίων	1	rc://*/tw/dict/bible/kt/pharisee
1:25	e9wv	keyterm	βαπτίζεις	1	rc://*/tw/dict/bible/kt/baptize
1:25	qc6q	keyterm	Χριστὸς	1	rc://*/tw/dict/bible/kt/christ
1:25	fbyd	name	Ἠλείας	1	rc://*/tw/dict/bible/names/elijah
1:25	wtdc	keyterm	προφήτης	1	rc://*/tw/dict/bible/kt/prophet
1:26	x3sh	name	ὁ Ἰωάννης	1	rc://*/tw/dict/bible/names/johnthebaptist
1:26	zhze	keyterm	βαπτίζω	1	rc://*/tw/dict/bible/kt/baptize
1:26	mvy9		οἴδατε	1	rc://*/tw/dict/bible/other/know
1:27	dab5		τοῦ ὑποδήματος	1	rc://*/tw/dict/bible/other/sandal
1:28	rh9t	name	Βηθανίᾳ	1	rc://*/tw/dict/bible/names/bethany
1:28	d9ev	name	Ἰορδάνου	1	rc://*/tw/dict/bible/names/jordanriver
1:28	rhzf	name	ὁ Ἰωάννης	1	rc://*/tw/dict/bible/names/johnthebaptist
1:28	n7ta	keyterm	βαπτίζων	1	rc://*/tw/dict/bible/kt/baptize
1:29	y3ee	keyterm; name	τὸν Ἰησοῦν	1	rc://*/tw/dict/bible/kt/jesus
1:29	b32m	keyterm	Ἀμνὸς	1	rc://*/tw/dict/bible/kt/lamb
1:29	umjw	keyterm	τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:29	z8tr	keyterm	ἁμαρτίαν	1	rc://*/tw/dict/bible/kt/sin
1:29	g84c	keyterm	τοῦ κόσμου	1	rc://*/tw/dict/bible/kt/world
1:31	rhp5		ᾔδειν	1	rc://*/tw/dict/bible/other/know
1:31	dhe4	keyterm	τῷ Ἰσραὴλ	1	rc://*/tw/dict/bible/kt/israel
1:31	prf8	keyterm	βαπτίζων	1	rc://*/tw/dict/bible/kt/baptize
1:32	xdr7	keyterm	ἐμαρτύρησεν	1	rc://*/tw/dict/bible/kt/testimony
1:32	uh3x	name	Ἰωάννης	1	rc://*/tw/dict/bible/names/johnthebaptist
1:32	frrf	keyterm	Πνεῦμα	1	rc://*/tw/dict/bible/kt/holyspirit
1:32	dndq		περιστερὰν	1	rc://*/tw/dict/bible/other/dove
1:32	devm	keyterm	οὐρανοῦ	1	rc://*/tw/dict/bible/kt/heaven
1:33	qw6s		ᾔδειν	1	rc://*/tw/dict/bible/other/know
1:33	kkye	keyterm	βαπτίζειν	1	rc://*/tw/dict/bible/kt/baptize
1:33	d3e7	keyterm	Πνεῦμα	1	rc://*/tw/dict/bible/kt/holyspirit
1:33	ex59	keyterm	βαπτίζων	1	rc://*/tw/dict/bible/kt/baptize
1:33	xnw2	keyterm	Πνεύματι Ἁγίῳ	1	rc://*/tw/dict/bible/kt/holyspirit
