Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	ppoe		בְ⁠אֶֽרֶץ	1	rc://*/tw/dict/bible/other/earth
1:1	abyh	name	אִיּ֣וֹב	1	rc://*/tw/dict/bible/names/job
1:1	gv0t	keyterm	תָּ֧ם	1	rc://*/tw/dict/bible/kt/blameless
1:1	ua07	keyterm	וְ⁠יָשָׁ֛ר	1	rc://*/tw/dict/bible/kt/righteous
1:1	dau7	keyterm	וִ⁠ירֵ֥א	1	rc://*/tw/dict/bible/kt/fear
1:1	sewj	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:1	nkvj	keyterm	וְ⁠סָ֥ר	1	rc://*/tw/dict/bible/kt/repent
1:1	nbol	keyterm	מֵ⁠רָֽע	1	rc://*/tw/dict/bible/kt/evil
1:3	mr47		צֹ֜אן	1	rc://*/tw/dict/bible/other/flock
1:3	ww8p		גְמַלִּ֗ים	1	rc://*/tw/dict/bible/other/camel
1:3	bqbz		בָּקָר֙	1	rc://*/tw/dict/bible/other/cow
1:3	ro2e		אֲתוֹנ֔וֹת	1	rc://*/tw/dict/bible/other/donkey
1:4	dkpk		מִשְׁתֶּ֔ה	1	rc://*/tw/dict/bible/other/feast
1:4	x4jn		בֵּ֖ית	1	rc://*/tw/dict/bible/other/house
1:4	gff8		יוֹמ֑⁠וֹ	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:4	edvw	keyterm	וְ⁠קָרְאוּ֙	1	rc://*/tw/dict/bible/kt/call-tosummon
1:5	b0ih		יְמֵ֨י	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:5	w3w9		הַ⁠מִּשְׁתֶּ֜ה	1	rc://*/tw/dict/bible/other/feast
1:5	vxc7	name	אִיּ֣וֹב	1	rc://*/tw/dict/bible/names/job
1:5	l27l	keyterm	וַֽ⁠יְקַדְּשֵׁ֗⁠ם	1	rc://*/tw/dict/bible/kt/consecrate
1:5	psay		עֹלוֹת֮	1	rc://*/tw/dict/bible/other/burntoffering
1:5	n6b1	name	אִיּ֔וֹב	1	rc://*/tw/dict/bible/names/job
1:5	g36c	keyterm	חָטְא֣וּ	1	rc://*/tw/dict/bible/kt/sin
1:5	e9sz	keyterm	וּ⁠בֵרֲכ֥וּ	1	rc://*/tw/dict/bible/kt/bless
1:5	tkgb	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:5	bgd0	name	אִיּ֖וֹב	1	rc://*/tw/dict/bible/names/job
1:5	mkhy		הַ⁠יָּמִֽים	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:6	xcgh		הַ⁠יּ֔וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:6	jc63	keyterm	בְּנֵ֣י הָ⁠אֱלֹהִ֔ים	1	rc://*/tw/dict/bible/kt/sonsofgod
1:6	nupa	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	whdf		הַ⁠שָּׂטָ֖ן	1	rc://*/tw/dict/bible/other/adversary
1:7	cjz3	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	lsye		הַ⁠שָּׂטָ֖ן	1	rc://*/tw/dict/bible/other/adversary
1:7	pvr1		הַ⁠שָּׂטָ֤ן	1	rc://*/tw/dict/bible/other/adversary
1:7	wum5	keyterm	אֶת־יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:7	nggy		בָּ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:8	c8f7	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:8	khij		הַ⁠שָּׂטָ֔ן	1	rc://*/tw/dict/bible/other/adversary
1:8	egdw		עַבְדִּ֣⁠י	1	rc://*/tw/dict/bible/other/servant
1:8	lh22	name	אִיּ֑וֹב	1	rc://*/tw/dict/bible/names/job
1:8	h6n2		בָּ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:8	xqi2	keyterm	תָּ֧ם	1	rc://*/tw/dict/bible/kt/blameless
1:8	x21p	keyterm	וְ⁠יָשָׁ֛ר	1	rc://*/tw/dict/bible/kt/righteous
1:8	xgzl	keyterm	יְרֵ֥א	1	rc://*/tw/dict/bible/kt/fear
1:8	r6x6	keyterm	אֱלֹהִ֖ים	1	rc://*/tw/dict/bible/kt/god
1:8	b40d	keyterm	וְ⁠סָ֥ר מֵ⁠רָֽע	1	rc://*/tw/dict/bible/kt/repent
1:8	ullq	keyterm	מֵ⁠רָֽע	1	rc://*/tw/dict/bible/kt/evil
1:9	sj4w		הַ⁠שָּׂטָ֛ן	1	rc://*/tw/dict/bible/other/adversary
1:9	svhk	keyterm	אֶת־יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	uej0	name	אִיּ֖וֹב	1	rc://*/tw/dict/bible/names/job
1:9	y4zc	keyterm	יָרֵ֥א	1	rc://*/tw/dict/bible/kt/fear
1:9	eh66	keyterm	אֱלֹהִֽים	1	rc://*/tw/dict/bible/kt/god
1:10	kszw		בֵּית֛⁠וֹ	1	rc://*/tw/dict/bible/other/household
1:10	dd6b	keyterm	בֵּרַ֔כְתָּ	1	rc://*/tw/dict/bible/kt/bless
