Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	hu3t		רַּבָּ֣תִי בַ⁠גּוֹיִ֗ם	1	rc://*/tw/dict/bible/other/nation
1:1	fi41		שָׂרָ֨תִי֙	1	rc://*/tw/dict/bible/other/prince
1:1	ccjy		בַּ⁠מְּדִינ֔וֹת	1	rc://*/tw/dict/bible/other/province
1:1	mgt1		לָ⁠מַֽס	1	rc://*/tw/dict/bible/other/labor
1:2	sx6v	keyterm	אֹהֲבֶ֑י⁠הָ	1	rc://*/tw/dict/bible/kt/love
1:2	yder		רֵעֶ֨י⁠הָ֙	1	rc://*/tw/dict/bible/other/companion
1:2	pplg		בָּ֣גְדוּ בָ֔⁠הּ	1	rc://*/tw/dict/bible/other/betray
1:2	jdsl		לְ⁠אֹיְבִֽים	1	rc://*/tw/dict/bible/other/adversary
1:3	vhs5		גָּֽלְתָ֨ה	1	rc://*/tw/dict/bible/other/exile
1:3	fnq8	name	יְהוּדָ֤ה	1	rc://*/tw/dict/bible/names/judah
1:3	yi9v		מֵ⁠עֹ֨נִי֙	1	rc://*/tw/dict/bible/other/afflict
1:3	lvt1		עֲבֹדָ֔ה	1	rc://*/tw/dict/bible/other/labor
1:3	z3th		בַ⁠גּוֹיִ֔ם	1	rc://*/tw/dict/bible/other/nation
1:4	djy7	keyterm	צִיּ֜וֹן	1	rc://*/tw/dict/bible/kt/zion
1:4	hq6r		אֲבֵל֗וֹת	1	rc://*/tw/dict/bible/other/mourn
1:4	d72m	keyterm	מוֹעֵ֔ד	1	rc://*/tw/dict/bible/other/feast
1:4	rzvw		שְׁעָרֶ֨י⁠הָ֙	1	rc://*/tw/dict/bible/other/gate
1:4	idag		שֽׁוֹמֵמִ֔ין	1	rc://*/tw/dict/bible/other/desolate
1:4	fd6q	keyterm	כֹּהֲנֶ֖י⁠הָ	1	rc://*/tw/dict/bible/kt/priest
1:5	y347		צָרֶ֤י⁠הָ	1	rc://*/tw/dict/bible/other/adversary
1:5	mt4n		אֹיְבֶ֣י⁠הָ	1	rc://*/tw/dict/bible/other/adversary
1:5	megn		שָׁל֔וּ	1	rc://*/tw/dict/bible/other/prosper
1:5	evdn	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:5	d0nq		הוֹגָ֖⁠הּ	1	rc://*/tw/dict/bible/other/afflict
1:5	fbvv	keyterm	פְּשָׁעֶ֑י⁠הָ	1	rc://*/tw/dict/bible/kt/transgression
1:5	f69m		שְׁבִ֖י	1	rc://*/tw/dict/bible/other/captive
1:5	dmws		צָֽר	1	rc://*/tw/dict/bible/other/adversary
1:6	phes	keyterm	צִיּ֖וֹן	1	rc://*/tw/dict/bible/kt/zion
1:6	g5ue	keyterm	הֲדָרָ֑⁠הּ	1	rc://*/tw/dict/bible/kt/majesty
1:6	ft2n		שָׂרֶ֗י⁠הָ	1	rc://*/tw/dict/bible/other/prince
1:6	hcww		כְּ⁠אַיָּלִים֙	1	rc://*/tw/dict/bible/other/deer
1:7	mrs9	name	יְרוּשָׁלִַ֗ם	1	rc://*/tw/dict/bible/names/jerusalem
1:7	epw9		עָנְיָ⁠הּ֙	1	rc://*/tw/dict/bible/other/afflict
1:7	wqgp		צָ֗ר	1	rc://*/tw/dict/bible/other/adversary
1:7	q85c		צָרִ֔ים	1	rc://*/tw/dict/bible/other/adversary
1:8	sp5b	keyterm	חֵ֤טְא חָֽטְאָה֙	1	rc://*/tw/dict/bible/kt/sin
1:8	g4vy	name	יְר֣וּשָׁלִַ֔ם	1	rc://*/tw/dict/bible/names/jerusalem
1:8	zp0w	keyterm	מְכַבְּדֶ֤י⁠הָ	1	rc://*/tw/dict/bible/kt/honor
1:9	hgfs	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:9	j6an		אֶת־עָנְיִ֔⁠י	1	rc://*/tw/dict/bible/other/afflict
1:9	a79q		הִגְדִּ֖יל	1	rc://*/tw/dict/bible/other/proud
1:9	pypy		אוֹיֵֽב	1	rc://*/tw/dict/bible/other/adversary
1:10	ox6j	keyterm	מִקְדָּשָׁ֔⁠הּ	1	rc://*/tw/dict/bible/kt/sanctuary
1:10	f6fq		צָ֔ר	1	rc://*/tw/dict/bible/other/adversary
1:10	txxx		גוֹיִם֙	1	rc://*/tw/dict/bible/other/nation
1:10	wtqb		בַ⁠קָּהָ֖ל לָֽ⁠ךְ	1	rc://*/tw/dict/bible/other/assembly
1:11	wpnw		מְבַקְּשִׁ֣ים	1	rc://*/tw/dict/bible/other/seek
1:11	pak9		לֶ֔חֶם	1	rc://*/tw/dict/bible/other/bread
1:11	prk8	keyterm	לְ⁠הָשִׁ֣יב	1	rc://*/tw/dict/bible/kt/restore
1:11	spy3	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:12	gzdj	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:13	aql7		שֹֽׁמֵמָ֔ה	1	rc://*/tw/dict/bible/other/desolate
1:14	q4zc		עֹ֨ל	1	rc://*/tw/dict/bible/other/yoke
1:14	dzq3	keyterm	פְּשָׁעַ֜⁠י	1	rc://*/tw/dict/bible/kt/transgression
1:14	vs93	keyterm	נִשְׂקַד֩	1	rc://*/tw/dict/bible/kt/bond
1:14	udtq		כֹּחִ֑⁠י	1	rc://*/tw/dict/bible/other/stumble
1:14	vqbk	keyterm	אֲדֹנָ֔⁠י	1	rc://*/tw/dict/bible/kt/lord
1:15	cjqw	keyterm	אֲדֹנָ⁠י֙	1	rc://*/tw/dict/bible/kt/lord
1:15	v5wx		סִלָּ֨ה	1	rc://*/tw/dict/bible/other/reject
1:15	b1lq		אַבִּירַ֤⁠י	1	rc://*/tw/dict/bible/other/mighty
1:15	wfq2	keyterm	קָרָ֥א	1	rc://*/tw/dict/bible/kt/call-tosummon
1:15	dssr	keyterm	מוֹעֵ֖ד	1	rc://*/tw/dict/bible/kt/appoint
1:15	md85		גַּ֚ת	1	rc://*/tw/dict/bible/other/winepress
1:15	cwk7	name	יְהוּדָֽה	1	rc://*/tw/dict/bible/names/judah
1:16	q4hq		בוֹכִיָּ֗ה	1	rc://*/tw/dict/bible/other/mourn
1:16	t8xy	keyterm	מֵשִׁ֣יב	1	rc://*/tw/dict/bible/kt/restore
1:16	ts17		שֽׁוֹמֵמִ֔ים	1	rc://*/tw/dict/bible/other/desolate
1:16	bm6y		אוֹיֵֽב	1	rc://*/tw/dict/bible/other/adversary
1:17	brry	name	לְ⁠יַעֲקֹ֖ב	1	rc://*/tw/dict/bible/names/jacob
1:17	aasb	keyterm	צִיּ֜וֹן	1	rc://*/tw/dict/bible/kt/zion
1:17	dgan		סְבִיבָ֣י⁠ו	1	rc://*/tw/dict/bible/other/adversary
1:17	zksk	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:17	fgtg	name	יְרוּשָׁלִַ֛ם	1	rc://*/tw/dict/bible/names/jerusalem
1:18	xqx8	keyterm	צַדִּ֥יק ה֛וּא	1	rc://*/tw/dict/bible/kt/righteous
1:18	ycxv	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:18	eqaa		מָרִ֑יתִי	1	rc://*/tw/dict/bible/other/rebel
1:18	zf5i		נָ֣א	1	rc://*/tw/dict/bible/other/plead
1:18	svkw		בַ⁠שֶּֽׁבִי	1	rc://*/tw/dict/bible/other/captive
1:19	jj4g	keyterm	קָרָ֤אתִי	1	rc://*/tw/dict/bible/kt/call-tosummon
1:19	wcfp	keyterm	לַֽ⁠מְאַהֲבַ⁠י֙	1	rc://*/tw/dict/bible/kt/love
1:19	mcf8		רִמּ֔וּ⁠נִי	1	rc://*/tw/dict/bible/other/deceive
1:19	yfyg	keyterm	כֹּהֲנַ֥⁠י	1	rc://*/tw/dict/bible/kt/priest
1:19	lobs		וּ⁠זְקֵנַ֖⁠י	1	rc://*/tw/dict/bible/other/elder
1:19	eh6t		בִקְשׁ֥וּ	1	rc://*/tw/dict/bible/other/seek
1:19	m8bg	keyterm	וְ⁠יָשִׁ֖יבוּ	1	rc://*/tw/dict/bible/kt/restore
1:20	cpuz	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
1:20	k37q		כִּֽי־צַר־לִ⁠י֙	1	rc://*/tw/dict/bible/other/tribulation
1:20	squm		מָר֖וֹ מָרִ֑יתִי	1	rc://*/tw/dict/bible/other/rebel
1:20	vt9j		חֶ֖רֶב	1	rc://*/tw/dict/bible/other/sword
1:21	jexw		אֹ֨יְבַ֜⁠י	1	rc://*/tw/dict/bible/other/adversary
1:21	p752		רָֽעָתִ⁠י֙	1	rc://*/tw/dict/bible/other/trouble
1:21	ahot		שָׂ֔שׂוּ	1	rc://*/tw/dict/bible/other/joy
1:21	tyju		קָרָ֖אתָ	1	rc://*/tw/dict/bible/other/declare
1:22	zxkt	keyterm	רָעָתָ֤⁠ם	1	rc://*/tw/dict/bible/kt/evil
1:22	ufu2	keyterm	פְּשָׁעָ֑⁠י	1	rc://*/tw/dict/bible/kt/transgression
2:1	k6tp	keyterm	אֲדֹנָ⁠י֙	1	rc://*/tw/dict/bible/kt/lord
2:1	eq8n	keyterm	צִיּ֔וֹן	1	rc://*/tw/dict/bible/kt/zion
2:1	v67s	keyterm	מִ⁠שָּׁמַ֨יִם֙	1	rc://*/tw/dict/bible/kt/heaven
2:1	cvkg		אֶ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
2:1	tzis		תִּפְאֶ֖רֶת	1	rc://*/tw/dict/bible/other/splendor
2:1	jn9x	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
2:1	bed0		הֲדֹם	1	rc://*/tw/dict/bible/other/footstool
2:2	ehwz	keyterm	אֲדֹנָ֜⁠י	1	rc://*/tw/dict/bible/kt/lord
2:2	sgnm	name	יַעֲקֹ֔ב	1	rc://*/tw/dict/bible/names/jacob
2:2	bnwk	keyterm	בְּ⁠עֶבְרָת֛⁠וֹ	1	rc://*/tw/dict/bible/kt/wrath
2:2	bc0n		מִבְצְרֵ֥י	1	rc://*/tw/dict/bible/other/stronghold
2:2	ynbu	name	יְהוּדָ֖ה	1	rc://*/tw/dict/bible/names/judah
2:2	kuj4		חִלֵּ֥ל	1	rc://*/tw/dict/bible/other/profane
2:2	peqe		מַמְלָכָ֖ה	1	rc://*/tw/dict/bible/other/kingdom
2:2	hajn		וְ⁠שָׂרֶֽי⁠הָ	1	rc://*/tw/dict/bible/other/prince
2:3	nj6j	name	בְּ⁠יַעֲקֹב֙	1	rc://*/tw/dict/bible/names/jacob
2:3	u5sj		קֶ֣רֶן	1	rc://*/tw/dict/bible/other/horn
2:3	q3uc	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
2:3	p4wg		אוֹיֵ֑ב	1	rc://*/tw/dict/bible/other/adversary
2:3	yeng		אָכְלָ֖ה	1	rc://*/tw/dict/bible/other/consume
2:4	e90p		קַשְׁתּ֜⁠וֹ	1	rc://*/tw/dict/bible/other/bowweapon
2:4	qmgz		כְּ⁠אוֹיֵ֗ב	1	rc://*/tw/dict/bible/other/adversary
2:4	f5xt		כְּ⁠צָ֔ר	1	rc://*/tw/dict/bible/other/adversary
2:4	dqju		וַֽ⁠יַּהֲרֹ֔ג	1	rc://*/tw/dict/bible/other/slain
2:4	xey8		מַחֲמַדֵּי	1	rc://*/tw/dict/bible/other/delight
2:4	v010		בְּ⁠אֹ֨הֶל֙	1	rc://*/tw/dict/bible/other/tent
2:4	mjet	keyterm	צִיּ֔וֹן	1	rc://*/tw/dict/bible/kt/zion
2:4	scf8	keyterm	חֲמָתֽ⁠וֹ	1	rc://*/tw/dict/bible/kt/wrath
2:5	a4vh	keyterm	אֲדֹנָ֤⁠י	1	rc://*/tw/dict/bible/kt/lord
2:5	jbhz		כְּ⁠אוֹיֵב֙	1	rc://*/tw/dict/bible/other/adversary
2:5	fwdv	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
2:5	uqtf		אַרְמְנוֹתֶ֔י⁠הָ	1	rc://*/tw/dict/bible/other/stronghold
2:5	nxo7		שִׁחֵ֖ת	1	rc://*/tw/dict/bible/other/destroyer
2:5	jcdu		מִבְצָרָ֑י⁠ו	1	rc://*/tw/dict/bible/other/stronghold
2:5	m1pm		וַ⁠יֶּ֨רֶב֙	1	rc://*/tw/dict/bible/other/multiply
2:5	v5ax	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judah
2:5	dibi		תַּאֲנִיָּ֖ה	1	rc://*/tw/dict/bible/other/mourn
2:6	yhy3	keyterm	וְ⁠שַׁבָּ֔ת	1	rc://*/tw/dict/bible/kt/sabbath
2:6	ql3k		שִׁחֵ֖ת	1	rc://*/tw/dict/bible/other/destroyer
2:6	xcsy	keyterm	מוֹעֲד֑⁠וֹ	1	rc://*/tw/dict/bible/kt/appoint
2:6	fs37		מוֹעֵ֣ד	1	rc://*/tw/dict/bible/other/festival
2:6	de49	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
2:6	rkrz	keyterm	בְּ⁠צִיּוֹן֙	1	rc://*/tw/dict/bible/kt/zion
2:6	vj6c		מֶ֥לֶךְ	1	rc://*/tw/dict/bible/other/king
2:6	hvoj	keyterm	וְ⁠כֹהֵֽן	1	rc://*/tw/dict/bible/kt/priest
2:7	l04c	keyterm	מִזְבְּח⁠וֹ֙	1	rc://*/tw/dict/bible/kt/altar
2:7	znsb		זָנַ֨ח	1	rc://*/tw/dict/bible/other/reject
2:7	zyvz	keyterm	מִקְדָּשׁ֔⁠וֹ	1	rc://*/tw/dict/bible/kt/sanctuary
2:7	pfz9	keyterm	אֲדֹנָ֤⁠י	1	rc://*/tw/dict/bible/kt/lord
2:7	pbrr		הִסְגִּיר֙	1	rc://*/tw/dict/bible/other/deliver-toharm
2:7	f5nd		אוֹיֵ֔ב	1	rc://*/tw/dict/bible/other/adversary
2:7	g4zt		אַרְמְנוֹתֶ֑י⁠הָ	1	rc://*/tw/dict/bible/other/palace
2:7	iags	keyterm	בְּ⁠בֵית־יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/houseofgod
2:7	jmx9	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
2:7	bt64	keyterm	מוֹעֵֽד	1	rc://*/tw/dict/bible/kt/appoint
2:7	qc37		מוֹעֵֽד	1	rc://*/tw/dict/bible/other/festival
2:8	fyr6	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
2:8	dplq		לְ⁠הַשְׁחִית֙	1	rc://*/tw/dict/bible/other/destroyer
2:8	qv8w	keyterm	צִיּ֔וֹן	1	rc://*/tw/dict/bible/kt/zion
2:8	mkat		וַ⁠יַּֽאֲבֶל	1	rc://*/tw/dict/bible/other/mourn
2:9	cptt		שְׁעָרֶ֔י⁠הָ	1	rc://*/tw/dict/bible/other/gate
2:9	papq		אִבַּ֥ד	1	rc://*/tw/dict/bible/other/destroyer
2:9	vpvy		מַלְכָּ֨⁠הּ	1	rc://*/tw/dict/bible/other/king
2:9	jdz6		וְ⁠שָׂרֶ֤י⁠הָ	1	rc://*/tw/dict/bible/other/prince
2:9	b6db		בַ⁠גּוֹיִם֙	1	rc://*/tw/dict/bible/other/nation
2:9	ejqm	keyterm	תּוֹרָ֔ה	1	rc://*/tw/dict/bible/other/law
2:9	amtd	keyterm	נְבִיאֶ֕י⁠הָ	1	rc://*/tw/dict/bible/kt/prophet
2:9	ox1j		חָז֖וֹן	1	rc://*/tw/dict/bible/other/vision
2:9	l0y2	keyterm	מֵ⁠יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
2:10	hgy5		זִקְנֵ֣י	1	rc://*/tw/dict/bible/other/elder
2:10	pbyj	keyterm	צִיּ֔וֹן	1	rc://*/tw/dict/bible/kt/zion
2:10	a5gy		שַׂקִּ֑ים	1	rc://*/tw/dict/bible/other/sackcloth
2:10	kkbw		בְּתוּלֹ֖ת	1	rc://*/tw/dict/bible/other/virgin
2:10	fsxs	name	יְרוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
