Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:2	huby	keyterm	αὐτόπται	1	rc://*/tw/dict/bible/kt/testimony
1:2	nh6x		ὑπηρέται	1	rc://*/tw/dict/bible/other/servant
1:2	fvhc	keyterm	τοῦ λόγου	1	rc://*/tw/dict/bible/kt/wordofgod
1:4	eeqk		ἐπιγνῷς	1	rc://*/tw/dict/bible/other/know
1:5	zzbx		ἡμέραις	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:5	xh2g		βασιλέως	1	rc://*/tw/dict/bible/other/king
1:5	tba5	name	Ἡρῴδου βασιλέως	1	rc://*/tw/dict/bible/names/herodthegreat
1:5	kzht	name	τῆς Ἰουδαίας	1	rc://*/tw/dict/bible/names/judea
1:5	ervj	keyterm	ἱερεύς	1	rc://*/tw/dict/bible/kt/priest
1:5	t8cj	name	Ζαχαρίας	1	rc://*/tw/dict/bible/names/zechariahnt
1:5	a67e	name	Ἀβιά	1	rc://*/tw/dict/bible/names/abijah
1:5	y59q	name	Ἀαρών	1	rc://*/tw/dict/bible/names/aaron
1:5	mtdq	name	Ἐλεισάβετ	1	rc://*/tw/dict/bible/names/elizabeth
1:6	sdxa	keyterm	δίκαιοι	1	rc://*/tw/dict/bible/kt/righteous
1:6	dsky	keyterm	τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:6	jfy9		δικαιώμασιν	1	rc://*/tw/dict/bible/other/ordinance
1:6	pebt	keyterm	τοῦ Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:6	eakb	keyterm	ἄμεμπτοι	1	rc://*/tw/dict/bible/kt/blameless
1:7	mrge	name	ἡ Ἐλεισάβετ	1	rc://*/tw/dict/bible/names/elizabeth
1:7	urys		στεῖρα	1	rc://*/tw/dict/bible/other/barren
1:7	pw2q		ταῖς ἡμέραις	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:8	ycyu	keyterm	τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:9	h64m	keyterm	τῆς ἱερατείας	1	rc://*/tw/dict/bible/kt/priest
1:9	vn8y		τοῦ θυμιᾶσαι	1	rc://*/tw/dict/bible/other/incense
1:9	p7rj	keyterm	ναὸν	1	rc://*/tw/dict/bible/kt/temple
1:9	dw6c	keyterm	τοῦ Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:10	dvj4	keyterm	προσευχόμενον	1	rc://*/tw/dict/bible/kt/pray
1:10	uyhu		τῇ ὥρᾳ	1	rc://*/tw/dict/bible/other/biblicaltimehour
1:10	a3nc		τοῦ θυμιάματος	1	rc://*/tw/dict/bible/other/incense
1:11	vdbk	keyterm	ἄγγελος	1	rc://*/tw/dict/bible/kt/angel
1:11	bt9s	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
