Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	ot8u	keyterm	דְבַר־יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/wordofgod
1:1	qzqn	name	מַלְאָכִֽי	1	rc://*/tw/dict/bible/names/malachi
1:1	j8eb	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
1:2	nz5p	keyterm	אָהַ֤בְתִּי	1	rc://*/tw/dict/bible/kt/love
1:2	j73w	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	x3rt	keyterm	אֲהַבְתָּ֑⁠נוּ	1	rc://*/tw/dict/bible/kt/love
1:2	kwcx	name	עֵשָׂ֤ו	1	rc://*/tw/dict/bible/names/esau
1:2	mikl	name	לְ⁠יַֽעֲקֹב֙	1	rc://*/tw/dict/bible/names/jacob
1:2	sc9a	keyterm	יְהוָ֔ה	2	rc://*/tw/dict/bible/kt/yahweh
1:2	h2rp	keyterm	וָ⁠אֹהַ֖ב	1	rc://*/tw/dict/bible/kt/love
1:2	z7ms	name	אֶֽת־יַעֲקֹֽב	1	rc://*/tw/dict/bible/names/jacob
1:3	f18j	name	עֵשָׂ֖ו	1	rc://*/tw/dict/bible/names/esau
1:3	umdn		שְׁמָמָ֔ה	1	rc://*/tw/dict/bible/other/desolate
1:3	zxaf	keyterm	נַחֲלָת֖⁠וֹ	1	rc://*/tw/dict/bible/kt/inherit
1:3	vqte		מִדְבָּֽר	1	rc://*/tw/dict/bible/other/desert
1:4	hxso	name	אֱד֜וֹם	1	rc://*/tw/dict/bible/names/edom
1:4	hhbm		חֳרָב֔וֹת	1	rc://*/tw/dict/bible/other/ruin
1:4	p8t9	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	jjwp		וְ⁠קָרְא֤וּ	1	rc://*/tw/dict/bible/kt/call-toname
1:4	yzwn	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	bvxl	keyterm	עַד־עוֹלָֽם	1	rc://*/tw/dict/bible/kt/eternity
1:5	hcvk		יִגְדַּ֣ל	1	rc://*/tw/dict/bible/other/proud
1:5	k9nf	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:5	n493	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
1:6	g80i	keyterm	יְכַבֵּ֥ד	1	rc://*/tw/dict/bible/kt/honor
1:6	wgm6		וְ⁠עֶ֣בֶד	1	rc://*/tw/dict/bible/other/servant
1:6	whga	keyterm	אֲדֹנָ֑י⁠ו	1	rc://*/tw/dict/bible/kt/lord
1:6	yqdn	keyterm	אָ֣ב	1	rc://*/tw/dict/bible/kt/godthefather
1:6	jszu	keyterm	כְבוֹדִ֡⁠י	1	rc://*/tw/dict/bible/kt/glory
1:6	dpgw	keyterm	אֲדוֹנִ֣ים	1	rc://*/tw/dict/bible/kt/lord
1:6	mfyp	keyterm	מוֹרָאִ֜⁠י	1	rc://*/tw/dict/bible/kt/fear
1:6	y92x	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	p76u	keyterm	הַ⁠כֹּֽהֲנִים֙	1	rc://*/tw/dict/bible/kt/priest
1:7	gvpt		מְגֹאָ֔ל	1	rc://*/tw/dict/bible/other/defile
1:7	emsa	keyterm	מִזְבְּחִ⁠י֙	1	rc://*/tw/dict/bible/kt/altar
1:7	upiv		גֵֽאַלְנ֑וּ⁠ךָ	1	rc://*/tw/dict/bible/other/defile
1:7	qzc4	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:8	bn3j		לִ⁠זְבֹּ֨חַ֙	1	rc://*/tw/dict/bible/other/sacrifice
1:8	rynn	keyterm	רָ֔ע	1	rc://*/tw/dict/bible/kt/evil
1:8	hfwa	keyterm	רָ֑ע	1	rc://*/tw/dict/bible/kt/evil
1:8	oji4		לְ⁠פֶחָתֶ֗⁠ךָ	1	rc://*/tw/dict/bible/other/governor
1:8	sgmd	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	btt3		נָ֥א	1	rc://*/tw/dict/bible/other/plead
1:9	fwcl	keyterm	אֵ֖ל	1	rc://*/tw/dict/bible/kt/god
1:9	f8y5	keyterm	וִֽ⁠יחָנֵ֑⁠נוּ	1	rc://*/tw/dict/bible/kt/grace
1:9	sqxy	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:10	agbz	keyterm	מִזְבְּחִ֖⁠י	1	rc://*/tw/dict/bible/kt/altar
1:10	utsg		חִנָּ֑ם	1	rc://*/tw/dict/bible/other/vain
1:10	rgu4	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
1:10	yikj		אֶרְצֶ֥ה	1	rc://*/tw/dict/bible/other/sacrifice
