Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	xe7g	keyterm	τοῦ εὐαγγελίου	1	rc://*/tw/dict/bible/kt/goodnews
1:1	ctdu	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	ugaq	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	upr2	keyterm	Υἱοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/sonofgod
1:2	ushs	name	τῷ Ἠσαΐᾳ	1	rc://*/tw/dict/bible/names/isaiah
1:2	h6wt	keyterm	προφήτῃ	1	rc://*/tw/dict/bible/kt/prophet
1:2	rvfe		τὸν ἄγγελόν	1	rc://*/tw/dict/bible/other/messenger
1:3	fwqh	keyterm	βοῶντος	1	rc://*/tw/dict/bible/kt/call-speakloudly
1:3	g4hb		ἐρήμῳ	1	rc://*/tw/dict/bible/other/desert
1:3	u7md	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:4	ws56	name	Ἰωάννης	1	rc://*/tw/dict/bible/names/johnthebaptist
1:4	ybwz	keyterm	βαπτίζων	1	rc://*/tw/dict/bible/kt/baptize
1:4	cvet		ἐρήμῳ	1	rc://*/tw/dict/bible/other/desert
1:4	wz26		κηρύσσων	1	rc://*/tw/dict/bible/other/preach
1:4	sadz	keyterm	βάπτισμα	1	rc://*/tw/dict/bible/kt/baptize
1:4	dpgx	keyterm	μετανοίας	1	rc://*/tw/dict/bible/kt/repent
1:4	e2zk	keyterm	ἄφεσιν	1	rc://*/tw/dict/bible/kt/forgive
1:4	u2wa	keyterm	ἁμαρτιῶν	1	rc://*/tw/dict/bible/kt/sin
1:5	mdb2	name	Ἰουδαία	1	rc://*/tw/dict/bible/names/judea
1:5	h376	name	Ἱεροσολυμεῖται	1	rc://*/tw/dict/bible/names/jerusalem
1:5	c42p	keyterm	ἐβαπτίζοντο	1	rc://*/tw/dict/bible/kt/baptize
1:5	txy6	name	Ἰορδάνῃ	1	rc://*/tw/dict/bible/names/jordanriver
1:5	a6fs	keyterm	ἐξομολογούμενοι	1	rc://*/tw/dict/bible/kt/confess
1:5	gpuk	keyterm	τὰς ἁμαρτίας	1	rc://*/tw/dict/bible/kt/sin
1:6	bv23	name	ὁ Ἰωάννης	1	rc://*/tw/dict/bible/names/johnthebaptist
1:6	trte		καμήλου	1	rc://*/tw/dict/bible/other/camel
1:6	pv29		τὴν ὀσφὺν	1	rc://*/tw/dict/bible/other/loins
1:6	bxmg		ἀκρίδας	1	rc://*/tw/dict/bible/other/locust
1:6	kgff		μέλι	1	rc://*/tw/dict/bible/other/honey
1:7	ze8j		ἐκήρυσσεν	1	rc://*/tw/dict/bible/other/preach
1:7	fg4e		ἰσχυρότερός	1	rc://*/tw/dict/bible/other/mighty
1:7	rh4u		τῶν ὑποδημάτων	1	rc://*/tw/dict/bible/other/sandal
1:8	ajku	keyterm	ἐβάπτισα	1	rc://*/tw/dict/bible/kt/baptize
1:8	ugjt	keyterm	βαπτίσει	1	rc://*/tw/dict/bible/kt/baptize
1:8	gpdg	keyterm	Πνεύματι Ἁγίῳ	1	rc://*/tw/dict/bible/kt/holyspirit
1:9	pe6x		ταῖς ἡμέραις	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:9	a34h	keyterm; name	Ἰησοῦς	1	rc://*/tw/dict/bible/kt/jesus
1:9	h283	name	Ναζαρὲτ	1	rc://*/tw/dict/bible/names/nazareth
