Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	exdd	name	Παῦλος	1	rc://*/tw/dict/bible/names/paul
1:1	qesh	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	rgpk	keyterm; name	Χριστοῦ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	dmcc	name	Τιμόθεος	1	rc://*/tw/dict/bible/names/timothy
1:1	kbv2	keyterm	ἀγαπητῷ	1	rc://*/tw/dict/bible/kt/beloved
1:1	gd36		συνεργῷ	1	rc://*/tw/dict/bible/other/companion
1:2	cwwm		τῷ συνστρατιώτῃ	1	rc://*/tw/dict/bible/other/warrior
1:2	y5k3		οἶκόν	1	rc://*/tw/dict/bible/other/house
1:2	n5xe	keyterm	τῇ & ἐκκλησίᾳ	2	rc://*/tw/dict/bible/kt/church
1:3	b77a	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:3	krmu		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:3	t9qf	keyterm	Θεοῦ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:3	f5af	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:3	q5se	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:3	y7yd	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:4	yjn7	keyterm	τῷ Θεῷ	1	rc://*/tw/dict/bible/kt/god
1:4	wbne	keyterm	τῶν προσευχῶν	1	rc://*/tw/dict/bible/kt/pray
1:5	uv5r	keyterm	τὴν ἀγάπην	1	rc://*/tw/dict/bible/kt/love
1:5	qzdg	keyterm	πίστιν	1	rc://*/tw/dict/bible/kt/faith
1:5	jsyx	keyterm	Κύριον	1	rc://*/tw/dict/bible/kt/lord
1:5	zz8w	keyterm; name	Ἰησοῦν	1	rc://*/tw/dict/bible/kt/jesus
1:5	yfgj	keyterm	ἁγίους	1	rc://*/tw/dict/bible/kt/saint
1:6	mbj4	keyterm	κοινωνία	1	rc://*/tw/dict/bible/kt/fellowship
1:6	wnwb	keyterm	τῆς πίστεώς	1	rc://*/tw/dict/bible/kt/faith
