Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	xlen		בַּ⁠עֲצַ֪ת	1	rc://*/tw/dict/bible/other/counselor
1:1	uqew	keyterm	רְשָׁ֫עִ֥ים	1	rc://*/tw/dict/bible/kt/evil
1:1	qfv4	keyterm	חַ֭טָּאִים	1	rc://*/tw/dict/bible/kt/sin
1:2	sf3e		בְּ⁠תוֹרַ֥ת	1	rc://*/tw/dict/bible/other/instruct
1:2	uzg6	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	ni78		חֶ֫פְצ֥⁠וֹ	1	rc://*/tw/dict/bible/other/delight
1:2	co4m		וּֽ⁠בְ⁠תוֹרָת֥⁠וֹ	1	rc://*/tw/dict/bible/other/doctrine
1:2	o348		יֶהְגֶּ֗ה	1	rc://*/tw/dict/bible/other/meditate
1:3	uwc7		פִּרְי֨⁠וֹ	1	rc://*/tw/dict/bible/other/fruit
1:3	hkmf		יַצְלִֽיחַ	1	rc://*/tw/dict/bible/other/prosper
1:4	un6h	keyterm	הָ⁠רְשָׁעִ֑ים	1	rc://*/tw/dict/bible/kt/evil
1:4	la4b		כַּ֝⁠מֹּ֗ץ	1	rc://*/tw/dict/bible/other/chaff
1:5	ezix	keyterm	רְ֭שָׁעִים	1	rc://*/tw/dict/bible/kt/evil
1:5	xqh2	keyterm	בַּ⁠מִּשְׁפָּ֑ט	1	rc://*/tw/dict/bible/kt/judge
1:5	bbp0	keyterm	וְ֝⁠חַטָּאִ֗ים	1	rc://*/tw/dict/bible/kt/sin
1:5	gu3k		בַּ⁠עֲדַ֥ת	1	rc://*/tw/dict/bible/other/assembly
1:5	zbuw	keyterm	צַדִּיקִֽים	1	rc://*/tw/dict/bible/kt/righteous
1:6	a59p	keyterm	יְ֭הוָה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	ahdn		יוֹדֵ֣עַ	1	rc://*/tw/dict/bible/other/know
1:6	bz6p	keyterm	צַדִּיקִ֑ים	1	rc://*/tw/dict/bible/kt/righteous
1:6	e1vv	keyterm	רְשָׁעִ֣ים	1	rc://*/tw/dict/bible/kt/evil
1:6	bhm4	keyterm	תֹּאבֵֽד	1	rc://*/tw/dict/bible/kt/perish
2:1	z5hv		גוֹיִ֑ם	1	rc://*/tw/dict/bible/other/nation
2:2	jarx		מַלְכֵי	1	rc://*/tw/dict/bible/other/king
2:2	tn4v		אֶ֗רֶץ	1	rc://*/tw/dict/bible/other/earth
2:2	a9rk		וְ⁠רוֹזְנִ֥ים	1	rc://*/tw/dict/bible/other/ruler
2:2	efn2	keyterm	יְ֝הוָה	1	rc://*/tw/dict/bible/kt/yahweh
2:2	tazs	keyterm	מְשִׁיחֽ⁠וֹ	1	rc://*/tw/dict/bible/kt/anoint
2:3	t6wz		אֶת־מֽוֹסְרוֹתֵ֑י⁠מוֹ	1	rc://*/tw/dict/bible/kt/bond
2:4	vcuw	keyterm	אֲ֝דֹנָ֗⁠י	1	rc://*/tw/dict/bible/kt/lord
2:4	lgpa		יִלְעַג	1	rc://*/tw/dict/bible/other/mock
2:5	mk5w	keyterm	וּֽ⁠בַ⁠חֲרוֹנ֥⁠וֹ	1	rc://*/tw/dict/bible/kt/wrath
2:5	pej0		יְבַהֲלֵֽ⁠מוֹ	1	rc://*/tw/dict/bible/other/terror
2:6	newe		מַלְכִּ֑⁠י	1	rc://*/tw/dict/bible/other/king
2:6	eqzv	keyterm	צִ֝יּ֗וֹן	1	rc://*/tw/dict/bible/kt/zion
2:6	taz9	keyterm	קָדְשִֽׁ⁠י	1	rc://*/tw/dict/bible/kt/holy
2:7	bxk3		אֶֽ֫ל חֹ֥ק	1	rc://*/tw/dict/bible/other/decree
2:7	px9s	keyterm	יְֽהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
2:7	lnrs	keyterm	יְלִדְתִּֽי⁠ךָ	1	rc://*/tw/dict/bible/kt/beget
2:8	qmbb		ג֭וֹיִם	1	rc://*/tw/dict/bible/other/nation
2:8	cupm	keyterm	נַחֲלָתֶ֑⁠ךָ	1	rc://*/tw/dict/bible/kt/inherit
2:8	aqkx		וַ֝⁠אֲחֻזָּתְ⁠ךָ֗	1	rc://*/tw/dict/bible/other/possess
2:8	tfsr		אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
2:9	qwrl		בְּ⁠שֵׁ֣בֶט	1	rc://*/tw/dict/bible/other/rod
2:9	mg0t		בַּרְזֶ֑ל	1	rc://*/tw/dict/bible/other/iron
2:10	uq36		מְלָכִ֣ים	1	rc://*/tw/dict/bible/other/king
2:10	wrbq		הַשְׂכִּ֑ילוּ	1	rc://*/tw/dict/bible/other/prudent
2:10	zhyy		הִ֝וָּסְר֗וּ	1	rc://*/tw/dict/bible/other/admonish
2:10	m8y2		שֹׁ֣פְטֵי	1	rc://*/tw/dict/bible/other/ruler
2:10	jqus		אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
2:11	xbk3		עִבְד֣וּ	1	rc://*/tw/dict/bible/other/servant
2:11	wfdb	keyterm	אֶת־יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
2:11	jqrw	keyterm	בְּ⁠יִרְאָ֑ה	1	rc://*/tw/dict/bible/kt/fear
2:11	ed7b		וְ֝⁠גִ֗ילוּ	1	rc://*/tw/dict/bible/other/joy
2:11	gy45		בִּ⁠רְעָדָֽה	1	rc://*/tw/dict/bible/other/tremble
2:12	oxtt		נַשְּׁקוּ	1	rc://*/tw/dict/bible/other/kiss
2:12	qx8h	keyterm	וְ⁠תֹ֬אבְדוּ	1	rc://*/tw/dict/bible/kt/perish
2:12	h9i2	keyterm	כִּ⁠מְעַ֣ט	1	rc://*/tw/dict/bible/other/biblicaltimehour
2:12	onaf		ח֥וֹסֵי	1	rc://*/tw/dict/bible/other/refuge
3:front	gynx	keyterm	מִזְמ֥וֹר	1	rc://*/tw/dict/bible/kt/psalm
3:front	u33u	name	לְ⁠דָוִ֑ד	1	rc://*/tw/dict/bible/names/david
3:front	klwp	name	אַבְשָׁל֬וֹם	1	rc://*/tw/dict/bible/names/absalom
3:1	ve4g	keyterm	יְ֭הוָה	1	rc://*/tw/dict/bible/kt/yahweh
3:1	nng5		צָרָ֑⁠י	1	rc://*/tw/dict/bible/other/persecute
3:2	uybz	keyterm	יְֽשׁוּעָ֓תָ⁠ה	1	rc://*/tw/dict/bible/kt/save
3:2	kw4a	keyterm	בֵֽ⁠אלֹהִ֬ים	1	rc://*/tw/dict/bible/kt/god
3:2	nj0o		סֶֽלָה	1	rc://*/tw/dict/bible/other/selah
3:3	bdwy	keyterm	יְ֭הוָה	1	rc://*/tw/dict/bible/kt/yahweh
3:3	vgdt		מָגֵ֣ן	1	rc://*/tw/dict/bible/other/shield
3:3	rh33	keyterm	כְּ֝בוֹדִ֗⁠י	1	rc://*/tw/dict/bible/kt/glory
3:3	fgur	keyterm	וּ⁠מֵרִ֥ים	1	rc://*/tw/dict/bible/kt/exalt
3:4	qkdf	keyterm	אֶקְרָ֑א	1	rc://*/tw/dict/bible/kt/call-speakloudly
3:4	zu6g	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
3:4	rbwd	keyterm	קָדְשׁ֣⁠וֹ	1	rc://*/tw/dict/bible/kt/holy
3:4	sbxb		סֶֽלָה	1	rc://*/tw/dict/bible/other/selah
3:5	u4s6	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
3:6	k3n5	keyterm	אִ֭ירָא	1	rc://*/tw/dict/bible/kt/fear
3:7	ht8t	keyterm	יְהוָ֨ה	1	rc://*/tw/dict/bible/kt/yahweh
3:7	r5mp	keyterm	הוֹשִׁ֘יעֵ֤⁠נִי	1	rc://*/tw/dict/bible/kt/save
3:7	xe6b	keyterm	אֱלֹהַ֗⁠י	1	rc://*/tw/dict/bible/kt/god
3:7	cx74		אֹיְבַ֣⁠י	1	rc://*/tw/dict/bible/other/adversary
3:7	tp8x	keyterm	רְשָׁעִ֣ים	1	rc://*/tw/dict/bible/kt/evil
3:8	c5w1	keyterm	הַ⁠יְשׁוּעָ֑ה	1	rc://*/tw/dict/bible/kt/save
3:8	hvfp	keyterm	לַ⁠יהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
3:8	dfx6	keyterm	בִרְכָתֶ֣⁠ךָ	1	rc://*/tw/dict/bible/kt/bless
3:8	n8kr		סֶּֽלָה	1	rc://*/tw/dict/bible/other/selah
4:front	cl9t	keyterm	מִזְמ֥וֹר	1	rc://*/tw/dict/bible/kt/psalm
4:front	p4x8	name	לְ⁠דָוִֽד	1	rc://*/tw/dict/bible/names/david
4:1	ynlo	keyterm	בְּ⁠קָרְאִ֡⁠י	1	rc://*/tw/dict/bible/kt/pray
4:1	zwx6	keyterm	אֱלֹ֘הֵ֤י	1	rc://*/tw/dict/bible/kt/god
4:1	z15z	keyterm	צִדְקִ֗⁠י	1	rc://*/tw/dict/bible/kt/righteous
4:1	sfrw		בַּ֭⁠צָּר	1	rc://*/tw/dict/bible/other/tribulation
4:1	z5iq	keyterm	חָ֝נֵּ֗⁠נִי	1	rc://*/tw/dict/bible/kt/grace
4:1	deca	keyterm	תְּפִלָּתִֽ⁠י	1	rc://*/tw/dict/bible/kt/pray
4:2	h5al	keyterm	בְּנֵ֥י אִ֡ישׁ	1	rc://*/tw/dict/bible/kt/sonofman
4:2	yydy	keyterm	כְבוֹדִ֣⁠י	1	rc://*/tw/dict/bible/kt/glory
4:2	nmzk		לִ֭⁠כְלִמָּה	1	rc://*/tw/dict/bible/other/shame
4:2	p739	keyterm	תֶּאֱהָב֣וּ⁠ן	1	rc://*/tw/dict/bible/kt/love
4:2	e448		תְּבַקְשׁ֖וּ	1	rc://*/tw/dict/bible/other/seek
4:2	idid		סֶֽלָה	1	rc://*/tw/dict/bible/other/selah
4:3	s9sd		וּ⁠דְע֗וּ	1	rc://*/tw/dict/bible/other/know-relationship
4:3	n88c	keyterm	יְ֭הוָה	1	rc://*/tw/dict/bible/kt/yahweh
4:3	zby0	keyterm	חָסִ֣יד	1	rc://*/tw/dict/bible/kt/faithful
4:3	fwsq	keyterm	בְּ⁠קָרְאִ֥⁠י	1	rc://*/tw/dict/bible/kt/pray
4:4	mrgq		רִגְז֗וּ	1	rc://*/tw/dict/bible/other/tremble
4:4	ex59	keyterm	תֶּ֫חֱטָ֥אוּ	1	rc://*/tw/dict/bible/kt/sin
4:4	jg2n		אִמְר֣וּ	1	rc://*/tw/dict/bible/other/meditate
4:4	b7cq		סֶֽלָה	1	rc://*/tw/dict/bible/other/selah
4:5	aa8a		זִבְחֵי	1	rc://*/tw/dict/bible/other/sacrifice
4:5	p36f	keyterm	צֶ֑דֶק	1	rc://*/tw/dict/bible/kt/righteous
4:5	go91	keyterm	וּ֝⁠בִטְח֗וּ	1	rc://*/tw/dict/bible/kt/trust
4:5	x4rv	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
4:6	hsrx	keyterm	ט֥וֹב	1	rc://*/tw/dict/bible/kt/good
4:6	h49m	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
4:7	y3ze		שִׂמְחָ֣ה	1	rc://*/tw/dict/bible/other/joy
4:7	y6p2		דְּגָנָ֖⁠ם	1	rc://*/tw/dict/bible/other/grain
4:7	z8lj		וְ⁠תִֽירוֹשָׁ֣⁠ם	1	rc://*/tw/dict/bible/other/wine
4:8	o1ym		בְּ⁠שָׁל֣וֹם	1	rc://*/tw/dict/bible/other/peace
4:8	fgzn	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
5:front	zl39		אֶֽל־הַ⁠נְּחִיל֗וֹת	1	rc://*/tw/dict/bible/other/flute
5:front	kjx7	keyterm	מִזְמ֥וֹר	1	rc://*/tw/dict/bible/kt/psalm
5:front	r3ao	name	לְ⁠דָוִֽד	1	rc://*/tw/dict/bible/names/david
5:1	hfy3	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
5:1	ap6f		בִּ֣ינָ⁠ה	1	rc://*/tw/dict/bible/other/understand
5:2	gxj2		שַׁוְעִ֗⁠י	1	rc://*/tw/dict/bible/other/cry
5:2	eut4		מַלְכִּ֥⁠י	1	rc://*/tw/dict/bible/other/king
5:2	hsga	keyterm	וֵ⁠אלֹהָ֑⁠י	1	rc://*/tw/dict/bible/kt/god
5:2	z5d9	keyterm	אֶתְפַּלָּֽל	1	rc://*/tw/dict/bible/kt/pray
5:3	um9v	keyterm	יְֽהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
5:3	htto		וַ⁠אֲצַפֶּֽה	1	rc://*/tw/dict/bible/other/watch
5:4	oord	keyterm	אֵֽל	1	rc://*/tw/dict/bible/kt/falsegod
5:4	up8i	keyterm	רֶ֥שַׁע	1	rc://*/tw/dict/bible/kt/evil
5:4	qe6n	keyterm	רָֽע	1	rc://*/tw/dict/bible/kt/evil
5:4	jxyy		יְגֻרְ⁠ךָ֣	1	rc://*/tw/dict/bible/other/foreigner
5:5	hekv		הֽ֭וֹלְלִים	1	rc://*/tw/dict/bible/other/arrogant
5:5	fqbl	keyterm	אָֽוֶן	1	rc://*/tw/dict/bible/kt/iniquity
5:6	zy4f		תְּאַבֵּד֮	1	rc://*/tw/dict/bible/other/destroyer
5:6	r2y3		דֹּבְרֵ֪י כָ֫זָ֥ב	1	rc://*/tw/dict/bible/other/deceive
5:6	zk02	keyterm	וּ⁠מִרְמָ֗ה	1	rc://*/tw/dict/bible/other/deceive
5:6	wd4b	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
5:6	uag8	keyterm	יְתָ֘עֵ֥ב	1	rc://*/tw/dict/bible/kt/abomination
5:7	d8vu	keyterm	חַ֭סְדְּ⁠ךָ	1	rc://*/tw/dict/bible/kt/covenantfaith
5:7	e4n5	keyterm	בֵיתֶ֑⁠ךָ	1	rc://*/tw/dict/bible/kt/temple
5:7	xwgs	keyterm	אֶשְׁתַּחֲוֶ֥ה	1	rc://*/tw/dict/bible/other/bow
5:7	r6fc	keyterm	הֵֽיכַל	1	rc://*/tw/dict/bible/kt/temple
5:7	bwqm	keyterm	קָ֝דְשְׁ⁠ךָ֗	1	rc://*/tw/dict/bible/kt/holy
5:7	pwrh	keyterm	בְּ⁠יִרְאָתֶֽ⁠ךָ	1	rc://*/tw/dict/bible/kt/fear
5:8	b686	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
5:8	ynyi	keyterm	בְ⁠צִדְקָתֶ֗⁠ךָ	1	rc://*/tw/dict/bible/kt/righteous
5:9	l7r5		הַ֫וּ֥וֹת	1	rc://*/tw/dict/bible/other/destroyer
5:9	m4jw		קֶֽבֶר	1	rc://*/tw/dict/bible/other/tomb
5:9	nwi0		לְ֝שׁוֹנָ֗⁠ם	1	rc://*/tw/dict/bible/other/tongue
5:10	u42q	keyterm	הַֽאֲשִׁימֵ֨⁠ם	1	rc://*/tw/dict/bible/kt/guilt
5:10	uxpp	keyterm	אֱֽלֹהִ֗ים	1	rc://*/tw/dict/bible/kt/god
5:10	f58g	keyterm	פִּ֭שְׁעֵי⁠הֶם	1	rc://*/tw/dict/bible/kt/transgression
5:10	tn3n		מָ֥רוּ	1	rc://*/tw/dict/bible/other/rebel
5:11	a9ez		וְ⁠יִשְׂמְח֨וּ	1	rc://*/tw/dict/bible/other/joy
5:11	y572		ח֪וֹסֵי	1	rc://*/tw/dict/bible/other/refuge
5:11	vpra	keyterm	לְ⁠עוֹלָ֣ם	1	rc://*/tw/dict/bible/kt/eternity
5:11	c1mu		וְֽ⁠יַעְלְצ֥וּ	1	rc://*/tw/dict/bible/other/exult
5:11	tamh		אֹהֲבֵ֥י	1	rc://*/tw/dict/bible/other/lover
5:12	jf7p	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
5:12	s36u	keyterm	תְּבָרֵ֪ךְ	1	rc://*/tw/dict/bible/kt/bless
5:12	xkqu	keyterm	צַ֫דִּ֥יק	1	rc://*/tw/dict/bible/kt/righteous
5:12	k3h5	keyterm	רָצ֥וֹן	1	rc://*/tw/dict/bible/kt/favor
5:12	dbk7		כַּ֝⁠צִּנָּ֗ה	1	rc://*/tw/dict/bible/other/shield
6:front	l3fx	keyterm	מִזְמ֥וֹר	1	rc://*/tw/dict/bible/kt/psalm
6:front	nvme	name	לְ⁠דָוִֽד	1	rc://*/tw/dict/bible/names/david
6:1	kszj	keyterm	יְֽהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
6:1	wiaw		תוֹכִיחֵ֑⁠נִי	1	rc://*/tw/dict/bible/other/rebuke
6:1	s55k		בַּ⁠חֲמָתְ⁠ךָ֥	1	rc://*/tw/dict/bible/other/rage
6:2	yl08	keyterm	חָנֵּ֥⁠נִי	1	rc://*/tw/dict/bible/kt/grace
6:2	s73w	keyterm	יְהוָה֮	1	rc://*/tw/dict/bible/kt/yahweh
6:2	o7ue		נִבְהֲל֣וּ	1	rc://*/tw/dict/bible/other/tremble
6:3	uktb	keyterm	וְ֭⁠נַפְשִׁ⁠י	1	rc://*/tw/dict/bible/kt/soul
6:3	j3y4		נִבְהֲלָ֣ה	1	rc://*/tw/dict/bible/other/trouble
6:3	cvdm	keyterm	יְ֝הוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
6:4	ycxj	keyterm	יְ֭הוָה	1	rc://*/tw/dict/bible/kt/yahweh
6:4	htfk	keyterm	חַלְּצָ֣⁠ה	1	rc://*/tw/dict/bible/kt/save
6:4	l7s5	keyterm	נַפְשִׁ֑⁠י	1	rc://*/tw/dict/bible/kt/soul
6:4	p8z5	keyterm	ה֝וֹשִׁיעֵ֗⁠נִי	1	rc://*/tw/dict/bible/kt/save
6:4	mppd	keyterm	חַסְדֶּֽ⁠ךָ	1	rc://*/tw/dict/bible/kt/covenantfaith
6:5	cmj3	keyterm	בִּ֝⁠שְׁא֗וֹל	1	rc://*/tw/dict/bible/kt/hades
6:7	kvkq		עָֽשְׁשָׁ֣ה	1	rc://*/tw/dict/bible/other/waste
6:7	bsjx		צוֹרְרָֽ⁠י	1	rc://*/tw/dict/bible/other/adversary
6:8	ww4c	keyterm	אָ֑וֶן	1	rc://*/tw/dict/bible/kt/iniquity
