Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	dpwx	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	r2kf	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	ggjp	keyterm	ὁ Θεὸς	1	rc://*/tw/dict/bible/kt/god
1:1	jk7f		τοῖς δούλοις	1	rc://*/tw/dict/bible/other/servant
1:1	rfwb	keyterm	τοῦ ἀγγέλου	1	rc://*/tw/dict/bible/kt/angel
1:1	bmza		τῷ δούλῳ	1	rc://*/tw/dict/bible/other/servant
1:1	rdpc	name	Ἰωάννῃ	1	rc://*/tw/dict/bible/names/johntheapostle
1:2	ayxs	keyterm	ἐμαρτύρησεν	1	rc://*/tw/dict/bible/kt/testimony
1:2	y6mx	keyterm	τὸν λόγον τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/wordofgod
1:2	abxp	keyterm	μαρτυρίαν	1	rc://*/tw/dict/bible/kt/testimony
1:2	xccc	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:2	uy3b	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:3	mxrd	keyterm	μακάριος	1	rc://*/tw/dict/bible/kt/bless
1:3	tnqj	keyterm	προφητείας	1	rc://*/tw/dict/bible/kt/prophet
1:3	enw6		καιρὸς	1	rc://*/tw/dict/bible/other/age-timeperiod
1:4	n677	name	Ἰωάννης	1	rc://*/tw/dict/bible/names/johntheapostle
1:4	tyfb	keyterm	ταῖς & ἐκκλησίαις	1	rc://*/tw/dict/bible/kt/church
1:4	sv59	name	τῇ Ἀσίᾳ	1	rc://*/tw/dict/bible/names/asia
1:4	pnzr	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:4	a86s		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:4	kadx	keyterm	πνευμάτων	1	rc://*/tw/dict/bible/kt/spirit
1:4	vgyy		τοῦ θρόνου	1	rc://*/tw/dict/bible/other/throne
1:5	eyq9	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:5	hcrb	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:5	h8tj	keyterm	μάρτυς	1	rc://*/tw/dict/bible/kt/testimony
1:5	ud76	keyterm	ὁ πιστός	1	rc://*/tw/dict/bible/kt/faithful
1:5	uwzd		πρωτότοκος	1	rc://*/tw/dict/bible/other/firstborn
1:5	uyt2		ἄρχων	1	rc://*/tw/dict/bible/other/ruler
1:5	zyf9		τῶν βασιλέων	1	rc://*/tw/dict/bible/other/king
1:5	hs9p		τῆς γῆς	1	rc://*/tw/dict/bible/other/earth
1:5	mry6	keyterm	ἀγαπῶντι	1	rc://*/tw/dict/bible/kt/love
1:5	ktbk	keyterm	τῶν ἁμαρτιῶν	1	rc://*/tw/dict/bible/kt/sin
1:6	dcvr	keyterm	βασιλείαν	1	rc://*/tw/dict/bible/kt/kingdomofgod
1:6	wmhm	keyterm	ἱερεῖς	1	rc://*/tw/dict/bible/kt/priest
1:6	as38	keyterm	τῷ Θεῷ καὶ Πατρί	1	rc://*/tw/dict/bible/kt/godthefather
1:6	w8p5	keyterm	δόξα	1	rc://*/tw/dict/bible/kt/glory
1:6	v8an		κράτος	1	rc://*/tw/dict/bible/other/mighty
1:6	p87q		αἰῶνας	1	rc://*/tw/dict/bible/other/age
1:6	rv2d	keyterm	ἀμήν	1	rc://*/tw/dict/bible/kt/amen
1:7	m4vn		κόψονται	1	rc://*/tw/dict/bible/other/mourn
1:7	v8ur		φυλαὶ	1	rc://*/tw/dict/bible/other/tribe
1:7	tu2f		τῆς γῆς	1	rc://*/tw/dict/bible/other/earth
1:7	k479	keyterm	ἀμήν	1	rc://*/tw/dict/bible/kt/amen
1:8	mfv2	keyterm	Κύριος	1	rc://*/tw/dict/bible/kt/lord
1:8	zfxf	keyterm	ὁ Θεός	1	rc://*/tw/dict/bible/kt/god
1:8	qspr	keyterm	Παντοκράτωρ	1	rc://*/tw/dict/bible/kt/almighty
1:9	fa9t	name	Ἰωάννης	1	rc://*/tw/dict/bible/names/johntheapostle
1:9	uwx3		θλίψει	1	rc://*/tw/dict/bible/other/tribulation
1:9	ktnb	keyterm	βασιλείᾳ	1	rc://*/tw/dict/bible/kt/kingdomofgod
1:9	z4a7		ὑπομονῇ	1	rc://*/tw/dict/bible/other/endure
1:9	d9pc	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:9	tfq3	keyterm	ἐν Ἰησοῦ	1	rc://*/tw/dict/bible/kt/inchrist
1:9	pjv2	keyterm	καλουμένῃ	1	rc://*/tw/dict/bible/kt/call-speakloudly
1:9	gpd8	keyterm	λόγον τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/wordofgod
1:9	pfe5	keyterm	μαρτυρίαν	1	rc://*/tw/dict/bible/kt/testimony
1:9	ub6h	keyterm; name	Ἰησοῦ	2	rc://*/tw/dict/bible/kt/jesus
1:10	ry77	keyterm	Πνεύματι	1	rc://*/tw/dict/bible/kt/holyspirit
1:10	d5zb	keyterm	Κυριακῇ	1	rc://*/tw/dict/bible/kt/lord
1:10	wb8n		ἡμέρᾳ	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:10	psvd		σάλπιγγος	1	rc://*/tw/dict/bible/other/trumpet
1:11	xeqr		βιβλίον	1	rc://*/tw/dict/bible/other/scroll
1:11	dk98	keyterm	ταῖς & ἐκκλησίαις	1	rc://*/tw/dict/bible/kt/church
1:11	fatp	name	Ἔφεσον	1	rc://*/tw/dict/bible/names/ephesus
1:12	f6vw		λυχνίας	1	rc://*/tw/dict/bible/other/lampstand
1:12	uf76		χρυσᾶς	1	rc://*/tw/dict/bible/other/gold
1:13	v533		τῶν λυχνιῶν	1	rc://*/tw/dict/bible/other/lampstand
1:13	ywtb	keyterm	Υἱὸν Ἀνθρώπου	1	rc://*/tw/dict/bible/kt/sonofman
1:13	k63y		περιεζωσμένον	1	rc://*/tw/dict/bible/other/gird
1:13	hdf3		χρυσᾶν	1	rc://*/tw/dict/bible/other/gold
1:14	cmyp		χιών	1	rc://*/tw/dict/bible/other/snow
1:15	g5zj		χαλκολιβάνῳ	1	rc://*/tw/dict/bible/other/bronze
1:15	ha9q		καμίνῳ	1	rc://*/tw/dict/bible/other/furnace
1:16	hgy6		ῥομφαία	1	rc://*/tw/dict/bible/other/sword
1:17	vfd9	keyterm	φοβοῦ	1	rc://*/tw/dict/bible/kt/fear
1:18	rcuv		αἰῶνας	1	rc://*/tw/dict/bible/other/age
1:18	scrw		τῶν αἰώνων	1	rc://*/tw/dict/bible/other/age
1:18	ec32	keyterm	τοῦ ᾍδου	1	rc://*/tw/dict/bible/kt/hades
1:20	r66j		μυστήριον	1	rc://*/tw/dict/bible/other/mystery
1:20	n383		λυχνίας	1	rc://*/tw/dict/bible/other/lampstand
1:20	xjzw		τὰς χρυσᾶς	1	rc://*/tw/dict/bible/other/gold
1:20	g3es	keyterm	ἄγγελοι	1	rc://*/tw/dict/bible/kt/angel
1:20	dsdp	keyterm	τῶν & ἐκκλησιῶν	2	rc://*/tw/dict/bible/kt/church
1:20	nwwy		λυχνίαι	1	rc://*/tw/dict/bible/other/lampstand
1:20	zvar	keyterm	ἐκκλησίαι	1	rc://*/tw/dict/bible/kt/church
2:1	xc2x	keyterm	τῷ ἀγγέλῳ	1	rc://*/tw/dict/bible/kt/angel
2:1	zj37	name	Ἐφέσῳ	1	rc://*/tw/dict/bible/names/ephesus
2:1	qcv4	keyterm	τῆς & ἐκκλησίας	1	rc://*/tw/dict/bible/kt/church
2:1	g88x		τῶν & λυχνιῶν	1	rc://*/tw/dict/bible/other/lampstand
2:1	xvzn		τῶν χρυσῶν	1	rc://*/tw/dict/bible/other/gold
2:2	mh3s		οἶδα	1	rc://*/tw/dict/bible/other/know
2:2	y96a		τὸν κόπον	1	rc://*/tw/dict/bible/other/labor
2:2	fbyf		τὸν κόπον καὶ	1	rc://*/tw/dict/bible/other/hard
2:2	b7ky		τὴν ὑπομονήν	1	rc://*/tw/dict/bible/other/endure
2:2	xtts		βαστάσαι	1	rc://*/tw/dict/bible/other/bear
2:2	wqxd	keyterm	κακούς	1	rc://*/tw/dict/bible/kt/evil
2:2	czax	keyterm	ἐπείρασας	1	rc://*/tw/dict/bible/kt/test
2:2	h72q	keyterm	ἀποστόλους	1	rc://*/tw/dict/bible/kt/apostle
2:3	jq6k		ὑπομονὴν	1	rc://*/tw/dict/bible/other/perseverance
2:3	n9gv		ἐβάστασας	1	rc://*/tw/dict/bible/other/endure
2:4	acvu	keyterm	τὴν ἀγάπην	1	rc://*/tw/dict/bible/kt/love
2:5	kfem	keyterm	μετανόησον	1	rc://*/tw/dict/bible/kt/repent
2:5	n8t9		τὴν λυχνίαν	1	rc://*/tw/dict/bible/other/lampstand
2:5	mepx	keyterm	μετανοήσῃς	1	rc://*/tw/dict/bible/kt/repent
2:7	f6ap	keyterm	Πνεῦμα	1	rc://*/tw/dict/bible/kt/holyspirit
2:7	v6mp	keyterm	ταῖς ἐκκλησίαις	1	rc://*/tw/dict/bible/kt/church
2:7	kkpz	keyterm	τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/god
2:8	h2fa	keyterm	τῷ ἀγγέλῳ	1	rc://*/tw/dict/bible/kt/angel
2:8	x99t	keyterm	τῆς & ἐκκλησίας	1	rc://*/tw/dict/bible/kt/church
2:9	naxf		οἶδά	1	rc://*/tw/dict/bible/other/know
2:9	qdj7		τὴν θλῖψιν	1	rc://*/tw/dict/bible/other/tribulation
2:9	angx		βλασφημίαν	1	rc://*/tw/dict/bible/other/slander
2:9	uu6u	keyterm	Ἰουδαίους	1	rc://*/tw/dict/bible/kt/jew
2:9	yhj8	keyterm	συναγωγὴ	1	rc://*/tw/dict/bible/kt/synagogue
2:9	cq77	keyterm	τοῦ Σατανᾶ	1	rc://*/tw/dict/bible/kt/satan
2:10	uq6w	keyterm	φοβοῦ	1	rc://*/tw/dict/bible/kt/fear
2:10	uwtn		πάσχειν	1	rc://*/tw/dict/bible/other/suffer
2:10	ya2t	keyterm	διάβολος	1	rc://*/tw/dict/bible/kt/satan
2:10	xp2d	keyterm	πειρασθῆτε	1	rc://*/tw/dict/bible/kt/test
2:10	p3m4		θλῖψιν	1	rc://*/tw/dict/bible/other/tribulation
2:10	hjqr		ἡμερῶν	1	rc://*/tw/dict/bible/other/biblicaltimeday
2:10	uesc	keyterm	πιστὸς	1	rc://*/tw/dict/bible/kt/faithful
2:10	upbc		στέφανον	1	rc://*/tw/dict/bible/other/crown
2:11	bjw6	keyterm	Πνεῦμα	1	rc://*/tw/dict/bible/kt/holyspirit
2:11	swtw	keyterm	ταῖς ἐκκλησίαις	1	rc://*/tw/dict/bible/kt/church
2:12	vzgu	keyterm	τῷ ἀγγέλῳ	1	rc://*/tw/dict/bible/kt/angel
2:12	e6x3	keyterm	τῆς & ἐκκλησίας	1	rc://*/tw/dict/bible/kt/church
2:12	qyxj		ῥομφαίαν	1	rc://*/tw/dict/bible/other/sword
2:13	gr2h		οἶδα	1	rc://*/tw/dict/bible/other/know
2:13	dwqg		θρόνος	1	rc://*/tw/dict/bible/other/throne
2:13	as6d	keyterm	τοῦ Σατανᾶ	1	rc://*/tw/dict/bible/kt/satan
2:13	v9nf	keyterm	τὴν πίστιν	1	rc://*/tw/dict/bible/kt/faith
2:13	dmcf		ἡμέραις	1	rc://*/tw/dict/bible/other/biblicaltimeday
2:13	q8b7	keyterm	ὁ μάρτυς	1	rc://*/tw/dict/bible/kt/testimony
2:13	yz32	keyterm	ὁ πιστός	1	rc://*/tw/dict/bible/kt/faithful
2:13	arpc	keyterm	ὁ Σατανᾶς	1	rc://*/tw/dict/bible/kt/satan
2:14	kk7d	name	Βαλαάμ	1	rc://*/tw/dict/bible/names/balaam
2:14	ccff		ἐνώπιον	1	rc://*/tw/dict/bible/other/snare
2:14	kjp8	keyterm	Ἰσραήλ	1	rc://*/tw/dict/bible/kt/israel
2:14	u73j		πορνεῦσαι	1	rc://*/tw/dict/bible/other/fornication
2:16	y868	keyterm	μετανόησον	1	rc://*/tw/dict/bible/kt/repent
2:16	bfsk		ῥομφαίᾳ	1	rc://*/tw/dict/bible/other/sword
2:17	m9j4	keyterm	Πνεῦμα	1	rc://*/tw/dict/bible/kt/holyspirit
2:17	dxyz	keyterm	ταῖς ἐκκλησίαις	1	rc://*/tw/dict/bible/kt/church
2:17	u5bj	keyterm	τοῦ μάννα	1	rc://*/tw/dict/bible/kt/manna
2:17	dzcq		οἶδεν	1	rc://*/tw/dict/bible/other/know
