Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	yb7y		בִּ⁠ימֵי֙	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:1	ezl1		שְׁפֹ֣ט	1	rc://*/tw/dict/bible/other/ruler
1:1	jdx7	keyterm	הַ⁠שֹּׁפְטִ֔ים	1	rc://*/tw/dict/bible/other/judgeposition
1:1	mygd		רָעָ֖ב	1	rc://*/tw/dict/bible/other/famine
1:1	ehjd	name	מִ⁠בֵּ֧ית לֶ֣חֶם	1	rc://*/tw/dict/bible/names/bethlehem
1:1	m8pj	name	יְהוּדָ֗ה	1	rc://*/tw/dict/bible/names/judea
1:1	xe97	name	מוֹאָ֔ב	1	rc://*/tw/dict/bible/names/moab
1:2	ws6h	name	אֶפְרָתִ֔ים	1	rc://*/tw/dict/bible/names/ephrathah
1:2	g8uq	name	מִ⁠בֵּ֥ית לֶ֖חֶם	1	rc://*/tw/dict/bible/names/bethlehem
1:2	jdp4	name	יְהוּדָ֑ה	1	rc://*/tw/dict/bible/names/judea
1:2	vnfc	name	מוֹאָ֖ב	1	rc://*/tw/dict/bible/names/moab
1:4	nyf7	name	מֹֽאֲבִיּ֔וֹת	1	rc://*/tw/dict/bible/names/moab
1:4	mg7b	name	ר֑וּת	1	rc://*/tw/dict/bible/names/ruth
1:4	xgu4		שָׁנִֽים	1	rc://*/tw/dict/bible/other/biblicaltimeyear
1:6	bv6q	name	מוֹאָ֑ב	1	rc://*/tw/dict/bible/names/moab
1:6	u22t	name	מוֹאָ֔ב	1	rc://*/tw/dict/bible/names/moab
1:6	j5qy	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:6	z73d	keyterm	אֶת־עַמּ֔⁠וֹ	1	rc://*/tw/dict/bible/kt/peopleofgod
1:6	bbbf		לָֽחֶם	1	rc://*/tw/dict/bible/other/bread
1:7	fkiv		אֶ֥רֶץ	1	rc://*/tw/dict/bible/other/earth
1:7	nfb5	name	יְהוּדָֽה	1	rc://*/tw/dict/bible/names/judea
1:8	w4kh		לְ⁠בֵ֣ית	1	rc://*/tw/dict/bible/other/household
1:8	zxse	keyterm	יְהוָ֤ה	1	rc://*/tw/dict/bible/kt/yahweh
1:8	jdj3	keyterm	חֶ֔סֶד	1	rc://*/tw/dict/bible/kt/covenantfaith
1:9	f6zt	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:9	mxh3		בֵּ֣ית	1	rc://*/tw/dict/bible/other/household
1:9	kxz4		וַ⁠תִּשַּׁ֣ק	1	rc://*/tw/dict/bible/other/kiss
1:11	ndkh		בְּֽ⁠מֵעַ֔⁠י	1	rc://*/tw/dict/bible/other/womb
1:12	s0r3		זָקַ֖נְתִּי	1	rc://*/tw/dict/bible/other/age
1:12	wtcx	keyterm	תִקְוָ֔ה	1	rc://*/tw/dict/bible/kt/hope
1:13	fuwd	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:14	y25b		וַ⁠תִּשַּׁ֤ק	1	rc://*/tw/dict/bible/other/kiss
1:14	z7e6	name	וְ⁠ר֖וּת	1	rc://*/tw/dict/bible/names/ruth
1:15	bxua	keyterm	אֱלֹהֶ֑י⁠הָ	1	rc://*/tw/dict/bible/kt/falsegod
1:16	xerx	name	רוּת֙	1	rc://*/tw/dict/bible/names/ruth
1:16	bk7c		לְ⁠עָזְבֵ֖⁠ךְ	1	rc://*/tw/dict/bible/other/forsaken
1:16	xdgx	keyterm	וֵ⁠אלֹהַ֖יִ⁠ךְ	1	rc://*/tw/dict/bible/kt/god
1:16	c6pj	keyterm	אֱלֹהָֽ⁠י	1	rc://*/tw/dict/bible/kt/god
1:17	dqt6		אֶקָּבֵ֑ר	1	rc://*/tw/dict/bible/other/bury
1:17	zmam	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:19	fsz7	name	בֵּ֣ית לָ֑חֶם	1	rc://*/tw/dict/bible/names/bethlehem
1:19	x4w7	name	בֵּ֣ית לֶ֔חֶם	1	rc://*/tw/dict/bible/names/bethlehem
1:20	ll4p	keyterm	תִּקְרֶ֥אנָה	1	rc://*/tw/dict/bible/kt/call-toname
1:20	nh12	keyterm	קְרֶ֤אןָ	1	rc://*/tw/dict/bible/kt/call-toname
1:20	dvdb	keyterm	שַׁדַּ֛י	1	rc://*/tw/dict/bible/kt/almighty
