Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	is2d	name	לִ⁠שְׁלֹמֹֽה	1	rc://*/tw/dict/bible/names/solomon
1:2	b0pr		יִשָּׁקֵ֨⁠נִי֙	1	rc://*/tw/dict/bible/other/kiss
1:2	byah		מִ⁠נְּשִׁיק֣וֹת	1	rc://*/tw/dict/bible/other/kiss
1:2	zpz5	keyterm	טוֹבִ֥ים	1	rc://*/tw/dict/bible/kt/good
1:2	olr3	keyterm	דֹּדֶ֖י⁠ךָ	1	rc://*/tw/dict/bible/kt/love
1:2	qvqi		מִ⁠יָּֽיִן	1	rc://*/tw/dict/bible/other/wine
1:3	edua		שְׁמָנֶ֣י⁠ךָ	1	rc://*/tw/dict/bible/other/oil
1:3	z2r3	keyterm	טוֹבִ֔ים	1	rc://*/tw/dict/bible/kt/good
1:3	v33k		שֶׁ֖מֶן	1	rc://*/tw/dict/bible/other/oil
1:3	mkum	keyterm	אֲהֵבֽוּ⁠ךָ	1	rc://*/tw/dict/bible/kt/love
1:4	emjn		הַ⁠מֶּ֜לֶךְ	1	rc://*/tw/dict/bible/other/king
1:4	suu9		נָגִ֤ילָה	1	rc://*/tw/dict/bible/other/joy
1:4	bkja		וְ⁠נִשְׂמְחָה֙	1	rc://*/tw/dict/bible/other/joy
1:4	iubg	keyterm	דֹדֶ֨י⁠ךָ֙	1	rc://*/tw/dict/bible/kt/love
1:4	ykvo		מִ⁠יַּ֔יִן	1	rc://*/tw/dict/bible/other/wine
1:4	gq28	keyterm	אֲהֵבֽוּ⁠ךָ	1	rc://*/tw/dict/bible/kt/love
1:5	gfzv	name	יְרוּשָׁלִָ֑ם	1	rc://*/tw/dict/bible/names/jerusalem
1:5	b4ca		כְּ⁠אָהֳלֵ֣י	1	rc://*/tw/dict/bible/other/tent
1:5	jt7w	name	קֵדָ֔ר	1	rc://*/tw/dict/bible/names/kedar
1:5	pg44		כִּ⁠ירִיע֖וֹת	1	rc://*/tw/dict/bible/other/curtain
1:5	q2xg	name	שְׁלֹמֹֽה	1	rc://*/tw/dict/bible/names/solomon
1:6	c0jr	keyterm	שָׂמֻ֨⁠נִי֙	1	rc://*/tw/dict/bible/kt/appoint
1:6	t41j		נֹטֵרָ֣ה	1	rc://*/tw/dict/bible/other/overseer
1:6	wyng		אֶת־הַ⁠כְּרָמִ֔ים	1	rc://*/tw/dict/bible/other/vineyard
1:6	f332		כַּרְמִ֥⁠י	1	rc://*/tw/dict/bible/other/vineyard
1:7	zitx		הַגִּ֣ידָ⁠ה	1	rc://*/tw/dict/bible/other/declare
1:7	rf7v	keyterm	נַפְשִׁ֔⁠י	1	rc://*/tw/dict/bible/kt/soul
1:7	u4ov	keyterm	שֶׁ֤⁠אָהֲבָה֙	1	rc://*/tw/dict/bible/kt/love
1:7	ph2x		תַּרְבִּ֣יץ	1	rc://*/tw/dict/bible/other/flock
1:7	kvux		עֶדְרֵ֥י	1	rc://*/tw/dict/bible/other/flock
1:7	gdc9		חֲבֵרֶֽי⁠ךָ	1	rc://*/tw/dict/bible/other/companion
1:8	a2pn	keyterm	מִשְׁכְּנ֥וֹת	1	rc://*/tw/dict/bible/other/tent
1:8	ezeo		הָ⁠רֹעִֽים	1	rc://*/tw/dict/bible/other/shepherd
1:8	waff		תֵדְעִי֙ לָ֔⁠ךְ	1	rc://*/tw/dict/bible/other/know
1:8	pjvv		הַ⁠צֹּ֗אן	1	rc://*/tw/dict/bible/other/flock
1:8	vbia		אֶת־גְּדִיֹּתַ֔יִ⁠ךְ	1	rc://*/tw/dict/bible/other/goat
1:9	ai2n		לְ⁠סֻסָתִ⁠י֙	1	rc://*/tw/dict/bible/other/horse
1:9	c5yf		בְּ⁠רִכְבֵ֣י	1	rc://*/tw/dict/bible/other/chariot
1:9	fi9x	name	פַרְעֹ֔ה	1	rc://*/tw/dict/bible/names/pharaoh
1:11	rvzs		זָהָב֙	1	rc://*/tw/dict/bible/other/gold
1:11	qarx		הַ⁠כָּֽסֶף	1	rc://*/tw/dict/bible/other/silver
1:12	gb58		שֶׁ֤⁠הַ⁠מֶּ֨לֶךְ֙	1	rc://*/tw/dict/bible/other/king
1:13	auyc	keyterm	הַ⁠מֹּ֤ר	1	rc://*/tw/dict/bible/kt/myrrh
1:13	bf7x	keyterm	דּוֹדִ⁠י֙	1	rc://*/tw/dict/bible/kt/beloved
1:14	y7n3	keyterm	דּוֹדִ⁠י֙	1	rc://*/tw/dict/bible/kt/beloved
1:14	soiu		בְּ⁠כַרְמֵ֖י	1	rc://*/tw/dict/bible/other/vineyard
1:14	ydc4	name	עֵ֥ין גֶּֽדִי	1	rc://*/tw/dict/bible/names/engedi
1:15	jwsu		יוֹנִֽים	1	rc://*/tw/dict/bible/other/dove
1:16	n7x2	keyterm	דוֹדִ⁠י֙	1	rc://*/tw/dict/bible/kt/beloved
1:16	o9ya	keyterm	נָעִ֔ים	1	rc://*/tw/dict/bible/kt/good
1:17	cyar		בָּתֵּ֨י⁠נוּ֙	1	rc://*/tw/dict/bible/other/house
1:17	rz3z		אֲרָזִ֔ים	1	rc://*/tw/dict/bible/other/cedar
2:1	dn9p	name	הַ⁠שָּׁר֔וֹן	1	rc://*/tw/dict/bible/names/sharon
2:2	o6mm		הַ⁠חוֹחִ֔ים	1	rc://*/tw/dict/bible/other/thorn
2:3	vdzx	keyterm	דּוֹדִ֖⁠י	1	rc://*/tw/dict/bible/kt/beloved
2:3	dhlw		חִמַּ֣דְתִּי	1	rc://*/tw/dict/bible/other/delight
2:3	n88x		וּ⁠פִרְי֖⁠וֹ	1	rc://*/tw/dict/bible/other/fruit
2:4	qj7h		בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
2:4	vz9n		הַ⁠יָּ֔יִן	1	rc://*/tw/dict/bible/other/wine
2:4	hp3g	keyterm	אַהֲבָֽה	1	rc://*/tw/dict/bible/kt/love
2:5	ejdr	keyterm	אַהֲבָ֖ה	1	rc://*/tw/dict/bible/kt/love
2:7	gnfs	name	יְרוּשָׁלִַ֨ם֙	1	rc://*/tw/dict/bible/names/jerusalem
2:7	jyxv	keyterm	אֶת־הָ⁠אַהֲבָ֖ה	1	rc://*/tw/dict/bible/kt/love
2:8	y66j	keyterm	דּוֹדִ֔⁠י	1	rc://*/tw/dict/bible/kt/beloved
2:9	zzj6	keyterm	דוֹדִ⁠י֙	1	rc://*/tw/dict/bible/kt/beloved
2:9	x0da		הָֽ⁠אַיָּלִ֑ים	1	rc://*/tw/dict/bible/other/deer
2:10	mxr2	keyterm	דוֹדִ֖⁠י	1	rc://*/tw/dict/bible/kt/beloved
2:12	ptw6		הַ⁠תּ֖וֹר	1	rc://*/tw/dict/bible/other/dove
2:13	o7i0		הַ⁠תְּאֵנָה֙	1	rc://*/tw/dict/bible/other/fig
2:13	q3k7		פַגֶּ֔י⁠הָ	1	rc://*/tw/dict/bible/other/fig
2:13	cekh		וְ⁠הַ⁠גְּפָנִ֥ים	1	rc://*/tw/dict/bible/other/vine
2:14	tbbz		יוֹנָתִ֞⁠י	1	rc://*/tw/dict/bible/other/dove
2:15	uq1v		אֶֽחֱזוּ	1	rc://*/tw/dict/bible/other/captive
2:15	vmxn		מְחַבְּלִ֣ים	1	rc://*/tw/dict/bible/other/destroyer
2:15	h8mu		כְּרָמִ֑ים	1	rc://*/tw/dict/bible/other/vineyard
2:15	qzj6		וּ⁠כְרָמֵ֖י⁠נוּ	1	rc://*/tw/dict/bible/other/vineyard
2:16	oybr	keyterm	דּוֹדִ֥⁠י	1	rc://*/tw/dict/bible/kt/beloved
2:17	sm8i		הַ⁠יּ֔וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
2:17	lj8t	keyterm	דוֹדִ֜⁠י	1	rc://*/tw/dict/bible/kt/beloved
2:17	fiwo		הָ⁠אַיָּלִ֖ים	1	rc://*/tw/dict/bible/other/deer
3:1	rnxl	keyterm	נַפְשִׁ֑⁠י	1	rc://*/tw/dict/bible/kt/soul
3:1	pozf	keyterm	אֵ֥ת שֶׁ⁠אָהֲבָ֖ה	1	rc://*/tw/dict/bible/kt/love
3:1	test		בִּקַּ֕שְׁתִּי	1	rc://*/tw/dict/bible/other/seek
3:1	manq		בִּקַּשְׁתִּ֖י⁠ו	1	rc://*/tw/dict/bible/other/seek
3:2	zwam		אֲבַקְשָׁ֕ה	1	rc://*/tw/dict/bible/other/seek
3:2	sjn2	keyterm	נַפְשִׁ֑⁠י	1	rc://*/tw/dict/bible/kt/soul
3:2	ltmv	keyterm	אֵ֥ת שֶׁ⁠אָהֲבָ֖ה	1	rc://*/tw/dict/bible/kt/love
3:2	ftvr		בִּקַּשְׁתִּ֖י⁠ו	1	rc://*/tw/dict/bible/other/seek
3:3	tavf	keyterm	נַפְשִׁ֖⁠י	1	rc://*/tw/dict/bible/kt/soul
3:3	bk2c	keyterm	אֵ֛ת שֶׁ⁠אָהֲבָ֥ה	1	rc://*/tw/dict/bible/kt/love
3:4	n185	keyterm	נַפְשִׁ֑⁠י	1	rc://*/tw/dict/bible/kt/soul
3:4	t1mj	keyterm	אֵ֥ת שֶׁ⁠אָהֲבָ֖ה	1	rc://*/tw/dict/bible/kt/love
3:4	dvj4		בֵּ֣ית	1	rc://*/tw/dict/bible/other/house
3:4	xgtk		הוֹרָתִֽ⁠י	1	rc://*/tw/dict/bible/other/conceive
3:5	auhf	name	יְרוּשָׁלִַ֨ם֙	1	rc://*/tw/dict/bible/names/jerusalem
3:5	phli	keyterm	אֶת־הָ⁠אַהֲבָ֖ה	1	rc://*/tw/dict/bible/kt/love
3:6	wl6r		הַ⁠מִּדְבָּ֔ר	1	rc://*/tw/dict/bible/other/desert
3:6	ospc		כְּ⁠תִֽימֲר֖וֹת	1	rc://*/tw/dict/bible/other/pillar
3:6	mbov	keyterm	מוֹר֙	1	rc://*/tw/dict/bible/kt/myrrh
3:6	o6i6		וּ⁠לְבוֹנָ֔ה	1	rc://*/tw/dict/bible/other/frankincense
3:7	l9cj	name	שֶׁ⁠לִּ⁠שְׁלֹמֹ֔ה	1	rc://*/tw/dict/bible/names/solomon
3:7	cnby		גִּבֹּרִ֖ים	1	rc://*/tw/dict/bible/other/warrior
3:7	bz9y		מִ⁠גִּבֹּרֵ֖י	1	rc://*/tw/dict/bible/other/warrior
3:7	ms54	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
3:8	h7un		חֶ֔רֶב	1	rc://*/tw/dict/bible/other/sword
3:8	cctv		חַרְבּ⁠וֹ֙	1	rc://*/tw/dict/bible/other/sword
3:8	b2ez		מִ⁠פַּ֖חַד	1	rc://*/tw/dict/bible/other/terror
3:9	kyfd		הַ⁠מֶּ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
3:9	rwfu	name	שְׁלֹמֹ֔ה	1	rc://*/tw/dict/bible/names/solomon
3:9	smf2	name	הַ⁠לְּבָנֽוֹן	1	rc://*/tw/dict/bible/names/lebanon
3:10	gm82		כֶ֔סֶף	1	rc://*/tw/dict/bible/other/silver
3:10	gex3		זָהָ֔ב	1	rc://*/tw/dict/bible/other/gold
3:10	c59m		אַרְגָּמָ֑ן	1	rc://*/tw/dict/bible/other/purple
3:10	lu6s	keyterm	אַהֲבָ֔ה	1	rc://*/tw/dict/bible/kt/love
3:10	a78a	name	יְרוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
3:11	ke2j	keyterm	צִיּ֖וֹן	1	rc://*/tw/dict/bible/kt/zion
