Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	yrgu	keyterm	דְּבַר־יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/wordofgod
1:1	szqh	name	צְפַנְיָה֙	1	rc://*/tw/dict/bible/names/zephaniah
1:1	k2gq	name	חִזְקִיָּ֑ה	1	rc://*/tw/dict/bible/names/hezekiah
1:1	npvn		בִּ⁠ימֵ֛י	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:1	qmzn	name	יֹאשִׁיָּ֥הוּ	1	rc://*/tw/dict/bible/names/josiah
1:1	tfrm		מֶ֥לֶךְ	1	rc://*/tw/dict/bible/other/king
1:1	dhzc	name	יְהוּדָֽה	1	rc://*/tw/dict/bible/names/kingdomofjudah
1:2	en3b	keyterm	אָסֵ֜ף	1	rc://*/tw/dict/bible/other/destroyer
1:2	u5tc	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	mfcb		וּ⁠בְהֵמָ֗ה	1	rc://*/tw/dict/bible/other/beast
1:3	egu5	keyterm	הַ⁠שָּׁמַ֨יִם֙	1	rc://*/tw/dict/bible/kt/heaven
1:3	o0r7		וְ⁠הַ⁠מַּכְשֵׁל֖וֹת	1	rc://*/tw/dict/bible/other/stumble
1:3	d22m	keyterm	הָ⁠רְשָׁעִ֑ים	1	rc://*/tw/dict/bible/kt/evil
1:3	hkqd	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	xecd	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/kingdomofjudah
1:4	jtvs	name	יְרוּשָׁלִָ֑ם	1	rc://*/tw/dict/bible/names/jerusalem
1:4	eki7	keyterm	אֶת־שְׁאָ֣ר	1	rc://*/tw/dict/bible/kt/remnant
1:4	aivd	name	הַ⁠בַּ֔עַל	1	rc://*/tw/dict/bible/names/baal
1:4	dv7s	keyterm	הַ⁠כְּמָרִ֖ים	1	rc://*/tw/dict/bible/kt/falsegod
1:4	zbuw	keyterm	הַ⁠כֹּהֲנִֽים	1	rc://*/tw/dict/bible/kt/priest
1:5	t0jj		וְ⁠אֶת־הַ⁠מִּשְׁתַּחֲוִ֥ים	1	rc://*/tw/dict/bible/other/bow
1:5	ubqn	keyterm	הַ⁠שָּׁמָ֑יִם	1	rc://*/tw/dict/bible/kt/heaven
1:5	d7m4		וְ⁠אֶת־הַ⁠מִּֽשְׁתַּחֲוִים֙	1	rc://*/tw/dict/bible/other/bow
1:5	ru3l		הַ⁠נִּשְׁבָּעִ֣ים	1	rc://*/tw/dict/bible/other/oath
1:5	ab3d	keyterm	לַֽ⁠יהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:5	s0sa		וְ⁠הַ⁠נִּשְׁבָּעִ֖ים	1	rc://*/tw/dict/bible/other/oath
1:5	isd6		בְּ⁠מַלְכָּֽ⁠ם	1	rc://*/tw/dict/bible/other/king
1:6	d23v	keyterm	יְהוָ֑ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	tcjf		בִקְשׁ֥וּ	1	rc://*/tw/dict/bible/other/seek
1:6	s9h5	keyterm	אֶת־יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	hgf4		דְרָשֻֽׁ⁠הוּ	1	rc://*/tw/dict/bible/other/seek
1:7	po07	keyterm	אֲדֹנָ֣⁠י יְהוִ֑ה	1	rc://*/tw/dict/bible/kt/lordyahweh
1:7	nzh8	keyterm	י֣וֹם יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/dayofthelord
1:7	ehy7	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	lgbe		הֵכִ֧ין	1	rc://*/tw/dict/bible/other/ordain
1:7	xvyd		זֶ֖בַח	1	rc://*/tw/dict/bible/other/sacrifice
1:7	tmgy	keyterm	הִקְדִּ֥ישׁ	1	rc://*/tw/dict/bible/kt/sanctify
1:7	h7jt	keyterm	קְרֻאָֽי⁠ו	1	rc://*/tw/dict/bible/kt/call-tosummon
1:8	hbj9		בְּ⁠יוֹם֙	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:8	j6j2		זֶ֣בַח	1	rc://*/tw/dict/bible/other/sacrifice
1:8	h76q	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:8	k3vn	keyterm	וּ⁠פָקַדְתִּ֥י	1	rc://*/tw/dict/bible/other/punish
1:8	dukm		הַ⁠שָּׂרִ֖ים	1	rc://*/tw/dict/bible/other/prince
1:8	f6yw		הַ⁠מֶּ֑לֶךְ	1	rc://*/tw/dict/bible/other/king
1:8	dxbv		נָכְרִֽי	1	rc://*/tw/dict/bible/other/foreigner
1:9	v9eq		בַּ⁠יּ֣וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:9	zw3m	keyterm	וּ⁠פָקַדְתִּ֗י	1	rc://*/tw/dict/bible/other/punish
1:9	k1nw		הַ⁠מִּפְתָּ֖ן	1	rc://*/tw/dict/bible/other/threshold
1:9	dd3k		בֵּ֥ית	1	rc://*/tw/dict/bible/other/house
1:9	dzhm	keyterm	אֲדֹנֵי⁠הֶ֖ם	1	rc://*/tw/dict/bible/kt/lord
1:10	lkmq		בַ⁠יּ֨וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:10	euxp	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:10	ueex		צְעָקָה֙	1	rc://*/tw/dict/bible/other/cry
1:10	pjp1		מִ⁠שַּׁ֣עַר	1	rc://*/tw/dict/bible/other/gate
1:10	s3q8		וְ⁠שֶׁ֥בֶר	1	rc://*/tw/dict/bible/other/ruin
1:11	t8xw	name	כְּנַ֔עַן	1	rc://*/tw/dict/bible/names/canaan
1:11	ko7y		נִדְמָה֙	1	rc://*/tw/dict/bible/other/destroyer
1:11	jwx2		כָֽסֶף	1	rc://*/tw/dict/bible/other/silver
1:12	izei		אֲחַפֵּ֥שׂ	1	rc://*/tw/dict/bible/other/seek
1:12	eujr	name	אֶת־יְרוּשָׁלִַ֖ם	1	rc://*/tw/dict/bible/names/jerusalem
1:12	odqq		בַּ⁠נֵּר֑וֹת	1	rc://*/tw/dict/bible/other/lamp
1:12	zffz	keyterm	וּ⁠פָקַדְתִּ֣י	1	rc://*/tw/dict/bible/other/punish
