Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	s5jq	name	Παῦλος	1	rc://*/tw/dict/bible/names/paul
1:1	gwkb	keyterm	κλητὸς	1	rc://*/tw/dict/bible/kt/call
1:1	bswq	keyterm	ἀπόστολος	1	rc://*/tw/dict/bible/kt/apostle
1:1	a7z2	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	ge9m	keyterm; name	Χριστοῦ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	ctmj	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:1	gba2	keyterm	θελήματος Θεοῦ	1	rc://*/tw/dict/bible/kt/willofgod
1:1	n36t	keyterm	ἀδελφὸς	1	rc://*/tw/dict/bible/kt/brother
1:2	d22v	keyterm	ἐκκλησίᾳ	1	rc://*/tw/dict/bible/kt/church
1:2	g2jn	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:2	tbfd	keyterm	ἡγιασμένοις	1	rc://*/tw/dict/bible/kt/sanctify
1:2	pmms	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:2	c897	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:2	ae6e	keyterm	ἐν Χριστῷ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/inchrist
1:2	pwuw	name	Κορίνθῳ	1	rc://*/tw/dict/bible/names/corinth
1:2	hfhn	keyterm	κλητοῖς	1	rc://*/tw/dict/bible/kt/call
1:2	epyt	keyterm	ἁγίοις	1	rc://*/tw/dict/bible/kt/saint
1:2	qedx	keyterm	ἐπικαλουμένοις	1	rc://*/tw/dict/bible/kt/call
1:2	qdbw	keyterm	ὄνομα	1	rc://*/tw/dict/bible/kt/name
1:2	xbn3	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:2	j6u4	keyterm; name	Ἰησοῦ	2	rc://*/tw/dict/bible/kt/jesus
1:2	q4nn	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:3	t8mr	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:3	rqz9		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:3	ppu4	keyterm	Θεοῦ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:3	jskr	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:3	k6er	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:3	usz8	keyterm; name	Κυρίου Ἰησοῦ Χριστοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:4	kuc7	keyterm	Θεῷ	1	rc://*/tw/dict/bible/kt/god
1:4	c2xs	keyterm	χάριτι	1	rc://*/tw/dict/bible/kt/grace
1:4	kbmh	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:4	rz86	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:4	d5wg	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:4	s4nu	keyterm	ἐν Χριστῷ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/inchrist
1:5	qtj2		γνώσει	1	rc://*/tw/dict/bible/other/know
1:6	x8x5		καθὼς	1	rc://*/tw/dict/bible/other/like
1:6	anh6	keyterm	μαρτύριον	1	rc://*/tw/dict/bible/kt/testimony
1:6	heuc	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:6	prej		ἐβεβαιώθη	1	rc://*/tw/dict/bible/other/confirm
1:7	xa3v	keyterm	χαρίσματι	1	rc://*/tw/dict/bible/kt/gift
1:7	qjt4	keyterm	ἀποκάλυψιν	1	rc://*/tw/dict/bible/kt/reveal
1:7	ynyk	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:7	bcva	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:7	zxqf	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:8	gr8v		βεβαιώσει	1	rc://*/tw/dict/bible/other/confirm
1:8	s5kt	keyterm	ἀνεγκλήτους	1	rc://*/tw/dict/bible/kt/blameless
1:8	y4vz		ἡμέρᾳ	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:8	wmw7	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:8	w2kc	keyterm	ἡμέρᾳ τοῦ Κυρίου	1	rc://*/tw/dict/bible/kt/dayofthelord
1:8	a53b	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
