Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	skux	name	Παῦλος	1	rc://*/tw/dict/bible/names/paul
1:1	d5wq	name	Σιλουανὸς	1	rc://*/tw/dict/bible/names/silas
1:1	m59v	name	Τιμόθεος	1	rc://*/tw/dict/bible/names/timothy
1:1	p65u	keyterm	ἐκκλησίᾳ	1	rc://*/tw/dict/bible/kt/church
1:1	qqa5	name	Θεσσαλονικέων	1	rc://*/tw/dict/bible/names/thessalonica
1:1	k9q8	keyterm	Θεῷ Πατρὶ	1	rc://*/tw/dict/bible/kt/godthefather
1:1	p6mv	keyterm	Κυρίῳ	1	rc://*/tw/dict/bible/kt/lord
1:1	rej3	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	th4v	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:1	uv9v	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:1	qt7d		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:2	x9zn	keyterm	Θεῷ	1	rc://*/tw/dict/bible/kt/god
1:2	f33c	keyterm	προσευχῶν	1	rc://*/tw/dict/bible/kt/pray
1:3	sdhu		ἔργου	1	rc://*/tw/dict/bible/other/labor
1:3	vuvs	keyterm	πίστεως	1	rc://*/tw/dict/bible/kt/faith
1:3	v3m9		κόπου	1	rc://*/tw/dict/bible/other/labor
1:3	s3ay	keyterm	ἀγάπης	1	rc://*/tw/dict/bible/kt/love
1:3	j6mf	keyterm	ἐλπίδος	1	rc://*/tw/dict/bible/kt/hope
1:3	mj8p	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:3	q2ch	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:3	xw9n	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:3	gz9m	keyterm	Θεοῦ καὶ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:4	qwuk		εἰδότες	1	rc://*/tw/dict/bible/other/know
1:4	zxec	keyterm	ἀδελφοὶ	1	rc://*/tw/dict/bible/kt/brother
