Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	jmzs	name	Σίμων Πέτρος	1	rc://*/tw/dict/bible/names/peter
1:1	fx73		δοῦλος	1	rc://*/tw/dict/bible/other/servant
1:1	g589	keyterm	ἀπόστολος	1	rc://*/tw/dict/bible/kt/apostle
1:1	h6eg	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	gyxk	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	acps		ἰσότιμον	1	rc://*/tw/dict/bible/other/precious
1:1	dpbh	keyterm	πίστιν	1	rc://*/tw/dict/bible/kt/faith
1:1	jmsp	keyterm	δικαιοσύνῃ	1	rc://*/tw/dict/bible/kt/righteous
1:1	t8te	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:1	y4ws	keyterm	Σωτῆρος	1	rc://*/tw/dict/bible/kt/savior
1:1	g9cc	keyterm; name	Ἰησοῦ	2	rc://*/tw/dict/bible/kt/jesus
1:1	zs6j	keyterm	Χριστοῦ	2	rc://*/tw/dict/bible/kt/christ
1:2	atar	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:2	vyf6		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:2	gudr		πληθυνθείη	1	rc://*/tw/dict/bible/other/multiply
1:2	kqjz		ἐπιγνώσει	1	rc://*/tw/dict/bible/other/know
1:2	y5se	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:2	ejk4	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:2	yteq	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:3	wq9r		ὡς	1	rc://*/tw/dict/bible/other/like
1:3	kzrh	keyterm	θείας	1	rc://*/tw/dict/bible/kt/divine
1:3	vesw	keyterm	δυνάμεως	1	rc://*/tw/dict/bible/kt/power
1:3	h8yb	keyterm	ζωὴν	1	rc://*/tw/dict/bible/kt/life
