Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	dw49	name	Παῦλος	1	rc://*/tw/dict/bible/names/paul
1:1	nau5	keyterm	ἀπόστολος	1	rc://*/tw/dict/bible/kt/apostle
1:1	mtvh	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	fwx5	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	cjp9	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:1	t8ax	keyterm	θελήματος Θεοῦ	1	rc://*/tw/dict/bible/kt/willofgod
1:1	wexm	keyterm	ἐπαγγελίαν	1	rc://*/tw/dict/bible/kt/promise
1:1	gby2	keyterm	ζωῆς	1	rc://*/tw/dict/bible/kt/life
1:1	wk6p	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:1	anfq	keyterm; name	Ἰησοῦ	2	rc://*/tw/dict/bible/kt/jesus
1:1	zsjd	keyterm	ἐν Χριστῷ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/inchrist
1:2	bu4w	name	Τιμοθέῳ	1	rc://*/tw/dict/bible/names/timothy
1:2	cq94	keyterm	ἀγαπητῷ	1	rc://*/tw/dict/bible/kt/beloved
1:2	wue6	keyterm	τέκνῳ	1	rc://*/tw/dict/bible/kt/children
1:2	vb7v	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:2	sx3x	keyterm	ἔλεος	1	rc://*/tw/dict/bible/kt/mercy
1:2	m4e5		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:2	aeaq	keyterm	Θεοῦ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:2	fqrj	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:2	nn9d	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:2	qbjx	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:3	wa3t	keyterm	Θεῷ	1	rc://*/tw/dict/bible/kt/god
1:3	gvsd		λατρεύω	1	rc://*/tw/dict/bible/other/servant
1:3	csh3	keyterm	καθαρᾷ	1	rc://*/tw/dict/bible/kt/clean
1:3	gmsh	keyterm	συνειδήσει	1	rc://*/tw/dict/bible/kt/conscience
1:3	tdjm		ὡς	1	rc://*/tw/dict/bible/other/like
1:3	w42j	keyterm	δεήσεσίν	1	rc://*/tw/dict/bible/kt/pray
1:3	w96s		ἡμέρας	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:4	maxe		χαρᾶς	1	rc://*/tw/dict/bible/other/joy
1:4	uuef	keyterm	πληρωθῶ	1	rc://*/tw/dict/bible/kt/fulfill
1:5	xfyb	keyterm	πίστεως	1	rc://*/tw/dict/bible/kt/faith
1:5	wwyk		πέπεισμαι	1	rc://*/tw/dict/bible/other/confidence
1:6	s4bt	keyterm	χάρισμα	1	rc://*/tw/dict/bible/kt/gift
1:6	svfc	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:6	nqmb		χειρῶν	1	rc://*/tw/dict/bible/other/hand
1:7	caea	keyterm	Θεὸς	1	rc://*/tw/dict/bible/kt/god
1:7	bs53	keyterm	πνεῦμα	1	rc://*/tw/dict/bible/kt/spirit
1:7	y9dq	keyterm	δειλίας	1	rc://*/tw/dict/bible/kt/fear
1:7	y9f3	keyterm	δυνάμεως	1	rc://*/tw/dict/bible/kt/power
1:7	kqx4	keyterm	ἀγάπης	1	rc://*/tw/dict/bible/kt/love
1:7	bsq6		σωφρονισμοῦ	1	rc://*/tw/dict/bible/other/selfcontrol
1:8	vh5m		ἐπαισχυνθῇς	1	rc://*/tw/dict/bible/other/shame
1:8	rp4w	keyterm	μαρτύριον	1	rc://*/tw/dict/bible/kt/testimony
1:8	ps59	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:8	wc7c		δέσμιον	1	rc://*/tw/dict/bible/other/prison
1:8	s39m		συνκακοπάθησον	1	rc://*/tw/dict/bible/other/suffer
1:8	rcgg	keyterm	εὐαγγελίῳ	1	rc://*/tw/dict/bible/kt/goodnews
1:8	sncx	keyterm	δύναμιν	1	rc://*/tw/dict/bible/kt/power
1:8	txqu	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:9	u7d4	keyterm	σώσαντος	1	rc://*/tw/dict/bible/kt/save
1:9	ncuz	keyterm	καλέσαντος κλήσει	1	rc://*/tw/dict/bible/kt/call
1:9	ds3p	keyterm	ἁγίᾳ	1	rc://*/tw/dict/bible/kt/holy
1:9	yaza	keyterm	ἔργα	1	rc://*/tw/dict/bible/kt/works
1:9	qyk5	keyterm	χάριν	1	rc://*/tw/dict/bible/kt/grace
1:9	pygv	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:9	d7hd	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:9	q8ru	keyterm	ἐν Χριστῷ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/inchrist
1:9	a9w2		χρόνων	1	rc://*/tw/dict/bible/other/time
1:10	r7u2	keyterm	φανερωθεῖσαν	1	rc://*/tw/dict/bible/kt/reveal
1:10	nwux	keyterm	Σωτῆρος	1	rc://*/tw/dict/bible/kt/savior
1:10	bb4r	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:10	kfyt	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:10	bsuf		θάνατον	1	rc://*/tw/dict/bible/other/death
1:10	dgkn	keyterm	ζωὴν	1	rc://*/tw/dict/bible/kt/life
1:10	vzet	keyterm	εὐαγγελίου	1	rc://*/tw/dict/bible/kt/goodnews
1:11	bwc7	keyterm	ἐτέθην	1	rc://*/tw/dict/bible/kt/appoint
1:11	regv	keyterm	ἀπόστολος	1	rc://*/tw/dict/bible/kt/apostle
1:11	ed2n		διδάσκαλος	1	rc://*/tw/dict/bible/other/teacher
1:12	gud6		πάσχω	1	rc://*/tw/dict/bible/other/suffer
1:12	u97t		ἐπαισχύνομαι	1	rc://*/tw/dict/bible/other/shame
1:12	ej6e		οἶδα	1	rc://*/tw/dict/bible/other/know
1:12	cqn4	keyterm	πεπίστευκα	1	rc://*/tw/dict/bible/kt/believe
1:12	hwk7		πέπεισμαι	1	rc://*/tw/dict/bible/other/confidence
1:12	apk7	keyterm	δυνατός	1	rc://*/tw/dict/bible/kt/power
1:12	g6e2		ἡμέραν	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:13	fvdd	keyterm	πίστει	1	rc://*/tw/dict/bible/kt/faith
1:13	uf4m	keyterm	ἀγάπῃ	1	rc://*/tw/dict/bible/kt/love
1:13	d8a3	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:13	gfcr	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:13	d7p3	keyterm	ἐν Χριστῷ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/inchrist
1:14	a9mc	keyterm	καλὴν	1	rc://*/tw/dict/bible/kt/good
