Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	ubbh		πρεσβύτερος	1	rc://*/tw/dict/bible/other/elder
1:1	qj7w	keyterm	ἀγαπητῷ	1	rc://*/tw/dict/bible/kt/beloved
1:1	qjqz	keyterm	ἀγαπῶ	1	rc://*/tw/dict/bible/kt/love
1:2	tgfz	keyterm	ἀγαπητέ	1	rc://*/tw/dict/bible/kt/beloved
1:2	psqy	keyterm	εὔχομαί	1	rc://*/tw/dict/bible/kt/pray
1:2	zzw9		εὐοδοῦσθαι	1	rc://*/tw/dict/bible/other/prosper
1:2	sfg8		καθὼς	1	rc://*/tw/dict/bible/other/like
1:2	n76t		εὐοδοῦταί	1	rc://*/tw/dict/bible/other/prosper
1:2	mc2m	keyterm	ψυχή	1	rc://*/tw/dict/bible/kt/soul
1:3	a5g5		ἐχάρην	1	rc://*/tw/dict/bible/other/joy
1:3	qr74	keyterm	μαρτυρούντων	1	rc://*/tw/dict/bible/kt/testimony
1:3	faw8		καθὼς	1	rc://*/tw/dict/bible/other/like
1:4	f5th		χαράν	1	rc://*/tw/dict/bible/other/joy
1:5	y8zm	keyterm	ἀγαπητέ	1	rc://*/tw/dict/bible/kt/beloved
1:5	gqvq	keyterm	πιστὸν	1	rc://*/tw/dict/bible/kt/faithful
1:6	f4qk	keyterm	ἐμαρτύρησάν	1	rc://*/tw/dict/bible/kt/testimony
1:6	ze4j	keyterm	ἀγάπῃ	1	rc://*/tw/dict/bible/kt/love
1:6	afjs	keyterm	ἐκκλησίας	1	rc://*/tw/dict/bible/kt/church
1:6	yzhg	keyterm	καλῶς	1	rc://*/tw/dict/bible/kt/good
1:6	su7j	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:7	z8jt		λαμβάνοντες	1	rc://*/tw/dict/bible/other/receive
1:7	hk58	keyterm	ἐθνικῶν	1	rc://*/tw/dict/bible/kt/gentile
1:8	d9rx		ὑπολαμβάνειν	1	rc://*/tw/dict/bible/other/receive
1:8	xf87		συνεργοὶ	1	rc://*/tw/dict/bible/other/companion
1:9	ftt3	keyterm	ἐκκλησίᾳ	1	rc://*/tw/dict/bible/kt/church
1:9	gavv		ἐπιδέχεται	1	rc://*/tw/dict/bible/other/receive
1:10	nzyt	keyterm	πονηροῖς	1	rc://*/tw/dict/bible/kt/evil
1:10	hs3w		ἐπιδέχεται	1	rc://*/tw/dict/bible/other/receive
1:10	tk66	keyterm	ἐκκλησίας	1	rc://*/tw/dict/bible/kt/church
1:10	rr8x		ἐκβάλλει	1	rc://*/tw/dict/bible/other/castout
1:11	s6zg	keyterm	ἀγαπητέ	1	rc://*/tw/dict/bible/kt/beloved
1:11	j9m5	keyterm	κακὸν	1	rc://*/tw/dict/bible/kt/evil
1:11	rqay	keyterm	ἀγαθόν	1	rc://*/tw/dict/bible/kt/good
1:11	rfxm	keyterm	ἀγαθοποιῶν	1	rc://*/tw/dict/bible/kt/good
1:11	fsmd	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:11	p5mu	keyterm	κακοποιῶν	1	rc://*/tw/dict/bible/kt/evil
1:11	srww	keyterm	Θεόν	1	rc://*/tw/dict/bible/kt/god
1:12	chhe	keyterm	μεμαρτύρηται	1	rc://*/tw/dict/bible/kt/testimony
1:12	ebes	keyterm	μαρτυροῦμεν	1	rc://*/tw/dict/bible/kt/testimony
1:12	kbzm		οἶδας	1	rc://*/tw/dict/bible/other/know
1:12	crtt	keyterm	μαρτυρία	1	rc://*/tw/dict/bible/kt/testimony
1:14	kkw5	keyterm	ἐλπίζω	1	rc://*/tw/dict/bible/kt/hope
1:15	cabr		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
