Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	adca	name	Παῦλος	1	rc://*/tw/dict/bible/names/paul
1:1	zcud	keyterm	ἀπόστολος	1	rc://*/tw/dict/bible/kt/apostle
1:1	gkzy	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	wcq2	keyterm; name	Χριστοῦ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	pqzq	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:1	uarm	keyterm	θελήματος Θεοῦ	1	rc://*/tw/dict/bible/kt/willofgod
1:1	rvtp	name	Τιμόθεος	1	rc://*/tw/dict/bible/names/timothy
1:1	qtfm	keyterm	ἀδελφὸς	1	rc://*/tw/dict/bible/kt/brother
1:2	nj86	name	Κολοσσαῖς	1	rc://*/tw/dict/bible/names/colossae
1:2	bcjt	keyterm	ἁγίοις	1	rc://*/tw/dict/bible/kt/saint
1:2	jsqq	keyterm	πιστοῖς	1	rc://*/tw/dict/bible/kt/faithful
1:2	kczu	keyterm	ἀδελφοῖς	1	rc://*/tw/dict/bible/kt/brother
1:2	vn78	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:2	cguv	keyterm	ἐν Χριστῷ	1	rc://*/tw/dict/bible/kt/inchrist
1:2	rvh5	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:2	scry		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:2	ggs2	keyterm	Θεοῦ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:2	kh2v	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:2	hq3x	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:2	h4qj	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:3	a74f	keyterm	Θεῷ Πατρὶ	1	rc://*/tw/dict/bible/kt/godthefather
1:3	evvd	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:3	aq84	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:3	n5dz	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:3	cs85	keyterm	προσευχόμενοι	1	rc://*/tw/dict/bible/kt/pray
1:4	prwy	keyterm	πίστιν	1	rc://*/tw/dict/bible/kt/faith
1:4	sss9	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:4	v7z4	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:4	jnac	keyterm	ἐν Χριστῷ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/inchrist
1:4	uuje	keyterm	ἀγάπην	1	rc://*/tw/dict/bible/kt/love
1:4	f2yy	keyterm	ἁγίους	1	rc://*/tw/dict/bible/kt/saint
1:5	hbgz	keyterm	ἐλπίδα	1	rc://*/tw/dict/bible/kt/hope
1:5	vh47	keyterm	οὐρανοῖς	1	rc://*/tw/dict/bible/kt/heaven
1:5	egr4	keyterm	ἀληθείας	1	rc://*/tw/dict/bible/kt/true
1:5	kr78	keyterm	εὐαγγελίου	1	rc://*/tw/dict/bible/kt/goodnews
1:6	mmg7		καθὼς	1	rc://*/tw/dict/bible/other/like
1:6	ayxs	keyterm	κόσμῳ	1	rc://*/tw/dict/bible/kt/world
1:6	b3gq		καρποφορούμενον	1	rc://*/tw/dict/bible/other/fruit
1:6	rz2x		καθὼς	2	rc://*/tw/dict/bible/other/like
1:6	f5fq		ἡμέρας	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:6	geev		ἐπέγνωτε	1	rc://*/tw/dict/bible/other/understand
1:6	qpw8	keyterm	χάριν	1	rc://*/tw/dict/bible/kt/grace
1:6	pttf	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:6	zrkq	keyterm	ἀληθείᾳ	1	rc://*/tw/dict/bible/kt/true
1:7	dgc5		καθὼς	1	rc://*/tw/dict/bible/other/like
1:7	qfsw	keyterm	ἀγαπητοῦ	1	rc://*/tw/dict/bible/kt/beloved
1:7	t7a6	keyterm	πιστὸς	1	rc://*/tw/dict/bible/kt/faithful
1:7	nywd	keyterm	διάκονος	1	rc://*/tw/dict/bible/kt/minister
1:7	pzah	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:8	z5vn	keyterm	ἀγάπην	1	rc://*/tw/dict/bible/kt/love
1:8	dxgw	keyterm	Πνεύματι	1	rc://*/tw/dict/bible/kt/holyspirit
1:9	ddcr		ἡμέρας	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:9	tvwe	keyterm	προσευχόμενοι	1	rc://*/tw/dict/bible/kt/pray
1:9	ecq5		ἐπίγνωσιν	1	rc://*/tw/dict/bible/other/know
1:9	tqj5	keyterm	τοῦ θελήματος αὐτοῦ	1	rc://*/tw/dict/bible/kt/willofgod
1:9	v48k	keyterm	σοφίᾳ	1	rc://*/tw/dict/bible/kt/wise
1:9	g8a3		συνέσει	1	rc://*/tw/dict/bible/other/understand
1:9	hr36	keyterm	πνευματικῇ	1	rc://*/tw/dict/bible/kt/spirit
1:10	rucz		περιπατῆσαι	1	rc://*/tw/dict/bible/other/walk
1:10	s6ev	keyterm	ἀξίως	1	rc://*/tw/dict/bible/kt/worthy
1:10	ysdd	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:10	zqqs	keyterm	ἔργῳ	1	rc://*/tw/dict/bible/kt/works
1:10	uwzh	keyterm	ἀγαθῷ	1	rc://*/tw/dict/bible/kt/good
1:10	szeu		καρποφοροῦντες	1	rc://*/tw/dict/bible/other/fruit
1:10	zbyg		ἐπιγνώσει	1	rc://*/tw/dict/bible/other/know
1:10	pmru	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:11	ymuq	keyterm	δυνάμει	1	rc://*/tw/dict/bible/kt/power
1:11	eyyn		δυναμούμενοι	1	rc://*/tw/dict/bible/other/strength
