Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	h5df	name	Παῦλος	1	rc://*/tw/dict/bible/names/paul
1:1	ygqk	keyterm	ἀπόστολος	1	rc://*/tw/dict/bible/kt/apostle
1:1	sabb	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	m5e2	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	jub7	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:1	w9r5	keyterm	θελήματος Θεοῦ	1	rc://*/tw/dict/bible/kt/willofgod
1:1	h7sv	keyterm	ἁγίοις	1	rc://*/tw/dict/bible/kt/saint
1:1	ymga	name	Ἐφέσῳ	1	rc://*/tw/dict/bible/names/ephesus
1:1	c5cg	keyterm	πιστοῖς	1	rc://*/tw/dict/bible/kt/faithful
1:1	yyk4	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:1	wh9t	keyterm; name	Ἰησοῦ	2	rc://*/tw/dict/bible/kt/jesus
1:1	v5b7	keyterm	ἐν Χριστῷ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/inchrist
1:2	shnp	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:2	gxxv		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:2	rj5k	keyterm	Θεοῦ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:2	wedp	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:2	x6jq	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:2	jgqs	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:3	prg4	keyterm	εὐλογητὸς	1	rc://*/tw/dict/bible/kt/bless
1:3	dekq	keyterm	Θεὸς καὶ Πατὴρ	1	rc://*/tw/dict/bible/kt/godthefather
1:3	f6pg	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:3	h7wj	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:3	vsh3	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:3	yvk8	keyterm	εὐλογήσας	1	rc://*/tw/dict/bible/kt/bless
1:3	nnjn	keyterm	εὐλογίᾳ	1	rc://*/tw/dict/bible/kt/bless
1:3	xfjc	keyterm	πνευματικῇ	1	rc://*/tw/dict/bible/kt/spirit
1:3	x6qf	keyterm	ἐπουρανίοις	1	rc://*/tw/dict/bible/kt/heaven
1:3	wnpf	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:3	nkdd	keyterm	ἐν Χριστῷ	1	rc://*/tw/dict/bible/kt/inchrist
1:4	a3x6		καθὼς	1	rc://*/tw/dict/bible/other/like
1:4	ddsu	keyterm	ἐξελέξατο	1	rc://*/tw/dict/bible/kt/elect
1:4	eryd		καταβολῆς	1	rc://*/tw/dict/bible/other/foundation
1:4	md64	keyterm	κόσμου	1	rc://*/tw/dict/bible/kt/world
1:4	gwd2	keyterm	ἁγίους	1	rc://*/tw/dict/bible/kt/holy
1:4	khte	keyterm	ἀμώμους	1	rc://*/tw/dict/bible/kt/blameless
1:4	prb9	keyterm	ἀγάπῃ	1	rc://*/tw/dict/bible/kt/love
1:5	jpwu	keyterm	προορίσας	1	rc://*/tw/dict/bible/kt/predestine
1:5	x9qz	keyterm	υἱοθεσίαν	1	rc://*/tw/dict/bible/kt/adoption
1:5	h8ga	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:5	j644	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:5	k9x9	keyterm	εὐδοκίαν	1	rc://*/tw/dict/bible/kt/good
1:6	hzcu		ἔπαινον	1	rc://*/tw/dict/bible/other/praise
1:6	wm3k	keyterm	δόξης	1	rc://*/tw/dict/bible/kt/glory
1:6	yaqp	keyterm	χάριτος	1	rc://*/tw/dict/bible/kt/grace
1:6	udg7	keyterm	ἠγαπημένῳ	1	rc://*/tw/dict/bible/kt/love
1:7	hvnx	keyterm	ἀπολύτρωσιν	1	rc://*/tw/dict/bible/kt/redeem
1:7	qggq	keyterm	αἵματος	1	rc://*/tw/dict/bible/kt/blood
1:7	hssh	keyterm	ἄφεσιν	1	rc://*/tw/dict/bible/kt/forgive
1:7	bdd9	keyterm	παραπτωμάτων	1	rc://*/tw/dict/bible/kt/trespass
1:7	km2b	keyterm	χάριτος	1	rc://*/tw/dict/bible/kt/grace
1:8	hzr3		ἐπερίσσευσεν	1	rc://*/tw/dict/bible/other/multiply
1:8	rhjr	keyterm	σοφίᾳ	1	rc://*/tw/dict/bible/kt/wise
1:8	rcud		φρονήσει	1	rc://*/tw/dict/bible/other/understand
1:9	ycuf		γνωρίσας	1	rc://*/tw/dict/bible/other/know
1:9	b28x		μυστήριον	1	rc://*/tw/dict/bible/other/mystery
1:9	mpft	keyterm	θελήματος αὐτοῦ	1	rc://*/tw/dict/bible/kt/willofgod
1:10	u3ar		οἰκονομίαν	1	rc://*/tw/dict/bible/other/manager
1:10	mhqj		καιρῶν	1	rc://*/tw/dict/bible/other/time
1:10	gjuk	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:10	cmj5	keyterm	ἐν τῷ Χριστῷ	1	rc://*/tw/dict/bible/kt/inchrist
1:10	b74h	keyterm	οὐρανοῖς	1	rc://*/tw/dict/bible/kt/heaven
1:10	z8de		γῆς	1	rc://*/tw/dict/bible/other/earth
1:11	cuk7	keyterm	προορισθέντες	1	rc://*/tw/dict/bible/kt/predestine
1:11	mwwa		βουλὴν	1	rc://*/tw/dict/bible/other/counselor
1:11	nrhb	keyterm	θελήματος αὐτοῦ	1	rc://*/tw/dict/bible/kt/willofgod
1:12	crds		ἔπαινον	1	rc://*/tw/dict/bible/other/praise
1:12	xdwk	keyterm	δόξης	1	rc://*/tw/dict/bible/kt/glory
1:12	aaw3	keyterm	προηλπικότας	1	rc://*/tw/dict/bible/kt/hope
1:12	sv2v	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
1:12	h53t	keyterm	ἐν τῷ Χριστῷ	1	rc://*/tw/dict/bible/kt/inchrist
1:13	upsx	keyterm	ἀληθείας	1	rc://*/tw/dict/bible/kt/true
1:13	wcba	keyterm	εὐαγγέλιον	1	rc://*/tw/dict/bible/kt/goodnews
1:13	n434	keyterm	σωτηρίας	1	rc://*/tw/dict/bible/kt/save
1:13	t3x4	keyterm	πιστεύσαντες	1	rc://*/tw/dict/bible/kt/believe
1:13	w8mu		ἐσφραγίσθητε	1	rc://*/tw/dict/bible/other/seal
1:13	d8jh	keyterm	ἐπαγγελίας	1	rc://*/tw/dict/bible/kt/promise
1:13	j4bu	keyterm	Πνεύματι τῆς ἐπαγγελίας, τῷ Ἁγίῳ	1	rc://*/tw/dict/bible/kt/holyspirit
1:14	gvk6		ἀρραβὼν	1	rc://*/tw/dict/bible/other/pledge
1:14	scm4	keyterm	κληρονομίας	1	rc://*/tw/dict/bible/kt/inherit
1:14	w4d8	keyterm	ἀπολύτρωσιν	1	rc://*/tw/dict/bible/kt/redeem
1:14	xph4		περιποιήσεως	1	rc://*/tw/dict/bible/other/possess
1:14	d6n4		ἔπαινον	1	rc://*/tw/dict/bible/other/praise
1:14	ft2w	keyterm	δόξης	1	rc://*/tw/dict/bible/kt/glory
1:15	sdz8	keyterm	πίστιν	1	rc://*/tw/dict/bible/kt/faith
1:15	crku	keyterm	Κυρίῳ	1	rc://*/tw/dict/bible/kt/lord
1:15	fc2e	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:15	xgsz	keyterm	ἐν τῷ Κυρίῳ Ἰησοῦ	1	rc://*/tw/dict/bible/kt/inchrist
1:15	w9xa	keyterm	ἀγάπην	1	rc://*/tw/dict/bible/kt/love
1:15	wuqv	keyterm	ἁγίους	1	rc://*/tw/dict/bible/kt/saint
1:16	e7u3	keyterm	προσευχῶν	1	rc://*/tw/dict/bible/kt/pray
1:17	gckd	keyterm	Θεὸς	1	rc://*/tw/dict/bible/kt/god
1:17	qgwh	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:17	bnrr	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:17	p857	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:17	q6t3	keyterm	ὁ Πατὴρ	1	rc://*/tw/dict/bible/kt/godthefather
1:17	zknr	keyterm	δόξης	1	rc://*/tw/dict/bible/kt/glory
1:17	t6tr	keyterm	πνεῦμα	1	rc://*/tw/dict/bible/kt/spirit
1:17	zkcy	keyterm	σοφίας	1	rc://*/tw/dict/bible/kt/wise
1:17	dyk3	keyterm	ἀποκαλύψεως	1	rc://*/tw/dict/bible/kt/reveal
1:17	wcvh		ἐπιγνώσει	1	rc://*/tw/dict/bible/other/know
1:18	hxuv	keyterm	καρδίας	1	rc://*/tw/dict/bible/kt/heart
1:18	dnz6		εἰδέναι	1	rc://*/tw/dict/bible/other/know
1:18	py5f	keyterm	ἐλπὶς	1	rc://*/tw/dict/bible/kt/hope
1:18	wz9u	keyterm	κλήσεως	1	rc://*/tw/dict/bible/kt/call
1:18	m286	keyterm	δόξης	1	rc://*/tw/dict/bible/kt/glory
1:18	hgun	keyterm	κληρονομίας	1	rc://*/tw/dict/bible/kt/inherit
1:18	sv54	keyterm	ἁγίοις	1	rc://*/tw/dict/bible/kt/saint
1:19	tyux	keyterm	δυνάμεως	1	rc://*/tw/dict/bible/kt/power
1:19	nnwm	keyterm	πιστεύοντας	1	rc://*/tw/dict/bible/kt/believe
1:19	s2ap		ἰσχύος	1	rc://*/tw/dict/bible/other/strength
1:20	chh6	keyterm	Χριστῷ	1	rc://*/tw/dict/bible/kt/christ
