Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	mtak	name	Παῦλος	1	rc://*/tw/dict/bible/names/paul
1:1	t7b3	keyterm	ἀπόστολος	1	rc://*/tw/dict/bible/kt/apostle
1:1	v64p	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	qm99	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	ppab	keyterm	Θεοῦ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:2	w9b6	keyterm	ἐκκλησίαις	1	rc://*/tw/dict/bible/kt/church
1:2	x92e	name	Γαλατίας	1	rc://*/tw/dict/bible/names/galatia
1:3	jkjk	keyterm	χάρις	1	rc://*/tw/dict/bible/kt/grace
1:3	qny5		εἰρήνη	1	rc://*/tw/dict/bible/other/peace
1:3	r69a	keyterm	Θεοῦ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:3	wbxs	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:3	hwas	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:3	keef	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:4	ruyn	keyterm	ἁμαρτιῶν	1	rc://*/tw/dict/bible/kt/sin
1:4	xrb5		ἐξέληται	1	rc://*/tw/dict/bible/other/deliverer
1:4	b6gf		αἰῶνος	1	rc://*/tw/dict/bible/other/age
1:4	pg8t	keyterm	πονηροῦ	1	rc://*/tw/dict/bible/kt/evil
1:4	wpae	keyterm	θέλημα	1	rc://*/tw/dict/bible/kt/willofgod
1:4	kebb	keyterm	Θεοῦ καὶ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather
1:5	aejb	keyterm	δόξα	1	rc://*/tw/dict/bible/kt/glory
1:5	mtf7	keyterm	ἀμήν	1	rc://*/tw/dict/bible/kt/amen
1:6	c4c4	keyterm	καλέσαντος	1	rc://*/tw/dict/bible/kt/call
1:6	pfdn	keyterm	χάριτι	1	rc://*/tw/dict/bible/kt/grace
1:6	uxu8	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:6	cvdp	keyterm	εὐαγγέλιον	1	rc://*/tw/dict/bible/kt/goodnews
1:7	sfks		ταράσσοντες	1	rc://*/tw/dict/bible/other/trouble
1:7	vcxm		μεταστρέψαι	1	rc://*/tw/dict/bible/other/perverse
1:7	hm8n	keyterm	εὐαγγέλιον	1	rc://*/tw/dict/bible/kt/goodnews
1:7	wrjj	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:8	w97r	keyterm	ἄγγελος	1	rc://*/tw/dict/bible/kt/angel
1:8	sn55	keyterm	οὐρανοῦ	1	rc://*/tw/dict/bible/kt/heaven
1:8	g7zq	keyterm	εὐαγγελίζηται	1	rc://*/tw/dict/bible/kt/goodnews
1:8	zyx5	keyterm	ἀνάθεμα	1	rc://*/tw/dict/bible/kt/curse
1:9	bcbs		ὡς	1	rc://*/tw/dict/bible/other/like
1:9	f2hg	keyterm	εὐαγγελίζεται	1	rc://*/tw/dict/bible/kt/goodnews
1:9	xwqs		παρελάβετε	1	rc://*/tw/dict/bible/other/receive
1:9	ens7	keyterm	ἀνάθεμα	1	rc://*/tw/dict/bible/kt/curse
1:10	bef9	keyterm	Θεόν	1	rc://*/tw/dict/bible/kt/god
1:10	rffv		ζητῶ	1	rc://*/tw/dict/bible/other/seek
1:10	km5z	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:10	f677		δοῦλος	1	rc://*/tw/dict/bible/other/servant
1:11	eprw		γνωρίζω	1	rc://*/tw/dict/bible/other/know
