Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	nnj2	name	Ἰάκωβος	1	rc://*/tw/dict/bible/names/jamesbrotherofjesus
1:1	epsg	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:1	h4my	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:1	cp63	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	n5yt	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	raa6		δοῦλος	1	rc://*/tw/dict/bible/other/servant
1:1	ttzc		φυλαῖς	1	rc://*/tw/dict/bible/other/tribe
1:1	pqns		δώδεκα φυλαῖς	1	rc://*/tw/dict/bible/other/12tribesofisrael
1:1	gpcf		διασπορᾷ	1	rc://*/tw/dict/bible/other/disperse
1:2	mx3d		χαρὰν	1	rc://*/tw/dict/bible/other/joy
1:2	e6wh	keyterm	ἀδελφοί	1	rc://*/tw/dict/bible/kt/brother
1:2	yzw7		πειρασμοῖς	1	rc://*/tw/dict/bible/other/trial
1:3	w5y3		γινώσκοντες	1	rc://*/tw/dict/bible/other/know
1:3	tw5g	keyterm	δοκίμιον	1	rc://*/tw/dict/bible/kt/test
1:3	whs7	keyterm	πίστεως	1	rc://*/tw/dict/bible/kt/faith
1:3	sz59		ὑπομονήν	1	rc://*/tw/dict/bible/other/endure
1:4	ccgu		ὑπομονὴ	1	rc://*/tw/dict/bible/other/endure
1:4	rhwg	keyterm	ἔργον	1	rc://*/tw/dict/bible/kt/works
1:4	yymb		τέλειον	1	rc://*/tw/dict/bible/other/perfect
1:4	xqja		τέλειοι	1	rc://*/tw/dict/bible/other/perfect
1:5	e22r	keyterm	σοφίας	1	rc://*/tw/dict/bible/kt/wise
1:5	psan	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:6	s355	keyterm	πίστει	1	rc://*/tw/dict/bible/kt/faith
1:6	ez4f		ἔοικεν	1	rc://*/tw/dict/bible/other/like
1:7	p85u		λήμψεταί	1	rc://*/tw/dict/bible/other/receive
1:7	q74t	keyterm	Κυρίου	1	rc://*/tw/dict/bible/kt/lord
1:8	nwaq		δίψυχος	1	rc://*/tw/dict/bible/other/mind
1:9	teb8	keyterm	καυχάσθω	1	rc://*/tw/dict/bible/kt/boast
1:9	hphd	keyterm	ἀδελφὸς	1	rc://*/tw/dict/bible/kt/brother
1:9	kbpz		ταπεινὸς	1	rc://*/tw/dict/bible/other/lowly
1:10	xh5n		ταπεινώσει	1	rc://*/tw/dict/bible/other/meek
1:10	d5ey		ὡς	1	rc://*/tw/dict/bible/other/like
1:11	x8u6		προσώπου	1	rc://*/tw/dict/bible/other/face
1:11	xezm	keyterm	ἀπώλετο	1	rc://*/tw/dict/bible/kt/perish
1:12	y633	keyterm	μακάριος	1	rc://*/tw/dict/bible/kt/bless
1:12	r3pu		ὑπομένει	1	rc://*/tw/dict/bible/other/endure
1:12	cx2m		πειρασμόν	1	rc://*/tw/dict/bible/other/trial
1:12	jkcd		λήμψεται	1	rc://*/tw/dict/bible/other/receive
1:12	wn34		στέφανον	1	rc://*/tw/dict/bible/other/crown
1:12	zr5h	keyterm	ζωῆς	1	rc://*/tw/dict/bible/kt/life
1:12	hp5p	keyterm	ἐπηγγείλατο	1	rc://*/tw/dict/bible/kt/promise
1:12	qstj	keyterm	ἀγαπῶσιν	1	rc://*/tw/dict/bible/kt/love
1:13	ktyj	keyterm	πειραζόμενος	1	rc://*/tw/dict/bible/kt/tempt
1:13	hg5m	keyterm	Θεοῦ	1	rc://*/tw/dict/bible/kt/god
1:13	yyc3	keyterm	πειράζομαι	1	rc://*/tw/dict/bible/kt/tempt
1:13	wju6	keyterm	Θεὸς	1	rc://*/tw/dict/bible/kt/god
1:13	s8vr	keyterm	κακῶν	1	rc://*/tw/dict/bible/kt/evil
1:13	mtty	keyterm	πειράζει	1	rc://*/tw/dict/bible/kt/tempt
1:14	pgkc	keyterm	πειράζεται	1	rc://*/tw/dict/bible/kt/tempt
1:14	ghpe		ἐπιθυμίας	1	rc://*/tw/dict/bible/other/lust
1:15	qmyw		ἐπιθυμία	1	rc://*/tw/dict/bible/other/lust
1:15	v3d8	keyterm	ἁμαρτίαν	1	rc://*/tw/dict/bible/kt/sin
1:15	khbf	keyterm	ἁμαρτία	1	rc://*/tw/dict/bible/kt/sin
1:15	r2yk		θάνατον	1	rc://*/tw/dict/bible/other/death
1:16	wv2s		πλανᾶσθε	1	rc://*/tw/dict/bible/other/astray
1:16	qqjg	keyterm	ἀδελφοί	1	rc://*/tw/dict/bible/kt/brother
